<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980604,1819.91,1820,1820,1819.91,44282851,1819.91,Abadan Petro.-a
13980606,1672.59,1673,1569,1637.92,54934334,1568.59,Abadan Petro.-a
13980609,1473.26,1473,1413,1456.80,36533831,1413.46,Abadan Petro.-a
13980611,1413.46,1413,1413,1413.46,65636938,1413.46,Abadan Petro.-a
13980613,1455.06,1455,1455,1455.06,16563634,1455.06,Abadan Petro.-a
13980625,1541.73,1542,1542,1541.73,4960131,1541.73,Abadan Petro.-a
13980626,1587.66,1588,1496,1536.53,39715519,1495.79,Abadan Petro.-a
13980627,1542.59,1543,1496,1500.13,6065149,1495.79,Abadan Petro.-a
13980630,1495.79,1496,1496,1495.79,3196787,1495.79,Abadan Petro.-a
13980631,1495.79,1496,1496,1495.79,3169002,1495.79,Abadan Petro.-a
13980701,1585.92,1586,1499,1536.53,30058296,1535.66,Abadan Petro.-a
13980702,1516.59,1535,1490,1500.99,19209898,1489.73,Abadan Petro.-a
13980703,1457.66,1498,1457,1458.53,5628691,1456.80,Abadan Petro.-a
13980706,1415.20,1448,1415,1425.60,32303159,1423.00,Abadan Petro.-a
13980707,1425.60,1468,1397,1452.46,23827471,1468.06,Abadan Petro.-a
13980708,1477.59,1496,1452,1487.99,25110601,1452.46,Abadan Petro.-a
13980709,1474.13,1515,1444,1450.73,12635806,1443.80,Abadan Petro.-a
13980710,1464.60,1465,1407,1410.00,12751380,1407.40,Abadan Petro.-a
13980713,1386.60,1434,1387,1405.66,17435061,1403.07,Abadan Petro.-a
13980714,1429.06,1429,1364,1368.40,14659228,1374.47,Abadan Petro.-a
13980715,1384.87,1409,1379,1405.66,7642836,1409.13,Abadan Petro.-a
13980716,1447.26,1447,1364,1400.47,18902385,1364.07,Abadan Petro.-a
13980717,1386.60,1426,1359,1386.60,10093889,1421.26,Abadan Petro.-a
13980720,1427.33,1428,1371,1405.66,7440643,1401.33,Abadan Petro.-a
13980721,1426.46,1426,1364,1385.73,8978788,1377.93,Abadan Petro.-a
13980722,1356.27,1391,1345,1351.07,14498474,1351.93,Abadan Petro.-a
13980723,1351.93,1352,1311,1312.94,5703355,1311.20,Abadan Petro.-a
13980724,1273.94,1309,1274,1280.00,8170069,1273.94,Abadan Petro.-a
13980728,1245.34,1296,1242,1243.61,3017968,1241.87,Abadan Petro.-a
13980729,1182.08,1237,1182,1187.28,10122983,1204.61,Abadan Petro.-a
13980730,1195.94,1223,1187,1216.74,10442399,1222.81,Abadan Petro.-a
13980801,1253.14,1253,1217,1249.67,11166319,1253.14,Abadan Petro.-a
13980804,1286.94,1287,1286,1286.94,3887246,1286.94,Abadan Petro.-a
13980806,1351.07,1351,1351,1351.07,1738320,1351.07,Abadan Petro.-a
13980808,1390.93,1391,1391,1390.93,8178564,1390.93,Abadan Petro.-a
13980811,1403.07,1413,1349,1366.67,14753659,1369.27,Abadan Petro.-a
13980812,1377.93,1385,1326,1362.33,7973506,1357.13,Abadan Petro.-a
13980813,1342.40,1342,1322,1326.80,5075381,1321.60,Abadan Petro.-a
13980814,1292.14,1324,1288,1300.80,6706998,1299.94,Abadan Petro.-a
13980818,1330.27,1340,1307,1338.93,16988337,1339.80,Abadan Petro.-a
13980819,1378.80,1379,1351,1377.93,15912967,1378.80,Abadan Petro.-a
13980820,1403.93,1419,1387,1410.00,14202843,1418.66,Abadan Petro.-a
13980821,1447.26,1451,1387,1417.80,12454594,1392.67,Abadan Petro.-a
13980822,1386.60,1394,1375,1377.93,10827268,1385.73,Abadan Petro.-a
13980825,1385.73,1419,1386,1411.73,16364326,1412.60,Abadan Petro.-a
13980826,1395.27,1395,1370,1371.00,12457289,1370.13,Abadan Petro.-a
13980909,1500.00,1500,1455,1466.00,9023166,1455.00,Abadan Petro.-a
13980910,1424.00,1470,1423,1436.00,40361010,1454.00,Abadan Petro.-a
13980911,1473.00,1479,1423,1467.00,15940974,1468.00,Abadan Petro.-a
13980912,1476.00,1511,1440,1492.00,21116352,1511.00,Abadan Petro.-a
13980913,1536.00,1536,1536,1536.00,11245085,1536.00,Abadan Petro.-a
13980916,1582.00,1582,1570,1582.00,49507963,1582.00,Abadan Petro.-a
13980917,1614.00,1661,1579,1637.00,34659657,1661.00,Abadan Petro.-a
13980918,1686.00,1686,1678,1686.00,6660666,1686.00,Abadan Petro.-a
13980919,1736.00,1736,1736,1736.00,5598908,1736.00,Abadan Petro.-a
13980920,1788.00,1788,1788,1788.00,6653800,1788.00,Abadan Petro.-a
13980923,1877.00,1877,1877,1877.00,6504325,1877.00,Abadan Petro.-a
13980924,1933.00,1933,1933,1933.00,4642335,1933.00,Abadan Petro.-a
13980925,1990.00,1990,1990,1990.00,2040125,1990.00,Abadan Petro.-a
13980926,2049.00,2049,2049,2049.00,2446038,2049.00,Abadan Petro.-a
13980927,2151.00,2151.00,2004.00,2122.00,106882363,2151.00,Abadan Petro.-a
