<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970118,5900.00,5900,5900,5900.00,85,5900.00,Azarit-a
13970120,5900.00,6060,5900,5975.00,10727,6060.00,Azarit-a
13970122,6166.00,6166,6166,6166.00,8242,6166.00,Azarit-a
13970127,6355.00,6355,6355,6355.00,8690,6355.00,Azarit-a
13970201,6602.00,6602,6602,6602.00,9090,6602.00,Azarit-a
13970203,6904.00,6904,6904,6904.00,7603,6904.00,Azarit-a
13970210,7190.00,7190,7190,7190.00,34687,7190.00,Azarit-a
13970215,7450.00,7450,7450,7450.00,29055,7450.00,Azarit-a
13970217,7670.00,8000,7670,7834.00,28100,8000.00,Azarit-a
13970219,8050.00,8300,8050,8107.00,34800,8300.00,Azarit-a
13970222,8500.00,8510,8500,8502.00,43124,8510.00,Azarit-a
13970224,8700.00,9000,8700,8733.00,39665,9000.00,Azarit-a
13970226,8733.00,8750,8733,8734.00,26165,8750.00,Azarit-a
13970229,8999.00,8999,8889,8993.00,37669,8889.00,Azarit-a
13970231,8950.00,8950,8950,8950.00,120,8950.00,Azarit-a
13970328,8000.00,8000,8000,8000.00,5161,8000.00,Azarit-a
13970409,8000.00,8000,7950,7954.00,2186,7950.00,Azarit-a
13970411,7954.00,7954,7954,7954.00,1000,7954.00,Azarit-a
13970413,7896.00,7896,7896,7896.00,1000,7896.00,Azarit-a
13970423,7000.00,7000,7000,7000.00,1,7000.00,Azarit-a
13970503,7000.00,7000,7000,7000.00,1000,7000.00,Azarit-a
13970510,7000.00,7000,7000,7000.00,3000,7000.00,Azarit-a
13970527,6950.00,6950,6950,6950.00,186,6950.00,Azarit-a
13970603,6500.00,6500,6500,6500.00,22005,6500.00,Azarit-a
13970605,6531.00,6531,6531,6531.00,6909,6531.00,Azarit-a
13970607,7003.00,7303,7003,7175.00,21850,7303.00,Azarit-a
13970610,7910.00,8125,7910,8017.00,19142,8125.00,Azarit-a
