<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,2376.81,2377,2295,2309.90,8719,2295.76,Darya bandar Co-a
13970107,2366.45,2366,2290,2291.05,25000,2290.11,Darya bandar Co-a
13970108,2299.53,2300,2290,2291.05,67921,2291.99,Darya bandar Co-a
13970114,2367.39,2367,2328,2352.31,24924,2327.81,Darya bandar Co-a
13970115,2366.45,2413,2318,2347.60,84606,2318.38,Darya bandar Co-a
13970118,2346.65,2347,2309,2336.29,1400,2308.96,Darya bandar Co-a
13970119,2308.96,2309,2221,2258.07,97583,2225.08,Darya bandar Co-a
13970120,2215.66,2260,2122,2171.36,204000,2148.74,Darya bandar Co-a
13970121,2167.59,2215,2167,2168.53,111750,2214.71,Darya bandar Co-a
13970122,2121.41,2158,1990,2095.97,305646,2062.04,Darya bandar Co-a
13970126,2137.43,2203,2072,2092.20,32052,2073.35,Darya bandar Co-a
13970127,2073.35,2158,2073,2089.37,78338,2101.62,Darya bandar Co-a
13970128,2120.47,2223,2120,2153.46,167004,2219.43,Darya bandar Co-a
13970129,2255.24,2368,2255,2353.25,600020,2368.33,Darya bandar Co-a
13970201,2374.93,2440,2368,2391.89,194117,2368.33,Darya bandar Co-a
13970202,2281.63,2328,2186,2200.58,62288,2242.04,Darya bandar Co-a
13970203,2261.84,2354,2177,2277.86,144714,2261.84,Darya bandar Co-a
13970204,2307.07,2337,2262,2309.90,56944,2318.38,Darya bandar Co-a
13970205,2317.44,2318,2201,2226.97,44851,2221.31,Darya bandar Co-a
13970208,2167.59,2169,2121,2142.15,66149,2157.23,Darya bandar Co-a
13970209,2252.41,2252,2092,2162.88,50544,2228.85,Darya bandar Co-a
13970210,2094.08,2226,2092,2128.95,107681,2209.06,Darya bandar Co-a
13970211,2167.59,2168,2095,2136.49,5036,2138.38,Darya bandar Co-a
13970215,2082.77,2083,1990,2029.05,79677,1990.42,Darya bandar Co-a
13970216,1904.65,2071,1885,1931.04,35328,2071.46,Darya bandar Co-a
13970217,2062.98,2066,1885,1992.30,58519,2065.81,Darya bandar Co-a
13970218,2071.46,2191,2071,2153.46,129278,2191.15,Darya bandar Co-a
13970219,2026.23,2307,2026,2197.75,307894,2261.84,Darya bandar Co-a
13970222,2354.19,2417,2271,2397.55,469889,2417.34,Darya bandar Co-a
13970223,2439.01,2497,2398,2438.07,151745,2439.01,Darya bandar Co-a
13970224,2675.56,2681,2498,2639.75,754433,2681.22,Darya bandar Co-a
13970308,2676.51,2677,2409,2462.57,129402,2408.85,Darya bandar Co-a
13970309,2356.08,2356,2219,2278.80,550803,2265.61,Darya bandar Co-a
13970312,2261.84,2309,2149,2177.02,406896,2149.69,Darya bandar Co-a
13970313,2242.04,2242,2074,2101.62,316880,2087.49,Darya bandar Co-a
13970319,2073.35,2166,2042,2077.12,226520,2108.22,Darya bandar Co-a
13970320,2119.53,2284,2111,2272.20,848128,2284.45,Darya bandar Co-a
13970321,2393.78,2394,2094,2160.05,413266,2195.87,Darya bandar Co-a
13970322,2218.48,2219,2121,2169.48,165148,2141.20,Darya bandar Co-a
13970323,2167.59,2242,2126,2170.42,499352,2148.74,Darya bandar Co-a
13970327,2213.77,2230,2159,2186.44,372319,2195.87,Darya bandar Co-a
13970328,2186.44,2188,2122,2160.05,581213,2122.36,Darya bandar Co-a
13970329,2177.02,2177,2131,2134.61,178667,2131.78,Darya bandar Co-a
13970330,2120.47,2174,2120,2137.43,223491,2126.13,Darya bandar Co-a
13970402,2122.36,2186,2122,2168.53,242172,2167.59,Darya bandar Co-a
