<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970120,1632.11,1632,1632,1632.11,792660,1632.11,Momtazan Cement-a
13970610,1632.11,1632,1632,1632.11,5,1632.11,Momtazan Cement-a
13970709,3035.96,3731,3036,1747.73,14174,3731.17,Momtazan Cement-a
13970721,3730.42,3730,3730,1763.39,2000,3730.42,Momtazan Cement-a
13970805,3729.67,3730,3730,1787.26,3000,3729.67,Momtazan Cement-a
13970809,3729.67,3730,3730,1788.75,200,3729.67,Momtazan Cement-a
13970812,3729.67,3730,3730,1791.74,360,3729.67,Momtazan Cement-a
13970814,3728.93,3729,3729,1812.62,2740,3728.93,Momtazan Cement-a
13970828,3731.91,3732,3732,2580.19,100000,3731.91,Momtazan Cement-a
13970830,3731.91,3732,3732,2660.75,17501,3731.91,Momtazan Cement-a
13970912,3729.67,3730,3730,2668.96,2000,3729.67,Momtazan Cement-a
13970917,3731.91,3732,3732,2748.02,18630,3731.91,Momtazan Cement-a
13971003,2748.02,2748,2748,2748.02,3333,2748.02,Momtazan Cement-a
13971012,2748.02,2748,2748,2748.02,633,2748.02,Momtazan Cement-a
13971022,2761.45,2761,2761,2748.02,200,2761.45,Momtazan Cement-a
13971215,3878.12,3878,2909,2785.32,42581,2909.15,Momtazan Cement-a
13971222,2910.64,2911,2911,2805.46,40000,2910.64,Momtazan Cement-a
13971225,2983.74,2984,2984,2936.00,183500,2983.74,Momtazan Cement-a
13980419,9000.00,9000,9000,9000.00,702000,9000.00,Momtazan Cement-a
13980422,10300.00,10500,10300,10306.00,695462,10500.00,Momtazan Cement-a
13980424,10300.00,10300,7990,9336.00,139694,7990.00,Momtazan Cement-a
13980426,9336.00,9336,8200,8363.00,43619,8200.00,Momtazan Cement-a
13980429,8363.00,8363,8363,8363.00,21396,8363.00,Momtazan Cement-a
13980431,8363.00,8363,8360,8363.00,17948,8360.00,Momtazan Cement-a
13980502,8363.00,8363,8363,8363.00,1580,8363.00,Momtazan Cement-a
13980505,8200.00,8200,8200,8200.00,2503,8200.00,Momtazan Cement-a
13980509,8200.00,8200,8200,8200.00,14220,8200.00,Momtazan Cement-a
13980514,8200.00,8200,8200,8200.00,1911,8200.00,Momtazan Cement-a
