<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1567.00,1576,1542,1553.00,63318,1550.00,Ardebil Omran T-a
13970106,1571.00,1573,1542,1549.00,208861,1543.00,Ardebil Omran T-a
13970107,1569.00,1569,1521,1529.00,88606,1524.00,Ardebil Omran T-a
13970108,1513.00,1542,1513,1525.00,137043,1527.00,Ardebil Omran T-a
13970114,1520.00,1590,1520,1573.00,210097,1588.00,Ardebil Omran T-a
13970115,1620.00,1623,1540,1559.00,187214,1545.00,Ardebil Omran T-a
13970118,1571.00,1571,1526,1552.00,333249,1533.00,Ardebil Omran T-a
13970119,1570.00,1580,1462,1509.00,465233,1500.00,Ardebil Omran T-a
13970120,1460.00,1460,1359,1400.00,853095,1391.00,Ardebil Omran T-a
13970121,1440.00,1513,1403,1435.00,293613,1423.00,Ardebil Omran T-a
13970122,1467.00,1465,1365,1410.00,469336,1393.00,Ardebil Omran T-a
13970126,1400.00,1422,1350,1392.00,270917,1402.00,Ardebil Omran T-a
13970127,1400.00,1531,1400,1515.00,2027220,1531.00,Ardebil Omran T-a
13970128,1544.00,1640,1531,1583.00,1287905,1568.00,Ardebil Omran T-a
13970129,1531.00,1658,1531,1628.00,2241077,1650.00,Ardebil Omran T-a
13970201,1659.00,1759,1659,1704.00,1845859,1691.00,Ardebil Omran T-a
13970202,1670.00,1700,1590,1657.00,462017,1607.00,Ardebil Omran T-a
13970203,1600.00,1639,1570,1592.00,815718,1590.00,Ardebil Omran T-a
13970204,1610.00,1751,1609,1735.00,3879423,1751.00,Ardebil Omran T-a
13970205,1780.00,1780,1677,1723.00,874936,1703.00,Ardebil Omran T-a
13970208,1666.00,1769,1600,1683.00,835026,1620.00,Ardebil Omran T-a
13970209,1597.00,1687,1592,1653.00,499677,1652.00,Ardebil Omran T-a
13970210,1604.00,1697,1604,1670.00,222416,1680.00,Ardebil Omran T-a
13970211,1729.00,1729,1645,1662.00,154145,1645.00,Ardebil Omran T-a
13970215,1735.00,1735,1640,1657.00,271585,1645.00,Ardebil Omran T-a
13970216,1620.00,1645,1580,1614.00,416141,1605.00,Ardebil Omran T-a
13970217,1580.00,1615,1563,1583.00,350980,1591.00,Ardebil Omran T-a
13970218,1630.00,1660,1565,1575.00,495785,1565.00,Ardebil Omran T-a
13970219,1550.00,1591,1521,1565.00,501139,1580.00,Ardebil Omran T-a
13970222,1660.00,1721,1630,1670.00,1984859,1680.00,Ardebil Omran T-a
13970223,1730.00,1770,1659,1698.00,1105255,1697.00,Ardebil Omran T-a
13970224,1698.00,1738,1660,1705.00,1198302,1720.00,Ardebil Omran T-a
13970225,1680.00,1700,1585,1628.00,1401943,1625.00,Ardebil Omran T-a
13970226,1601.00,1709,1582,1667.00,862759,1701.00,Ardebil Omran T-a
13970229,1720.00,1772,1700,1735.00,1013354,1741.00,Ardebil Omran T-a
13970230,1748.00,1771,1666,1684.00,657030,1672.00,Ardebil Omran T-a
13970231,1695.00,1749,1665,1703.00,1032021,1707.00,Ardebil Omran T-a
13970301,1733.00,1749,1662,1705.00,399038,1662.00,Ardebil Omran T-a
13970302,1663.00,1740,1663,1717.00,268887,1723.00,Ardebil Omran T-a
13970305,1741.00,1831,1741,1785.00,2172124,1790.00,Ardebil Omran T-a
13970306,1822.00,1930,1782,1865.00,2351161,1870.00,Ardebil Omran T-a
13970307,1950.00,1950,1820,1863.00,3161240,1831.00,Ardebil Omran T-a
13970308,1835.00,1880,1790,1821.00,675983,1810.00,Ardebil Omran T-a
13970309,1810.00,1889,1765,1837.00,853950,1821.00,Ardebil Omran T-a
13970312,1846.00,1919,1805,1877.00,902356,1897.00,Ardebil Omran T-a
13970313,1901.00,1901,1810,1849.00,690508,1845.00,Ardebil Omran T-a
13970319,1800.00,1880,1770,1817.00,949829,1800.00,Ardebil Omran T-a
13970320,1838.00,1838,1750,1774.00,1045674,1779.00,Ardebil Omran T-a
13970321,1798.00,1799,1726,1766.00,658078,1740.00,Ardebil Omran T-a
13970322,1726.00,1819,1726,1769.00,629025,1763.00,Ardebil Omran T-a
13970323,1799.00,1840,1775,1795.00,821876,1776.00,Ardebil Omran T-a
13970327,1850.00,1925,1838,1879.00,1493456,1851.00,Ardebil Omran T-a
13970328,1910.00,1920,1757,1805.00,1407561,1757.00,Ardebil Omran T-a
13970329,1752.00,1819,1752,1781.00,617427,1770.00,Ardebil Omran T-a
13970330,1760.00,1813,1745,1776.00,1730162,1810.00,Ardebil Omran T-a
13970402,1800.00,1850,1800,1815.00,769638,1806.00,Ardebil Omran T-a
13970403,1771.00,1996,1771,1960.00,3572641,1996.00,Ardebil Omran T-a
13970404,2150.00,2156,2150,2155.00,2517986,2156.00,Ardebil Omran T-a
13970405,2270.00,2370,2170,2312.00,6302236,2300.00,Ardebil Omran T-a
13970406,2355.00,2400,2113,2278.00,1778692,2295.00,Ardebil Omran T-a
13970409,2170.00,2456,2160,2339.00,1819943,2330.00,Ardebil Omran T-a
13970410,2330.00,2393,2279,2331.00,1615471,2357.00,Ardebil Omran T-a
13970411,2340.00,2550,2340,2468.00,1873249,2450.00,Ardebil Omran T-a
13970412,2451.00,2640,2400,2477.00,1559758,2468.00,Ardebil Omran T-a
13970413,2400.00,2480,2371,2407.00,867097,2400.00,Ardebil Omran T-a
13970416,2360.00,2478,2360,2424.00,396862,2402.00,Ardebil Omran T-a
13970417,2469.00,2650,2450,2558.00,1210010,2615.00,Ardebil Omran T-a
13970419,2714.00,2799,2649,2701.00,493860,2715.00,Ardebil Omran T-a
13970420,2900.00,2900,2900,2900.00,33400,2900.00,Ardebil Omran T-a
13970424,2890.00,3050,2736,2877.00,35626,2870.00,Ardebil Omran T-a
13970425,2900.00,3095,2720,2939.00,1911701,2928.00,Ardebil Omran T-a
13970426,2992.00,3088,2851,2969.00,1497227,2890.00,Ardebil Omran T-a
13970427,2990.00,3029,2730,2942.00,2034300,2800.00,Ardebil Omran T-a
13970430,2948.00,2948,2732,2812.00,1343650,2741.00,Ardebil Omran T-a
13970431,2741.00,2810,2537,2682.00,1891454,2700.00,Ardebil Omran T-a
13970501,2790.00,2790,2500,2597.00,1662809,2540.00,Ardebil Omran T-a
13970502,2586.00,2635,2529,2574.00,1740445,2600.00,Ardebil Omran T-a
13970503,2638.00,2798,2610,2683.00,603424,2649.00,Ardebil Omran T-a
13970506,2790.00,2790,2550,2569.00,1151899,2561.00,Ardebil Omran T-a
13970507,2555.00,2589,2352,2441.00,1119278,2380.00,Ardebil Omran T-a
13970508,2301.00,2363,2200,2265.00,1096906,2250.00,Ardebil Omran T-a
13970509,2250.00,2491,2250,2420.00,1265694,2491.00,Ardebil Omran T-a
13970510,2512.00,2659,2320,2529.00,588857,2440.00,Ardebil Omran T-a
13970513,2430.00,2530,2305,2386.00,563715,2342.00,Ardebil Omran T-a
13970514,2290.00,2395,2222,2290.00,885938,2270.00,Ardebil Omran T-a
13970515,2250.00,2490,2200,2400.00,1163265,2400.00,Ardebil Omran T-a
13970516,2400.00,2550,2311,2474.00,969647,2495.00,Ardebil Omran T-a
13970517,2578.00,2697,2480,2595.00,1265069,2573.00,Ardebil Omran T-a
13970520,2698.00,2698,2555,2604.00,718420,2580.00,Ardebil Omran T-a
13970521,2610.00,2679,2517,2572.00,1203990,2520.00,Ardebil Omran T-a
13970522,2515.00,2600,2450,2473.00,457191,2456.00,Ardebil Omran T-a
13970523,2570.00,2570,2363,2404.00,282935,2403.00,Ardebil Omran T-a
13970524,2380.00,2449,2310,2343.00,368343,2401.00,Ardebil Omran T-a
13970527,2451.00,2577,2357,2546.00,1057591,2577.00,Ardebil Omran T-a
13970528,2681.00,2697,2510,2617.00,928743,2570.00,Ardebil Omran T-a
13970529,2570.00,2588,2360,2450.00,2033115,2429.00,Ardebil Omran T-a
13970530,2452.00,2490,2375,2437.00,932507,2490.00,Ardebil Omran T-a
13970603,2527.00,2527,2401,2445.00,1021418,2465.00,Ardebil Omran T-a
13970604,2432.00,2574,2400,2494.00,956652,2496.00,Ardebil Omran T-a
13970605,2498.00,2559,2385,2434.00,1395699,2463.00,Ardebil Omran T-a
13970606,2520.00,2520,2300,2386.00,1226091,2380.00,Ardebil Omran T-a
13970607,2302.00,2438,2300,2339.00,1491980,2300.00,Ardebil Omran T-a
13970610,2300.00,2500,2300,2421.00,1765538,2432.00,Ardebil Omran T-a
13970611,2470.00,2470,2350,2413.00,1239288,2420.00,Ardebil Omran T-a
13970612,2475.00,2475,2400,2437.00,2087800,2453.00,Ardebil Omran T-a
13970613,2469.00,2547,2423,2505.00,1385131,2527.00,Ardebil Omran T-a
13970614,2547.00,2555,2488,2519.00,1251489,2500.00,Ardebil Omran T-a
13970617,2519.00,2770,2510,2686.00,3391625,2770.00,Ardebil Omran T-a
13970618,2930.00,2930,2750,2814.00,2612965,2790.00,Ardebil Omran T-a
13970619,2840.00,2921,2772,2839.00,1871817,2796.00,Ardebil Omran T-a
13970620,2796.00,2900,2650,2818.00,4351868,2822.00,Ardebil Omran T-a
13970621,2899.00,3040,2863,2968.00,2223777,2990.00,Ardebil Omran T-a
13970624,3099.00,3264,3005,3239.00,4617705,3263.00,Ardebil Omran T-a
13970625,3449.00,3449,2921,3194.00,2295675,3276.00,Ardebil Omran T-a
13970626,3389.00,3464,3224,3386.00,2585678,3438.00,Ardebil Omran T-a
13970627,3580.00,3580,3200,3287.00,1888583,3200.00,Ardebil Omran T-a
