<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1643.47,1731,1643,1721.62,11000,1731.39,Iranian Falat-a
13970106,1739.53,1766,1716,1741.97,60067,1725.69,Iranian Falat-a
13970107,1725.69,1726,1726,1725.69,14526,1725.69,Iranian Falat-a
13970108,1725.69,1778,1703,1745.23,81818,1728.13,Iranian Falat-a
13970114,1733.83,1747,1734,1744.41,75001,1746.04,Iranian Falat-a
13970115,1706.15,1758,1705,1725.69,46173,1758.25,Iranian Falat-a
13970118,1750.11,1750,1687,1704.53,446979,1717.55,Iranian Falat-a
13970119,1688.25,1693,1687,1689.06,27886,1687.43,Iranian Falat-a
13970120,1652.43,1652,1522,1588.94,320840,1585.68,Iranian Falat-a
13970121,1645.92,1680,1628,1628.82,96720,1628.01,Iranian Falat-a
13970122,1628.01,1665,1466,1576.73,151160,1664.64,Iranian Falat-a
13970126,1546.61,1551,1449,1488.00,216664,1466.02,Iranian Falat-a
13970205,1620.00,1629,1551,1610.00,140708,1629.00,Iranian Falat-a
13970208,1620.00,1637,1500,1540.00,406716,1540.00,Iranian Falat-a
13970209,1540.00,1590,1480,1498.00,107202,1536.00,Iranian Falat-a
13970210,1455.00,1459,1349,1368.00,635259,1349.00,Iranian Falat-a
13970211,1272.00,1390,1272,1307.00,53175,1320.00,Iranian Falat-a
13970215,1325.00,1370,1325,1365.00,40801,1360.00,Iranian Falat-a
13970216,1346.00,1349,1276,1311.00,131384,1276.00,Iranian Falat-a
13970217,1276.00,1340,1276,1301.00,11678,1296.00,Iranian Falat-a
13970218,1345.00,1431,1345,1418.00,141695,1420.00,Iranian Falat-a
13970219,1499.00,1499,1331,1379.00,84908,1331.00,Iranian Falat-a
13970222,1399.00,1425,1352,1383.00,47484,1389.00,Iranian Falat-a
13970223,1360.00,1420,1360,1393.00,69734,1408.00,Iranian Falat-a
13970224,1353.00,1515,1353,1446.00,56569,1450.00,Iranian Falat-a
13970225,1430.00,1472,1370,1422.00,137525,1371.00,Iranian Falat-a
13970226,1353.00,1410,1352,1378.00,180144,1352.00,Iranian Falat-a
13970229,1408.00,1515,1408,1493.00,908346,1515.00,Iranian Falat-a
13970230,1548.00,1574,1490,1525.00,509302,1540.00,Iranian Falat-a
13970231,1549.00,1580,1480,1534.00,536588,1510.00,Iranian Falat-a
13970301,1529.00,1529,1420,1441.00,173056,1463.00,Iranian Falat-a
13970302,1475.00,1481,1432,1447.00,236774,1443.00,Iranian Falat-a
13970305,1433.00,1469,1400,1443.00,239984,1434.00,Iranian Falat-a
13970306,1467.00,1467,1400,1406.00,64847,1400.00,Iranian Falat-a
13970307,1390.00,1494,1383,1404.00,220538,1403.00,Iranian Falat-a
13970308,1459.00,1469,1381,1397.00,562971,1381.00,Iranian Falat-a
13970309,1393.00,1458,1393,1434.00,208929,1450.00,Iranian Falat-a
13970312,1467.00,1536,1447,1490.00,314231,1492.00,Iranian Falat-a
13970313,1519.00,1519,1410,1477.00,203428,1410.00,Iranian Falat-a
13970319,1484.00,1484,1470,1479.00,20072,1482.00,Iranian Falat-a
13970320,1422.00,1456,1401,1421.00,70951,1456.00,Iranian Falat-a
13970321,1400.00,1489,1400,1458.00,290025,1428.00,Iranian Falat-a
13970322,1423.00,1470,1423,1438.00,175217,1429.00,Iranian Falat-a
13970323,1465.00,1497,1434,1473.00,509569,1453.00,Iranian Falat-a
13970327,1520.00,1575,1475,1492.00,543135,1490.00,Iranian Falat-a
13970328,1500.00,1540,1464,1498.00,772000,1500.00,Iranian Falat-a
13970329,1466.00,1566,1466,1541.00,990927,1550.00,Iranian Falat-a
13970330,1580.00,1580,1500,1553.00,611987,1510.00,Iranian Falat-a
13970402,1492.00,1565,1484,1498.00,99576,1492.00,Iranian Falat-a
13970403,1554.00,1556,1500,1534.00,293367,1500.00,Iranian Falat-a
13970404,1493.00,1500,1450,1472.00,570089,1475.00,Iranian Falat-a
13970405,1442.00,1442,1413,1420.00,235530,1414.00,Iranian Falat-a
13970406,1412.00,1412,1400,1402.00,68790,1400.00,Iranian Falat-a
13970409,1444.00,1488,1340,1361.00,411231,1340.00,Iranian Falat-a
13970410,1380.00,1380,1302,1332.00,370054,1315.00,Iranian Falat-a
13970411,1316.00,1350,1315,1335.00,328802,1350.00,Iranian Falat-a
13970412,1387.00,1400,1360,1390.00,147837,1382.00,Iranian Falat-a
13970413,1432.00,1529,1382,1490.00,1863894,1525.00,Iranian Falat-a
13970416,1526.00,1608,1490,1553.00,784131,1515.00,Iranian Falat-a
13970417,1441.00,1519,1441,1492.00,150065,1499.00,Iranian Falat-a
13970419,1470.00,1470,1420,1457.00,44304,1455.00,Iranian Falat-a
13970420,1425.00,1425,1388,1401.00,196756,1395.00,Iranian Falat-a
13970423,1409.00,1428,1409,1423.00,65956,1428.00,Iranian Falat-a
13970424,1395.00,1409,1395,1406.00,15866,1409.00,Iranian Falat-a
13970425,1405.00,1422,1405,1415.00,115873,1422.00,Iranian Falat-a
13970426,1467.00,1467,1390,1420.00,144738,1400.00,Iranian Falat-a
