<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13980128,1000.00,1000,1000,1000.00,247859612,1000.00,Ghavamin Bank-a
13980131,1000.00,1000,1000,1000.00,397933189,1000.00,Ghavamin Bank-a
13980202,1000.00,1000,1000,1000.00,80084346,1000.00,Ghavamin Bank-a
13980203,1000.00,1000,1000,1000.00,166537491,1000.00,Ghavamin Bank-a
13980204,1000.00,1000,1000,1000.00,35805486,1000.00,Ghavamin Bank-a
13980207,1000.00,1000,1000,1000.00,37394723,1000.00,Ghavamin Bank-a
13980208,1000.00,1000,1000,1000.00,95744841,1000.00,Ghavamin Bank-a
13980209,1000.00,1000,1000,1000.00,5909264,1000.00,Ghavamin Bank-a
13980210,1000.00,1000,1000,1000.00,43920107,1000.00,Ghavamin Bank-a
13980211,1000.00,1000,1000,1000.00,274748520,1000.00,Ghavamin Bank-a
13980214,1000.00,1000,1000,1000.00,39109942,1000.00,Ghavamin Bank-a
13980215,1000.00,1000,1000,1000.00,38035277,1000.00,Ghavamin Bank-a
13980216,1000.00,1000,1000,1000.00,27232534,1000.00,Ghavamin Bank-a
13980217,1000.00,1000,1000,1000.00,27655899,1000.00,Ghavamin Bank-a
13980218,1000.00,1000,1000,1000.00,29337700,1000.00,Ghavamin Bank-a
13980221,1000.00,1000,1000,1000.00,27755742,1000.00,Ghavamin Bank-a
13980222,1000.00,1000,1000,1000.00,10216653,1000.00,Ghavamin Bank-a
13980223,1000.00,1000,1000,1000.00,42481585,1000.00,Ghavamin Bank-a
13980224,1000.00,1000,1000,1000.00,142537242,1000.00,Ghavamin Bank-a
13980225,1000.00,1000,1000,1000.00,166416622,1000.00,Ghavamin Bank-a
13980228,1000.00,1000,1000,1000.00,62573350,1000.00,Ghavamin Bank-a
13980229,1000.00,1000,1000,1000.00,58116643,1000.00,Ghavamin Bank-a
13980301,1000.00,1000,1000,1000.00,3396091,1000.00,Ghavamin Bank-a
13980304,1000.00,1000,1000,1000.00,13074904,1000.00,Ghavamin Bank-a
13980305,1000.00,1000,1000,1000.00,3318125,1000.00,Ghavamin Bank-a
13980307,1000.00,1000,1000,1000.00,11933446,1000.00,Ghavamin Bank-a
13980308,1000.00,1000,1000,1000.00,6819753,1000.00,Ghavamin Bank-a
13980311,1000.00,1000,1000,1000.00,162305091,1000.00,Ghavamin Bank-a
13980312,1000.00,1000,1000,1000.00,16656629,1000.00,Ghavamin Bank-a
13980313,1000.00,1000,1000,1000.00,2970220,1000.00,Ghavamin Bank-a
13980318,1000.00,1000,1000,1000.00,2683290,1000.00,Ghavamin Bank-a
13980319,1000.00,1000,1000,1000.00,4083290,1000.00,Ghavamin Bank-a
13980320,1000.00,1000,1000,1000.00,4112647,1000.00,Ghavamin Bank-a
13980321,1000.00,1000,1000,1000.00,8609987,1000.00,Ghavamin Bank-a
13980322,1000.00,1000,1000,1000.00,22435913,1000.00,Ghavamin Bank-a
