<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,3390.00,3390,3210,3243.00,1617,3210.00,Hafez Ins.-a
13970107,3200.00,3200,3200,3200.00,11343,3200.00,Hafez Ins.-a
13970114,3210.00,3210,3210,3210.00,12201,3210.00,Hafez Ins.-a
13970115,3100.00,3200,3100,3176.00,54076,3200.00,Hafez Ins.-a
13970118,3349.00,3493,3123,3260.00,133593,3260.00,Hafez Ins.-a
13970119,3368.00,3368,3150,3259.00,1000,3150.00,Hafez Ins.-a
13970121,3365.00,3365,3050,3063.00,15854,3100.00,Hafez Ins.-a
13970122,3330.00,3360,3100,3260.00,21017,3300.00,Hafez Ins.-a
13970126,3490.00,3490,3173,3432.00,5489,3173.00,Hafez Ins.-a
13970128,3498.00,3498,3497,3497.00,19000,3497.00,Hafez Ins.-a
13970129,3469.00,3469,3148,3468.00,6011675,3148.00,Hafez Ins.-a
13970201,3122.00,3214,3122,3189.00,5026,3214.00,Hafez Ins.-a
13970202,3295.00,3295,3294,3294.00,5312000,3295.00,Hafez Ins.-a
13970203,3399.00,3623,3399,3513.00,139822,3623.00,Hafez Ins.-a
13970204,3800.00,3864,3720,3817.00,196169,3720.00,Hafez Ins.-a
13970205,3990.00,3990,3436,3549.00,64660,3560.00,Hafez Ins.-a
13970208,3848.00,3848,3650,3650.00,4378626,3650.00,Hafez Ins.-a
13970209,3700.00,3700,3286,3499.00,2813799,3290.00,Hafez Ins.-a
13970210,3790.00,3790,3564,3744.00,4400767,3750.00,Hafez Ins.-a
13970211,3390.00,3749,3390,3603.00,4536,3700.00,Hafez Ins.-a
13970215,3800.00,3800,3258,3621.00,4132,3600.00,Hafez Ins.-a
13970216,3282.00,3525,3259,3272.00,17432,3525.00,Hafez Ins.-a
13970217,3130.00,3483,3130,3178.00,4767,3472.00,Hafez Ins.-a
13970218,3170.00,3343,3005,3209.00,11484,3330.00,Hafez Ins.-a
13970223,3446.00,3446,3430,3430.00,107798,3430.00,Hafez Ins.-a
13970224,3438.00,3665,3438,3494.00,2605412,3665.00,Hafez Ins.-a
13970225,3658.00,3660,3154,3344.00,3428,3154.00,Hafez Ins.-a
13970229,3200.00,3232,3010,3075.00,174022,3150.00,Hafez Ins.-a
13970230,3295.00,3295,3010,3065.00,131159,3050.00,Hafez Ins.-a
13970231,3164.00,3249,3120,3194.00,35050,3219.00,Hafez Ins.-a
13970301,3150.00,3296,3005,3185.00,47239,3100.00,Hafez Ins.-a
13970302,3238.00,3460,3238,3372.00,223458,3402.00,Hafez Ins.-a
13970305,3401.00,3680,3300,3322.00,6179328,3520.00,Hafez Ins.-a
13970306,3652.00,3654,3400,3618.00,37596,3620.00,Hafez Ins.-a
13970307,3739.00,3739,3362,3482.00,12023,3599.00,Hafez Ins.-a
13970308,3650.00,3650,3202,3326.00,27002,3480.00,Hafez Ins.-a
13970309,3101.00,3250,3101,3250.00,3406972,3250.00,Hafez Ins.-a
13970312,3439.00,3440,3399,3400.00,101730,3400.00,Hafez Ins.-a
13970319,3203.00,3250,3061,3111.00,102467,3100.00,Hafez Ins.-a
13970320,3104.00,3297,3104,3167.00,25210,3150.00,Hafez Ins.-a
13970321,3160.00,3250,3023,3199.00,3835159,3200.00,Hafez Ins.-a
13970322,3250.00,3350,3238,3257.00,60989,3350.00,Hafez Ins.-a
13970323,3250.00,3379,3207,3277.00,14658,3347.00,Hafez Ins.-a
13970327,3233.00,3233,3081,3185.00,14028,3200.00,Hafez Ins.-a
13970328,3300.00,3400,3148,3366.00,355018,3162.00,Hafez Ins.-a
13970329,3350.00,3499,3350,3446.00,955078,3443.00,Hafez Ins.-a
13970402,3485.00,3487,3447,3474.00,5330,3447.00,Hafez Ins.-a
13970403,3201.00,3250,3201,3250.00,3115,3250.00,Hafez Ins.-a
13970404,3151.00,3396,3010,3299.00,8300159,3300.00,Hafez Ins.-a
13970405,3090.00,3150,3090,3132.00,18450,3150.00,Hafez Ins.-a
13970406,3350.00,3350,3115,3349.00,6114618,3140.00,Hafez Ins.-a
13970409,3300.00,3400,3300,3350.00,2251203,3400.00,Hafez Ins.-a
13970411,3349.00,3349,3170,3252.00,6510,3170.00,Hafez Ins.-a
13970412,3138.00,3300,3138,3155.00,14359,3300.00,Hafez Ins.-a
13970413,3101.00,3313,3100,3118.00,7401,3313.00,Hafez Ins.-a
13970417,3123.00,3123,3123,3123.00,650,3123.00,Hafez Ins.-a
13970419,3150.00,3150,3030,3111.00,12946,3041.00,Hafez Ins.-a
13970420,3032.00,3050,3032,3044.00,5970,3050.00,Hafez Ins.-a
13970423,3034.00,3034,3034,3034.00,350,3034.00,Hafez Ins.-a
13970424,3000.00,3000,3000,3000.00,1594,3000.00,Hafez Ins.-a
13970425,3000.00,3000,3000,3000.00,5800,3000.00,Hafez Ins.-a
13970426,3000.00,3000,3000,3000.00,1300,3000.00,Hafez Ins.-a
13970427,3180.00,3196,3170,3180.00,6050000,3170.00,Hafez Ins.-a
13970514,3440.00,3440,3357,3400.00,6004500,3400.00,Hafez Ins.-a
13970515,3590.00,3590,3061,3239.00,6017280,3100.00,Hafez Ins.-a
13970516,3240.00,3240,2987,3240.00,11136550,2987.00,Hafez Ins.-a
13970517,3479.00,3500,3388,3500.00,6074926,3500.00,Hafez Ins.-a
13970520,3850.00,3850,3600,3850.00,7804223,3850.00,Hafez Ins.-a
13970521,4235.00,4235,4235,4235.00,1215325,4235.00,Hafez Ins.-a
13970522,4658.00,4658,4658,4658.00,2000,4658.00,Hafez Ins.-a
13970523,4970.00,4998,4473,4528.00,907844,4473.00,Hafez Ins.-a
13970524,4473.00,4779,4400,4697.00,549571,4700.00,Hafez Ins.-a
13970527,4698.00,5166,4698,5126.00,342773,5166.00,Hafez Ins.-a
13970528,5638.00,5638,5638,5638.00,3000,5638.00,Hafez Ins.-a
13970603,5201.00,5721,5201,5278.00,6792906,5721.00,Hafez Ins.-a
13970604,5805.00,5805,5805,5805.00,1664141,5805.00,Hafez Ins.-a
13970605,6385.00,6385,6385,6385.00,767245,6385.00,Hafez Ins.-a
13970606,7023.00,7023,5801,6939.00,1174758,7020.00,Hafez Ins.-a
13970607,7631.00,7631,7631,7631.00,4000,7631.00,Hafez Ins.-a
13970610,8394.00,8394,6920,7981.00,242662,8170.00,Hafez Ins.-a
13970611,8296.00,8774,7503,8689.00,253569,8774.00,Hafez Ins.-a
13970614,9555.00,10510,8689,8774.00,3427057,9200.00,Hafez Ins.-a
13970617,9620.00,9651,8803,9648.00,3437647,9651.00,Hafez Ins.-a
13970618,10480.00,10612,10480,10610.00,2132916,10612.00,Hafez Ins.-a
13970619,11660.00,11671,10600,11370.00,1552339,11671.00,Hafez Ins.-a
13970620,12400.00,12505,12400,12474.00,34000,12505.00,Hafez Ins.-a
13970621,13000.00,13999,12201,12927.00,494770,12490.00,Hafez Ins.-a
13970624,12060.00,13500,11635,12135.00,691456,11635.00,Hafez Ins.-a
13970625,11000.00,12000,10922,11129.00,698723,10960.00,Hafez Ins.-a
13970626,11400.00,12241,11301,12118.00,604554,11990.00,Hafez Ins.-a
13970627,13310.00,13310,11210,12005.00,299364,11495.00,Hafez Ins.-a
13970631,11899.00,12490,10805,10826.00,5071960,10805.00,Hafez Ins.-a
13970701,11200.00,11700,11000,11409.00,652384,11000.00,Hafez Ins.-a
13970702,11900.00,12549,10302,11709.00,1179874,12549.00,Hafez Ins.-a
13970703,12879.00,12879,12550,12875.00,970319,12879.00,Hafez Ins.-a
13970704,14162.00,14162,14162,14162.00,114677,14162.00,Hafez Ins.-a
13970708,15578.00,15578,15578,15578.00,400756,15578.00,Hafez Ins.-a
13970709,17135.00,17135,15579,17109.00,647326,17135.00,Hafez Ins.-a
13970710,18810.00,18810,15399,15438.00,6748542,15399.00,Hafez Ins.-a
13970711,13895.00,15980,13895,14019.00,600148,14389.00,Hafez Ins.-a
13970714,14102.00,15420,12711,15064.00,640806,14500.00,Hafez Ins.-a
13970715,14500.00,16000,13558,14115.00,508185,13558.00,Hafez Ins.-a
13970716,13779.00,15000,13000,14353.00,277346,14200.00,Hafez Ins.-a
13970717,14800.00,15550,14800,15262.00,486160,14900.00,Hafez Ins.-a
13970718,16350.00,16350,14001,14916.00,87048,14888.00,Hafez Ins.-a
13970721,14916.00,15400,13425,13979.00,214419,13425.00,Hafez Ins.-a
13970722,12590.00,13999,12582,12738.00,368062,12582.00,Hafez Ins.-a
13970723,12738.00,13985,12738,13694.00,128053,13690.00,Hafez Ins.-a
13970724,13900.00,14849,12325,12402.00,296261,12325.00,Hafez Ins.-a
13970725,12400.00,12400,11162,11287.00,373282,11570.00,Hafez Ins.-a
13970728,11570.00,12412,11560,11949.00,186006,12412.00,Hafez Ins.-a
13970729,13143.00,13143,12000,12505.00,101221,12200.00,Hafez Ins.-a
13970730,13510.00,13510,11255,11588.00,656810,11799.00,Hafez Ins.-a
13970801,11980.00,11980,10430,10498.00,428705,10550.00,Hafez Ins.-a
13970802,9550.00,11110,9449,9685.00,358171,9464.00,Hafez Ins.-a
13970805,9500.00,10555,9102,10233.00,31969,10090.00,Hafez Ins.-a
13970806,10500.00,11200,10500,11033.00,98952,11100.00,Hafez Ins.-a
13970807,11490.00,11500,9960,10774.00,140906,10900.00,Hafez Ins.-a
13970809,11000.00,11200,10400,11084.00,43141,11000.00,Hafez Ins.-a
13970812,12192.00,12192,12192,12192.00,129187,12192.00,Hafez Ins.-a
