<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,3900.00,3900,3900,3900.00,4270,3900.00,Iranit-a
13970108,3900.00,3900,3900,3900.00,1275,3900.00,Iranit-a
13970122,3900.00,3900,3499,3603.00,3840,3499.00,Iranit-a
13970127,3603.00,3603,3603,3603.00,4115,3603.00,Iranit-a
13970129,3603.00,3603,3603,3603.00,10177,3603.00,Iranit-a
13970201,3603.00,3603,3603,3603.00,1000,3603.00,Iranit-a
13970205,3603.00,3603,3603,3603.00,1000,3603.00,Iranit-a
13970208,3603.00,3603,3603,3603.00,1000,3603.00,Iranit-a
13970224,3603.00,3900,3603,3692.00,87238,3900.00,Iranit-a
13970226,3900.00,3900,3900,3900.00,5997,3900.00,Iranit-a
13970229,3900.00,3900,3900,3900.00,25800,3900.00,Iranit-a
13970305,3900.00,3900,3000,3523.00,10535,3000.00,Iranit-a
13970307,3860.00,3860,3860,3860.00,17020,3860.00,Iranit-a
13970309,3900.00,3900,3900,3900.00,175184,3900.00,Iranit-a
13970321,3900.00,3900,3900,3900.00,35889,3900.00,Iranit-a
13970323,3900.00,4500,3900,4311.00,8750,4500.00,Iranit-a
13970328,4311.00,4311,4311,4311.00,13254,4311.00,Iranit-a
13970330,4311.00,4311,4311,4311.00,1000,4311.00,Iranit-a
13970402,4311.00,4311,4311,4311.00,1390,4311.00,Iranit-a
13970404,4310.00,4310,4310,4310.00,225,4310.00,Iranit-a
13970409,4290.00,4290,4290,4290.00,25861,4290.00,Iranit-a
13970425,4280.00,4280,4280,4280.00,226,4280.00,Iranit-a
13970503,2500.00,2500,2500,2500.00,2000,2500.00,Iranit-a
13970506,2500.00,2500,2500,2500.00,2226,2500.00,Iranit-a
13970508,4000.00,4000,4000,4000.00,5427,4000.00,Iranit-a
13970510,4000.00,4000,4000,4000.00,17955,4000.00,Iranit-a
13970520,3900.00,3900,3900,3900.00,4991,3900.00,Iranit-a
13970522,3901.00,3901,3901,3901.00,2349,3901.00,Iranit-a
13970527,3900.00,3900,3900,3900.00,3858,3900.00,Iranit-a
13970603,3898.00,3898,3898,3898.00,27101,3898.00,Iranit-a
13970605,3750.00,3750,3750,3750.00,54852,3750.00,Iranit-a
13970607,3750.00,3750,3750,3750.00,11207,3750.00,Iranit-a
13970610,3750.00,3750,3750,3750.00,65776,3750.00,Iranit-a
13970612,3912.00,3912,3912,3912.00,18007,3912.00,Iranit-a
13970614,4000.00,4000,4000,4000.00,28416,4000.00,Iranit-a
13970617,4000.00,4000,4000,4000.00,78271,4000.00,Iranit-a
13970619,4250.00,4250,4250,4250.00,52593,4250.00,Iranit-a
13970621,4250.00,4700,4250,4427.00,16759,4700.00,Iranit-a
13970624,5005.00,5200,5005,5095.00,42672,5200.00,Iranit-a
13970626,5095.00,5095,5095,5095.00,68673,5095.00,Iranit-a
13970631,5095.00,5095,5095,5095.00,47437,5095.00,Iranit-a
13970702,5000.00,5000,5000,5000.00,18416,5000.00,Iranit-a
13970704,6002.00,6200,6002,6022.00,120897,6200.00,Iranit-a
13970709,6400.00,6400,6400,6400.00,120395,6400.00,Iranit-a
13970711,5999.00,5999,5999,5999.00,2000,5999.00,Iranit-a
13970714,6000.00,6000,6000,6000.00,91756,6000.00,Iranit-a
13970716,5999.00,5999,5999,5999.00,2487,5999.00,Iranit-a
13970718,5600.00,5600,5600,5600.00,1454,5600.00,Iranit-a
13970721,5600.00,5600,5600,5600.00,2046,5600.00,Iranit-a
13970723,5600.00,5600,5440,5553.00,6800,5440.00,Iranit-a
13970728,5553.00,5553,4501,4525.00,8880,4501.00,Iranit-a
13970730,4525.00,5399,4525,4857.00,13178,5399.00,Iranit-a
13970805,4857.00,4857,4788,4838.00,6856,4788.00,Iranit-a
13970807,4838.00,4838,4399,4719.00,31509,4399.00,Iranit-a
13970809,4719.00,4719,4040,4201.00,11902,4040.00,Iranit-a
13970812,4040.00,4040,4040,4040.00,7201,4040.00,Iranit-a
13970814,4200.00,4200,4200,4200.00,4486,4200.00,Iranit-a
13970819,4200.00,4200,4200,4200.00,12895,4200.00,Iranit-a
13970826,4750.00,4750,4750,4750.00,107404,4750.00,Iranit-a
13970828,4751.00,4751,4751,4751.00,70503,4751.00,Iranit-a
13970830,4751.00,4751,4751,4751.00,36431,4751.00,Iranit-a
13970903,4751.00,4751,4751,4751.00,5783,4751.00,Iranit-a
13970907,4751.00,4751,4751,4751.00,15913,4751.00,Iranit-a
13970910,4751.00,4850,4751,4791.00,67494,4850.00,Iranit-a
13970912,4791.00,5000,4791,4901.00,70118,5000.00,Iranit-a
13970914,5100.00,5100,5100,5100.00,48711,5100.00,Iranit-a
13970921,5500.00,5500,5500,5500.00,133832,5500.00,Iranit-a
13970924,6000.00,6950,6000,6415.00,86130,6950.00,Iranit-a
13970926,6550.00,6559,6550,6550.00,38442,6559.00,Iranit-a
13970928,6550.00,6550,6550,6550.00,108507,6550.00,Iranit-a
13971001,7000.00,7100,7000,7003.00,63108,7100.00,Iranit-a
13971003,7000.00,7000,7000,7000.00,13900,7000.00,Iranit-a
13971005,7300.00,7300,7300,7300.00,20102,7300.00,Iranit-a
13971008,7200.00,7200,7200,7200.00,117472,7200.00,Iranit-a
13971010,7000.00,7000,7000,7000.00,14554,7000.00,Iranit-a
13971012,7000.00,7000,7000,7000.00,5774,7000.00,Iranit-a
13971019,6800.00,6800,6100,6132.00,49069,6100.00,Iranit-a
13971022,6132.00,6132,6132,6132.00,47265,6132.00,Iranit-a
13971024,6132.00,6132,6132,6132.00,10946,6132.00,Iranit-a
13971026,6132.00,6132,5900,6037.00,7697,5900.00,Iranit-a
13971029,6037.00,6037,6037,6037.00,207326,6037.00,Iranit-a
13971101,6037.00,6037,6037,6037.00,44601,6037.00,Iranit-a
13971103,6037.00,6260,6037,6071.00,88083,6260.00,Iranit-a
13971106,6071.00,6071,6071,6071.00,3609,6071.00,Iranit-a
13971108,6500.00,6500,6500,6500.00,54631,6500.00,Iranit-a
13971113,7001.00,7001,7001,7001.00,165184,7001.00,Iranit-a
13971115,7001.00,7001,7001,7001.00,30649,7001.00,Iranit-a
13980626,7001.00,7001,7001,7001.00,22180,7001.00,Iranit-a
13980627,7141.00,7141,6861,6945.00,129098,7138.00,Iranit-a
13980630,6861.00,7141,6861,7098.00,95534,7141.00,Iranit-a
13980631,7141.00,7141,7000,7099.00,32269,7100.00,Iranit-a
13980701,7141.00,7141,7141,7141.00,14385,7141.00,Iranit-a
13980702,6999.00,7283,6999,7220.00,19074,7283.00,Iranit-a
13980703,7364.00,7364,7076,7345.00,32816,7364.00,Iranit-a
13980706,7491.00,7491,7345,7435.00,4979,7491.00,Iranit-a
13980707,7583.00,7583,7583,7583.00,8801,7583.00,Iranit-a
13980708,7734.00,7734,7734,7734.00,21235,7734.00,Iranit-a
13980709,7888.00,7888,7888,7888.00,4273,7888.00,Iranit-a
13980710,8045.00,8045,8045,8045.00,606,8045.00,Iranit-a
13980715,8205.00,8205,8205,8205.00,15529,8205.00,Iranit-a
13980716,8369.00,8369,8369,8369.00,15826,8369.00,Iranit-a
13980717,8536.00,8536,8202,8403.00,32249,8536.00,Iranit-a
13980720,8571.00,8571,8571,8571.00,2759,8571.00,Iranit-a
13980721,8742.00,8742,8742,8742.00,8283,8742.00,Iranit-a
13980722,8916.00,8916,8571,8826.00,8879,8916.00,Iranit-a
13980723,9002.00,9002,8650,8927.00,14783,8651.00,Iranit-a
13980724,8749.00,9105,8749,9043.00,75229,9105.00,Iranit-a
13980728,9223.00,9223,8863,9108.00,22572,9223.00,Iranit-a
13980729,8926.00,9290,8926,8948.00,8476,9290.00,Iranit-a
13980730,8770.00,9126,8770,9125.00,18803,9126.00,Iranit-a
13980801,8943.00,9100,8943,8998.00,2977,9100.00,Iranit-a
13980804,9000.00,9170,8819,9058.00,16500,9054.00,Iranit-a
13980806,8877.00,9239,8877,9046.00,65530,9239.00,Iranit-a
13980808,9226.00,9226,9220,9226.00,11629,9226.00,Iranit-a
13980811,9410.00,9410,9042,9350.00,22724,9410.00,Iranit-a
13980812,9537.00,9537,9537,9537.00,70257,9537.00,Iranit-a
13980813,9727.00,9727,9365,9722.00,43094,9727.00,Iranit-a
13980814,9916.00,9916,9751,9911.00,39245,9916.00,Iranit-a
13980818,10109.00,10109,9715,10019.00,16114,9950.00,Iranit-a
13980819,9819.00,10000,9819,9874.00,19971,9819.00,Iranit-a
13980820,9677.00,10000,9677,9983.00,35017,10000.00,Iranit-a
13980821,9788.00,10182,9788,10046.00,63595,10182.00,Iranit-a
13980822,10246.00,10246,10246,10246.00,175767,10246.00,Iranit-a
13980825,10450.00,10450,10042,10402.00,122927,10425.00,Iranit-a
13980826,10610.00,10610,10194,10595.00,51244,10610.00,Iranit-a
13980827,10610.00,10806,10384,10606.00,135850,10806.00,Iranit-a
13980828,10818.00,10818,10395,10706.00,81996,10400.00,Iranit-a
13980829,10500.00,10898,10492,10534.00,14674,10492.00,Iranit-a
13980902,10324.00,10450,10324,10326.00,7374,10324.00,Iranit-a
13980903,10120.00,10532,10120,10235.00,75183,10211.00,Iranit-a
13980904,10031.00,10438,10031,10108.00,89028,10396.00,Iranit-a
13980905,10000.00,10000,9906,9907.00,21890,9906.00,Iranit-a
13980909,9709.00,10105,9709,9946.00,153664,10049.00,Iranit-a
13980910,10143.00,10143,10135,10141.00,20349,10141.00,Iranit-a
13980911,10280.00,10280,9939,10015.00,13251,9939.00,Iranit-a
13980912,9815.00,10209,9815,9872.00,73440,9815.00,Iranit-a
13980913,9675.00,10060,9675,9716.00,65344,10060.00,Iranit-a
13980916,9910.00,9910,9905,9910.00,67661,9910.00,Iranit-a
13980917,10108.00,10108,10100,10108.00,189010,10108.00,Iranit-a
13980918,10300.00,10310,9909,10308.00,62259,10310.00,Iranit-a
13980919,10250.00,10514,10105,10468.00,46166,10514.00,Iranit-a
13980920,10670.00,10670,10259,10338.00,14670,10668.00,Iranit-a
13980923,10132.00,10544,10132,10451.00,51964,10543.00,Iranit-a
13980924,10243.00,10659,10243,10490.00,5682,10600.00,Iranit-a
13980925,10283.00,10283,10281,10281.00,11416,10281.00,Iranit-a
13980926,10102.00,10102,10076,10077.00,27264,10076.00,Iranit-a
13980927,9876.00,10277.00,9876.00,9886.00,53552,9876.00,Iranit-a
