<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,1398.59,1399,1399,1398.59,3124,1398.59,Yazd Steel CO.-a
13970108,1398.59,1443,1399,1400.08,69270,1443.02,Yazd Steel CO.-a
13970115,1400.08,1480,1400,1468.49,8200,1480.47,Yazd Steel CO.-a
13970118,1468.49,1473,1468,1471.49,96727,1473.48,Yazd Steel CO.-a
13970122,1253.78,1397,1254,1259.28,54462,1397.09,Yazd Steel CO.-a
13970203,1348.65,1349,1349,1348.65,165888,1348.65,Yazd Steel CO.-a
13970205,1348.65,1349,1298,1335.17,75000,1298.22,Yazd Steel CO.-a
13970208,1335.17,1335,1335,1335.17,14360,1335.17,Yazd Steel CO.-a
13970210,1341.66,1342,1342,1341.66,31499,1341.66,Yazd Steel CO.-a
13970215,1148.43,1148,1148,1148.43,6500,1148.43,Yazd Steel CO.-a
13970217,1148.43,1148,1148,1148.43,58945,1148.43,Yazd Steel CO.-a
13970219,1148.93,1149,1149,1148.93,38256,1148.93,Yazd Steel CO.-a
13970222,1148.93,1149,1149,1148.93,9710,1148.93,Yazd Steel CO.-a
13970229,1318.20,1318,1318,1318.20,60000,1318.20,Yazd Steel CO.-a
13970231,1338.17,1348,1338,1338.17,94130,1348.15,Yazd Steel CO.-a
13970305,1472.98,1473,1473,1472.98,33793,1472.98,Yazd Steel CO.-a
13970307,1547.88,1573,1548,1553.37,51120,1572.85,Yazd Steel CO.-a
13970309,1642.75,1643,1567,1570.85,6042,1567.35,Yazd Steel CO.-a
13970319,1587.83,1588,1588,1587.83,28080,1587.83,Yazd Steel CO.-a
13970321,1587.83,1588,1448,1454.01,46834,1448.02,Yazd Steel CO.-a
13970323,1454.01,1454,1149,1195.36,45865,1148.93,Yazd Steel CO.-a
13970328,1195.36,1195,1195,1195.36,67465,1195.36,Yazd Steel CO.-a
13970330,1395.59,1396,1396,1395.59,165682,1395.59,Yazd Steel CO.-a
13970402,1395.59,1396,1373,1394.59,52553,1373.12,Yazd Steel CO.-a
13970404,1447.52,1448,1373,1438.03,93188,1373.12,Yazd Steel CO.-a
13970416,1438.03,1438,1298,1304.21,56070,1298.22,Yazd Steel CO.-a
13970420,1467.99,1468,1224,1341.16,33020,1223.82,Yazd Steel CO.-a
13970423,1272.76,1273,1273,1272.76,42268,1272.76,Yazd Steel CO.-a
13970503,1272.76,1273,1273,1272.76,539417,1272.76,Yazd Steel CO.-a
13970506,1318.20,1318,1318,1318.20,10022,1318.20,Yazd Steel CO.-a
13970508,1458.55,1459,1393,1454.00,144412,1393.42,Yazd Steel CO.-a
13970510,1413.61,1414,1237,1353.54,330012,1236.91,Yazd Steel CO.-a
