<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970527,1090.72,1091,1091,1090.72,34572905,1090.72,Kerman Khodro E.-a
13970529,1109.69,1110,1093,1092.62,22999787,1092.62,Kerman Khodro E.-a
13970603,1100.21,1100,1095,1094.52,8577362,1094.52,Kerman Khodro E.-a
13970605,1128.66,1129,1095,1097.36,7567640,1095.46,Kerman Khodro E.-a
13970607,1094.52,1095,1091,1093.57,13278520,1090.72,Kerman Khodro E.-a
13970610,1090.72,1095,1091,1090.72,5383026,1094.52,Kerman Khodro E.-a
13970612,1094.52,1095,1091,1090.72,16552877,1090.72,Kerman Khodro E.-a
13970614,1094.52,1095,1091,1092.62,4898884,1090.72,Kerman Khodro E.-a
13970617,1119.18,1138,1119,1122.97,3109808,1138.14,Kerman Khodro E.-a
13970619,1233.94,1234,1234,1233.94,7544446,1233.94,Kerman Khodro E.-a
13970621,1299.38,1299,1299,1299.38,24906280,1299.38,Kerman Khodro E.-a
13970624,1323.09,1423,1323,1330.68,184485173,1422.68,Kerman Khodro E.-a
13970626,1422.68,1423,1423,1422.68,212402485,1422.68,Kerman Khodro E.-a
13970631,1422.68,1423,1423,1422.68,136976341,1422.68,Kerman Khodro E.-a
13970702,1422.68,1423,1423,1422.68,117176587,1422.68,Kerman Khodro E.-a
13970704,1493.81,1494,1494,1493.81,168031850,1493.81,Kerman Khodro E.-a
13970707,1803.96,2191,1804,1905.44,60116936,2190.93,Kerman Khodro E.-a
13970709,2371.13,2419,2371,2377.77,173188420,2418.56,Kerman Khodro E.-a
13970711,1961.40,2402,1961,2182.39,39918696,2402.43,Kerman Khodro E.-a
13970714,2739.13,2739,2186,2593.07,50399062,2186.19,Kerman Khodro E.-a
13970716,2181.44,2181,2179,2180.49,34317572,2178.60,Kerman Khodro E.-a
13970718,2162.47,2162,1821,1953.81,40602092,1821.03,Kerman Khodro E.-a
13970721,1821.03,1821,1489,1638.93,42057057,1489.07,Kerman Khodro E.-a
13970723,1764.12,1897,1764,1824.82,69528130,1896.91,Kerman Khodro E.-a
13970725,1783.09,1801,1783,1788.78,76733276,1801.11,Kerman Khodro E.-a
13970728,1991.75,1992,1973,1986.06,52403529,1972.78,Kerman Khodro E.-a
13970730,1849.48,1849,1766,1808.70,33250577,1766.02,Kerman Khodro E.-a
13970802,1620.91,1621,1574,1609.53,34101808,1574.43,Kerman Khodro E.-a
13970805,1645.57,1646,1583,1634.19,28267914,1582.97,Kerman Khodro E.-a
13970807,1811.55,1812,1812,1811.55,50026493,1811.55,Kerman Khodro E.-a
13970809,1783.09,1783,1764,1780.25,28221739,1764.12,Kerman Khodro E.-a
13970812,1735.67,1736,1616,1657.90,14983329,1616.16,Kerman Khodro E.-a
13970814,1641.77,1754,1642,1728.08,17644793,1753.69,Kerman Khodro E.-a
13970819,1768.87,1769,1698,1745.15,24092984,1697.73,Kerman Khodro E.-a
13970821,1707.22,1718,1707,1710.06,45032728,1717.65,Kerman Khodro E.-a
13970823,1650.31,1679,1650,1657.90,17876940,1678.76,Kerman Khodro E.-a
13970826,1697.73,1698,1660,1688.25,24820798,1659.79,Kerman Khodro E.-a
13970828,1645.57,1646,1631,1643.67,24667261,1631.34,Kerman Khodro E.-a
13970830,1669.28,1706,1669,1680.66,17421291,1706.27,Kerman Khodro E.-a
13970903,1754.64,1755,1717,1739.46,16185290,1716.70,Kerman Khodro E.-a
13970905,1688.25,1688,1648,1659.79,7363679,1648.41,Kerman Khodro E.-a
13970907,1611.42,1611,1584,1596.25,8911400,1583.92,Kerman Khodro E.-a
13970910,1564.95,1565,1536,1552.62,8773903,1536.49,Kerman Khodro E.-a
13970912,1593.40,1593,1546,1567.79,6781858,1545.98,Kerman Khodro E.-a
13970914,1564.95,1640,1565,1597.20,11420128,1639.88,Kerman Khodro E.-a
13970917,1687.30,1687,1687,1687.30,30408437,1687.30,Kerman Khodro E.-a
