<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,487.53,514,488,499.52,557798,514.09,MiddleEast LifeINS-a
13970108,514.09,522,514,514.09,428957,521.80,MiddleEast LifeINS-a
13970115,521.80,522,522,521.80,669949,521.80,MiddleEast LifeINS-a
13970118,521.80,522,513,521.80,424428,513.23,MiddleEast LifeINS-a
13970120,520.08,520,488,498.66,407191,488.38,MiddleEast LifeINS-a
13970122,498.66,499,499,498.66,74314,498.66,MiddleEast LifeINS-a
13970127,498.66,499,499,498.66,751781,498.66,MiddleEast LifeINS-a
13970129,498.66,499,499,498.66,374000,498.66,MiddleEast LifeINS-a
13970201,514.09,514,514,514.09,268687,514.09,MiddleEast LifeINS-a
13970203,513.23,513,480,511.52,776280,479.81,MiddleEast LifeINS-a
13970205,513.23,513,480,480.67,11320437,479.81,MiddleEast LifeINS-a
13970208,502.95,503,468,478.10,971615,467.82,MiddleEast LifeINS-a
13970210,471.25,471,454,454.11,11310675,454.11,MiddleEast LifeINS-a
13970215,454.11,454,454,454.11,15141730,454.11,MiddleEast LifeINS-a
13970217,454.11,454,454,454.11,147211,454.11,MiddleEast LifeINS-a
13970219,454.11,454,454,454.11,771407,454.11,MiddleEast LifeINS-a
13970222,454.11,454,454,454.11,13212,454.11,MiddleEast LifeINS-a
13970224,454.11,471,454,465.25,1654143,471.25,MiddleEast LifeINS-a
13970229,465.25,465,465,465.25,520253,465.25,MiddleEast LifeINS-a
13970231,465.25,465,465,465.25,1326815,465.25,MiddleEast LifeINS-a
13970302,465.25,465,465,465.25,317602,465.25,MiddleEast LifeINS-a
13970305,465.25,465,465,465.25,282788,465.25,MiddleEast LifeINS-a
13970307,465.25,465,450,454.97,84000,449.83,MiddleEast LifeINS-a
13970309,454.97,455,455,454.97,1154670,454.97,MiddleEast LifeINS-a
13970312,454.97,455,455,454.97,743934,454.97,MiddleEast LifeINS-a
13970319,454.97,455,446,451.54,165625,445.54,MiddleEast LifeINS-a
13970321,445.54,446,445,445.54,2000625,444.68,MiddleEast LifeINS-a
13970323,445.54,454,446,447.26,1062422,454.11,MiddleEast LifeINS-a
13970328,455.82,484,456,460.96,691147,484.10,MiddleEast LifeINS-a
13970406,519.53,520,520,519.53,23800,519.53,MiddleEast LifeINS-a
13970409,519.53,520,491,498.75,18749,491.19,MiddleEast LifeINS-a
13970411,498.75,499,499,498.75,1444787,498.75,MiddleEast LifeINS-a
13970413,528.98,529,529,528.98,885496,528.98,MiddleEast LifeINS-a
13970416,528.98,529,520,528.98,3132550,519.53,MiddleEast LifeINS-a
13970420,528.98,529,529,528.98,16390,528.98,MiddleEast LifeINS-a
13970423,491.19,491,491,491.19,95100,491.19,MiddleEast LifeINS-a
13970425,491.19,491,491,491.19,8560461,491.19,MiddleEast LifeINS-a
13970427,491.19,491,483,491.19,434311,482.69,MiddleEast LifeINS-a
13970430,490.25,490,486,487.41,167113,485.52,MiddleEast LifeINS-a
13970501,489.30,489,472,488.36,3412000,472.30,MiddleEast LifeINS-a
13970503,472.30,472,472,472.30,8232300,472.30,MiddleEast LifeINS-a
13970506,472.30,472,472,472.30,1423408,472.30,MiddleEast LifeINS-a
13970508,470.41,470,470,470.41,93300,470.41,MiddleEast LifeINS-a
13970510,471.35,471,471,471.35,8563035,471.35,MiddleEast LifeINS-a
13970513,471.35,471,444,463.80,19900,443.96,MiddleEast LifeINS-a
13970515,463.80,464,464,463.80,656301,463.80,MiddleEast LifeINS-a
13970517,461.91,462,462,461.91,417268,461.91,MiddleEast LifeINS-a
13970520,461.91,462,462,461.91,428343,461.91,MiddleEast LifeINS-a
13970522,452.46,452,452,452.46,2533953,452.46,MiddleEast LifeINS-a
13970524,452.46,462,452,454.35,245753,461.91,MiddleEast LifeINS-a
13970527,454.35,454,454,454.35,377983,454.35,MiddleEast LifeINS-a
13970529,443.96,444,444,443.96,30818,443.96,MiddleEast LifeINS-a
13970603,461.91,567,462,510.08,1968831,566.76,MiddleEast LifeINS-a
13970605,566.76,576,567,567.70,4246340,576.20,MiddleEast LifeINS-a
13970607,613.99,614,614,576.20,174195,613.99,MiddleEast LifeINS-a
13970610,632.88,633,578,605.49,3520952,583.76,MiddleEast LifeINS-a
13970611,583.76,604,545,557.31,1772060,564.87,MiddleEast LifeINS-a
13970612,564.87,575,512,527.09,1876190,521.42,MiddleEast LifeINS-a
13970613,524.25,579,503,572.43,2848121,579.04,MiddleEast LifeINS-a
13970614,566.76,629,567,623.43,15472057,629.10,MiddleEast LifeINS-a
13970617,685.78,686,680,684.83,34289497,685.78,MiddleEast LifeINS-a
13970618,724.51,751,704,733.01,22471966,716.95,MiddleEast LifeINS-a
13970619,747.18,747,681,713.17,13771706,710.34,MiddleEast LifeINS-a
13970620,732.06,784,709,753.79,16721805,784.02,MiddleEast LifeINS-a
13970621,828.41,828,813,828.41,16705554,828.41,MiddleEast LifeINS-a
13970624,910.59,911,831,900.20,23883451,849.19,MiddleEast LifeINS-a
13970625,878.48,878,810,824.63,17719485,851.08,MiddleEast LifeINS-a
13970626,865.25,904,834,873.75,8292177,859.58,MiddleEast LifeINS-a
13970627,887.92,897,838,874.70,9958025,874.70,MiddleEast LifeINS-a
13970631,888.87,898,856,877.53,10343252,870.92,MiddleEast LifeINS-a
13970701,878.48,897,845,857.70,14762258,850.14,MiddleEast LifeINS-a
13970702,852.03,860,814,832.19,11337081,832.19,MiddleEast LifeINS-a
13970703,835.97,897,836,870.92,18224411,885.09,MiddleEast LifeINS-a
13970704,906.81,958,897,945.54,21225143,957.82,MiddleEast LifeINS-a
13970707,1040.00,1040,1040,1040.00,4694670,1040.00,MiddleEast LifeINS-a
13970708,1143.91,1144,1144,1143.91,827030,1143.91,MiddleEast LifeINS-a
13970710,1029.61,1030,927,927.60,3443576,927.60,MiddleEast LifeINS-a
13970711,897.37,1020,897,993.72,22669496,1020.17,MiddleEast LifeINS-a
13970714,1092.90,1093,895,989.94,21665777,915.32,MiddleEast LifeINS-a
13970715,898.31,992,892,924.76,15597026,891.70,MiddleEast LifeINS-a
13970716,855.81,895,833,854.86,12826864,863.36,MiddleEast LifeINS-a
