<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,4763.89,4804,4575,4668.62,23302,4798.63,Niro Sarmayeh.-a
13970106,4803.59,4804,4579,4686.48,14753,4579.29,Niro Sarmayeh.-a
13970107,4565.40,4654,4269,4394.69,69335,4564.41,Niro Sarmayeh.-a
13970108,4465.16,4465,4367,4437.37,45510,4464.17,Niro Sarmayeh.-a
13970114,4386.75,4614,4387,4506.84,92404,4436.38,Niro Sarmayeh.-a
13970115,4418.51,4561,4367,4493.94,243225,4417.52,Niro Sarmayeh.-a
13970118,4466.15,4489,4368,4405.61,51580,4488.98,Niro Sarmayeh.-a
13970119,4366.90,4845,3971,4442.33,569974,4366.90,Niro Sarmayeh.-a
13970120,4416.53,4417,4169,4308.35,76962,4307.35,Niro Sarmayeh.-a
13970121,4311.32,4615,4218,4545.55,645911,4602.12,Niro Sarmayeh.-a
13970122,4555.47,4665,4169,4364.92,178117,4337.13,Niro Sarmayeh.-a
13970126,4455.23,4455,4081,4255.74,55080,4195.20,Niro Sarmayeh.-a
13970127,4416.53,4417,4269,4315.29,2950,4268.65,Niro Sarmayeh.-a
13970128,4464.17,4464,4069,4250.78,37804,4231.93,Niro Sarmayeh.-a
13970129,4369.88,4371,4142,4343.08,122547,4345.07,Niro Sarmayeh.-a
13970201,4415.53,4465,4140,4228.95,466963,4168.41,Niro Sarmayeh.-a
13970202,4142.60,4466,4143,4380.80,635912,4454.24,Niro Sarmayeh.-a
13970203,4452.26,4818,4288,4695.41,431194,4818.48,Niro Sarmayeh.-a
13970204,4685.49,5012,4645,4858.18,252574,4763.89,Niro Sarmayeh.-a
13970205,4807.56,4894,4585,4710.30,67495,4615.02,Niro Sarmayeh.-a
13970208,4711.29,4804,4565,4610.06,149860,4565.40,Niro Sarmayeh.-a
13970209,4707.32,4962,4568,4764.89,127563,4568.38,Niro Sarmayeh.-a
13970210,4436.38,4833,4436,4623.95,61804,4664.65,Niro Sarmayeh.-a
13970211,4796.65,4797,4448,4535.62,30643,4566.39,Niro Sarmayeh.-a
13970215,4452.26,4733,4318,4412.56,51100,4327.20,Niro Sarmayeh.-a
13970216,4535.62,4536,3972,4059.23,269965,3997.70,Niro Sarmayeh.-a
13970217,4082.06,4307,4069,4201.16,79718,4296.44,Niro Sarmayeh.-a
13970218,4445.31,4486,4367,4402.63,101076,4366.90,Niro Sarmayeh.-a
13970219,4110.84,4501,4129,4144.59,65556,4140.62,Niro Sarmayeh.-a
13970222,4366.90,4367,4203,4283.53,7085,4205.13,Niro Sarmayeh.-a
13970223,4190.24,4665,4190,4529.67,452597,4472.11,Niro Sarmayeh.-a
13970224,4416.53,4694,4390,4594.18,55957,4565.40,Niro Sarmayeh.-a
13970225,4663.65,4664,4328,4448.29,19401,4328.20,Niro Sarmayeh.-a
13970226,4416.53,4595,4308,4413.55,64361,4330.18,Niro Sarmayeh.-a
13970229,4515.77,4714,4466,4568.38,178729,4653.73,Niro Sarmayeh.-a
13970230,4709.31,4712,4407,4566.39,143573,4421.49,Niro Sarmayeh.-a
13970231,4369.88,5012,4447,4885.97,787864,4979.26,Niro Sarmayeh.-a
13970301,5013.01,5248,4962,5139.05,712749,5230.36,Niro Sarmayeh.-a
13970302,5230.36,5359,4953,5150.96,588010,4953.46,Niro Sarmayeh.-a
13970305,4863.14,5126,4668,4851.23,240330,4667.62,Niro Sarmayeh.-a
13970306,4763.89,4764,4467,4618.00,250323,4565.40,Niro Sarmayeh.-a
13970307,4713.28,4764,4425,4491.95,299905,4605.10,Niro Sarmayeh.-a
13970308,4466.15,4863,4456,4598.15,336345,4724.19,Niro Sarmayeh.-a
13970309,4813.52,4888,4466,4512.80,350298,4615.02,Niro Sarmayeh.-a
13970312,4565.40,4575,4367,4409.58,256226,4416.53,Niro Sarmayeh.-a
13970313,4535.62,4643,4367,4436.38,178778,4604.10,Niro Sarmayeh.-a
13970319,4456.23,4630,4456,4540.59,51186,4593.19,Niro Sarmayeh.-a
13970320,4677.55,4678,4414,4505.85,153238,4413.55,Niro Sarmayeh.-a
13970321,4466.15,4522,4367,4416.53,146999,4466.15,Niro Sarmayeh.-a
13970322,4416.53,4833,4417,4567.38,372826,4457.22,Niro Sarmayeh.-a
13970323,4469.13,4763,4469,4609.07,317612,4565.40,Niro Sarmayeh.-a
13970327,4505.85,4844,4506,4609.07,297611,4615.02,Niro Sarmayeh.-a
13970328,4654.72,4774,4566,4618.00,226430,4643.80,Niro Sarmayeh.-a
13970329,4605.10,4684,4509,4578.30,363188,4607.08,Niro Sarmayeh.-a
13970330,4515.77,4562,4417,4483.02,644322,4416.53,Niro Sarmayeh.-a
13970402,4416.53,4665,4368,4511.80,498242,4495.92,Niro Sarmayeh.-a
13970403,4538.60,4962,4536,4880.01,1640113,4799.62,Niro Sarmayeh.-a
13970404,4736.10,5359,4736,5135.08,1038386,5260.13,Niro Sarmayeh.-a
13970405,5014.99,5211,4903,5060.64,249154,4902.84,Niro Sarmayeh.-a
13970406,4887.95,5211,4770,4974.30,189961,4813.52,Niro Sarmayeh.-a
13970409,5056.67,5057,4589,4733.13,148910,4616.01,Niro Sarmayeh.-a
13970410,4851.23,4851,4492,4589.22,220095,4615.02,Niro Sarmayeh.-a
13970411,4486.00,4763,4486,4670.60,41062,4618.00,Niro Sarmayeh.-a
13970412,4504.86,4784,4418,4594.18,218442,4669.61,Niro Sarmayeh.-a
13970413,4674.57,4730,4564,4646.78,58794,4625.94,Niro Sarmayeh.-a
13970416,4565.40,4723,4565,4613.04,43424,4632.89,Niro Sarmayeh.-a
13970417,4545.55,4649,4486,4517.76,158826,4520.74,Niro Sarmayeh.-a
13970419,4468.14,4630,4418,4501.88,301594,4488.98,Niro Sarmayeh.-a
13970420,4466.15,4615,4372,4529.67,203974,4371.86,Niro Sarmayeh.-a
13970423,4565.40,4575,4307,4392.71,152965,4435.38,Niro Sarmayeh.-a
13970424,4456.23,4514,4218,4332.17,172458,4405.61,Niro Sarmayeh.-a
13970425,4337.13,4350,4069,4175.35,277195,4108.86,Niro Sarmayeh.-a
13970426,4296.44,4516,4198,4367.89,377239,4403.62,Niro Sarmayeh.-a
13970506,4466.15,4466,4120,4237.88,306657,4218.03,Niro Sarmayeh.-a
13970507,4267.65,4268,4079,4125.73,312328,4079.08,Niro Sarmayeh.-a
13970508,4125.73,4168,3985,4081.07,182088,4029.46,Niro Sarmayeh.-a
13970509,3990.75,4218,3990,4140.62,563503,4148.56,Niro Sarmayeh.-a
13970510,4049.31,4337,4049,4105.88,179340,4089.01,Niro Sarmayeh.-a
13970513,4037.40,4119,3871,3938.15,264305,3930.21,Niro Sarmayeh.-a
13970514,3880.59,4069,3871,3960.98,493499,4011.60,Niro Sarmayeh.-a
13970515,4168.41,4218,4099,4165.43,280392,4098.93,Niro Sarmayeh.-a
13970516,3989.76,3991,3750,3813.10,370229,3811.11,Niro Sarmayeh.-a
13970517,3979.84,4112,3886,3990.75,131212,3920.29,Niro Sarmayeh.-a
13970520,3900.44,4390,3900,4270.63,562921,4389.73,Niro Sarmayeh.-a
13970521,4697.40,4697,4697,4697.40,106745,4697.40,Niro Sarmayeh.-a
13970522,5166.84,5167,4863,5153.94,3605418,5166.84,Niro Sarmayeh.-a
13970523,5336.55,5357,5337,5338.54,30718,5347.47,Niro Sarmayeh.-a
13970524,5338.54,5730,5112,5386.18,1437857,5631.32,Niro Sarmayeh.-a
13970527,5656.13,5924,5290,5872.49,1514575,5924.10,Niro Sarmayeh.-a
13970528,6451.11,6459,6054,6451.11,2581182,6459.05,Niro Sarmayeh.-a
13970529,6699.23,6699,6650,6681.36,18162,6649.60,Niro Sarmayeh.-a
13970603,6927.50,7446,6452,7124.01,2833289,7121.03,Niro Sarmayeh.-a
13970604,7046.59,7543,6412,6821.30,5035366,6413.39,Niro Sarmayeh.-a
13970605,6599.98,7503,6206,7092.25,3207302,7310.59,Niro Sarmayeh.-a
13970606,7304.64,7543,6701,7015.83,1329613,7036.67,Niro Sarmayeh.-a
13970607,7203.40,7344,6600,6868.94,966415,6778.62,Niro Sarmayeh.-a
13970610,6451.11,6925,6352,6514.62,1282858,6499.74,Niro Sarmayeh.-a
13970611,6646.62,6647,6054,6229.78,992043,6401.48,Niro Sarmayeh.-a
13970612,6530.50,6852,6531,6800.46,721845,6852.07,Niro Sarmayeh.-a
13970613,7183.55,7184,6864,7011.86,776219,6887.80,Niro Sarmayeh.-a
13970614,6865.96,7096,6454,6840.16,795971,6940.40,Niro Sarmayeh.-a
13970617,6947.34,7524,6650,7347.31,1932433,7523.97,Niro Sarmayeh.-a
13970618,7939.82,8081,7641,7982.50,1322177,7788.97,Niro Sarmayeh.-a
13970619,7939.82,8077,7444,7795.91,1272798,7840.57,Niro Sarmayeh.-a
