<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970828,5333.00,5333,5333,4359.00,14742,5333.00,Naghsh Jahan Sugar-a
13970830,6500.00,6500,6500,6500.00,662785,6500.00,Naghsh Jahan Sugar-a
13970903,6600.00,6600,6388,6591.00,114443,6388.00,Naghsh Jahan Sugar-a
13970905,5500.00,5500,5500,5500.00,229334,5500.00,Naghsh Jahan Sugar-a
13970907,5500.00,5500,5500,5500.00,172853,5500.00,Naghsh Jahan Sugar-a
13970910,5500.00,5500,5500,5500.00,56000,5500.00,Naghsh Jahan Sugar-a
13970912,5500.00,5500,5500,5500.00,49019,5500.00,Naghsh Jahan Sugar-a
13970914,5500.00,5795,5500,5529.00,139000,5795.00,Naghsh Jahan Sugar-a
13970917,5529.00,5529,5529,5529.00,49400,5529.00,Naghsh Jahan Sugar-a
13971001,5529.00,5529,5300,5509.00,19152,5300.00,Naghsh Jahan Sugar-a
13971003,4660.00,5100,4660,4674.00,138095,5100.00,Naghsh Jahan Sugar-a
13971010,5000.00,5098,5000,5008.00,52705,5098.00,Naghsh Jahan Sugar-a
13971012,5008.00,5008,5000,5005.00,98242,5000.00,Naghsh Jahan Sugar-a
13971015,5050.00,5050,5050,5050.00,74000,5050.00,Naghsh Jahan Sugar-a
13971017,4800.00,4800,4800,4800.00,18300,4800.00,Naghsh Jahan Sugar-a
13971019,4800.00,4800,4630,4747.00,13463,4630.00,Naghsh Jahan Sugar-a
13971022,4888.00,4888,4888,4888.00,68000,4888.00,Naghsh Jahan Sugar-a
13971024,4701.00,4701,4701,4701.00,77910,4701.00,Naghsh Jahan Sugar-a
13971026,4701.00,4712,4701,4701.00,44380,4712.00,Naghsh Jahan Sugar-a
13971029,4701.00,4701,4701,4701.00,30008,4701.00,Naghsh Jahan Sugar-a
13971101,4701.00,4988,4701,4976.00,53159,4988.00,Naghsh Jahan Sugar-a
13971103,4976.00,4976,4976,4976.00,5998,4976.00,Naghsh Jahan Sugar-a
13971106,5800.00,5800,5300,5796.00,72306,5300.00,Naghsh Jahan Sugar-a
13971110,5795.00,5795,5795,5795.00,74625,5795.00,Naghsh Jahan Sugar-a
13971113,5800.00,5800,5800,5800.00,145407,5800.00,Naghsh Jahan Sugar-a
13971115,5800.00,5800,5800,5800.00,140108,5800.00,Naghsh Jahan Sugar-a
13971117,5800.00,5800,5800,5800.00,105000,5800.00,Naghsh Jahan Sugar-a
13971127,5800.00,5800,5800,5800.00,37200,5800.00,Naghsh Jahan Sugar-a
13971129,5800.00,5800,5800,5800.00,99025,5800.00,Naghsh Jahan Sugar-a
13971201,5800.00,5800,5800,5800.00,10427,5800.00,Naghsh Jahan Sugar-a
13971204,5800.00,5800,4701,5005.00,19000,4701.00,Naghsh Jahan Sugar-a
13971206,5005.00,5300,5005,5184.00,85027,5300.00,Naghsh Jahan Sugar-a
13971208,5799.00,5799,5799,5799.00,849974,5799.00,Naghsh Jahan Sugar-a
13971211,5969.00,6450,5969,6124.00,222856,6450.00,Naghsh Jahan Sugar-a
13971213,7151.00,7500,7151,7177.00,5719227,7500.00,Naghsh Jahan Sugar-a
13971215,8400.00,8400,7780,8329.00,1580823,7780.00,Naghsh Jahan Sugar-a
13971220,7131.00,7131,7000,7123.00,1216545,7000.00,Naghsh Jahan Sugar-a
13971222,7299.00,7299,6732,7205.00,79517,6732.00,Naghsh Jahan Sugar-a
13971225,6610.00,7000,6610,6691.00,316873,7000.00,Naghsh Jahan Sugar-a
13971227,6751.00,6751,6751,6751.00,50000,6751.00,Naghsh Jahan Sugar-a
13980105,6751.00,7201,6751,6791.00,402186,7201.00,Naghsh Jahan Sugar-a
13980107,7000.00,7000,7000,7000.00,605007,7000.00,Naghsh Jahan Sugar-a
13980110,7000.00,7060,7000,7036.00,365610,7060.00,Naghsh Jahan Sugar-a
13980117,7100.00,7100,7100,7100.00,115418,7100.00,Naghsh Jahan Sugar-a
13980119,7476.00,7998,7476,7565.00,482658,7998.00,Naghsh Jahan Sugar-a
13980121,8101.00,9511,8101,8826.00,233931,9511.00,Naghsh Jahan Sugar-a
13980124,10450.00,10450,9550,10154.00,552298,9550.00,Naghsh Jahan Sugar-a
13980126,9000.00,9004,9000,9000.00,415342,9004.00,Naghsh Jahan Sugar-a
13980128,8990.00,8990,8990,8990.00,132163,8990.00,Naghsh Jahan Sugar-a
13980131,8990.00,9210,8990,9053.00,266119,9210.00,Naghsh Jahan Sugar-a
13980202,9200.00,9200,9200,9200.00,27061,9200.00,Naghsh Jahan Sugar-a
13980204,8950.00,8950,8950,8950.00,65000,8950.00,Naghsh Jahan Sugar-a
13980207,8900.00,8950,8900,8905.00,605292,8950.00,Naghsh Jahan Sugar-a
13980209,10100.00,10100,10100,10100.00,661351,10100.00,Naghsh Jahan Sugar-a
13980211,10100.00,10500,10100,10331.00,181278,10500.00,Naghsh Jahan Sugar-a
13980214,10510.00,10510,10510,10510.00,823260,10510.00,Naghsh Jahan Sugar-a
13980216,11499.00,11499,10500,10797.00,127042,10500.00,Naghsh Jahan Sugar-a
13980218,10499.00,10499,10498,10499.00,244461,10498.00,Naghsh Jahan Sugar-a
13980221,10999.00,10999,10400,10902.00,142278,10400.00,Naghsh Jahan Sugar-a
13980223,10999.00,11485,10999,11154.00,485175,11485.00,Naghsh Jahan Sugar-a
13980225,12201.00,12201,11100,11990.00,261339,11100.00,Naghsh Jahan Sugar-a
13980228,11990.00,11990,10500,11327.00,150105,10500.00,Naghsh Jahan Sugar-a
13980230,8011.00,9000,8011,8500.00,298720,9000.00,Naghsh Jahan Sugar-a
13980301,9000.00,9000,8900,8974.00,463303,8900.00,Naghsh Jahan Sugar-a
13980304,9000.00,9000,9000,9000.00,407847,9000.00,Naghsh Jahan Sugar-a
13980308,9900.00,9900,9000,9512.00,98959,9000.00,Naghsh Jahan Sugar-a
13980311,8800.00,8800,8800,8800.00,61992,8800.00,Naghsh Jahan Sugar-a
13980313,8500.00,8500,7970,8217.00,255811,7970.00,Naghsh Jahan Sugar-a
13980318,7787.00,7800,7787,7791.00,472667,7800.00,Naghsh Jahan Sugar-a
13980320,8250.00,8250,7797,8125.00,419076,7797.00,Naghsh Jahan Sugar-a
13980322,8010.00,8010,8010,8010.00,13696,8010.00,Naghsh Jahan Sugar-a
13980325,7899.00,8487,7899,7942.00,83802,8487.00,Naghsh Jahan Sugar-a
13980327,8000.00,8000,7888,7997.00,249492,7888.00,Naghsh Jahan Sugar-a
13980329,7997.00,7997,7997,7997.00,192329,7997.00,Naghsh Jahan Sugar-a
13980401,7997.00,7997,7900,7994.00,107212,7900.00,Naghsh Jahan Sugar-a
13980403,8699.00,8699,8400,8691.00,92037,8400.00,Naghsh Jahan Sugar-a
13980405,8385.00,8385,8300,8379.00,573182,8300.00,Naghsh Jahan Sugar-a
13980410,8602.00,8998,8602,8860.00,631084,8998.00,Naghsh Jahan Sugar-a
13980412,9554.00,10200,9554,9608.00,526957,10200.00,Naghsh Jahan Sugar-a
13980415,11990.00,13000,11990,12172.00,475872,13000.00,Naghsh Jahan Sugar-a
13980417,16450.00,16450,15999,16355.00,715830,15999.00,Naghsh Jahan Sugar-a
13980419,15900.00,15900,15000,15853.00,557644,15000.00,Naghsh Jahan Sugar-a
13980516,17740.00,17740,17630,17655.00,167845,17630.00,Naghsh Jahan Sugar-a
13980519,16940.00,16940,13011,15610.00,58966,13011.00,Naghsh Jahan Sugar-a
13980523,14770.00,14770,14770,14770.00,719242,14770.00,Naghsh Jahan Sugar-a
13980526,14770.00,14770,14500,14732.00,94120,14500.00,Naghsh Jahan Sugar-a
13980528,16000.00,16000,15000,15544.00,59715,15000.00,Naghsh Jahan Sugar-a
13980530,14999.00,14999,13950,14104.00,61760,13950.00,Naghsh Jahan Sugar-a
13980703,13822.00,13822,13822,13822.00,50899,13822.00,Naghsh Jahan Sugar-a
13980706,13546.00,14098,13546,13572.00,1169036,13546.00,Naghsh Jahan Sugar-a
13980707,13301.00,13843,13301,13409.00,2492092,13843.00,Naghsh Jahan Sugar-a
13980708,13677.00,13677,13677,13677.00,84938,13677.00,Naghsh Jahan Sugar-a
13980709,13950.00,13950,13600,13949.00,626397,13949.00,Naghsh Jahan Sugar-a
13980710,14227.00,14227,13700,14187.00,537532,14227.00,Naghsh Jahan Sugar-a
13980713,14470.00,14470,14470,14470.00,75886,14470.00,Naghsh Jahan Sugar-a
13980714,14759.00,14759,14759,14759.00,49252,14759.00,Naghsh Jahan Sugar-a
13980715,15054.00,15054,15054,15054.00,66904,15054.00,Naghsh Jahan Sugar-a
13980716,15355.00,15355,14753,15222.00,340318,14900.00,Naghsh Jahan Sugar-a
13980717,15520.00,15526,15005,15463.00,171605,15526.00,Naghsh Jahan Sugar-a
13980720,15772.00,15772,15200,15730.00,161630,15772.00,Naghsh Jahan Sugar-a
13980721,16044.00,16044,16000,16043.00,225311,16044.00,Naghsh Jahan Sugar-a
13980722,16360.00,16360,15723,15813.00,246689,16167.00,Naghsh Jahan Sugar-a
13980723,15813.00,15999,15497,15617.00,17231,15497.00,Naghsh Jahan Sugar-a
13980724,15305.00,15890,15305,15306.00,186511,15305.00,Naghsh Jahan Sugar-a
13980728,15600.00,15600,15000,15083.00,7220,15000.00,Naghsh Jahan Sugar-a
13980729,15220.00,15220,14480,14485.00,160049,14480.00,Naghsh Jahan Sugar-a
13980730,14774.00,14774,14196,14512.00,126332,14196.00,Naghsh Jahan Sugar-a
13980801,14222.00,14650,14222,14229.00,135749,14222.00,Naghsh Jahan Sugar-a
13980804,14512.00,14512,13945,13988.00,17284,13945.00,Naghsh Jahan Sugar-a
13980806,13429.00,14389,13429,13435.00,146748,13429.00,Naghsh Jahan Sugar-a
13980808,13167.00,13689,13167,13218.00,262779,13167.00,Naghsh Jahan Sugar-a
13980811,13480.00,13480,12954,12969.00,162134,12954.00,Naghsh Jahan Sugar-a
13980812,13224.00,13228,12710,12997.00,135716,13228.00,Naghsh Jahan Sugar-a
13980813,13256.00,13256,13256,13256.00,75924,13256.00,Naghsh Jahan Sugar-a
13980814,13521.00,13521,13520,13521.00,188740,13521.00,Naghsh Jahan Sugar-a
13980818,14061.00,14061,13700,14061.00,138344,14061.00,Naghsh Jahan Sugar-a
13980819,14341.00,14342,13799,14298.00,140989,14278.00,Naghsh Jahan Sugar-a
13980820,14580.00,14580,14013,14073.00,109436,14350.00,Naghsh Jahan Sugar-a
13980821,14350.00,14354,13792,14078.00,258492,14354.00,Naghsh Jahan Sugar-a
13980822,14359.00,14359,14100,14356.00,74681,14359.00,Naghsh Jahan Sugar-a
13980825,14643.00,14643,14100,14536.00,56171,14600.00,Naghsh Jahan Sugar-a
13980826,14600.00,14600,14246,14314.00,5187,14246.00,Naghsh Jahan Sugar-a
13980827,14028.00,14599,14028,14043.00,167396,14029.00,Naghsh Jahan Sugar-a
13980828,14252.00,14323,14002,14312.00,125924,14323.00,Naghsh Jahan Sugar-a
13980829,14598.00,14598,14598,14598.00,32988,14598.00,Naghsh Jahan Sugar-a
13980902,14889.00,14889,14889,14889.00,178670,14889.00,Naghsh Jahan Sugar-a
13980903,15186.00,15186,15184,15186.00,192697,15186.00,Naghsh Jahan Sugar-a
13980904,15489.00,15489,15489,15489.00,135034,15489.00,Naghsh Jahan Sugar-a
