<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,588.05,622,583,589.05,48059,607.99,Darab Petro.-a
13970107,591.04,648,590,639.88,4016821,647.85,Darab Petro.-a
13970108,681.74,686,638,662.81,7062337,647.85,Darab Petro.-a
13970114,654.83,655,611,619.95,1932771,614.96,Darab Petro.-a
13970115,614.96,615,602,605.99,959725,604.00,Darab Petro.-a
13970118,606.99,628,607,621.94,780604,624.93,Darab Petro.-a
13970119,626.92,627,599,603.00,789541,599.02,Darab Petro.-a
13970120,579.08,607,579,591.04,1008723,589.05,Darab Petro.-a
13970121,608.98,609,585,590.05,1234479,598.02,Darab Petro.-a
13970122,598.02,601,531,541.21,4048870,531.24,Darab Petro.-a
13970126,508.32,558,508,539.21,632735,544.20,Darab Petro.-a
13970127,557.16,557,534,540.21,349115,538.22,Darab Petro.-a
13970128,546.19,546,532,545.19,587539,543.20,Darab Petro.-a
13970129,552.17,580,540,544.20,314012,540.21,Darab Petro.-a
13970201,530.24,562,530,545.19,433101,557.16,Darab Petro.-a
13970202,558.15,558,539,542.20,50697,543.20,Darab Petro.-a
13970203,536.22,536,518,519.28,804922,527.25,Darab Petro.-a
13970204,514.30,538,514,526.26,856257,525.26,Darab Petro.-a
13970205,519.28,530,516,518.28,937316,516.29,Darab Petro.-a
13970208,514.30,518,498,505.33,639470,498.35,Darab Petro.-a
13970209,498.35,503,479,488.38,301936,479.41,Darab Petro.-a
13970210,478.42,503,478,483.40,169495,501.34,Darab Petro.-a
13970211,501.34,508,493,502.34,518484,508.32,Darab Petro.-a
13970215,512.30,532,498,513.30,407582,506.32,Darab Petro.-a
13970216,503.33,503,483,492.37,535177,488.38,Darab Petro.-a
13970217,492.37,506,482,488.38,613530,488.38,Darab Petro.-a
13970218,502.34,516,493,500.34,894149,498.35,Darab Petro.-a
13970219,450.51,488,451,467.45,425318,468.45,Darab Petro.-a
13970222,460.48,513,460,496.36,596891,498.35,Darab Petro.-a
13970223,498.35,545,498,536.22,2147775,545.19,Darab Petro.-a
13970224,562.14,575,537,558.15,835101,548.18,Darab Petro.-a
13970225,548.18,553,518,536.22,1276793,518.28,Darab Petro.-a
13970226,516.29,524,508,517.29,295162,509.31,Darab Petro.-a
13970229,524.26,525,513,520.28,336520,514.30,Darab Petro.-a
13970230,504.33,511,498,503.33,716005,508.32,Darab Petro.-a
13970231,511.31,511,488,494.36,375058,498.35,Darab Petro.-a
13970301,512.30,512,493,503.33,282664,503.33,Darab Petro.-a
13970302,498.35,537,498,519.28,690297,519.28,Darab Petro.-a
13970305,538.22,546,498,509.31,879434,505.33,Darab Petro.-a
13970306,507.32,507,498,504.33,247583,503.33,Darab Petro.-a
13970307,505.33,523,505,512.30,473649,518.28,Darab Petro.-a
13970308,521.27,525,510,520.28,185172,520.28,Darab Petro.-a
13970309,510.31,513,509,511.31,236050,513.30,Darab Petro.-a
13970312,510.31,513,508,509.31,468978,510.31,Darab Petro.-a
13970313,508.32,508,501,503.33,712350,507.32,Darab Petro.-a
13970319,508.32,508,498,499.35,526636,499.35,Darab Petro.-a
13970320,500.34,500,493,495.36,466716,493.37,Darab Petro.-a
13970321,503.33,519,503,509.31,494001,514.30,Darab Petro.-a
13970322,515.29,545,514,529.25,1124879,538.22,Darab Petro.-a
13970323,554.17,582,534,575.10,6464341,576.09,Darab Petro.-a
13970327,575.10,632,575,622.94,4255035,631.91,Darab Petro.-a
13970328,637.89,648,597,617.95,2982472,599.02,Darab Petro.-a
