<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,600.05,600,600,600.05,71000,600.05,Fasa Petro.-a
13970106,622.98,623,593,605.04,2456288,608.03,Fasa Petro.-a
13970107,598.06,665,598,643.91,7472197,664.84,Fasa Petro.-a
13970108,684.78,693,669,679.79,11319292,677.80,Fasa Petro.-a
13970114,677.80,678,636,653.88,4202311,647.90,Fasa Petro.-a
13970115,645.90,648,625,630.95,3577813,624.97,Fasa Petro.-a
13970118,630.95,648,613,637.93,5595911,626.96,Fasa Petro.-a
13970119,627.96,636,607,613.01,2973749,611.02,Fasa Petro.-a
13970120,604.04,631,601,612.01,6770730,601.05,Fasa Petro.-a
13970121,612.01,625,602,609.02,3482769,605.04,Fasa Petro.-a
13970122,608.03,608,560,581.11,7296266,560.18,Fasa Petro.-a
13970126,570.15,596,565,578.12,5272040,567.16,Fasa Petro.-a
13970127,579.12,582,560,572.14,4318222,569.15,Fasa Petro.-a
13970128,580.12,588,565,573.14,2424004,568.16,Fasa Petro.-a
13970129,578.12,580,565,569.15,5123838,569.15,Fasa Petro.-a
13970201,575.13,578,565,572.14,3641388,572.14,Fasa Petro.-a
13970202,568.16,578,565,568.16,3158044,565.17,Fasa Petro.-a
13970203,564.17,568,553,558.19,2647798,556.19,Fasa Petro.-a
13970204,555.20,573,549,563.17,4814904,558.19,Fasa Petro.-a
13970205,565.17,569,553,561.18,2116923,559.18,Fasa Petro.-a
13970208,554.20,558,532,540.25,4025990,533.27,Fasa Petro.-a
13970209,532.27,544,518,521.31,3111404,518.32,Fasa Petro.-a
13970210,527.29,527,508,516.32,3171939,518.32,Fasa Petro.-a
13970211,517.32,556,511,528.28,4877184,536.26,Fasa Petro.-a
13970215,537.26,538,518,525.29,1592384,518.32,Fasa Petro.-a
13970216,509.35,515,501,507.35,2425654,513.33,Fasa Petro.-a
13970217,508.35,515,500,508.35,1852621,509.35,Fasa Petro.-a
13970218,508.35,540,508,533.27,4665850,538.25,Fasa Petro.-a
13970219,500.38,516,500,508.35,3430514,513.33,Fasa Petro.-a
13970222,513.33,523,504,513.33,1132822,513.33,Fasa Petro.-a
13970223,523.30,564,521,556.19,9444391,564.17,Fasa Petro.-a
13970224,595.07,595,564,578.12,13129084,578.12,Fasa Petro.-a
13970225,578.12,608,568,586.10,10426815,573.14,Fasa Petro.-a
13970226,571.15,578,551,557.19,6514586,558.19,Fasa Petro.-a
13970229,557.19,576,552,562.17,4062150,558.19,Fasa Petro.-a
13970230,564.17,564,551,554.20,1909038,554.20,Fasa Petro.-a
13970231,564.17,564,533,542.24,3730017,539.25,Fasa Petro.-a
13970301,551.21,551,535,542.24,2481525,539.25,Fasa Petro.-a
13970302,538.25,594,534,574.14,10433222,579.12,Fasa Petro.-a
13970305,593.07,598,560,581.11,5946992,577.13,Fasa Petro.-a
13970306,582.11,587,564,576.13,5025433,578.12,Fasa Petro.-a
13970307,568.16,608,568,595.07,9766660,588.09,Fasa Petro.-a
13970308,592.08,610,586,597.06,6205088,588.09,Fasa Petro.-a
13970309,578.12,588,563,573.14,3782738,570.15,Fasa Petro.-a
13970312,568.16,575,557,563.17,3528724,558.19,Fasa Petro.-a
13970313,553.20,569,551,557.19,3032077,555.20,Fasa Petro.-a
13970319,544.23,563,544,550.21,1753970,547.22,Fasa Petro.-a
13970320,542.24,557,537,541.24,3300023,540.25,Fasa Petro.-a
13970321,548.22,567,539,552.21,4181202,546.23,Fasa Petro.-a
13970322,558.19,607,549,589.09,17199783,605.04,Fasa Petro.-a
13970323,608.03,640,605,626.96,19174470,628.96,Fasa Petro.-a
13970327,651.88,689,650,677.80,20466349,688.76,Fasa Petro.-a
13970328,717.67,718,637,671.82,21488050,637.93,Fasa Petro.-a
13970329,637.93,696,623,662.85,13001640,658.86,Fasa Petro.-a
13970330,670.82,690,650,669.83,8803223,662.85,Fasa Petro.-a
13970402,658.86,677,639,650.89,9851849,638.93,Fasa Petro.-a
13970403,647.90,678,648,662.85,11615393,653.88,Fasa Petro.-a
13970404,667.83,668,629,644.91,13350448,635.94,Fasa Petro.-a
13970405,651.88,652,618,628.96,6103974,627.96,Fasa Petro.-a
13970406,630.95,642,588,606.03,4538158,597.06,Fasa Petro.-a
13970409,590.08,614,590,602.05,3824244,598.06,Fasa Petro.-a
13970410,602.05,614,577,589.09,2928664,586.10,Fasa Petro.-a
13970411,575.13,618,575,611.02,4494577,616.00,Fasa Petro.-a
13970412,627.96,656,627,643.91,9996383,647.90,Fasa Petro.-a
13970413,651.88,669,632,642.91,7939352,642.91,Fasa Petro.-a
13970416,645.90,646,624,636.93,5080922,643.91,Fasa Petro.-a
13970417,642.91,643,617,624.97,4893808,618.99,Fasa Petro.-a
13970419,611.02,627,583,597.06,2170918,588.09,Fasa Petro.-a
13970420,583.11,593,573,584.10,6090592,579.12,Fasa Petro.-a
13970423,594.07,616,583,594.07,2852659,587.09,Fasa Petro.-a
13970424,600.05,608,577,583.11,1886023,580.12,Fasa Petro.-a
13970425,587.09,588,565,569.15,4886960,568.16,Fasa Petro.-a
13970508,618.99,677,601,625.97,7795696,626.96,Fasa Petro.-a
13970509,647.90,668,610,650.89,18177835,643.91,Fasa Petro.-a
13970510,661.85,662,595,620.98,12912562,599.06,Fasa Petro.-a
13970513,607.03,607,577,583.11,7726342,587.09,Fasa Petro.-a
13970514,596.06,613,570,596.06,10988297,579.12,Fasa Petro.-a
13970515,602.05,627,572,592.08,10167007,573.14,Fasa Petro.-a
13970516,579.12,590,544,557.19,11738117,548.22,Fasa Petro.-a
13970517,550.21,558,539,549.22,6683675,553.20,Fasa Petro.-a
13970520,558.19,568,538,548.22,7564712,539.25,Fasa Petro.-a
13970521,558.19,559,545,551.21,6518524,554.20,Fasa Petro.-a
13970522,554.20,558,540,547.22,6266226,548.22,Fasa Petro.-a
13970523,545.23,558,544,551.21,4724924,551.21,Fasa Petro.-a
13970524,549.22,583,538,566.16,12868630,567.16,Fasa Petro.-a
13970527,562.17,591,561,581.11,6369474,572.14,Fasa Petro.-a
13970528,582.11,595,571,582.11,5921673,576.13,Fasa Petro.-a
13970529,579.12,618,569,601.05,14881518,617.00,Fasa Petro.-a
13970530,617.99,646,614,626.96,24657748,627.96,Fasa Petro.-a
13970603,647.90,669,632,657.86,24535431,656.87,Fasa Petro.-a
13970604,665.84,666,626,639.92,21146379,636.93,Fasa Petro.-a
13970605,637.93,704,638,683.78,33339262,697.73,Fasa Petro.-a
13970606,705.71,751,691,729.63,29375833,708.70,Fasa Petro.-a
13970607,725.64,726,685,701.72,11920812,699.73,Fasa Petro.-a
13970610,700.72,730,698,712.69,10284287,701.72,Fasa Petro.-a
13970611,715.68,717,653,676.80,10729680,676.80,Fasa Petro.-a
13970612,676.80,701,663,684.78,7200110,695.74,Fasa Petro.-a
13970613,703.72,753,704,739.60,36103716,752.56,Fasa Petro.-a
13970614,776.48,803,756,790.43,31287738,796.41,Fasa Petro.-a
13970617,821.33,847,788,818.34,28635178,825.32,Fasa Petro.-a
13970618,837.28,865,798,832.30,29646686,856.22,Fasa Petro.-a
13970619,868.18,915,848,899.08,29616398,915.03,Fasa Petro.-a
13970620,975.83,976,927,971.84,1775032,926.99,Fasa Petro.-a
13970624,1031.65,1032,929,961.88,31929806,928.98,Fasa Petro.-a
13970625,892.10,956,866,887.12,36730547,907.06,Fasa Petro.-a
13970626,935.96,976,927,967.86,22913543,975.83,Fasa Petro.-a
13970627,1026.67,1027,927,967.86,17974339,984.80,Fasa Petro.-a
13970631,978.82,1016,964,981.81,12907654,965.86,Fasa Petro.-a
13970701,991.78,994,927,948.92,21178608,937.95,Fasa Petro.-a
13970702,926.99,966,898,919.02,18590430,925.00,Fasa Petro.-a
13970703,936.96,1011,937,995.77,39721568,1010.72,Fasa Petro.-a
13970704,1094.45,1094,1067,1093.45,33973835,1094.45,Fasa Petro.-a
13970707,1202.10,1202,1148,1194.12,46318638,1202.10,Fasa Petro.-a
13970708,1312.74,1313,1283,1312.74,27226763,1312.74,Fasa Petro.-a
13970710,1182.16,1182,1065,1089.46,2006897,1064.54,Fasa Petro.-a
13970711,980.82,1121,981,1019.69,31790774,1044.61,Fasa Petro.-a
13970714,1062.55,1121,918,996.76,25886409,951.91,Fasa Petro.-a
13970715,939.95,966,897,907.06,27622483,897.09,Fasa Petro.-a
13970716,832.30,896,816,818.34,28499752,816.35,Fasa Petro.-a
13970717,847.25,900,847,893.10,24303901,900.08,Fasa Petro.-a
13970718,934.96,935,818,885.13,17870237,857.22,Fasa Petro.-a
13970721,863.20,885,797,811.37,7657157,797.41,Fasa Petro.-a
13970722,743.59,797,733,761.53,14502555,765.51,Fasa Petro.-a
13970723,792.43,837,792,831.30,6164054,837.28,Fasa Petro.-a
13970724,897.09,914,864,906.06,25772442,907.06,Fasa Petro.-a
13970725,907.06,934,816,880.14,20277705,887.12,Fasa Petro.-a
13970728,922.01,952,908,939.95,14033267,948.92,Fasa Petro.-a
13970729,966.86,967,867,920.01,18322936,892.10,Fasa Petro.-a
13970730,887.12,927,847,881.14,12849835,867.18,Fasa Petro.-a
13970801,857.22,877,796,816.35,12349970,806.38,Fasa Petro.-a
13970802,794.42,794,736,747.57,21107465,744.58,Fasa Petro.-a
13970805,747.57,787,738,762.52,8313812,757.54,Fasa Petro.-a
13970806,767.51,816,768,800.40,7733681,816.35,Fasa Petro.-a
13970807,835.29,851,812,829.31,8353113,823.33,Fasa Petro.-a
13970809,817.35,834,787,800.40,9304618,807.38,Fasa Petro.-a
13970812,796.41,796,767,770.50,6312988,767.51,Fasa Petro.-a
13970813,770.50,796,746,766.51,5156214,782.46,Fasa Petro.-a
13970814,781.46,816,781,800.40,6291287,809.37,Fasa Petro.-a
13970815,805.39,809,777,794.42,6442226,788.44,Fasa Petro.-a
13970819,799.40,801,768,774.49,5754988,771.50,Fasa Petro.-a
13970820,777.48,789,746,751.56,5662682,757.54,Fasa Petro.-a
13970821,777.48,815,758,798.41,15897122,815.35,Fasa Petro.-a
13970822,827.31,838,793,814.36,9226577,797.41,Fasa Petro.-a
13970823,799.40,799,778,790.43,3818864,786.45,Fasa Petro.-a
13970826,786.45,786,757,767.51,6055656,761.53,Fasa Petro.-a
13970827,762.52,782,733,752.56,9060024,768.50,Fasa Petro.-a
13970828,767.51,806,768,786.45,6413392,775.48,Fasa Petro.-a
13970829,805.39,805,766,777.48,3232598,778.47,Fasa Petro.-a
13970830,777.48,787,766,772.49,4832227,771.50,Fasa Petro.-a
13970903,768.50,786,748,759.53,5757757,757.54,Fasa Petro.-a
13970905,755.55,756,684,697.73,15669595,694.74,Fasa Petro.-a
13970906,707.70,735,698,707.70,7692097,699.73,Fasa Petro.-a
13970907,698.73,707,666,682.78,6137676,687.77,Fasa Petro.-a
13970910,695.74,696,640,648.89,6184702,640.92,Fasa Petro.-a
13970911,653.88,695,654,678.80,5930971,687.77,Fasa Petro.-a
13970912,706.71,711,670,689.76,5269038,669.83,Fasa Petro.-a
13970913,695.74,696,653,665.84,3710392,667.83,Fasa Petro.-a
13970914,675.81,677,655,666.83,5389978,667.83,Fasa Petro.-a
13970917,675.81,676,649,661.85,5572058,658.86,Fasa Petro.-a
13970918,658.86,678,646,656.87,9007456,652.88,Fasa Petro.-a
13970919,658.86,664,643,650.89,6517347,647.90,Fasa Petro.-a
13970921,642.91,661,643,650.89,3563110,658.86,Fasa Petro.-a
