<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,1160.00,1161,1093,1127.00,43629,1100.00,Parsian Ecommerc-R-a
13970106,1134.00,1134,1085,1089.00,213449,1089.00,Parsian Ecommerc-R-a
13970107,1086.00,1149,1086,1117.00,292922,1149.00,Parsian Ecommerc-R-a
13970108,1121.00,1125,1070,1102.00,1148897,1083.00,Parsian Ecommerc-R-a
13970606,1200.00,1200,1200,1200.00,50000,1200.00,Parsian Ecommerc-R-a
13970617,1160.00,1160,1160,1160.00,260000,1160.00,Parsian Ecommerc-R-a
13970618,1160.00,1200,1160,1161.00,1036427,1200.00,Parsian Ecommerc-R-a
13970619,1200.00,1200,1200,1200.00,1000000,1200.00,Parsian Ecommerc-R-a
13970621,1200.00,1220,1200,1210.00,1950205,1220.00,Parsian Ecommerc-R-a
13970624,1250.00,1280,1250,1250.00,2574256,1250.00,Parsian Ecommerc-R-a
13970625,1250.00,1270,1250,1262.00,8000000,1270.00,Parsian Ecommerc-R-a
13970626,1270.00,1290,1270,1280.00,19828680,1280.00,Parsian Ecommerc-R-a
13970627,1280.00,1320,1280,1299.00,3191827,1320.00,Parsian Ecommerc-R-a
