<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,779.00,840,770,835.00,1092278,840.00,Loabiran-R-a
13970106,908.00,908,792,822.00,510795,829.00,Loabiran-R-a
13970107,810.00,825,772,785.00,151553,778.00,Loabiran-R-a
13970108,780.00,780,755,768.00,341169,763.00,Loabiran-R-a
13970114,760.00,795,753,762.00,363195,765.00,Loabiran-R-a
13970115,740.00,786,736,750.00,331872,750.00,Loabiran-R-a
13970118,755.00,755,695,707.00,1078769,707.00,Loabiran-R-a
13970119,646.00,706,637,657.00,1051631,669.00,Loabiran-R-a
13970120,660.00,660,597,607.00,826511,604.00,Loabiran-R-a
13970121,607.00,610,557,594.00,490042,557.00,Loabiran-R-a
13970122,600.00,600,535,542.00,1074819,537.00,Loabiran-R-a
13970126,579.00,579,488,493.00,624238,488.00,Loabiran-R-a
13970127,448.00,500,444,453.00,368651,460.00,Loabiran-R-a
13970128,450.00,498,440,474.00,474365,489.00,Loabiran-R-a
13970129,480.00,521,480,518.00,186643,521.00,Loabiran-R-a
13970201,565.00,569,561,569.00,556056,569.00,Loabiran-R-a
13970202,570.00,625,569,620.00,405474,625.00,Loabiran-R-a
13970203,670.00,670,562,620.00,1417282,606.00,Loabiran-R-a
13970204,606.00,635,574,601.00,366317,590.00,Loabiran-R-a
13970205,577.00,579,550,563.00,369527,560.00,Loabiran-R-a
13970208,553.00,553,507,512.00,775186,507.00,Loabiran-R-a
13970209,481.00,491,461,470.00,737600,475.00,Loabiran-R-a
13970210,463.00,463,440,449.00,887771,459.00,Loabiran-R-a
13970211,460.00,480,443,467.00,160555,466.00,Loabiran-R-a
13970215,470.00,470,432,440.00,256511,432.00,Loabiran-R-a
13970216,396.00,424,396,399.00,1204354,402.00,Loabiran-R-a
13970217,400.00,401,370,380.00,305438,387.00,Loabiran-R-a
13970218,398.00,418,376,405.00,1504455,384.00,Loabiran-R-a
13970219,366.00,438,365,383.00,4128951,368.00,Loabiran-R-a
13970703,2700.00,2700,2700,2700.00,204500,2700.00,Loabiran-R-a
13970704,2700.00,2700,2650,2687.00,10870,2650.00,Loabiran-R-a
13970707,2501.00,2700,2501,2693.00,9162,2700.00,Loabiran-R-a
13970711,2424.00,2424,2424,2424.00,2003650,2424.00,Loabiran-R-a
13970714,2370.00,2370,2182,2185.00,3070000,2182.00,Loabiran-R-a
13970715,1967.00,1967,1967,1967.00,3000000,1967.00,Loabiran-R-a
13970716,1771.00,1771,1771,1771.00,3000000,1771.00,Loabiran-R-a
13970717,1771.00,1771,1594,1614.00,1125000,1594.00,Loabiran-R-a
13970721,1453.00,1453,1453,1453.00,100000,1453.00,Loabiran-R-a
13970723,1453.00,1453,1340,1340.00,3548822,1340.00,Loabiran-R-a
13970724,1320.00,1332,1300,1304.00,2691001,1332.00,Loabiran-R-a
