<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,209.00,209,199,202.00,1312761,205.00,Azar Refract.-R-a
13970106,222.00,222,195,200.00,934916,197.00,Azar Refract.-R-a
13970107,191.00,191,180,182.00,1833543,180.00,Azar Refract.-R-a
13970108,185.00,185,166,173.00,623008,171.00,Azar Refract.-R-a
13970114,171.00,171,156,158.00,2893698,156.00,Azar Refract.-R-a
13970115,145.00,173,143,168.00,8250624,173.00,Azar Refract.-R-a
13970118,184.00,184,165,177.00,3213610,170.00,Azar Refract.-R-a
13970119,175.00,175,160,160.00,1436198,160.00,Azar Refract.-R-a
13970120,150.00,160,144,145.00,1742980,144.00,Azar Refract.-R-a
13970121,140.00,155,133,145.00,1069359,144.00,Azar Refract.-R-a
13970122,136.00,136,131,131.00,2997012,131.00,Azar Refract.-R-a
13970126,120.00,121,118,119.00,256370,118.00,Azar Refract.-R-a
13970127,108.00,110,108,108.00,387808,108.00,Azar Refract.-R-a
13970128,98.00,101,98,98.00,2888974,98.00,Azar Refract.-R-a
13970129,89.00,89,89,89.00,487618,89.00,Azar Refract.-R-a
13970201,81.00,89,81,83.00,3107534,83.00,Azar Refract.-R-a
13970202,80.00,91,80,90.00,5411710,91.00,Azar Refract.-R-a
13970205,84.00,86,82,84.00,491428,84.00,Azar Refract.-R-a
13970208,85.00,92,85,91.00,589130,92.00,Azar Refract.-R-a
13970209,100.00,100,100,100.00,114650,100.00,Azar Refract.-R-a
13970210,110.00,110,102,109.00,5059089,108.00,Azar Refract.-R-a
13970211,107.00,108,99,100.00,2628108,99.00,Azar Refract.-R-a
13970215,91.00,96,90,90.00,4052512,90.00,Azar Refract.-R-a
13970218,99.00,108,94,102.00,5846149,100.00,Azar Refract.-R-a
13970424,250.00,250,225,241.00,631000,225.00,Azar Refract.-R-a
13970425,225.00,225,217,220.00,331025,217.00,Azar Refract.-R-a
13970426,217.00,217,198,204.00,262127,198.00,Azar Refract.-R-a
13970427,184.00,184,184,184.00,5000,184.00,Azar Refract.-R-a
13970430,166.00,166,166,166.00,50000,166.00,Azar Refract.-R-a
13970431,160.00,160,150,150.00,7916953,150.00,Azar Refract.-R-a
13970501,141.00,141,137,137.00,1510000,137.00,Azar Refract.-R-a
13970502,137.00,147,137,138.00,20210600,140.00,Azar Refract.-R-a
13970503,140.00,150,140,143.00,22528400,145.00,Azar Refract.-R-a
13970506,157.00,157,157,157.00,500000,157.00,Azar Refract.-R-a
13970507,172.00,172,172,172.00,21500000,172.00,Azar Refract.-R-a
13970508,189.00,189,189,189.00,26484851,189.00,Azar Refract.-R-a
