<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970728,668.00,734,668,716.00,3098961,734.00,Inv. Banking -R-a
13970729,740.00,767,657,723.00,6958855,714.00,Inv. Banking -R-a
13970730,750.00,750,652,682.00,4855282,680.00,Inv. Banking -R-a
13970801,667.00,694,614,630.00,4390719,623.00,Inv. Banking -R-a
13970802,569.00,600,567,568.00,2417802,567.00,Inv. Banking -R-a
13970805,515.00,559,515,539.00,1347818,549.00,Inv. Banking -R-a
13970806,540.00,592,540,576.00,3389108,592.00,Inv. Banking -R-a
13970807,610.00,613,559,591.00,2008517,570.00,Inv. Banking -R-a
13970809,571.00,592,555,576.00,1933732,575.00,Inv. Banking -R-a
13970812,587.00,587,524,539.00,604422,534.00,Inv. Banking -R-a
13970813,513.00,549,507,520.00,460862,514.00,Inv. Banking -R-a
13970814,514.00,535,514,521.00,956472,519.00,Inv. Banking -R-a
13970815,508.00,537,508,525.00,1067655,536.00,Inv. Banking -R-a
13970819,518.00,558,518,543.00,1244040,535.00,Inv. Banking -R-a
13970820,559.00,559,506,523.00,1475397,527.00,Inv. Banking -R-a
13970821,547.00,547,520,527.00,1580169,525.00,Inv. Banking -R-a
13970822,525.00,533,501,517.00,1369841,511.00,Inv. Banking -R-a
13970823,503.00,524,503,509.00,493441,509.00,Inv. Banking -R-a
13970826,510.00,524,495,506.00,1808419,500.00,Inv. Banking -R-a
13970827,500.00,511,464,488.00,2393949,490.00,Inv. Banking -R-a
13970828,489.00,495,477,488.00,800257,477.00,Inv. Banking -R-a
13970829,457.00,500,457,485.00,1628610,486.00,Inv. Banking -R-a
13970830,494.00,494,451,467.00,2096863,474.00,Inv. Banking -R-a
13970903,464.00,475,451,457.00,1763207,460.00,Inv. Banking -R-a
13970905,459.00,474,453,460.00,1293125,468.00,Inv. Banking -R-a
13970906,453.00,469,447,454.00,1682790,448.00,Inv. Banking -R-a
13970907,445.00,452,429,433.00,1631424,429.00,Inv. Banking -R-a
13970910,423.00,429,390,399.00,3373621,407.00,Inv. Banking -R-a
13970911,408.00,411,390,398.00,898042,395.00,Inv. Banking -R-a
13970912,400.00,419,396,412.00,1710520,412.00,Inv. Banking -R-a
13970913,419.00,419,401,411.00,1211630,408.00,Inv. Banking -R-a
13970914,407.00,418,396,404.00,1861567,408.00,Inv. Banking -R-a
13970917,391.00,417,380,403.00,3184750,406.00,Inv. Banking -R-a
13970918,392.00,402,390,394.00,1612580,392.00,Inv. Banking -R-a
13970919,400.00,400,385,390.00,2553965,385.00,Inv. Banking -R-a
13970920,384.00,390,351,365.00,3112076,361.00,Inv. Banking -R-a
13970921,353.00,400,350,372.00,4840535,380.00,Inv. Banking -R-a
13970924,374.00,395,370,385.00,7193701,370.00,Inv. Banking -R-a
13971204,450.00,495,450,450.00,2004132,495.00,Inv. Banking -R-a
13971205,495.00,495,495,495.00,655200,495.00,Inv. Banking -R-a
13971206,544.00,544,544,544.00,28015,544.00,Inv. Banking -R-a
13971207,544.00,544,544,544.00,3083,544.00,Inv. Banking -R-a
13971208,544.00,544,500,505.00,56868,500.00,Inv. Banking -R-a
13971211,455.00,455,455,455.00,95205,455.00,Inv. Banking -R-a
13971212,500.00,500,412,413.00,46693502,414.00,Inv. Banking -R-a
13980410,440.00,484,440,475.00,67415,484.00,Inv. Banking -R-a
13980411,522.00,522,522,522.00,343869,522.00,Inv. Banking -R-a
13980412,574.00,574,574,574.00,369781,574.00,Inv. Banking -R-a
13980415,631.00,631,605,629.00,5064942,631.00,Inv. Banking -R-a
13980416,640.00,640,578,616.00,1503072,611.00,Inv. Banking -R-a
13980417,623.00,624,600,608.00,1202945,608.00,Inv. Banking -R-a
13980418,596.00,599,580,583.00,1021278,589.00,Inv. Banking -R-a
13980419,580.00,580,563,571.00,746760,580.00,Inv. Banking -R-a
13980422,557.00,572,556,562.00,521323,572.00,Inv. Banking -R-a
13980423,561.00,600,561,587.00,184167,585.00,Inv. Banking -R-a
13980424,558.00,590,556,567.00,462629,556.00,Inv. Banking -R-a
13980425,530.00,575,530,535.00,742001,532.00,Inv. Banking -R-a
13980426,544.00,575,533,552.00,173404,544.00,Inv. Banking -R-a
13980429,544.00,559,523,539.00,158673,550.00,Inv. Banking -R-a
13980430,523.00,592,523,585.00,1224100,587.00,Inv. Banking -R-a
13980431,585.00,585,546,558.00,61097,553.00,Inv. Banking -R-a
13980501,546.00,576,531,546.00,70885,545.00,Inv. Banking -R-a
13980502,550.00,585,530,561.00,650183,543.00,Inv. Banking -R-a
13980505,561.00,575,538,543.00,449955,545.00,Inv. Banking -R-a
13980506,552.00,565,534,543.00,94175,538.00,Inv. Banking -R-a
