<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970223,60.00,66,60,66.00,3929438,66.00,Kordestan Cem.-R-a
13970224,72.00,72,68,72.00,23470296,72.00,Kordestan Cem.-R-a
13970225,79.00,79,79,79.00,2297383,79.00,Kordestan Cem.-R-a
13970226,86.00,86,72,77.00,28889581,74.00,Kordestan Cem.-R-a
13970229,72.00,82,71,79.00,11743705,78.00,Kordestan Cem.-R-a
13970230,77.00,82,73,77.00,6850414,76.00,Kordestan Cem.-R-a
13970231,77.00,77,71,73.00,4907264,75.00,Kordestan Cem.-R-a
13970301,73.00,73,66,67.00,3479661,66.00,Kordestan Cem.-R-a
13970302,63.00,67,62,63.00,1211100,67.00,Kordestan Cem.-R-a
13970305,65.00,67,62,65.00,5021208,62.00,Kordestan Cem.-R-a
13970306,61.00,61,59,60.00,2475934,59.00,Kordestan Cem.-R-a
13970307,55.00,56,54,54.00,4701337,54.00,Kordestan Cem.-R-a
13970308,50.00,50,49,49.00,2913823,49.00,Kordestan Cem.-R-a
13970309,47.00,53,45,51.00,3891931,48.00,Kordestan Cem.-R-a
13970312,52.00,56,52,55.00,12422047,56.00,Kordestan Cem.-R-a
13970313,59.00,59,52,55.00,7474042,55.00,Kordestan Cem.-R-a
13970319,56.00,60,56,59.00,8924196,60.00,Kordestan Cem.-R-a
13970320,61.00,63,54,58.00,7154370,54.00,Kordestan Cem.-R-a
13970321,54.00,54,53,53.00,4372226,53.00,Kordestan Cem.-R-a
13970322,55.00,55,48,49.00,13398026,48.00,Kordestan Cem.-R-a
13970323,49.00,53,45,51.00,3564042,50.00,Kordestan Cem.-R-a
13970327,53.00,56,53,56.00,7268022,56.00,Kordestan Cem.-R-a
13970328,59.00,59,51,52.00,5232885,51.00,Kordestan Cem.-R-a
13970329,51.00,56,50,53.00,1293258,51.00,Kordestan Cem.-R-a
13970330,50.00,55,49,51.00,6995949,53.00,Kordestan Cem.-R-a
13970402,53.00,54,49,52.00,4560123,52.00,Kordestan Cem.-R-a
13970403,52.00,54,48,49.00,1690877,49.00,Kordestan Cem.-R-a
13970404,48.00,50,45,45.00,18410601,46.00,Kordestan Cem.-R-a
13970405,43.00,45,41,41.00,5168736,41.00,Kordestan Cem.-R-a
13970406,41.00,41,37,38.00,5960664,37.00,Kordestan Cem.-R-a
13970409,36.00,40,36,39.00,2010455,39.00,Kordestan Cem.-R-a
13970410,37.00,38,36,36.00,4520576,38.00,Kordestan Cem.-R-a
13970411,36.00,36,33,35.00,2985126,33.00,Kordestan Cem.-R-a
13970412,34.00,35,33,35.00,4836649,34.00,Kordestan Cem.-R-a
13970413,33.00,35,32,33.00,10136938,35.00,Kordestan Cem.-R-a
13970416,33.00,35,32,34.00,3235881,35.00,Kordestan Cem.-R-a
13970417,34.00,35,32,33.00,3642638,33.00,Kordestan Cem.-R-a
13970419,31.00,33,30,30.00,6048088,30.00,Kordestan Cem.-R-a
13970420,27.00,28,27,27.00,3762330,27.00,Kordestan Cem.-R-a
13970423,27.00,29,25,28.00,5503694,29.00,Kordestan Cem.-R-a
13970424,29.00,30,29,30.00,480666,30.00,Kordestan Cem.-R-a
13970425,33.00,33,33,33.00,495017,33.00,Kordestan Cem.-R-a
13970426,33.00,34,31,33.00,2735424,34.00,Kordestan Cem.-R-a
13970427,33.00,33,30,31.00,2768819,31.00,Kordestan Cem.-R-a
13970430,32.00,34,32,34.00,4035480,34.00,Kordestan Cem.-R-a
13970431,36.00,37,33,36.00,2371154,34.00,Kordestan Cem.-R-a
13970501,38.00,38,33,36.00,8401513,33.00,Kordestan Cem.-R-a
13970502,34.00,39,33,38.00,10144390,39.00,Kordestan Cem.-R-a
13970503,41.00,41,39,41.00,5272347,41.00,Kordestan Cem.-R-a
13970506,45.00,45,38,41.00,1636149,39.00,Kordestan Cem.-R-a
13970507,42.00,44,40,43.00,2321949,40.00,Kordestan Cem.-R-a
13970508,41.00,44,40,41.00,5889029,43.00,Kordestan Cem.-R-a
13970509,41.00,45,41,45.00,3770207,45.00,Kordestan Cem.-R-a
13970510,49.00,49,43,46.00,7635116,45.00,Kordestan Cem.-R-a
13970513,44.00,44,42,42.00,3473970,42.00,Kordestan Cem.-R-a
