<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970209,518.00,518,467,487.00,189530,467.00,Iranian Falat-R-a
13970210,439.00,450,439,440.00,318213,439.00,Iranian Falat-R-a
13970211,396.00,396,396,396.00,4912,396.00,Iranian Falat-R-a
13970215,357.00,370,357,358.00,1202287,362.00,Iranian Falat-R-a
13970216,362.00,393,333,357.00,544790,337.00,Iranian Falat-R-a
13970217,326.00,365,326,331.00,122105,332.00,Iranian Falat-R-a
13970218,363.00,364,356,363.00,333136,364.00,Iranian Falat-R-a
13970219,365.00,399,349,357.00,229478,355.00,Iranian Falat-R-a
13970222,375.00,390,360,379.00,214927,390.00,Iranian Falat-R-a
13970223,399.00,410,361,395.00,430279,380.00,Iranian Falat-R-a
13970224,376.00,429,376,425.00,471185,425.00,Iranian Falat-R-a
13970225,455.00,435,383,388.00,277427,383.00,Iranian Falat-R-a
13970226,350.00,379,350,358.00,223104,368.00,Iranian Falat-R-a
13970229,360.00,393,360,391.00,418245,393.00,Iranian Falat-R-a
13970230,430.00,430,430,430.00,552736,430.00,Iranian Falat-R-a
13970231,467.00,467,412,448.00,232108,431.00,Iranian Falat-R-a
13970301,404.00,444,404,430.00,228635,429.00,Iranian Falat-R-a
13970302,395.00,430,390,400.00,664322,390.00,Iranian Falat-R-a
13970305,388.00,427,388,411.00,527241,399.00,Iranian Falat-R-a
13970306,385.00,419,385,393.00,105181,392.00,Iranian Falat-R-a
13970307,371.00,389,355,361.00,365044,360.00,Iranian Falat-R-a
13970308,385.00,390,355,376.00,449433,361.00,Iranian Falat-R-a
13970309,350.00,389,350,368.00,412548,384.00,Iranian Falat-R-a
13970312,380.00,404,370,381.00,286883,370.00,Iranian Falat-R-a
13970313,364.00,380,360,368.00,196658,375.00,Iranian Falat-R-a
13970319,355.00,365,332,344.00,902058,337.00,Iranian Falat-R-a
13970320,329.00,329,310,311.00,1023158,311.00,Iranian Falat-R-a
13970321,306.00,315,306,308.00,52202,309.00,Iranian Falat-R-a
13970322,281.00,312,281,289.00,934127,286.00,Iranian Falat-R-a
13970323,287.00,317,280,303.00,1912174,307.00,Iranian Falat-R-a
13970327,333.00,333,332,333.00,393599,333.00,Iranian Falat-R-a
13970328,366.00,366,365,366.00,1096260,366.00,Iranian Falat-R-a
13970329,380.00,402,379,399.00,1571530,402.00,Iranian Falat-R-a
13970330,436.00,436,385,398.00,252962,385.00,Iranian Falat-R-a
13970402,410.00,410,381,392.00,302400,381.00,Iranian Falat-R-a
13970403,381.00,410,375,398.00,689071,385.00,Iranian Falat-R-a
13970404,380.00,380,359,371.00,986702,359.00,Iranian Falat-R-a
13970405,356.00,359,356,359.00,130000,359.00,Iranian Falat-R-a
13970406,340.00,340,324,330.00,177925,326.00,Iranian Falat-R-a
13970409,330.00,334,297,323.00,658357,309.00,Iranian Falat-R-a
13970410,301.00,310,301,303.00,209905,303.00,Iranian Falat-R-a
13970411,310.00,333,310,330.00,227984,333.00,Iranian Falat-R-a
13970412,301.00,301,299,300.00,126603,299.00,Iranian Falat-R-a
13970413,330.00,330,330,330.00,7634435,330.00,Iranian Falat-R-a
13970416,362.00,363,350,354.00,5146406,351.00,Iranian Falat-R-a
13970417,350.00,351,331,350.00,2586492,331.00,Iranian Falat-R-a
13970419,359.00,385,359,376.00,1899880,368.00,Iranian Falat-R-a
13970420,376.00,380,346,362.00,691496,359.00,Iranian Falat-R-a
13970423,369.00,369,350,353.00,160000,350.00,Iranian Falat-R-a
13970424,365.00,365,341,353.00,770500,351.00,Iranian Falat-R-a
13970425,355.00,355,318,325.00,677143,318.00,Iranian Falat-R-a
13970426,301.00,339,300,311.00,107415,339.00,Iranian Falat-R-a
13970427,300.00,301,300,301.00,64212,301.00,Iranian Falat-R-a
13970430,319.00,319,310,318.00,53466,310.00,Iranian Falat-R-a
13970431,340.00,340,293,304.00,1233929,300.00,Iranian Falat-R-a
13970501,329.00,330,309,321.00,398561,319.00,Iranian Falat-R-a
13970502,300.00,320,289,291.00,2686115,290.00,Iranian Falat-R-a
13970716,1800.00,1800,1800,1800.00,20000,1800.00,Iranian Falat-R-a
13970717,1620.00,1621,1620,1620.00,6661525,1620.00,Iranian Falat-R-a
13970718,1458.00,1458,1458,1458.00,276000,1458.00,Iranian Falat-R-a
13970721,1313.00,1313,1313,1313.00,157500,1313.00,Iranian Falat-R-a
13970722,1182.00,1182,1182,1182.00,584000,1182.00,Iranian Falat-R-a
13970723,1064.00,1065,1064,1064.00,7900000,1065.00,Iranian Falat-R-a
13970724,1170.00,1170,960,1000.00,19000000,1001.00,Iranian Falat-R-a
13970725,1100.00,1100,1100,1100.00,19000000,1100.00,Iranian Falat-R-a
13970728,1210.00,1210,1210,1210.00,19000000,1210.00,Iranian Falat-R-a
13970730,1331.00,1464,1331,1457.00,19000000,1464.00,Iranian Falat-R-a
13970801,1602.00,1602,1602,1602.00,7258910,1602.00,Iranian Falat-R-a
