<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,7876.92,7877,7877,7876.92,5000,7876.92,Ganjine Roshan ETF-a
13970114,7757.80,7758,7758,7757.80,450,7757.80,Ganjine Roshan ETF-a
13970119,7770.95,7771,7755,7767.86,850,7755.48,Ganjine Roshan ETF-a
13970121,7738.47,7750,7738,7743.11,7700,7750.07,Ganjine Roshan ETF-a
13970126,7757.80,7758,7758,7757.80,470,7757.80,Ganjine Roshan ETF-a
13970129,7765.54,7766,7766,7765.54,1040,7765.54,Ganjine Roshan ETF-a
13970201,7769.40,7769,7769,7769.40,1000,7769.40,Ganjine Roshan ETF-a
13970204,7839.02,7839,7839,7839.02,300000,7839.02,Ganjine Roshan ETF-a
13970208,7850.62,7851,7851,7850.62,150000,7850.62,Ganjine Roshan ETF-a
13970209,7872.27,7872,7872,7872.27,500,7872.27,Ganjine Roshan ETF-a
13970215,7757.03,7757,7735,7755.48,2150,7734.60,Ganjine Roshan ETF-a
13970222,7819.68,7846,7820,7826.64,8310,7845.98,Ganjine Roshan ETF-a
13970223,7826.64,7827,7827,7826.64,110,7826.64,Ganjine Roshan ETF-a
13970224,7825.87,7826,7826,7825.87,1800,7825.87,Ganjine Roshan ETF-a
13970229,7842.88,7870,7841,7860.67,3060,7869.95,Ganjine Roshan ETF-a
13970231,7847.52,7848,7844,7845.98,800,7843.66,Ganjine Roshan ETF-a
13970302,7878.46,7878,7878,7878.46,260,7878.46,Ganjine Roshan ETF-a
13970305,7862.22,7862,7862,7862.22,1100,7862.22,Ganjine Roshan ETF-a
13970306,7895.48,7895,7895,7895.48,1000,7895.48,Ganjine Roshan ETF-a
13970308,7871.50,7872,7872,7871.50,100,7871.50,Ganjine Roshan ETF-a
13970312,7760.90,7761,7761,7760.90,3400,7760.90,Ganjine Roshan ETF-a
13970320,7786.42,7786,7786,7786.42,100,7786.42,Ganjine Roshan ETF-a
13970322,7767.08,7767,7767,7767.08,500,7767.08,Ganjine Roshan ETF-a
13970323,7797.25,7798,7786,7798.02,29820,7785.65,Ganjine Roshan ETF-a
13970329,7815.81,7816,7816,7815.81,1500,7815.81,Ganjine Roshan ETF-a
13970330,7850.62,7851,7851,7850.62,500,7850.62,Ganjine Roshan ETF-a
13970402,7854.48,7854,7854,7854.48,200,7854.48,Ganjine Roshan ETF-a
13970409,7901.67,7936,7902,7910.17,20620,7935.70,Ganjine Roshan ETF-a
13970410,7910.95,7911,7911,7910.95,100,7910.95,Ganjine Roshan ETF-a
13970411,7767.86,7768,7768,7767.86,10690,7767.86,Ganjine Roshan ETF-a
13970413,7758.58,7759,7758,7757.80,6000,7757.80,Ganjine Roshan ETF-a
13970416,7783.33,7783,7783,7783.33,110,7783.33,Ganjine Roshan ETF-a
