<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970106,12015.00,12015,12015,12015.00,6500,12015.00,Aseman Armani ETF-a
13970114,12152.00,12152,12152,12152.00,90,12152.00,Aseman Armani ETF-a
13970119,11715.00,11715,11715,11715.00,200,11715.00,Aseman Armani ETF-a
13970120,11719.00,11719,11718,11718.00,714,11718.00,Aseman Armani ETF-a
13970121,12001.00,12001,12001,12001.00,10000,12001.00,Aseman Armani ETF-a
13970126,11657.00,11657,11657,11657.00,90,11657.00,Aseman Armani ETF-a
13970127,11412.00,11412,11412,11412.00,1000,11412.00,Aseman Armani ETF-a
13970129,11491.00,11491,11491,11491.00,200,11491.00,Aseman Armani ETF-a
13970201,11527.00,11527,11527,11527.00,300,11527.00,Aseman Armani ETF-a
13970202,11507.00,11507,11507,11507.00,20,11507.00,Aseman Armani ETF-a
13970208,11546.00,11546,11429,11528.00,11875,11429.00,Aseman Armani ETF-a
13970209,11305.00,11305,11305,11305.00,30,11305.00,Aseman Armani ETF-a
13970218,11111.00,11111,11111,11111.00,5000,11111.00,Aseman Armani ETF-a
13970222,10803.00,10803,10798,10800.00,331,10798.00,Aseman Armani ETF-a
13970224,11032.00,11032,10864,10967.00,21808,10864.00,Aseman Armani ETF-a
13970225,11201.00,11220,11201,11202.00,5370,11220.00,Aseman Armani ETF-a
13970226,11200.00,11200,11200,11200.00,15,11200.00,Aseman Armani ETF-a
13970229,11216.00,11266,11210,11241.00,50000,11210.00,Aseman Armani ETF-a
13970230,11257.00,11257,11143,11222.00,32900,11143.00,Aseman Armani ETF-a
13970231,11299.00,11299,11262,11280.00,30000,11262.00,Aseman Armani ETF-a
13970301,11297.00,11297,11209,11253.00,20000,11209.00,Aseman Armani ETF-a
13970302,11265.00,11265,11265,11265.00,10000,11265.00,Aseman Armani ETF-a
13970305,11264.00,11264,11240,11255.00,30000,11240.00,Aseman Armani ETF-a
13970306,11288.00,11288,11173,11228.00,34200,11173.00,Aseman Armani ETF-a
13970307,11258.00,11258,11234,11246.00,20000,11234.00,Aseman Armani ETF-a
13970308,11232.00,11232,11212,11220.00,30000,11212.00,Aseman Armani ETF-a
13970309,11179.00,11179,10953,11081.00,26500,10953.00,Aseman Armani ETF-a
13970312,11129.00,11129,11129,11129.00,1000,11129.00,Aseman Armani ETF-a
13970313,11177.00,11177,11177,11177.00,1245,11177.00,Aseman Armani ETF-a
13970319,10905.00,10905,10905,10905.00,2000,10905.00,Aseman Armani ETF-a
13970320,10903.00,10903,10903,10903.00,85,10903.00,Aseman Armani ETF-a
13970323,10989.00,11586,11573,11581.00,30000,11586.00,Aseman Armani ETF-a
13970327,11969.00,12260,11730,11970.00,32590,11730.00,Aseman Armani ETF-a
13970328,12016.00,12105,11770,12090.00,541000,12105.00,Aseman Armani ETF-a
13970329,11917.00,11917,11917,11917.00,5,11917.00,Aseman Armani ETF-a
13970330,12110.00,12307,11986,12294.00,533809,12307.00,Aseman Armani ETF-a
