<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,9753.60,9760.40,9753.60,9760.40,1998648,9760.40,Index Group 39
13970106,9762.40,9789.30,9762.40,9779.30,6659350,9779.30,Index Group 39
13970107,9780.10,9825.60,9780.10,9825.40,18507279,9825.40,Index Group 39
13970108,9830.20,9866.20,9830.20,9866.20,23330112,9866.20,Index Group 39
13970114,9866.20,9868.80,9860.00,9860.00,4525717,9860.00,Index Group 39
13970115,9860.00,9892.50,9860.00,9891.20,6785716,9891.20,Index Group 39
13970118,9891.20,9891.20,9861.80,9861.80,11031045,9861.80,Index Group 39
13970119,9863.60,9863.90,9829.40,9829.40,21923670,9829.40,Index Group 39
13970120,9834.40,9834.40,9792.30,9797.10,28001607,9797.10,Index Group 39
13970121,9796.70,9796.70,9762.40,9762.40,6561186,9762.40,Index Group 39
13970122,9763.00,9763.00,9658.20,9658.20,25011167,9658.20,Index Group 39
13970126,9658.00,9658.00,9621.40,9623.50,8523206,9623.50,Index Group 39
13970127,9623.50,9623.70,9526.00,9526.00,12943826,9526.00,Index Group 39
13970128,9527.10,9546.80,9525.10,9546.80,15286075,9546.80,Index Group 39
13970129,9552.30,9560.30,9552.30,9560.30,9051523,9560.30,Index Group 39
13970201,9560.60,9560.60,9495.30,9495.30,10308579,9495.30,Index Group 39
13970202,9494.30,9494.30,9415.20,9415.20,9943559,9415.20,Index Group 39
13970203,9415.20,9415.20,9403.90,9403.90,2878057,9403.90,Index Group 39
13970204,9402.60,9402.60,9349.00,9349.00,26988545,9349.00,Index Group 39
13970205,9349.40,9354.70,9347.50,9347.90,12025942,9347.90,Index Group 39
13970208,9348.00,9348.00,9291.10,9303.70,19160885,9303.70,Index Group 39
13970209,9303.30,9303.30,9248.40,9248.40,19762128,9248.40,Index Group 39
13970210,9248.40,9248.40,9215.80,9215.80,8281052,9215.80,Index Group 39
13970211,9215.70,9215.80,9183.00,9205.20,10586357,9205.20,Index Group 39
13970215,9205.30,9205.30,9157.80,9157.80,7578776,9157.80,Index Group 39
13970216,9157.50,9157.50,9109.70,9109.70,9813784,9109.70,Index Group 39
13970217,9109.70,9109.90,9089.40,9089.40,8798415,9089.40,Index Group 39
13970218,9093.60,9111.30,9093.60,9111.30,9921821,9111.30,Index Group 39
13970219,9129.30,9187.80,9129.30,9187.80,70650924,9187.80,Index Group 39
13970222,9190.60,9218.90,9190.60,9218.90,23147656,9218.90,Index Group 39
13970223,9222.70,9229.00,9222.70,9228.20,16019349,9228.20,Index Group 39
13970224,9231.10,9241.60,9231.10,9241.60,16232368,9241.60,Index Group 39
13970225,9242.40,9245.80,9237.70,9237.70,13504377,9237.70,Index Group 39
13970226,9238.50,9274.60,9238.50,9267.90,17539116,9267.90,Index Group 39
13970229,9269.90,9270.10,9212.80,9212.80,30820373,9212.80,Index Group 39
13970230,9212.90,9213.10,9201.70,9201.70,12699358,9201.70,Index Group 39
13970231,9201.50,9202.90,9191.80,9191.80,7220529,9191.80,Index Group 39
13970301,9192.20,9199.20,9190.30,9190.30,12442083,9190.30,Index Group 39
13970302,9191.10,9191.10,9163.40,9163.40,11368663,9163.40,Index Group 39
13970305,9163.40,9293.80,9163.40,9290.70,17240042,9290.70,Index Group 39
13970306,9291.20,9322.30,9291.20,9321.40,12166870,9321.40,Index Group 39
13970307,9321.20,9325.70,9319.30,9319.30,14255970,9319.30,Index Group 39
13970308,9322.90,9326.40,9275.10,9275.10,25033898,9275.10,Index Group 39
13970309,9275.00,9282.80,9264.60,9275.80,22933829,9275.80,Index Group 39
13970312,9276.50,9305.60,9276.50,9302.00,21348353,9302.00,Index Group 39
13970313,9302.00,9323.80,9302.00,9320.40,18432595,9320.40,Index Group 39
13970319,9321.60,9334.90,9321.60,9331.80,13546600,9331.80,Index Group 39
13970320,9331.80,9343.20,9309.20,9309.20,14329529,9309.20,Index Group 39
13970321,9309.20,9316.30,9264.80,9264.80,22649241,9264.80,Index Group 39
13970322,9257.90,9320.60,9257.90,9273.90,73812143,9273.90,Index Group 39
13970323,9275.40,9677.40,9275.40,9677.40,92238616,9677.40,Index Group 39
13970327,9840.50,10151.40,9840.50,10151.40,135407234,10151.40,Index Group 39
13970328,10500.60,10646.30,10500.60,10628.30,365508202,10628.30,Index Group 39
13970329,10609.30,10979.40,10609.30,10979.40,158008323,10979.40,Index Group 39
