<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,206501.00,206852.00,206501.00,206852.00,106723807,206852.00,Secondary Index
13970106,206869.00,207235.00,206869.00,207220.00,122057342,207220.00,Secondary Index
13970107,207228.00,207752.00,207228.00,207752.00,200273749,207752.00,Secondary Index
13970108,207765.00,208029.00,207765.00,208009.00,148282490,208009.00,Secondary Index
13970114,208033.00,208255.00,208033.00,208153.00,101155394,208153.00,Secondary Index
13970115,208172.00,208335.00,208172.00,208335.00,185065719,208335.00,Secondary Index
13970118,208358.00,208366.00,207668.00,207668.00,181410973,207668.00,Secondary Index
13970119,207664.00,207664.00,206832.00,206834.00,219763966,206834.00,Secondary Index
13970120,206850.00,207911.00,206850.00,207784.00,318247512,207784.00,Secondary Index
13970121,208088.00,208222.00,207398.00,207398.00,226411264,207398.00,Secondary Index
13970122,207414.00,207459.00,206370.00,206757.00,253094508,206757.00,Secondary Index
13970126,206774.00,206794.00,206184.00,206184.00,163853647,206184.00,Secondary Index
13970127,206196.00,206213.00,205591.00,205591.00,148874465,205591.00,Secondary Index
13970128,205543.00,205543.00,204934.00,204934.00,132314550,204934.00,Secondary Index
13970129,204984.00,205087.00,204611.00,204611.00,123597814,204611.00,Secondary Index
13970201,204647.00,204697.00,204209.00,204209.00,124438724,204209.00,Secondary Index
13970202,204204.00,204204.00,202454.00,202454.00,135565532,202454.00,Secondary Index
13970203,202466.00,202479.00,201736.00,201736.00,138041604,201736.00,Secondary Index
13970204,201794.00,202151.00,201784.00,202033.00,160914885,202033.00,Secondary Index
13970205,202070.00,202474.00,202070.00,202089.00,147251046,202089.00,Secondary Index
13970208,202093.00,202093.00,200953.00,200953.00,186979370,200953.00,Secondary Index
13970209,200984.00,201035.00,199353.00,199353.00,199985139,199353.00,Secondary Index
13970210,199374.00,199968.00,199318.00,199319.00,190098311,199319.00,Secondary Index
13970211,199447.00,199665.00,199444.00,199529.00,197040690,199529.00,Secondary Index
13970215,199708.00,199759.00,198260.00,198260.00,161405870,198260.00,Secondary Index
13970216,198267.00,198443.00,197694.00,197694.00,180884134,197694.00,Secondary Index
13970217,197706.00,198039.00,197706.00,197993.00,138832162,197993.00,Secondary Index
13970218,198129.00,198550.00,198129.00,198550.00,251082661,198550.00,Secondary Index
13970219,198531.00,199091.00,198530.00,198754.00,365913038,198754.00,Secondary Index
13970222,198792.00,199273.00,198792.00,199185.00,185879417,199185.00,Secondary Index
13970223,199455.00,200094.00,199455.00,199978.00,272244904,199978.00,Secondary Index
13970224,200129.00,200817.00,200129.00,200743.00,228759326,200743.00,Secondary Index
13970225,200917.00,201282.00,200917.00,201093.00,369923634,201093.00,Secondary Index
13970226,201242.00,201378.00,200915.00,201256.00,449084014,201256.00,Secondary Index
13970229,201373.00,201829.00,201373.00,201539.00,291386360,201539.00,Secondary Index
13970230,201569.00,201846.00,201489.00,201627.00,325662172,201627.00,Secondary Index
13970231,201585.00,201894.00,201482.00,201838.00,334371336,201838.00,Secondary Index
13970301,201907.00,202126.00,201876.00,202126.00,216985943,202126.00,Secondary Index
13970302,202195.00,202633.00,202194.00,202339.00,236376040,202339.00,Secondary Index
13970305,202453.00,202750.00,201944.00,201944.00,284074633,201944.00,Secondary Index
13970306,201924.00,201930.00,201168.00,201169.00,256010454,201169.00,Secondary Index
13970307,201162.00,201184.00,200578.00,200578.00,267945390,200578.00,Secondary Index
13970308,200581.00,200620.00,199732.00,199750.00,219687327,199750.00,Secondary Index
13970309,199886.00,199967.00,199312.00,199312.00,239463548,199312.00,Secondary Index
13970312,199446.00,199555.00,199376.00,199376.00,167332450,199376.00,Secondary Index
13970313,199404.00,199567.00,199318.00,199318.00,179457738,199318.00,Secondary Index
13970319,199417.00,199436.00,199184.00,199315.00,272353775,199315.00,Secondary Index
13970320,199302.00,199711.00,199302.00,199517.00,326468331,199517.00,Secondary Index
13970321,199706.00,199854.00,199543.00,199554.00,427737039,199554.00,Secondary Index
13970322,199699.00,200049.00,199699.00,199722.00,442216596,199722.00,Secondary Index
13970323,199774.00,204816.00,199774.00,204816.00,606573794,204816.00,Secondary Index
13970327,206276.00,211044.00,206276.00,211044.00,564278175,211044.00,Secondary Index
13970328,213282.00,215617.00,213282.00,213979.00,712007501,213979.00,Secondary Index
13970329,214159.00,215644.00,214159.00,215519.00,635826591,215519.00,Secondary Index
13970330,215870.00,219804.00,215870.00,219755.00,989479635,219755.00,Secondary Index
13970402,220774.00,221537.00,220774.00,221039.00,502022778,221039.00,Secondary Index
13970403,221039.00,223925.00,221039.00,223843.00,622454330,223843.00,Secondary Index
13970404,226500.00,230153.00,226500.00,230018.00,860160433,230018.00,Secondary Index
13970405,231609.00,231609.00,227965.00,227965.00,822646824,227965.00,Secondary Index
13970406,227742.00,227868.00,223360.00,223360.00,552624486,223360.00,Secondary Index
13970409,224091.00,225300.00,223926.00,224542.00,403073652,224542.00,Secondary Index
