<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,4037.00,4041.00,4037.00,4041.00,46348297,4041.00,Top 50 Index
13970106,4042.00,4050.30,4040.20,4044.10,141221849,4044.10,Top 50 Index
13970107,4044.50,4051.50,4044.30,4051.20,192716600,4051.20,Top 50 Index
13970108,4051.70,4068.80,4051.70,4068.30,173242588,4068.30,Top 50 Index
13970114,4072.70,4078.50,4072.70,4075.30,89971245,4075.30,Top 50 Index
13970115,4075.30,4079.40,4075.30,4079.40,107227425,4079.40,Top 50 Index
13970118,4079.60,4080.40,4064.10,4064.10,167488269,4064.10,Top 50 Index
13970119,4059.30,4059.30,4050.20,4050.20,263737415,4050.20,Top 50 Index
13970120,4053.60,4098.20,4053.60,4098.20,435611232,4098.20,Top 50 Index
13970121,4099.40,4100.10,4077.90,4077.90,325820817,4077.90,Top 50 Index
13970122,4079.80,4082.00,4060.00,4064.30,283286377,4064.30,Top 50 Index
13970126,4064.60,4065.40,4054.50,4054.50,156825994,4054.50,Top 50 Index
13970127,4055.00,4055.00,4030.70,4030.70,163004458,4030.70,Top 50 Index
13970128,4034.00,4034.00,4030.40,4030.40,130794350,4030.40,Top 50 Index
13970129,4034.30,4035.00,4029.50,4029.80,121087390,4029.80,Top 50 Index
13970201,4030.00,4030.10,4014.50,4014.50,100189729,4014.50,Top 50 Index
13970202,4014.30,4014.30,3975.80,3975.80,263336355,3975.80,Top 50 Index
13970203,3975.60,3976.80,3968.30,3968.30,131264524,3968.30,Top 50 Index
13970204,3969.20,3983.50,3969.20,3980.80,179554543,3980.80,Top 50 Index
13970205,3981.90,3996.40,3981.90,3991.70,181818102,3991.70,Top 50 Index
13970208,3992.30,3992.30,3969.80,3969.80,180658887,3969.80,Top 50 Index
13970209,3970.00,3970.10,3949.10,3949.10,146634953,3949.10,Top 50 Index
13970210,3949.20,3950.10,3935.90,3935.90,162796977,3935.90,Top 50 Index
13970211,3936.90,3938.30,3936.90,3938.30,241403816,3938.30,Top 50 Index
13970215,3939.90,3940.80,3918.20,3918.20,205394956,3918.20,Top 50 Index
13970216,3917.80,3918.90,3910.90,3910.90,198105366,3910.90,Top 50 Index
13970217,3911.20,3923.10,3911.20,3922.50,150574271,3922.50,Top 50 Index
13970218,3926.00,3939.80,3926.00,3939.80,222229532,3939.80,Top 50 Index
13970219,3951.10,3954.60,3950.60,3950.80,661402300,3950.80,Top 50 Index
13970222,3956.00,3961.00,3956.00,3958.60,256633628,3958.60,Top 50 Index
13970223,3962.60,3966.90,3962.60,3965.60,312199975,3965.60,Top 50 Index
13970224,3967.80,3982.50,3967.80,3982.30,263349798,3982.30,Top 50 Index
13970225,3986.60,3990.60,3986.60,3988.90,309225438,3988.90,Top 50 Index
13970226,3990.10,3993.90,3989.10,3991.80,247097925,3991.80,Top 50 Index
13970229,3995.30,3999.90,3995.30,3995.90,199170271,3995.90,Top 50 Index
13970230,3997.80,4000.60,3994.50,3994.50,194013971,3994.50,Top 50 Index
13970231,3995.20,4001.00,3995.10,3999.70,188185561,3999.70,Top 50 Index
13970301,4000.00,4002.20,4000.00,4001.20,167054161,4001.20,Top 50 Index
13970302,4001.70,4014.30,4001.70,4011.80,200336528,4011.80,Top 50 Index
13970305,4017.30,4034.20,4017.30,4028.10,345374721,4028.10,Top 50 Index
13970306,4032.10,4032.60,4019.00,4019.00,202674814,4019.00,Top 50 Index
13970307,4018.70,4021.90,4017.70,4017.70,220589806,4017.70,Top 50 Index
13970308,4018.50,4024.80,4014.10,4014.20,225181493,4014.20,Top 50 Index
13970309,4015.50,4026.80,4015.50,4024.60,300325767,4024.60,Top 50 Index
13970312,4033.90,4046.00,4033.90,4042.40,290671344,4042.40,Top 50 Index
13970313,4042.90,4043.80,4042.90,4043.50,214130822,4043.50,Top 50 Index
13970319,4051.80,4054.00,4041.50,4041.80,303448435,4041.80,Top 50 Index
13970320,4042.20,4042.50,4029.60,4029.60,272717972,4029.60,Top 50 Index
13970321,4031.20,4031.20,4023.80,4023.90,251539576,4023.90,Top 50 Index
13970322,4025.00,4044.70,4025.00,4044.70,397138470,4044.70,Top 50 Index
13970323,4057.40,4172.50,4057.40,4172.50,784654720,4172.50,Top 50 Index
13970327,4250.90,4324.90,4250.90,4324.90,1017862546,4324.90,Top 50 Index
13970328,4412.80,4436.10,4412.80,4426.70,1595777772,4426.70,Top 50 Index
13970329,4421.70,4526.20,4421.70,4526.20,963030879,4526.20,Top 50 Index
13970330,4540.20,4643.10,4540.20,4636.10,1353773500,4636.10,Top 50 Index
13970402,4651.00,4655.90,4637.20,4655.90,678728308,4655.90,Top 50 Index
13970403,4694.30,4787.40,4694.30,4787.40,1401754420,4787.40,Top 50 Index
13970404,4884.00,4948.10,4884.00,4944.50,1827675659,4944.50,Top 50 Index
13970405,4930.30,4930.30,4862.10,4866.30,1103568172,4866.30,Top 50 Index
13970406,4874.40,4879.40,4760.20,4760.20,1092899939,4760.20,Top 50 Index
13970409,4767.70,4783.70,4765.10,4767.80,478171305,4767.80,Top 50 Index
13970410,4753.90,4753.90,4627.60,4627.60,763468187,4627.60,Top 50 Index
13970411,4646.00,4691.50,4646.00,4691.50,433648913,4691.50,Top 50 Index
13970412,4724.10,4820.00,4724.10,4815.10,791367771,4815.10,Top 50 Index
13970413,4849.30,4862.10,4825.00,4825.00,876252367,4825.00,Top 50 Index
13970416,4794.50,4794.50,4752.00,4752.00,538120111,4752.00,Top 50 Index
13970417,4766.60,4766.60,4747.10,4747.10,318890518,4747.10,Top 50 Index
13970419,4760.90,4765.90,4751.10,4751.10,289416590,4751.10,Top 50 Index
13970420,4750.50,4750.50,4691.00,4691.00,423584346,4691.00,Top 50 Index
13970423,4690.70,4690.70,4648.90,4648.90,409434039,4648.90,Top 50 Index
13970424,4647.60,4647.60,4592.80,4593.50,493207681,4593.50,Top 50 Index
13970425,4599.00,4608.80,4586.70,4586.70,450010689,4586.70,Top 50 Index
13970426,4587.00,4587.00,4552.10,4558.30,589091161,4558.30,Top 50 Index
13970427,4559.70,4568.00,4550.00,4554.10,985823081,4554.10,Top 50 Index
13970430,4568.50,4579.10,4568.50,4575.40,97616677,4575.40,Top 50 Index
13970431,4590.90,4611.40,4590.90,4605.20,311846610,4605.20,Top 50 Index
13970501,4608.80,4610.00,4594.10,4602.80,266182069,4602.80,Top 50 Index
13970502,4606.50,4607.70,4589.50,4589.50,351469701,4589.50,Top 50 Index
13970503,4590.30,4616.60,4590.30,4616.60,474015011,4616.60,Top 50 Index
13970506,4743.00,4772.50,4743.00,4770.80,834446467,4770.80,Top 50 Index
13970507,4861.80,4873.30,4851.20,4869.50,1067464602,4869.50,Top 50 Index
13970508,4912.00,5021.70,4912.00,5019.40,1292143817,5019.40,Top 50 Index
13970509,5133.70,5226.00,5133.70,5226.00,563753400,5226.00,Top 50 Index
13970510,5350.90,5383.10,5350.90,5362.00,1385645028,5362.00,Top 50 Index
13970513,5349.80,5403.20,5343.80,5384.60,1104957345,5384.60,Top 50 Index
13970514,5537.60,5592.30,5537.60,5589.20,1808502418,5589.20,Top 50 Index
13970515,5747.50,5865.00,5747.50,5857.10,2513466522,5857.10,Top 50 Index
13970516,5814.20,5900.00,5814.20,5856.20,1756887124,5856.20,Top 50 Index
13970517,5866.30,5866.30,5756.90,5756.90,1458321795,5756.90,Top 50 Index
13970520,5743.80,5743.80,5631.70,5631.70,951219150,5631.70,Top 50 Index
13970521,5641.50,5703.80,5641.50,5670.40,946147075,5670.40,Top 50 Index
13970522,5658.80,5658.80,5588.80,5600.10,906593509,5600.10,Top 50 Index
13970523,5621.90,5732.70,5621.90,5718.80,897723501,5718.80,Top 50 Index
13970524,5724.50,5724.50,5698.80,5698.80,556687560,5698.80,Top 50 Index
13970527,5698.60,5739.40,5697.30,5739.40,623858447,5739.40,Top 50 Index
13970528,5787.50,5893.30,5787.50,5868.40,947975492,5868.40,Top 50 Index
13970529,5927.50,6008.30,5927.50,6004.00,1249346947,6004.00,Top 50 Index
13970530,6005.80,6014.30,5990.80,5991.20,831790210,5991.20,Top 50 Index
