<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<Last P>,<Name>
13970105,194.90,194.90,189.70,189.80,5298725,189.80,OTC Main Board idx
13970106,187.90,191.40,187.90,191.40,23574072,191.40,OTC Main Board idx
13970107,191.40,191.40,190.50,191.00,6040404,191.00,OTC Main Board idx
13970108,191.20,192.40,190.90,191.50,24240101,191.50,OTC Main Board idx
13970114,194.10,194.10,192.10,192.40,6791981,192.40,OTC Main Board idx
13970115,192.30,192.40,191.90,191.90,10631174,191.90,OTC Main Board idx
13970118,191.90,191.90,190.80,190.80,12272932,190.80,OTC Main Board idx
13970119,192.00,192.00,188.30,188.40,25656884,188.40,OTC Main Board idx
13970120,187.10,188.10,187.10,187.90,23655987,187.90,OTC Main Board idx
13970121,188.20,188.70,186.40,188.40,17633259,188.40,OTC Main Board idx
13970122,188.60,188.60,187.20,187.20,43966130,187.20,OTC Main Board idx
13970126,187.30,187.70,186.90,186.90,17755368,186.90,OTC Main Board idx
13970127,187.40,187.70,187.00,187.30,12373757,187.30,OTC Main Board idx
13970128,191.00,191.00,189.00,189.00,12201920,189.00,OTC Main Board idx
13970129,190.00,190.60,189.10,189.30,23938140,189.30,OTC Main Board idx
13970201,189.80,189.80,188.90,189.20,9123334,189.20,OTC Main Board idx
13970202,189.40,189.70,189.20,189.20,8767559,189.20,OTC Main Board idx
13970203,189.80,189.80,188.30,188.40,10133773,188.40,OTC Main Board idx
13970204,188.80,189.90,188.80,189.20,8449326,189.20,OTC Main Board idx
13970205,190.20,190.20,189.40,189.40,10422327,189.40,OTC Main Board idx
13970208,189.40,189.80,188.80,188.80,7928355,188.80,OTC Main Board idx
13970209,189.10,189.30,188.80,188.90,25468611,188.90,OTC Main Board idx
13970210,190.30,190.30,189.20,189.60,15712974,189.60,OTC Main Board idx
13970211,189.60,190.30,189.60,189.90,17869521,189.90,OTC Main Board idx
13970215,190.20,190.80,190.00,190.20,13620389,190.20,OTC Main Board idx
13970216,190.70,191.80,190.50,191.40,15254930,191.40,OTC Main Board idx
