<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171007,826.77,827,827,826.77,30000000
20171008,867.84,868,868,867.84,40281
20171009,911.02,911,911,911.02,31469
20171010,956.31,956,956,956.31,3089737
20171011,1003.71,1004,1004,1003.71,3227743
20171014,1053.73,1054,1054,1053.73,9091151
20171015,1089.54,1159,1090,1133.78,47481365
20171016,1173.27,1195,1134,1160.11,15129803
20171017,1131.67,1132,1065,1085.86,9460539
20171018,1072.16,1093,1064,1073.22,4836692
20171021,1068.48,1069,1001,1030.56,5333668
20171022,1047.41,1047,1016,1032.14,3485897
20171023,1038.46,1042,982,1020.56,4135373
20171024,1026.88,1032,1001,1020.56,2627463
20171025,1026.35,1030,1011,1021.08,2531443
20171028,1032.14,1032,1014,1023.72,2525258
20171029,1026.88,1027,1016,1023.72,2216029
20171030,1025.82,1032,1011,1023.19,1629980
20171031,1024.24,1079,1011,1044.25,2681507
20171101,1053.21,1068,1027,1041.10,1084442
20171104,1053.21,1053,948,1033.72,1984653
20171105,1037.41,1043,1006,1033.72,1290664
20171106,1036.36,1037,1016,1031.09,1056752
20171107,1033.72,1042,1017,1031.09,799261
20171108,1011.61,1032,1011,1015.82,355277
20171111,1016.34,1030,1002,1012.13,483409
20171112,1006.87,1022,997,1002.65,783662
20171113,1001.07,1016,1001,1002.65,734337
20171114,1001.07,1015,995,1001.07,1074326
20171115,1000.55,1001,985,997.91,702216
20171118,974.74,998,968,975.80,543173
20171120,1000.02,1000,960,972.11,546802
20171121,985.28,1035,985,1014.24,1225746
20171122,1008.97,1016,983,992.12,611472
20171125,974.74,990,969,974.74,874361
20171126,961.05,984,958,967.37,779470
20171128,958.42,969,954,957.37,692958
20171129,963.68,979,964,965.79,539523
20171202,967.37,999,967,979.48,739629
20171203,974.74,995,964,974.22,929519
20171204,964.21,979,964,972.64,309524
20171205,975.80,982,969,974.22,301441
20171209,965.26,1011,965,984.75,1116062
20171210,985.80,1001,982,986.33,607607
20171211,1000.55,1027,979,1006.87,1151468
20171212,1005.81,1011,985,997.91,1225176
20171213,981.59,1030,980,1016.34,1727548
