<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20130313,2295.12,2295,2295,2295.12,1000000,100,وآفري-ت
20130317,2295.12,2295,2295,2295.12,41900000,4190,وآفري-ت
20130318,2295.12,2295,2295,2295.12,7375000,739,وآفري-ت
20130409,2295.12,2295,2295,2295.12,500000,50,وآفري-ت
20130415,2295.12,2295,2295,2295.12,50,1,وآفري-ت
20130420,2180.36,2180,2180,2180.36,5000000,500,وآفري-ت
20130428,2138.63,2139,2116,2136.55,1000000,1810,وآفري-ت
20130507,2115.68,2137,2081,2119.85,6984739,716,وآفري-ت
20130611,2014.49,2014,2014,2014.49,500,1,وآفري-ت
20130615,2013.44,2013,2013,2013.44,571427,60,وآفري-ت
20130626,2011.36,2011,1982,1984.23,802510,1602,وآفري-ت
20130629,1886.17,1886,1886,1886.17,26641,8,وآفري-ت
20130630,1929.98,1930,1930,1929.98,1617436,298,وآفري-ت
20130706,2014.49,2014,1931,1996.75,142855,23,وآفري-ت
20130714,2095.86,2096,2096,2095.86,8728,2,وآفري-ت
20130716,2095.86,2200,2096,2096.90,693771,81,وآفري-ت
20130717,2201.23,2201,2201,2201.23,1500,1,وآفري-ت
20130820,2399.44,2399,2399,2231.48,100000,10,وآفري-ت
20130908,2205.40,2205,2205,2231.48,500,1,وآفري-ت
20130915,2608.09,2608,2608,2233.57,1000,1,وآفري-ت
20130921,3129.70,3130,3130,2561.14,58500,54,وآفري-ت
20131119,1280.05,1280,1280,948.30,107000,11,وآفري-ت
20131120,1421.93,1422,1422,1047.41,100000,10,وآفري-ت
20131125,1571.11,1571,1571,1101.66,50000,5,وآفري-ت
20131126,1652.48,1652,1652,1218.50,101809,18,وآفري-ت
20131127,1827.75,1828,1828,1611.80,310000,32,وآفري-ت
20131130,1692.13,1692,1692,1692.13,2000,1,وآفري-ت
20131201,1776.63,1777,1777,1776.63,5000,1,وآفري-ت
20131203,1865.30,1865,1865,1865.30,32809,11,وآفري-ت
20131204,1958.15,1958,1958,1958.15,93300,17,وآفري-ت
20131208,2055.17,2055,2055,2055.17,19000,7,وآفري-ت
20131209,2157.41,2157,2157,2157.41,39000,8,وآفري-ت
20131210,2264.86,2265,2265,2264.86,13171,8,وآفري-ت
20131211,2377.53,2378,2378,2377.53,37000,7,وآفري-ت
20131214,2491.25,2491,2274,2355.62,290582,55,وآفري-ت
20131215,2472.47,2472,2472,2472.47,105217,16,وآفري-ت
20131216,2595.57,2596,2596,2595.57,53363,12,وآفري-ت
20131217,2724.93,2725,2725,2724.93,94967,23,وآفري-ت
20131221,2860.55,2861,2856,2859.51,116841,30,وآفري-ت
20131222,2716.58,2717,2717,2716.58,10000,1,وآفري-ت
20131224,2608.09,2848,2581,2631.04,22162,5,وآفري-ت
20131225,2503.76,2504,2500,2499.59,64000,13,وآفري-ت
20131228,2618.52,2624,2619,2623.74,124456,52,وآفري-ت
20131229,2754.14,2754,2624,2714.50,249814,58,وآفري-ت
20131230,2850.12,2850,2850,2850.12,100000,14,وآفري-ت
20140101,2816.73,2817,2817,2816.73,2500,1,وآفري-ت
20140104,2680.07,2680,2680,2680.07,500,1,وآفري-ت
20140105,2712.41,2712,2547,2548.62,15205,6,وآفري-ت
20140106,2675.90,2676,2674,2675.90,63278,18,وآفري-ت
20140107,2712.41,2809,2712,2712.41,3412,4,وآفري-ت
20140111,2794.83,2795,2577,2599.74,7500,3,وآفري-ت
20140113,2470.38,2472,2470,2470.38,107897,21,وآفري-ت
20140114,2399.44,2514,2347,2377.53,57604,15,وآفري-ت
20140115,2259.65,2260,2260,2259.65,25000,6,وآفري-ت
20140118,2146.98,2147,2147,2146.98,85170,19,وآفري-ت
20140120,2146.98,2147,2041,2041.61,51285,7,وآفري-ت
20140121,1951.89,1952,1940,1945.63,147500,55,وآفري-ت
20140122,1848.61,1849,1849,1848.61,20000,4,وآفري-ت
20140125,1783.93,1784,1784,1783.93,5848,1,وآفري-ت
20140126,1696.30,1696,1695,1696.30,21686,6,وآفري-ت
20140127,1648.31,1696,1648,1680.65,15000,5,وآفري-ت
20140128,1597.19,1764,1597,1655.61,168334,108,وآفري-ت
20140129,1738.03,1738,1738,1738.03,10000,2,وآفري-ت
20140201,1824.62,1825,1825,1824.62,40770,6,وآفري-ت
20140202,1915.38,1915,1915,1915.38,50000,5,وآفري-ت
20140203,2010.31,2010,1930,1981.10,158386,32,وآفري-ت
20140204,1883.04,1883,1883,1883.04,57718,7,وآفري-ت
20140209,1792.28,1930,1792,1903.90,7905,4,وآفري-ت
20140210,1825.66,1826,1826,1825.66,9396,8,وآفري-ت
20140212,1765.15,1765,1735,1738.03,64406,29,وآفري-ت
20140215,1824.62,1825,1823,1823.57,37190,10,وآفري-ت
20140216,1825.66,1826,1733,1806.88,24900,5,وآفري-ت
20140217,1824.62,1897,1825,1834.01,41384,11,وآفري-ت
20140219,1877.82,1878,1835,1855.91,10000,2,وآفري-ت
20140222,1898.69,1948,1899,1944.59,172123,35,وآفري-ت
20140223,1944.59,2042,1945,1974.84,50507,8,وآفري-ت
20140304,1876.78,1877,1877,1876.78,2000,1,وآفري-ت
20140305,1875.74,1876,1784,1789.15,72360,16,وآفري-ت
20140308,1701.52,1702,1700,1700.47,35165,9,وآفري-ت
20140309,1637.88,1638,1638,1637.88,1000,1,وآفري-ت
20140311,1558.59,1559,1558,1558.59,10000,6,وآفري-ت
20140315,1635.79,1636,1636,1635.79,2059,2,وآفري-ت
20140316,1717.16,1717,1717,1717.16,2100,3,وآفري-ت
20140317,1802.71,1803,1803,1802.71,2100,2,وآفري-ت
20140318,1892.43,1892,1892,1892.43,11400,13,وآفري-ت
20140319,1961.28,1961,1959,1960.24,6480,3,وآفري-ت
20140325,1961.28,1961,1960,1961.28,31357,5,وآفري-ت
20140420,1959.20,1982,1863,1956.07,111142,36,وآفري-ت
20140426,1980.06,1980,1970,1971.71,4000,3,وآفري-ت
20140427,1969.63,1970,1961,1962.32,5470,4,وآفري-ت
20140430,1967.54,1968,1968,1967.54,1000,1,وآفري-ت
20140505,1967.54,1968,1968,1967.54,2000,3,وآفري-ت
20140510,1884.08,1884,1884,1884.08,6072,6,وآفري-ت
20140512,1790.19,1790,1790,1790.19,1500,1,وآفري-ت
20140514,1701.52,1712,1702,1703.60,66341,16,وآفري-ت
20140517,1619.10,1619,1619,1619.10,100000,28,وآفري-ت
20140519,1539.81,1540,1539,1538.77,207000,27,وآفري-ت
20140520,1491.83,1565,1463,1500.17,136023,29,وآفري-ت
20140521,1574.24,1574,1574,1574.24,20516,5,وآفري-ت
