<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131106,71.69,72,72,71.69,40,1,Iran Cable-a
20131204,71.69,72,72,71.69,3000,3,Iran Cable-a
20131222,71.69,72,72,71.69,4821,5,Iran Cable-a
20140126,71.69,72,72,71.69,840,1,Iran Cable-a
20140317,308.28,308,308,308.28,2580097,1,Iran Cable-a
20140325,50.19,50,50,50.19,130,1,Iran Cable-a
20140503,50.19,50,50,50.19,710,1,Iran Cable-a
20140806,50.26,50,50,50.26,250669,24,Iran Cable-a
20140813,50.26,50,50,50.26,153654,15,Iran Cable-a
20140819,50.26,50,50,50.26,427,1,Iran Cable-a
20140831,50.33,57,50,50.33,104400,23,Iran Cable-a
20140901,50.40,50,50,50.40,861,1,Iran Cable-a
20140920,57.35,57,57,57.35,9576,1,Iran Cable-a
20140923,64.60,65,57,58.36,175791,18,Iran Cable-a
20140924,58.36,73,58,66.10,181603,22,Iran Cable-a
20140928,89.62,90,90,89.62,64500,2,Iran Cable-a
20140930,100.37,100,100,100.37,515665,45,Iran Cable-a
20141004,125.46,125,125,125.46,78770,9,Iran Cable-a
20141007,157.73,158,158,157.73,64500,1,Iran Cable-a
20141008,157.80,158,158,157.80,86590,13,Iran Cable-a
20141020,159.23,159,159,159.23,107,1,Iran Cable-a
20141022,159.16,159,159,159.16,340,1,Iran Cable-a
20141026,143.39,143,143,143.39,104,1,Iran Cable-a
20141029,143.46,143,143,143.46,1,1,Iran Cable-a
20141101,144.10,144,144,144.10,10296,1,Iran Cable-a
20141102,144.18,145,144,144.32,12679,2,Iran Cable-a
20141105,144.89,145,145,144.89,8850,1,Iran Cable-a
20141119,143.46,143,143,143.46,11583,3,Iran Cable-a
20141122,143.46,143,143,143.46,549360,4,Iran Cable-a
20141123,143.46,143,143,143.46,67327,4,Iran Cable-a
20141125,144.18,144,144,144.18,350994,1,Iran Cable-a
20141126,147.04,147,147,147.04,316688,18,Iran Cable-a
20141129,147.04,147,147,147.04,21000,1,Iran Cable-a
20141130,147.12,147,147,147.12,100,1,Iran Cable-a
20141201,147.26,147,147,147.26,87508,8,Iran Cable-a
20141202,150.56,151,151,150.56,33568,4,Iran Cable-a
20141203,150.63,151,151,150.63,222852,2,Iran Cable-a
20141207,150.63,151,151,150.63,2000,2,Iran Cable-a
20141208,150.63,151,151,150.63,257827,21,Iran Cable-a
20141214,150.70,151,151,150.70,550914,2,Iran Cable-a
20141215,150.63,151,151,150.63,73970,19,Iran Cable-a
20141216,150.63,151,151,150.63,116729,13,Iran Cable-a
20141217,150.63,151,151,150.63,9765,1,Iran Cable-a
20141227,161.31,161,151,150.70,113939,16,Iran Cable-a
20141229,150.63,151,151,150.63,26928,3,Iran Cable-a
20141231,167.12,167,167,167.12,53804,4,Iran Cable-a
20150105,168.55,169,169,168.55,166938,16,Iran Cable-a
20150106,168.62,169,169,168.62,500000,2,Iran Cable-a
20150107,168.62,169,168,168.62,27704,8,Iran Cable-a
20150111,168.62,169,169,168.62,6132,1,Iran Cable-a
20150114,169.20,169,169,169.20,97926,2,Iran Cable-a
20150119,172.06,172,172,172.06,840,1,Iran Cable-a
20150120,172.14,174,172,173.14,54313,3,Iran Cable-a
20150121,177.08,177,177,177.08,840,1,Iran Cable-a
20150126,177.15,177,177,177.15,56995,7,Iran Cable-a
20150201,177.23,177,177,177.23,4160,9,Iran Cable-a
20150202,177.30,177,177,177.30,1341,1,Iran Cable-a
20150207,177.37,177,177,177.37,5510,2,Iran Cable-a
20150215,196.80,197,197,196.80,351094,1,Iran Cable-a
20150216,196.87,197,197,196.87,9803,1,Iran Cable-a
20150304,196.94,197,197,196.94,28370,5,Iran Cable-a
20150307,197.16,197,197,197.16,10000,1,Iran Cable-a
20150308,197.23,197,197,197.23,39684,4,Iran Cable-a
20150309,197.23,197,197,197.23,182263,18,Iran Cable-a
20150315,197.16,197,197,197.16,840,1,Iran Cable-a
20150316,197.23,197,197,197.23,7062,7,Iran Cable-a
20150405,197.16,197,197,197.16,20,1,Iran Cable-a
20150411,197.23,197,197,197.23,13964,2,Iran Cable-a
20150413,197.30,197,197,197.30,2000,2,Iran Cable-a
20150503,197.30,197,197,197.30,20761,3,Iran Cable-a
20150518,197.37,197,197,197.37,2155,1,Iran Cable-a
20150606,197.87,198,198,197.87,840,1,Iran Cable-a
20150815,198.59,199,199,198.59,840,1,Iran Cable-a
20150817,211.50,211,211,211.50,49500,2,Iran Cable-a
20150823,233.00,233,233,233.00,10000,1,Iran Cable-a
20150824,233.08,244,233,243.04,12340,2,Iran Cable-a
20150901,243.04,243,243,243.04,90708,12,Iran Cable-a
20150902,290.36,290,290,290.36,10000,1,Iran Cable-a
20150905,290.43,290,290,290.43,10000,1,Iran Cable-a
20151003,290.43,290,290,290.43,9460,1,Iran Cable-a
20151017,301.11,301,301,301.11,5000,1,Iran Cable-a
20151020,308.28,308,308,308.28,106447,2,Iran Cable-a
20151102,293.94,294,294,293.94,1341,1,Iran Cable-a
20151219,316.17,316,316,316.17,7500,1,Iran Cable-a
20151220,316.17,316,316,316.17,1340,1,Iran Cable-a
20160120,316.17,316,316,316.17,100,1,Iran Cable-a
20160227,316.31,316,316,316.31,1854,4,Iran Cable-a
20160411,316.31,316,316,316.31,92,1,Iran Cable-a
20160413,316.31,316,316,316.31,92,1,Iran Cable-a
20160622,451.67,452,452,451.67,42540,4,Iran Cable-a
20160626,451.67,452,452,451.67,2878,1,Iran Cable-a
20160704,451.67,452,452,451.67,12147,1,Iran Cable-a
20160719,451.67,452,452,451.67,2000,1,Iran Cable-a
20160904,451.67,452,452,451.67,4500,1,Iran Cable-a
20161123,451.67,452,452,451.67,4200,3,Iran Cable-a
20170102,451.60,452,452,451.67,1076,2,Iran Cable-a
20170814,451.67,452,452,451.67,35,2,Iran Cable-a
20170816,496.84,497,452,452.89,4420,2,Iran Cable-a
20170916,519.78,520,520,453.82,206,1,Iran Cable-a
20170920,519.64,681,520,460.06,1164,4,Iran Cable-a
20171009,688.26,688,452,470.09,2349,4,Iran Cable-a
20180113,451.67,452,452,469.16,5004,4,Iran Cable-a
20180122,686.47,686,686,470.02,400,2,Iran Cable-a
20180319,470.02,470,470,470.02,100,1,Iran Cable-a
20180528,470.17,470,470,470.02,900,1,Iran Cable-a
20180530,525.80,526,526,470.52,900,1,Iran Cable-a
20180602,525.80,526,526,470.67,200,1,Iran Cable-a
20180609,470.67,471,471,470.67,99,1,Iran Cable-a
20180714,470.67,471,471,470.67,100,1,Iran Cable-a
20180811,470.67,471,471,470.67,167,1,Iran Cable-a
20180815,470.67,471,471,470.67,15458,2,Iran Cable-a
20180901,286.77,287,287,470.45,100,1,Iran Cable-a
20180910,473.18,473,473,470.45,50,1,Iran Cable-a
20180912,1003.93,1004,1004,473.97,662,3,Iran Cable-a
20180915,1075.40,1075,1075,477.69,625,8,Iran Cable-a
20180917,2516.52,2517,2517,525.08,2325,9,Iran Cable-a
20180926,3584.68,3585,3585,569.25,1443,11,Iran Cable-a
20180929,3584.68,3585,3585,570.68,48,1,Iran Cable-a
20181001,3584.68,3585,3585,621.80,1695,8,Iran Cable-a
20181006,3656.37,3656,3621,647.89,866,6,Iran Cable-a
20181013,647.89,648,648,647.89,1,1,Iran Cable-a
20181017,3656.37,3656,3656,709.12,2034,10,Iran Cable-a
20181020,3656.37,3656,3656,732.28,785,5,Iran Cable-a
20181029,3369.60,3370,3370,774.58,1603,5,Iran Cable-a
20181031,3584.68,3585,3585,785.33,382,5,Iran Cable-a
20181110,3584.68,3585,3585,850.07,2313,5,Iran Cable-a
20181114,3584.68,3585,3585,852.01,70,4,Iran Cable-a
20181119,3656.37,3656,3656,1193.84,12189,15,Iran Cable-a
20181121,3656.37,3656,3656,1198.79,200,1,Iran Cable-a
20181128,3585.04,3585,3585,1200.01,50,1,Iran Cable-a
20181203,3584.68,3585,3585,1220.08,841,6,Iran Cable-a
20181205,3943.15,3943,3943,1255.21,1290,5,Iran Cable-a
20181208,1900.67,1901,1901,1260.66,840,6,Iran Cable-a
20181210,3656.37,3656,3656,1303.75,1800,8,Iran Cable-a
20181212,3943.15,3943,3943,1313.86,383,6,Iran Cable-a
20181215,4086.53,4087,4087,1327.91,507,4,Iran Cable-a
20181217,3584.68,3585,3585,1346.84,840,2,Iran Cable-a
20181219,3961.07,3961,3961,1347.34,18,1,Iran Cable-a
20181224,3728.07,3728,3728,1351.57,177,1,Iran Cable-a
20181229,3584.82,4087,3585,1395.52,1777,12,Iran Cable-a
20190105,3728.42,3728,3728,1406.27,461,6,Iran Cable-a
20190112,3584.68,3585,3585,1678.63,12503,1,Iran Cable-a
20190114,4301.61,4302,4302,1717.28,1474,14,Iran Cable-a
20190116,2150.88,2151,2151,1718.64,306,3,Iran Cable-a
20190128,3584.68,3585,3585,1754.63,1930,11,Iran Cable-a
20190130,3584.68,3585,3585,1755.20,30,1,Iran Cable-a
20190204,3584.68,3585,3585,1793.99,2120,9,Iran Cable-a
20190206,2867.74,2868,2868,1795.42,132,2,Iran Cable-a
20190216,3799.76,3800,3800,1797.86,120,3,Iran Cable-a
20190218,4660.08,5520,4660,2029.00,7219,27,Iran Cable-a
20190703,2191.00,3100,2191,2520.00,1521320,69,Iran Cable-a
20190805,0.00,7600,0,2520.00,555819,114,Iran Cable-a
20190902,2595.00,2672,2595,2601.00,54528,3,Iran Cable-a
20190904,2679.00,2679,2679,2679.00,186163,12,Iran Cable-a
20190917,2759.00,2759,2759,2759.00,6510,4,Iran Cable-a
20190921,2759.00,2759,2759,2759.00,2960,2,Iran Cable-a
20190923,2759.00,2759,2759,2759.00,20100,3,Iran Cable-a
20190925,2841.00,2841.00,2841.00,2841.00,8827,35,Iran Cable-a
