<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20101123,300.00,300,298,298.00,6000,2,خفنرح-ت
20101128,298.00,298,298,298.00,12560,2,خفنرح-ت
20101212,275.00,275,275,275.00,10000,2,خفنرح-ت
20101213,253.00,253,253,253.00,5000,2,خفنرح-ت
20101214,233.00,233,233,233.00,4000,2,خفنرح-ت
20101221,215.00,215,215,215.00,1000,1,خفنرح-ت
20101222,198.00,198,198,198.00,1000,1,خفنرح-ت
20101225,183.00,183,183,183.00,1000,1,خفنرح-ت
20101226,169.00,169,169,169.00,6000,4,خفنرح-ت
20101227,167.00,169,167,168.00,45000,7,خفنرح-ت
20101228,155.00,155,155,155.00,21275,7,خفنرح-ت
20110309,100.00,100,100,100.00,3673861,97,خفنرح-ت
20180714,880.00,968,880,943.00,312797,49,خفنرح-ت
20180715,1037.00,1037,1037,1037.00,305042,16,خفنرح-ت
20180716,1140.00,1140,1140,1140.00,19081,4,خفنرح-ت
20180717,1254.00,1254,1254,1254.00,7000,5,خفنرح-ت
20180718,1355.00,1379,1300,1374.00,496681,84,خفنرح-ت
20180721,1508.00,1508,1239,1306.00,257712,70,خفنرح-ت
20180722,1310.00,1436,1253,1429.00,291781,60,خفنرح-ت
20180723,1490.00,1491,1376,1449.00,132415,55,خفنرح-ت
20180724,1470.00,1470,1305,1335.00,1139782,91,خفنرح-ت
20180725,1358.00,1468,1358,1468.00,783628,42,خفنرح-ت
20180728,1614.00,1614,1575,1613.00,1124468,141,خفنرح-ت
20180729,1747.00,1774,1600,1763.00,283506,47,خفنرح-ت
20180730,1939.00,1939,1750,1863.00,50182,24,خفنرح-ت
20180731,1914.00,1914,1677,1685.00,777975,71,خفنرح-ت
20180801,1847.00,1847,1517,1521.00,333222,46,خفنرح-ت
20180804,1597.00,1597,1369,1376.00,205079,44,خفنرح-ت
20180805,1369.00,1509,1369,1476.00,65140,17,خفنرح-ت
20180806,1619.00,1619,1329,1335.00,153315,30,خفنرح-ت
20180807,1202.00,1397,1202,1203.00,256819,32,خفنرح-ت
20180808,1093.00,1180,1083,1092.00,182462,41,خفنرح-ت
20180811,1000.00,1128,983,1020.00,160772,34,خفنرح-ت
20180812,943.00,1066,941,983.00,180451,58,خفنرح-ت
20180813,902.00,999,902,944.00,114519,31,خفنرح-ت
20180814,882.00,964,882,942.00,85619,31,خفنرح-ت
20180815,852.00,1029,852,990.00,12645,13,خفنرح-ت
20180818,903.00,1037,903,999.00,25762,12,خفنرح-ت
20180819,1049.00,1040,974,1008.00,1970,4,خفنرح-ت
20180820,997.00,1026,910,938.00,40668,16,خفنرح-ت
20180821,980.00,1031,940,986.00,253505,35,خفنرح-ت
20180825,1014.00,1084,1010,1070.00,100144,28,خفنرح-ت
20180826,1176.00,1177,1115,1173.00,144774,40,خفنرح-ت
20180827,1132.00,1247,1063,1112.00,33825,17,خفنرح-ت
20180828,1032.00,1145,1002,1070.00,103677,34,خفنرح-ت
20180829,979.00,999,966,975.00,82967,25,خفنرح-ت
20180901,975.00,989,890,941.00,38390,22,خفنرح-ت
20180902,850.00,940,850,935.00,18936,4,خفنرح-ت
20180903,850.00,999,850,985.00,33622,10,خفنرح-ت
20180904,1000.00,1000,898,996.00,22790,3,خفنرح-ت
20180905,904.00,904,897,897.00,308301,41,خفنرح-ت
20180908,948.00,948,832,857.00,824218,91,خفنرح-ت
20181218,2000.00,2000,2000,2000.00,5596024,112,خفنرح-ت
