<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160312,1000.00,1000,1000,1000.00,10000
20160403,600.00,600,600,600.00,100000
20160525,600.00,600,600,600.00,100000
20160606,600.00,600,600,600.00,4000
20160620,600.00,800,600,633.00,60000
20160629,1000.00,1000,1000,1000.00,10000
20160710,1000.00,1000,1000,1000.00,100
20160831,1000.00,1000,1000,1000.00,50
20161107,1000.00,1000,1000,1000.00,10
20161214,1000.00,1000,1000,1000.00,199850
20161221,1000.00,1000,1000,1000.00,100000
20161228,1000.00,1000,1000,1000.00,216400
20170104,1000.00,1000,1000,1000.00,200000
20170325,1000.00,1000,1000,1000.00,29166
20170409,1000.00,1000,1000,1000.00,29256
20170417,1000.00,1000,1000,1000.00,100000
20170530,1000.00,1000,1000,1000.00,108200
20170610,1000.00,1000,1000,1000.00,200000
20170705,1000.00,1000,1000,1000.00,100000
20170715,1000.00,1000,1000,1000.00,229900
20170718,1000.00,1000,1000,1000.00,100000
20170819,1000.00,1000,1000,1000.00,1000
20170916,1000.00,1000,1000,1000.00,1000
20170917,1000.00,1000,1000,1000.00,108200
20170927,1000.00,1000,1000,1000.00,8200
20171014,1000.00,1000,1000,1000.00,100000
20171122,1000.00,1000,1000,1000.00,100000
20180117,1000.00,1000,1000,1000.00,108200
20180128,1000.00,1000,1000,1000.00,100000
20180218,1100.00,1100,1100,1100.00,100000
20180227,1210.00,1210,1210,1210.00,100073
20180228,1331.00,1331,1331,1331.00,2200073
20180303,1331.00,1331,1220,1297.00,2781343
20180304,1245.00,1296,1168,1208.00,2190288
20180305,1200.00,1200,1088,1130.00,1630984
20180306,1061.00,1110,1020,1038.00,748242
20180307,1000.00,1038,955,992.00,768888
20180310,1001.00,1091,930,1030.00,3393594
20180311,1001.00,1050,990,1035.00,1534312
20180312,1050.00,1138,1030,1109.00,16049392
20180313,1120.00,1120,1006,1046.00,3457264
20180314,1010.00,1030,943,975.00,1404403
20180317,994.00,1020,950,973.00,824934
20180318,999.00,999,907,932.00,995912
20180319,922.00,1025,922,1006.00,1884867
20180325,1040.00,1048,980,1012.00,975107
20180326,998.00,1087,950,1011.00,1344481
20180327,1030.00,1078,1026,1053.00,1389753
20180328,1060.00,1158,1050,1122.00,3176612
20180403,1199.00,1234,1143,1221.00,2233666
20180404,1299.00,1343,1252,1329.00,1099032
20180407,1400.00,1450,1223,1341.00,3004630
20180408,1360.00,1360,1207,1211.00,4954482
20180409,1231.00,1332,1164,1271.00,3250732
20180410,1278.00,1325,1201,1260.00,1627825
20180411,1241.00,1280,1180,1205.00,1747367
20180415,1265.00,1265,1160,1198.00,585897
20180416,1221.00,1311,1221,1296.00,781920
20180417,1287.00,1357,1250,1274.00,966707
20180418,1250.00,1286,1173,1211.00,858965
20180421,1211.00,1287,1210,1249.00,291767
20180422,1230.00,1286,1185,1255.00,463920
20180423,1222.00,1243,1180,1198.00,642739
20180424,1233.00,1300,1190,1263.00,1205357
20180425,1312.00,1389,1310,1352.00,3806475
20180428,1322.00,1341,1282,1306.00,761060
20180429,1328.00,1328,1236,1263.00,322049
20180430,1222.00,1277,1213,1234.00,216889
20180501,1274.00,1340,1218,1266.00,349661
20180505,1223.00,1337,1223,1301.00,60786
20180506,1250.00,1270,1200,1234.00,291395
20180507,1202.00,1267,1202,1224.00,217052
20180508,1237.00,1270,1205,1236.00,499449
20180509,1200.00,1220,1166,1190.00,492481
20180512,1255.00,1257,1190,1231.00,383120
20180513,1201.00,1285,1201,1240.00,266733
20180514,1267.00,1364,1203,1322.00,1782418
20180515,1350.00,1454,1350,1419.00,1452661
20180516,1489.00,1500,1340,1404.00,544708
20180519,1400.00,1537,1400,1495.00,1091585
20180520,1411.00,1598,1411,1492.00,340556
20180521,1517.00,1517,1400,1443.00,587451
20180522,1374.00,1418,1370,1384.00,466119
20180523,1340.00,1466,1328,1365.00,1517312
20180526,1356.00,1464,1356,1410.00,1113360
20180527,1410.00,1410,1390,1402.00,365452
20180528,1381.00,1429,1364,1402.00,758176
20180529,1427.00,1506,1404,1469.00,481305
20180530,1500.00,1500,1370,1410.00,1666156
20180602,1398.00,1500,1353,1438.00,3132213
20180603,1441.00,1500,1380,1436.00,1428074
20180609,1477.00,1477,1405,1434.00,309225
20180610,1444.00,1460,1401,1448.00,414417
20180611,1450.00,1527,1450,1496.00,982364
20180612,1534.00,1534,1452,1481.00,702629
20180613,1510.00,1528,1425,1476.00,957718
20180617,1510.00,1521,1450,1481.00,1053509
20180618,1499.00,1499,1402,1467.00,923026
20180619,1430.00,1451,1403,1414.00,557138
20180620,1404.00,1495,1383,1445.00,980323
20180623,1478.00,1478,1400,1422.00,334456
20180624,1406.00,1490,1400,1421.00,896065
20180703,1400.00,1550,1336,1409.00,366177
20180704,1385.00,1479,1385,1424.00,67865
20180707,1450.00,1455,1350,1363.00,391190
20180708,1388.00,1388,1261,1309.00,868240
20180710,1347.00,1400,1281,1312.00,438869
20180711,1343.00,1386,1251,1303.00,436644
20180714,1300.00,1368,1235,1292.00,514104
20180715,1334.00,1339,1233,1283.00,348552
20180716,1256.00,1272,1225,1249.00,139391
20180717,1326.00,1326,1223,1271.00,112458
20180718,1246.00,1262,1203,1224.00,373000
20180721,1200.00,1300,1200,1265.00,860808
20180722,1308.00,1316,1249,1291.00,290560
20180723,1290.00,1304,1230,1257.00,432360
20180724,1277.00,1299,1226,1268.00,542924
20180725,1296.00,1319,1232,1270.00,728628
20180729,1397.00,1430,1397,1398.00,612008
20180730,1400.00,1400,1290,1309.00,884369
20180731,1356.00,1385,1300,1343.00,793621
20180801,1395.00,1395,1260,1286.00,1360058
20180804,1279.00,1378,1279,1337.00,560422
20180805,1367.00,1420,1323,1370.00,502834
20180806,1390.00,1390,1300,1322.00,578284
20180807,1429.00,1429,1250,1281.00,227442
20180808,1250.00,1323,1245,1278.00,203770
20180811,1280.00,1299,1230,1264.00,237848
20180812,1296.00,1327,1260,1275.00,78900
20180813,1299.00,1299,1250,1262.00,152208
20180814,1263.00,1322,1263,1314.00,449399
20180815,1322.00,1445,1322,1421.00,1196763
20180818,1470.00,1617,1470,1607.00,433698
20180819,1767.00,1767,1710,1765.00,2842239
20180820,1790.00,1790,1589,1661.00,1635052
20180821,1630.00,1779,1550,1674.00,1369133
20180825,1540.00,1750,1540,1631.00,752931
20180826,1674.00,1714,1593,1640.00,523527
20180827,1650.00,1650,1558,1614.00,277673
20180828,1580.00,1618,1453,1501.00,945437
20180829,1455.00,1630,1404,1537.00,816887
20180901,1601.00,1688,1600,1654.00,791796
20180902,1698.00,1720,1570,1614.00,841575
20180903,1630.00,1712,1591,1647.00,504731
20180904,1660.00,1720,1590,1641.00,1713857
20180905,1718.00,1769,1650,1735.00,1371559
20180908,1746.00,1908,1746,1838.00,2004011
20180909,2020.00,2021,1940,2018.00,2644695
20180910,2170.00,2219,2050,2168.00,2404249
20180911,2260.00,2269,2000,2059.00,1256917
20180912,2200.00,2264,2120,2208.00,1419736
20180915,2389.00,2420,2198,2346.00,1050862
20180916,2480.00,2480,2112,2147.00,1033214
20180917,2247.00,2300,2050,2250.00,1235135
20180918,2280.00,2280,2053,2111.00,958210
20180922,2200.00,2250,2125,2184.00,764679
20180923,2402.00,2402,2402,2402.00,879735
20180924,2642.00,2642,2642,2642.00,1500
20180926,2906.00,3196,2900,3179.00,4136553
20180929,3496.00,3496,3495,3496.00,4313173
20180930,3845.00,3845,3845,3845.00,4942001
20181001,4229.00,4229,3476,4047.00,5652234
20181002,4060.00,4060,3643,3748.00,1170245
20181003,3400.00,3610,3380,3454.00,2688328
20181006,3643.00,3799,3109,3328.00,3166558
20181007,2999.00,3298,2996,3012.00,2040911
20181008,2712.00,2999,2711,2729.00,3039157
20181009,2713.00,3001,2713,2950.00,1576777
20181010,3000.00,3160,2655,2709.00,1338192
20181013,2850.00,2979,2720,2896.00,3663896
20181014,3185.00,3185,3160,3184.00,1453118
20181015,3502.00,3502,3502,3502.00,380959
20181016,3800.00,3840,3300,3667.00,3998906
20181017,3580.00,3850,3302,3512.00,4384373
20181022,3500.00,3500,3161,3165.00,875462
20181023,2910.00,3100,2849,2912.00,485817
20181024,2650.00,2910,2621,2670.00,1530697
20181027,2502.00,2900,2502,2778.00,1028158
20181028,3000.00,3055,2800,2982.00,556089
20181029,3202.00,3202,2734,2911.00,2037497
20181031,2821.00,2821,2641,2758.00,711694
20181103,2750.00,2750,2580,2667.00,928365
20181104,2586.00,2700,2520,2607.00,1023901
20181105,2698.00,2867,2679,2799.00,634512
20181106,2910.00,3051,2770,2920.00,917426
20181110,2947.00,2947,2667,2716.00,490279
20181111,2830.00,2841,2610,2765.00,1109599
20181112,2841.00,3041,2841,3010.00,1748410
20181113,3190.00,3295,3024,3188.00,2923134
20181114,3200.00,3290,3020,3175.00,850933
20181117,2900.00,3200,2900,3081.00,708128
20181118,2920.00,3150,2801,3002.00,1284303
20181119,3150.00,3150,2921,3112.00,585036
20181120,3139.00,3139,2940,3105.00,924450
20181121,3149.00,3255,3100,3177.00,440331
20181124,3130.00,3255,2865,3026.00,556345
20181126,3120.00,3120,2755,2824.00,899366
20181127,2802.00,2997,2785,2848.00,649947
20181128,2920.00,2920,2700,2741.00,703109
20181201,2640.00,2900,2513,2753.00,1478740
20181202,2940.00,3028,2940,3024.00,3357513
20181203,3149.00,3326,3102,3283.00,6387031
20181204,3579.00,3608,3300,3483.00,6543562
20181205,3412.00,3512,3230,3338.00,2882661
20181208,3300.00,3660,3201,3507.00,3012453
20181209,3564.00,3699,3500,3573.00,1238576
20181210,3565.00,3749,3321,3584.00,1893104
20181212,3619.00,3829,3600,3719.00,2179112
20181215,3600.00,4090,3600,3951.00,10404363
20181216,4200.00,4200,3950,4066.00,3414513
20181217,4139.00,4139,3737,3848.00,2478941
20181218,3852.00,3950,3600,3751.00,2286125
20181219,3850.00,4100,3702,3930.00,2349186
20181222,3610.00,3849,3537,3594.00,3685530
20181223,3235.00,3480,3235,3347.00,7069518
20181224,3523.00,3549,3347,3435.00,2009717
20181225,3440.00,3480,3230,3308.00,1958466
20181226,3400.00,3440,3270,3334.00,2336681
20181229,3321.00,3573,3321,3471.00,2890827
20181230,3520.00,3520,3368,3427.00,1430857
20181231,3493.00,3495,3231,3328.00,3130648
20190101,3300.00,3490,3251,3405.00,2123384
20190102,3439.00,3440,3226,3309.00,1048607
20190105,3303.00,3490,3200,3360.00,3043845
20190106,3378.00,3378,3254,3319.00,825005
20190107,3340.00,3394,3080,3208.00,1480508
20190108,3112.00,3350,3090,3272.00,2763855
20190109,3356.00,3365,3281,3317.00,748848
20190112,3290.00,3300,3130,3212.00,1708736
20190113,3150.00,3248,3150,3205.00,1393985
20190114,3298.00,3369,3241,3273.00,1150969
20190115,3339.00,3339,3218,3268.00,1392391
20190116,3284.00,3480,3233,3392.00,5336643
20190119,3470.00,3490,3392,3421.00,2050746
20190120,3450.00,3594,3421,3496.00,3992055
20190121,3400.00,3400,3180,3254.00,1316414
20190122,3349.00,3470,3289,3422.00,1412176
20190123,3435.00,3449,3300,3354.00,807265
20190126,3310.00,3339,3253,3296.00,777366
20190127,3320.00,3333,3212,3248.00,902418
20190128,3325.00,3325,3180,3228.00,835632
20190129,3267.00,3429,3210,3354.00,2015986
20190130,3400.00,3440,3280,3375.00,943354
20190202,3315.00,3370,3200,3243.00,591871
20190203,3210.00,3267,3121,3173.00,963035
20190204,3282.00,3282,3131,3173.00,546897
20190205,3200.00,3243,3090,3140.00,571293
20190206,3157.00,3157,3094,3108.00,865415
20190210,3159.00,3343,3102,3271.00,1867005
20190212,3293.00,3293,3123,3161.00,722197
20190213,3178.00,3178,3021,3071.00,839360
20190216,3091.00,3165,3070,3102.00,274152
20190217,3076.00,3100,2802,2921.00,1426407
20190218,2970.00,2976,2755,2866.00,903749
20190219,2889.00,2940,2779,2848.00,715530
20190220,2840.00,3009,2840,2950.00,875497
20190223,2900.00,2955,2800,2850.00,1142842
20190224,2822.00,2822,2711,2775.00,1135009
20190225,2850.00,2950,2800,2872.00,907757
20190226,2958.00,2958,2772,2816.00,340443
20190227,2849.00,2849,2790,2809.00,967296
20190302,2840.00,2845,2800,2807.00,515673
20190303,2782.00,2834,2782,2814.00,443803
20190304,2834.00,3095,2785,3011.00,3048216
20190305,3150.00,3198,2993,3088.00,1731482
20190306,3136.00,3136,2880,2953.00,1045533
20190309,2861.00,2987,2861,2923.00,408925
20190310,2997.00,2997,2871,2913.00,514906
20190311,2881.00,2989,2871,2903.00,553051
20190312,2880.00,2976,2873,2888.00,339707
20190313,2873.00,2897,2830,2855.00,697798
20190316,2851.00,2940,2851,2877.00,949073
20190317,2850.00,2928,2815,2850.00,424742
20190318,2890.00,2920,2821,2855.00,745666
20190319,2899.00,2950,2890,2912.00,513962
20190325,2945.00,2958,2900,2930.00,400510
20190326,2930.00,3096,2911,3015.00,1042551
20190327,3061.00,3061,2977,3003.00,699690
20190330,3040.00,3110,3009,3088.00,1997854
20190331,3120.00,3230,2956,3120.00,1735178
20190406,3110.00,3223,3100,3167.00,849334
20190407,3119.00,3482,3119,3322.00,5114054
20190408,3329.00,3424,3220,3305.00,1249071
20190409,3329.00,3390,3220,3296.00,861655
20190410,3220.00,3342,3220,3305.00,1412541
20190413,3398.00,3620,3309,3503.00,3914529
20190414,3700.00,3800,3550,3702.00,4911571
20190415,3829.00,3899,3645,3771.00,2206580
20190416,3769.00,3769,3460,3587.00,1766588
20190417,3587.00,3587,3229,3439.00,1582211
20190420,3599.00,3740,3588,3700.00,1769012
20190422,3840.00,3840,3502,3625.00,1189966
20190423,3788.00,3788,3788,3788.00,17090
20190424,3880.00,3880,3410,3557.00,2084854
20190427,3599.00,3730,3510,3628.00,1473553
20190428,3649.00,3649,3500,3547.00,1411152
20190429,3535.00,3840,3430,3724.00,3275809
20190430,3884.00,3899,3611,3776.00,1734687
20190501,3860.00,3860,3680,3776.00,1877192
20190504,3778.00,4153,3778,4072.00,4321198
20190505,4479.00,4479,4060,4439.00,5426341
20190506,4450.00,4648,4021,4250.00,3521887
20190507,4050.00,4101,3825,3848.00,1847687
20190508,3601.00,4197,3601,3913.00,1713609
20190511,4180.00,4180,3716,3890.00,1413837
20190512,3929.00,3929,3501,3551.00,1915642
20190513,3699.00,3835,3550,3687.00,792534
20190514,3906.00,3981,3840,3884.00,1006822
20190515,3898.00,4049,3553,3808.00,1821670
20190518,3714.00,4080,3713,3942.00,1298698
20190519,4040.00,4040,3600,3748.00,1616043
20190520,3751.00,3800,3590,3693.00,1604133
20190521,3700.00,3850,3700,3791.00,800543
20190522,3889.00,3889,3638,3672.00,1214102
20190525,3889.00,3889,3630,3751.00,1334686
20190526,3854.00,3950,3830,3896.00,1003401
20190528,4122.00,4285,4002,4216.00,3037028
20190529,4250.00,4250,3890,3997.00,2683368
20190601,4010.00,4059,3850,3991.00,816852
20190602,4070.00,4070,3780,3826.00,1724665
20190603,3760.00,3765,3670,3706.00,1304860
20190608,3655.00,3655,3440,3527.00,1071517
20190609,3800.00,3879,3622,3854.00,873261
20190610,4059.00,4160,3970,4080.00,1823993
20190611,4000.00,4049,3810,3884.00,951892
20190612,3890.00,3984,3750,3849.00,986529
20190617,3700.00,3700,3700,3700.00,77987
20190618,3714.00,3714,3512,3571.00,1833580
20190619,3645.00,3645,3441,3522.00,822969
20190622,3598.00,3853,3597,3780.00,1372840
20190623,3880.00,3929,3751,3835.00,612693
20190624,3960.00,3960,3779,3837.00,688755
20190625,3889.00,3889,3671,3689.00,808441
20190626,3680.00,4057,3680,3993.00,5249140
20190630,4324.00,4392,4080,4292.00,4927740
20190701,4250.00,4700,4079,4447.00,4030457
