<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20040928,7562.00,7562,3731,6770.98,2891838,2623,Ghandi Cables.-a
20040929,7109.28,7109,7109,7109.28,8191000,2537,Ghandi Cables.-a
20041002,7464.49,7464,7464,7464.49,4950000,1705,Ghandi Cables.-a
20041003,7837.62,7838,7838,7837.62,4950000,1482,Ghandi Cables.-a
20041004,8228.65,8229,8229,8228.65,4977970,1359,Ghandi Cables.-a
20041005,8639.58,8640,8640,8639.58,5068591,1175,Ghandi Cables.-a
20041006,9071.42,9071,9071,9071.42,9339418,2533,Ghandi Cables.-a
20041009,9004.75,9354,8641,9032.61,2179143,970,Ghandi Cables.-a
20041010,8930.12,8934,8582,8700.28,1024731,550,Ghandi Cables.-a
20041011,8643.56,9134,8644,8848.54,854012,373,Ghandi Cables.-a
20041012,9093.30,9253,8902,9040.57,5255660,270,Ghandi Cables.-a
20041013,9054.50,9203,9054,9125.14,408559,188,Ghandi Cables.-a
20041016,9054.50,9094,8857,8970.92,356611,141,Ghandi Cables.-a
20041017,8855.50,8955,8658,8844.56,377693,183,Ghandi Cables.-a
20041018,8700.28,8756,8607,8654.51,403597,152,Ghandi Cables.-a
20041019,8633.62,8634,8338,8461.48,343789,138,Ghandi Cables.-a
20041020,8238.60,8358,8039,8191.84,389276,154,Ghandi Cables.-a
20041023,8191.84,8601,8192,8508.24,308985,117,Ghandi Cables.-a
20041024,8509.24,8627,8159,8453.52,160585,56,Ghandi Cables.-a
20041025,8557.00,8558,8368,8461.48,157712,80,Ghandi Cables.-a
20041026,8456.50,8457,8308,8371.93,273066,100,Ghandi Cables.-a
20041027,8371.93,8372,8174,8249.54,819524,129,Ghandi Cables.-a
20041030,8160.00,8160,7838,7945.08,396706,134,Ghandi Cables.-a
20041031,7854.53,7856,7552,7633.64,197880,81,Ghandi Cables.-a
20041101,7482.40,8015,7462,7639.61,100169,44,Ghandi Cables.-a
20041102,7702.30,8021,7662,7678.42,4989977,320,Ghandi Cables.-a
20041103,8061.49,8061,8059,8060.50,1103545,220,Ghandi Cables.-a
20041106,8462.48,8463,8318,8453.52,1666388,286,Ghandi Cables.-a
20041107,8746.05,8875,8467,8753.02,735137,173,Ghandi Cables.-a
20041108,8564.96,8656,8458,8524.16,549789,240,Ghandi Cables.-a
20041109,8516.20,8696,8457,8562.97,455203,206,Ghandi Cables.-a
20041110,8804.76,8955,8656,8831.62,351836,170,Ghandi Cables.-a
20041113,8822.66,8823,8409,8529.14,274408,142,Ghandi Cables.-a
20041115,8955.00,8955,8557,8941.07,837991,208,Ghandi Cables.-a
