<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20111001,1134.36,1284,1134,1157.91,123705384,17984,Khavarmiane mine-a
20111002,1177.17,1179,1158,1171.28,10707741,2348,Khavarmiane mine-a
20111003,1162.19,1169,1158,1164.33,11344709,2981,Khavarmiane mine-a
20111004,1164.33,1164,1150,1150.95,12894858,1446,Khavarmiane mine-a
20111005,1152.02,1154,1150,1151.49,6900699,497,Khavarmiane mine-a
20111008,1113.50,1161,1113,1152.56,11245514,722,Khavarmiane mine-a
20111009,1153.63,1155,1153,1153.63,5913321,896,Khavarmiane mine-a
20111010,1152.02,1153,1140,1146.67,7283766,521,Khavarmiane mine-a
20111011,1139.71,1147,1127,1140.25,18460427,1155,Khavarmiane mine-a
20111012,1140.25,1142,1127,1137.57,7303349,498,Khavarmiane mine-a
20111015,1138.64,1139,1102,1113.50,5480721,440,Khavarmiane mine-a
20111016,1093.16,1123,1093,1103.86,14006236,944,Khavarmiane mine-a
20111017,1096.91,1112,1094,1096.91,5626625,539,Khavarmiane mine-a
20111018,1102.26,1102,1097,1096.91,3008523,225,Khavarmiane mine-a
20111019,1096.91,1107,1097,1098.51,5796637,259,Khavarmiane mine-a
20111022,1097.98,1108,1097,1107.07,55081993,228,Khavarmiane mine-a
20111023,1097.44,1108,1097,1107.07,34843802,246,Khavarmiane mine-a
20111024,1099.58,1102,1098,1099.58,2626308,155,Khavarmiane mine-a
20111025,1102.26,1107,1102,1102.79,1186275,123,Khavarmiane mine-a
20111026,1107.61,1112,1101,1101.72,1070881,83,Khavarmiane mine-a
20111029,1112.96,1113,1102,1103.33,1637533,132,Khavarmiane mine-a
20111030,1104.93,1110,1105,1104.93,581317,69,Khavarmiane mine-a
20111031,1115.64,1142,1106,1118.31,820012,62,Khavarmiane mine-a
20111101,1145.06,1174,1130,1168.61,2606040,169,Khavarmiane mine-a
20111102,1178.24,1225,1178,1192.15,4403625,268,Khavarmiane mine-a
20111105,1193.22,1196,1193,1193.22,3076484,306,Khavarmiane mine-a
20111106,1193.22,1194,1150,1181.45,8985185,659,Khavarmiane mine-a
20111108,1181.45,1196,1156,1174.49,4182451,254,Khavarmiane mine-a
20111109,1166.47,1177,1156,1175.03,5898473,404,Khavarmiane mine-a
20111112,1195.36,1195,1177,1182.52,50988048,167,Khavarmiane mine-a
20111113,1187.87,1188,1177,1181.99,4450959,325,Khavarmiane mine-a
20111114,1193.22,1193,1182,1181.99,937766,101,Khavarmiane mine-a
20111116,1181.99,1188,1181,1182.52,1056675,89,Khavarmiane mine-a
20111119,1182.52,1204,1183,1193.76,5785779,317,Khavarmiane mine-a
20111120,1196.43,1220,1194,1200.18,6307083,448,Khavarmiane mine-a
20111121,1200.18,1202,1195,1199.64,2891510,127,Khavarmiane mine-a
20111122,1193.22,1198,1166,1176.10,3652221,380,Khavarmiane mine-a
20111123,1150.42,1170,1150,1150.42,1793111,134,Khavarmiane mine-a
20111126,1146.67,1166,1145,1158.98,8850751,397,Khavarmiane mine-a
20111127,1145.06,1172,1145,1168.07,29214687,135,Khavarmiane mine-a
20111128,1124.20,1177,1124,1174.49,25037175,185,Khavarmiane mine-a
20111129,1160.58,1166,1156,1161.12,862420,41,Khavarmiane mine-a
20111130,1160.58,1161,1120,1142.92,285805,24,Khavarmiane mine-a
20111203,1150.42,1150,1143,1145.60,306503,25,Khavarmiane mine-a
20111204,1145.60,1163,1145,1154.16,1064873,99,Khavarmiane mine-a
20111207,1165.93,1166,1150,1160.58,9110278,56,Khavarmiane mine-a
20111210,1166.47,1172,1149,1160.58,2080467,135,Khavarmiane mine-a
20111211,1158.44,1158,1113,1137.04,1392697,142,Khavarmiane mine-a
20111212,1112.96,1149,1107,1131.69,612821,63,Khavarmiane mine-a
20111213,1150.42,1150,1108,1130.62,1026378,73,Khavarmiane mine-a
20111214,1139.71,1140,1108,1115.10,1609799,102,Khavarmiane mine-a
20111217,1123.66,1124,1113,1122.06,831552,94,Khavarmiane mine-a
20111218,1118.31,1124,1108,1121.52,1714242,117,Khavarmiane mine-a
20111219,1118.31,1148,1110,1113.50,1354265,140,Khavarmiane mine-a
20111220,1112.96,1119,1076,1115.10,788314,142,Khavarmiane mine-a
20111221,1121.52,1122,1108,1112.96,2050261,189,Khavarmiane mine-a
20111224,1121.52,1124,1092,1116.71,1076406,207,Khavarmiane mine-a
20111225,1123.13,1123,1092,1113.50,835215,74,Khavarmiane mine-a
20111226,1115.10,1122,1092,1111.89,2781239,269,Khavarmiane mine-a
20111227,1123.13,1124,1108,1116.71,678359,88,Khavarmiane mine-a
20111228,1118.31,1118,1093,1111.36,711010,119,Khavarmiane mine-a
20111231,1122.59,1124,1105,1115.10,906160,67,Khavarmiane mine-a
20120101,1103.33,1104,1059,1085.14,3420830,181,Khavarmiane mine-a
20120102,1091.56,1097,1066,1083.00,3252140,247,Khavarmiane mine-a
20120103,1095.84,1104,1086,1100.12,229975,45,Khavarmiane mine-a
20120104,1107.61,1118,1086,1112.96,1009350,85,Khavarmiane mine-a
20120107,1102.26,1117,1097,1101.19,3880375,158,Khavarmiane mine-a
20120108,1112.96,1118,1111,1113.50,1764197,97,Khavarmiane mine-a
20120109,1118.31,1118,1092,1112.96,1786074,189,Khavarmiane mine-a
20120110,1112.43,1118,1076,1111.89,956858,103,Khavarmiane mine-a
20120111,1117.78,1124,1116,1121.52,629294,78,Khavarmiane mine-a
20120115,1123.13,1166,1114,1142.92,1336782,79,Khavarmiane mine-a
20120116,1166.47,1177,1124,1154.70,1071534,89,Khavarmiane mine-a
20120117,1160.05,1161,1113,1143.99,1128787,96,Khavarmiane mine-a
20120118,1155.23,1156,1128,1139.71,1006876,64,Khavarmiane mine-a
20120121,1161.12,1171,1145,1160.05,233304,42,Khavarmiane mine-a
20120123,1160.05,1166,1124,1150.42,1248403,156,Khavarmiane mine-a
20120125,1150.42,1166,1118,1143.99,2458400,135,Khavarmiane mine-a
20120128,1163.79,1164,1135,1145.06,609529,61,Khavarmiane mine-a
20120129,1134.36,1161,1134,1161.12,54988578,48,Khavarmiane mine-a
20120130,1158.44,1161,1134,1160.58,21434636,99,Khavarmiane mine-a
20120131,1160.58,1171,1140,1161.65,1513359,75,Khavarmiane mine-a
20120201,1115.10,1155,1115,1145.06,1752590,65,Khavarmiane mine-a
20120204,1150.42,1152,1124,1150.95,8473499,135,Khavarmiane mine-a
20120205,1150.42,1151,1140,1149.88,51532307,77,Khavarmiane mine-a
20120206,1139.71,1141,1113,1128.48,1076351,164,Khavarmiane mine-a
20120207,1149.35,1149,1109,1118.31,927220,64,Khavarmiane mine-a
20120208,1138.64,1139,1104,1123.66,24929249,55,Khavarmiane mine-a
20120212,1131.15,1134,1107,1115.10,148519,19,Khavarmiane mine-a
20120213,1123.66,1124,1103,1116.17,1059441,81,Khavarmiane mine-a
20120214,1122.59,1123,1070,1097.98,1123410,114,Khavarmiane mine-a
20120215,1127.94,1128,1076,1094.77,491947,50,Khavarmiane mine-a
20120218,1107.61,1108,1081,1101.72,805383,103,Khavarmiane mine-a
20120219,1102.26,1123,1076,1120.99,23673445,160,Khavarmiane mine-a
20120220,1112.96,1123,1072,1109.75,3153879,350,Khavarmiane mine-a
20120229,1193.22,1337,1150,1159.51,16980516,817,Khavarmiane mine-a
20120303,1167.00,1167,1145,1152.56,2740631,164,Khavarmiane mine-a
20120304,1155.77,1156,1122,1147.21,2001305,196,Khavarmiane mine-a
20120305,1142.39,1153,1108,1134.36,1605035,156,Khavarmiane mine-a
20120306,1139.18,1145,1124,1137.04,1246560,137,Khavarmiane mine-a
20120307,1144.53,1145,1124,1137.57,1147115,97,Khavarmiane mine-a
20120310,1137.57,1166,1126,1153.09,2175871,201,Khavarmiane mine-a
20120311,1165.40,1169,1145,1158.44,1483191,122,Khavarmiane mine-a
20120312,1155.77,1166,1119,1144.53,1135449,66,Khavarmiane mine-a
20120313,1145.06,1158,1124,1150.42,50962009,113,Khavarmiane mine-a
20120314,1148.81,1167,1147,1165.93,14463571,97,Khavarmiane mine-a
20120317,1166.47,1171,1158,1166.47,570347,65,Khavarmiane mine-a
20120318,1166.47,1225,1166,1223.19,22580012,97,Khavarmiane mine-a
20120324,1195.90,1229,1196,1217.84,1735773,170,Khavarmiane mine-a
20120325,1240.84,1241,1193,1206.60,1408100,53,Khavarmiane mine-a
20120326,1209.27,1217,1199,1203.92,391100,85,Khavarmiane mine-a
20120327,1203.92,1215,1193,1203.39,622254,68,Khavarmiane mine-a
20120328,1209.27,1219,1201,1211.95,1026193,142,Khavarmiane mine-a
20120402,1212.48,1222,1188,1202.32,1309588,115,Khavarmiane mine-a
20120403,1203.92,1204,1178,1201.78,390805,74,Khavarmiane mine-a
20120404,1203.92,1216,1198,1204.46,834059,83,Khavarmiane mine-a
20120407,1209.27,1210,1188,1202.85,27681960,243,Khavarmiane mine-a
20120408,1206.60,1207,1193,1202.32,908487,123,Khavarmiane mine-a
20120409,1203.92,1204,1191,1203.92,50489450,80,Khavarmiane mine-a
20120410,1207.67,1214,1188,1205.53,22444157,245,Khavarmiane mine-a
20120411,1209.27,1209,1181,1194.29,604727,90,Khavarmiane mine-a
20120414,1203.92,1204,1180,1198.04,256376,63,Khavarmiane mine-a
20120415,1198.57,1204,1159,1182.52,2427146,156,Khavarmiane mine-a
20120416,1183.59,1241,1151,1198.04,9698988,620,Khavarmiane mine-a
20120422,1252.08,1252,1177,1202.32,6857020,327,Khavarmiane mine-a
20120423,1182.52,1234,1167,1186.80,2353900,175,Khavarmiane mine-a
20120424,1209.27,1209,1129,1181.45,953530,119,Khavarmiane mine-a
20120428,1188.41,1202,1161,1185.73,2269355,197,Khavarmiane mine-a
20120429,1177.17,1178,1166,1172.89,479055,69,Khavarmiane mine-a
20120430,1183.06,1183,1172,1177.70,435022,41,Khavarmiane mine-a
20120501,1177.17,1177,1166,1173.96,571103,70,Khavarmiane mine-a
20120502,1171.82,1177,1156,1170.21,280837,30,Khavarmiane mine-a
20120505,1166.47,1177,1166,1175.03,217690,46,Khavarmiane mine-a
20120506,1176.63,1177,1156,1175.56,86401,23,Khavarmiane mine-a
20120507,1165.93,1177,1165,1173.96,200200,16,Khavarmiane mine-a
20120508,1176.10,1176,1158,1169.68,208391,23,Khavarmiane mine-a
20120509,1169.68,1172,1124,1149.88,1301087,109,Khavarmiane mine-a
20120512,1168.61,1169,1139,1152.02,430595,80,Khavarmiane mine-a
20120513,1160.58,1161,1148,1150.42,2299943,119,Khavarmiane mine-a
20120514,1150.95,1160,1150,1152.02,845436,80,Khavarmiane mine-a
20120515,1150.95,1156,1149,1150.42,1298959,70,Khavarmiane mine-a
20120516,1150.42,1169,1140,1148.28,1918236,121,Khavarmiane mine-a
20120519,1149.35,1150,1137,1147.74,618579,48,Khavarmiane mine-a
20120520,1147.21,1149,1140,1143.99,1015789,95,Khavarmiane mine-a
20120521,1148.28,1150,1140,1143.99,1072400,73,Khavarmiane mine-a
