<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20040223,515.46,515,509,510.77,2097500
20040224,536.20,536,512,511.57,1000
20040225,537.14,537,537,537.14,100000
20040228,563.91,564,546,545.57,10000
20040229,572.74,573,573,572.74,500000
20040303,572.74,589,550,572.74,429202
20040306,572.48,579,572,575.29,190305
20040307,569.93,572,547,552.26,43314
20040308,524.69,526,525,524.69,81506
20040309,527.37,550,527,540.22,109016
20040310,539.95,549,532,542.36,27733
20040313,545.97,547,526,536.47,15541
20040314,524.96,535,525,529.91,42112
20040315,533.93,534,522,526.16,69875
20040316,526.16,531,523,527.50,37916
20040317,526.16,526,523,524.69,21572
20040327,524.69,525,525,524.69,2532
20040328,522.95,523,521,523.49,10660
20040329,508.63,518,509,517.86,11887
20040330,512.24,513,509,510.10,27542
20040403,510.10,510,508,508.90,30741
20040404,509.97,529,509,513.18,29417
20040405,534.06,536,531,532.45,69919
20040406,542.09,559,542,557.35,42010
20040407,585.19,585,566,573.28,25966
20040410,601.92,602,582,586.53,42678
20040412,588.94,589,583,588.00,43262
20040413,587.47,587,562,583.85,34353
20040414,578.77,582,578,582.25,18697
20040417,576.36,576,553,575.29,18980
20040418,573.81,575,553,574.48,20510
20040421,573.14,573,570,571.94,30380
20040424,570.60,572,570,571.81,3940
20040426,544.90,561,543,560.70,17016
20040427,541.96,560,542,559.76,2010
20040501,531.79,557,532,557.48,3297
20040502,531.38,556,531,555.88,2435
20040504,528.17,552,528,552.13,5510
20040505,524.56,550,525,550.39,2510
20040508,522.95,523,523,522.95,96701
20040517,553.34,586,530,552.67,211308
20040518,580.24,580,553,560.96,17191
20040519,575.82,576,561,563.11,16213
20040522,575.69,591,576,588.67,55267
20040523,588.54,616,588,593.49,11340
20040524,585.86,623,568,597.77,97712
20040608,597.77,669,562,652.79,19270
20040609,655.86,656,642,653.32,60385
20040612,653.32,653,626,632.31,38573
20040613,608.88,636,602,616.65,32143
20040614,616.65,617,617,616.65,11077
20040615,614.91,616,589,610.76,35151
20040616,610.89,629,611,616.24,18158
20040619,616.24,636,616,619.59,30162
20040620,622.80,642,623,624.94,26650
20040621,642.61,656,642,643.42,105226
20040622,642.48,656,636,650.78,37704
20040623,655.33,669,629,657.20,31922
20040626,668.98,690,668,668.04,30753
20040627,695.89,701,696,700.03,118605
20040628,701.37,701,700,700.03,13315
20040629,693.07,698,681,697.63,5951
20040630,669.25,681,669,675.14,35359
20040704,641.41,666,641,666.04,11210
20040707,632.84,659,633,659.34,8408
20040711,626.42,657,626,657.07,2777
20040713,624.28,657,624,656.67,510
20040714,623.87,653,624,653.32,4268
20040717,620.66,630,621,630.43,29357
20040718,629.09,630,629,630.03,60760
20040719,628.42,633,628,628.69,39324
20040720,628.56,636,629,629.23,13196
20040724,628.83,629,629,629.09,6350
20040726,627.22,629,626,628.29,14020
20040728,628.29,643,628,630.16,8497
20040801,629.50,642,629,630.30,22705
20040802,598.84,630,599,629.63,8001
20040804,628.69,630,629,629.36,17535
20040808,626.28,629,626,628.56,53876
20040809,628.96,629,629,628.96,63018
20040810,638.33,638,631,630.57,7352
20040814,628.96,629,628,629.09,34872
20040818,597.64,628,598,628.29,909
20040821,596.97,610,597,610.22,24110
20040822,580.24,600,580,599.78,14510
20040823,579.84,599,580,598.71,2010
20040824,578.90,598,579,597.51,2310
20040829,573.55,597,574,596.84,1010
20040831,572.48,587,572,586.53,18953
20040901,580.24,586,580,586.40,810
20040904,580.24,586,580,586.13,1332
20040905,584.92,596,585,587.33,10971
20040906,588.94,616,589,597.51,20929
