<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20041019,5966.19,6031,5568,5898.58,440220
20041020,6192.91,6193,6193,6192.91,59790
20041025,6502.35,6502,6125,6466.56,185474
20041026,6324.16,6443,6144,6378.26,72659
20041027,6422.80,6443,6285,6395.76,48932
20041030,6523.04,6523,6443,6499.17,48715
20041031,6364.73,6491,6364,6407.69,40474
20041101,6369.51,6523,6370,6437.92,11807
20041102,6522.24,6523,6514,6522.24,160010
20041103,6523.04,6523,6389,6515.08,18703
20041106,6391.78,6522,6392,6507.13,1815
20041107,6499.17,6506,6499,6506.33,610
20041108,6490.42,6506,6490,6505.54,370
20041109,6379.85,6496,6284,6495.99,938
20041110,6204.84,6387,6205,6387.01,7473
20041113,6149.16,6359,6068,6359.17,2010
20041206,6041.76,6343,6042,6343.26,1010
20041207,6026.65,6027,6027,6026.65,335791
20041212,5725.95,5876,5726,5876.30,10010
20041213,5647.99,5777,5583,5776.86,6945
20041215,5644.81,5772,5645,5772.09,708
20041219,5568.45,5757,5568,5756.98,1470
20041220,5567.65,5739,5568,5738.68,1910
20041221,5452.30,5717,5452,5717.20,1510
20041222,5431.62,5715,5432,5714.82,155
20041225,5429.23,5429,5429,5429.23,20000
20041226,5250.25,5330,5158,5176.27,63763
20041227,4933.64,5435,4918,5301.16,2671523
20041228,5566.06,5566,5566,5566.06,77603
20041229,5843.69,5844,5844,5843.69,49001
20050101,5843.69,5844,5844,5843.69,11000
20050102,5551.74,5806,5552,5806.30,3791
20050103,5516.74,5662,5517,5661.52,10010
20050104,5379.12,5653,5379,5652.77,600
20050108,5370.37,5638,5370,5637.65,1068
20050109,5356.05,5388,5356,5387.87,17725
20050110,5118.99,5119,5119,5118.99,81427
20050111,5120.58,5121,4973,5039.44,15922
20050112,5115.02,5115,4838,4879.55,28160
20050115,4966.26,4966,4880,4881.94,2746
20050116,4769.77,4786,4639,4785.68,13058
20050117,4765.00,4765,4638,4756.25,5067
20050118,4713.29,4754,4693,4753.86,667
20050119,4717.27,4747,4717,4747.50,4407
20050122,4574.08,4633,4551,4632.95,12010
20050123,4627.38,4630,4627,4628.17,10000
20050124,4628.97,4728,4629,4648.86,8492
20050125,4732.38,4732,4670,4670.33,8518
20050126,4558.97,4607,4558,4607.49,11191
20050201,4607.49,4607,4551,4589.19,7100
20050202,4516.80,4573,4517,4573.28,4210
20050205,4574.08,4574,4573,4573.28,2010
20050206,4418.96,4442,4391,4442.03,15360
20050207,4391.91,4392,4220,4302.02,13057
20050208,4088.83,4248,4089,4247.93,5060
20050209,4248.72,4249,4248,4247.93,10010
20050214,4211.34,4246,4211,4246.34,572
20050221,4057.01,4218,4035,4217.70,4345
20050222,4150.08,4215,4150,4215.31,485
20050223,4006.89,4182,4007,4181.90,3140
20050227,4379.98,4383,4137,4196.22,3910
20050228,4140.54,4191,4138,4191.45,1510
20050301,4057.01,4182,4057,4181.90,2603
20050302,4057.01,4134,3982,4134.17,6197
20050305,4114.29,4119,3930,4078.49,18830
20050306,3874.84,4073,3875,4072.92,510
20050313,3869.27,4050,3869,4049.85,2210
20050314,3977.46,4049,3977,4049.06,130
20050315,4103.94,4106,4049,4085.65,21954
20050326,4131.79,4132,4088,4088.03,1315
20050327,4189.06,4191,4095,4095.19,1510
20050328,4295.66,4300,4101,4100.76,617
20050330,4305.20,4305,4105,4104.74,410
20050403,4309.98,4310,4114,4114.29,1010
20050404,4319.52,4320,4121,4120.65,650
20050405,4326.68,4327,4159,4158.83,3750
20050410,4366.46,4366,4172,4172.36,1349
20050411,4380.78,4381,4185,4185.08,1281
20050412,4394.30,4394,4213,4212.93,2730
20050413,4422.94,4423,4239,4239.18,2510
20050416,4450.78,4451,4320,4319.52,7635
20050417,4535.10,4535,4456,4456.35,12717
20050418,4535.90,4679,4515,4515.21,14375
20050419,4536.69,4574,4495,4531.12,8730
20050420,4531.12,4574,4516,4534.31,5556
20050423,4534.31,4612,4534,4571.69,10218
20050424,4583.63,4585,4574,4574.08,3910
20050425,4593.17,4593,4579,4578.85,7651
20050427,4578.85,4579,4579,4578.85,860
20050430,4578.85,4579,4579,4578.85,1000
20050501,4454.76,4553,4451,4553.40,4010
20050502,4446.80,4510,4381,4510.44,5221
20050503,4442.03,4507,4442,4507.26,900
20050507,4295.66,4296,4282,4293.27,37945
20050508,4153.27,4153,4150,4151.67,20143
20050509,4151.67,4208,4087,4152.47,24510
20050511,4291.68,4360,4292,4337.02,18617
20050514,4375.21,4553,4295,4473.05,34714
20050515,4375.21,4471,4375,4470.67,450
20050516,4470.67,4471,4455,4469.08,2056
20050517,4468.28,4469,4468,4468.28,23673
20050518,4468.28,4468,4468,4468.28,8100
20050521,4468.28,4468,4455,4465.89,3690
20050522,4465.89,4466,4466,4465.89,3118
20050523,4465.89,4466,4466,4465.89,9624
20050524,4465.89,4466,4466,4465.89,4410
20050525,4465.89,4466,4466,4465.89,2090
20050528,4466.69,4495,4467,4470.67,4518
20050529,4471.46,4473,4471,4473.05,2000
20050531,4470.67,4590,4455,4471.46,7306
20050606,4471.46,4471,4471,4471.46,1000
20050608,4478.62,4479,4471,4471.46,10000
20050611,4473.05,4473,4471,4471.46,3385
20050612,4471.46,4471,4471,4471.46,1000
20050614,4473.05,4473,4471,4471.46,63426
20050626,4247.93,4248,4248,4247.93,22575
20050627,4247.93,4248,4248,4247.93,5188
20050628,4248.72,4249,4248,4247.93,2163
20050629,4057.01,4248,4036,4115.08,23757
20050705,4115.88,4116,4115,4115.08,1500
20050706,3977.46,4067,3977,4066.56,7010
20050711,4197.81,4198,4070,4069.74,510
20050910,4469.87,4471,4199,4407.82,53710
20050911,4187.47,4264,4187,4263.84,13010
20050912,4138.95,4213,4073,4212.93,5450
20050913,4017.24,4203,4017,4202.59,1010
20050917,3992.58,4008,3993,4008.49,18422
