<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20090520,1551.00,1669,1508,1571.00,39900,17,IRI Marine Co.-R-a
20090608,1800.00,1802,1796,1800.00,593362,130,IRI Marine Co.-R-a
20090609,1829.00,1907,1760,1760.00,400230433,61,IRI Marine Co.-R-a
20090610,1810.00,1865,1810,1852.00,151850,39,IRI Marine Co.-R-a
20090613,1741.00,1806,1741,1786.00,54060,17,IRI Marine Co.-R-a
20090614,1745.00,1800,1745,1789.00,96399,26,IRI Marine Co.-R-a
20090615,1744.00,1850,1744,1746.00,13513,4,IRI Marine Co.-R-a
20090616,1744.00,1744,1642,1698.00,142729,32,IRI Marine Co.-R-a
20090617,1700.00,1799,1700,1779.00,70351,11,IRI Marine Co.-R-a
20090620,1799.00,1885,1761,1800.00,337015,70,IRI Marine Co.-R-a
20090621,1800.00,1800,1800,1800.00,30000,9,IRI Marine Co.-R-a
20090622,1800.00,1908,1800,1859.00,37799,12,IRI Marine Co.-R-a
20090623,1970.00,1970,1900,1958.00,194794,35,IRI Marine Co.-R-a
20090624,1958.00,1958,1958,1958.00,179064,37,IRI Marine Co.-R-a
20090627,1958.00,1959,1958,1958.00,26253,10,IRI Marine Co.-R-a
20090628,1958.00,1958,1958,1958.00,180374,42,IRI Marine Co.-R-a
20090629,1959.00,1959,1958,1958.00,614051,130,IRI Marine Co.-R-a
20090630,1900.00,1960,1900,1939.00,64747,13,IRI Marine Co.-R-a
20090701,1901.00,1901,1900,1900.00,11000,3,IRI Marine Co.-R-a
20090704,1900.00,1901,1900,1900.00,113118,27,IRI Marine Co.-R-a
20090705,1900.00,1901,1900,1901.00,69079,31,IRI Marine Co.-R-a
20090707,1901.00,1901,1900,1901.00,62306,15,IRI Marine Co.-R-a
20090711,1900.00,1901,1900,1900.00,17276,8,IRI Marine Co.-R-a
20090712,1786.00,1889,1786,1794.00,130001,28,IRI Marine Co.-R-a
20090728,1687.00,1700,1687,1694.00,6380,6,IRI Marine Co.-R-a
20090930,1700.00,1701,1700,1700.00,658000,88,IRI Marine Co.-R-a
20091003,1702.00,1705,1685,1689.00,815000,120,IRI Marine Co.-R-a
20091004,1689.00,1689,1689,1689.00,1660373,182,IRI Marine Co.-R-a
20101124,204.00,220,202,213.00,25000,4,IRI Marine Co.-R-a
20101127,230.00,230,230,230.00,24918,10,IRI Marine Co.-R-a
20101129,248.00,248,248,248.00,19476,4,IRI Marine Co.-R-a
20101130,267.00,267,267,267.00,147310,28,IRI Marine Co.-R-a
20101201,288.00,288,288,288.00,196429,13,IRI Marine Co.-R-a
20101204,311.00,311,311,311.00,336770,26,IRI Marine Co.-R-a
20101205,312.00,335,312,333.00,52250,9,IRI Marine Co.-R-a
20101206,307.00,349,307,322.00,36083,7,IRI Marine Co.-R-a
20101207,337.00,337,298,301.00,2507,4,IRI Marine Co.-R-a
20101208,280.00,325,280,309.00,103898,11,IRI Marine Co.-R-a
20101211,285.00,301,285,288.00,105328,16,IRI Marine Co.-R-a
20101212,288.00,288,288,288.00,211328,10,IRI Marine Co.-R-a
20101213,269.00,298,268,269.00,107089,5,IRI Marine Co.-R-a
20101214,267.00,268,267,267.00,26190,4,IRI Marine Co.-R-a
20101218,267.00,267,246,258.00,15000,4,IRI Marine Co.-R-a
20101219,250.00,250,238,246.00,73571,7,IRI Marine Co.-R-a
20101221,227.00,227,227,227.00,1250,1,IRI Marine Co.-R-a
20101222,230.00,233,230,230.00,9164,3,IRI Marine Co.-R-a
20101226,230.00,233,212,215.00,218893,24,IRI Marine Co.-R-a
20101227,215.00,215,200,209.00,124600,11,IRI Marine Co.-R-a
20101228,197.00,225,195,214.00,43768,14,IRI Marine Co.-R-a
20101229,200.00,205,200,200.00,45000,14,IRI Marine Co.-R-a
20110101,200.00,215,190,198.00,106996,11,IRI Marine Co.-R-a
20110102,184.00,213,184,210.00,38942,6,IRI Marine Co.-R-a
20110103,226.00,226,226,226.00,32000,8,IRI Marine Co.-R-a
20110104,209.00,209,209,209.00,9706,2,IRI Marine Co.-R-a
20110105,202.00,225,202,225.00,401085,12,IRI Marine Co.-R-a
20110108,224.00,225,224,225.00,230000,7,IRI Marine Co.-R-a
20110109,239.00,243,225,239.00,14197,5,IRI Marine Co.-R-a
20110110,243.00,243,220,220.00,10011,4,IRI Marine Co.-R-a
20110111,215.00,225,203,224.00,781964,27,IRI Marine Co.-R-a
20110112,210.00,210,210,210.00,31100,9,IRI Marine Co.-R-a
20110115,225.00,226,200,217.00,46209,8,IRI Marine Co.-R-a
20110116,225.00,230,220,222.00,113163,8,IRI Marine Co.-R-a
20110117,211.00,239,211,236.00,434505,28,IRI Marine Co.-R-a
20110118,243.00,254,243,251.00,461850,49,IRI Marine Co.-R-a
20110328,231.00,231,231,231.00,106250,2,IRI Marine Co.-R-a
20110329,231.00,231,231,231.00,200000,3,IRI Marine Co.-R-a
20110330,249.00,249,249,249.00,4000000,87,IRI Marine Co.-R-a
20110403,268.00,268,268,268.00,4000000,106,IRI Marine Co.-R-a
20110404,289.00,289,289,289.00,6600000,150,IRI Marine Co.-R-a
20110405,312.00,312,312,312.00,2004200,42,IRI Marine Co.-R-a
20110419,321.00,321,321,321.00,1,1,IRI Marine Co.-R-a
