<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150803,2252.00,2252,2252,2252.00,1500,1,چكاوهح-ت
20150804,2400.00,2450,2250,2360.00,243693,76,چكاوهح-ت
20150805,2200.00,2300,2180,2215.00,43331,20,چكاوهح-ت
20150808,1997.00,2188,1994,2009.00,124923,37,چكاوهح-ت
20150809,2000.00,2100,1845,1974.00,244299,81,چكاوهح-ت
20150810,1991.00,2100,1972,2000.00,32726,16,چكاوهح-ت
20150812,1975.00,1975,1925,1939.00,23424,8,چكاوهح-ت
20150815,1880.00,1880,1840,1860.00,12920,6,چكاوهح-ت
20150816,1745.00,1887,1745,1846.00,64756,22,چكاوهح-ت
20150817,1850.00,1850,1777,1824.00,18137,14,چكاوهح-ت
20150818,1742.00,1830,1742,1761.00,8695,5,چكاوهح-ت
20150819,1706.00,1736,1680,1715.00,167904,30,چكاوهح-ت
20150822,1674.00,1699,1674,1677.00,65180,13,چكاوهح-ت
20150823,1540.00,1743,1510,1520.00,119500,13,چكاوهح-ت
20150824,1549.00,1549,1445,1446.00,5049,3,چكاوهح-ت
20150825,1500.00,1500,1448,1461.00,30298,19,چكاوهح-ت
20150826,1495.00,1599,1465,1496.00,22311,13,چكاوهح-ت
20150829,1645.00,1645,1525,1642.00,222809,94,چكاوهح-ت
20150830,1779.00,1779,1478,1492.00,154800,20,چكاوهح-ت
20150831,1540.00,1540,1540,1540.00,950,1,چكاوهح-ت
20150901,1401.00,1510,1401,1406.00,194848,11,چكاوهح-ت
20150902,1545.00,1545,1410,1424.00,13947,11,چكاوهح-ت
20150905,1425.00,1452,1420,1444.00,32800,13,چكاوهح-ت
20150906,1385.00,1390,1371,1378.00,32885,6,چكاوهح-ت
20150907,1431.00,1515,1390,1452.00,6883,5,چكاوهح-ت
20150908,1417.00,1417,1410,1411.00,117549,15,چكاوهح-ت
20150909,1411.00,1430,1371,1414.00,5201,6,چكاوهح-ت
20150912,1365.00,1365,1273,1319.00,172114,42,چكاوهح-ت
20150913,1277.00,1277,1202,1239.00,123622,18,چكاوهح-ت
20150914,1195.00,1195,1188,1190.00,82687,25,چكاوهح-ت
20150915,1200.00,1200,1163,1199.00,66890,10,چكاوهح-ت
20150916,1170.00,1170,1080,1093.00,663501,181,چكاوهح-ت
20150919,1011.00,1011,988,999.00,275006,121,چكاوهح-ت
20150920,981.00,981,981,981.00,13285,3,چكاوهح-ت
20150921,1030.00,1030,930,1006.00,6330,3,چكاوهح-ت
20150922,916.00,953,914,945.00,70130,17,چكاوهح-ت
20150923,999.00,1000,920,957.00,121716,33,چكاوهح-ت
