<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180317,530.00,583,478,569.00,289098
20180318,625.00,686,600,623.00,1152718
20180319,563.00,670,563,612.00,1073439
20180325,561.00,673,561,661.00,847343
20180326,650.00,665,603,629.00,787016
20180327,640.00,640,584,602.00,321668
20180328,610.00,615,583,599.00,194329
20180403,545.00,614,545,580.00,79950
20180404,582.00,582,551,565.00,507037
20180407,522.00,522,509,510.00,1035205
20180408,524.00,526,459,465.00,1814907
20180409,423.00,430,419,421.00,1233652
20180410,390.00,434,389,403.00,2195244
20180411,373.00,376,363,365.00,433700
20180415,338.00,338,329,330.00,2717442
20180416,298.00,360,297,308.00,3417894
20180417,329.00,338,328,336.00,972192
20180418,365.00,365,335,349.00,1777778
20180421,334.00,344,325,333.00,335104
20180422,338.00,338,313,320.00,521259
20180423,322.00,322,322,322.00,6167
20180424,322.00,340,309,323.00,685153
20180425,314.00,320,291,294.00,1290948
20180428,304.00,305,266,284.00,1205190
20180429,270.00,270,256,257.00,1733773
20180430,259.00,263,232,243.00,2311593
20180501,250.00,267,250,266.00,829889
20180505,400.00,440,400,430.00,12726702
20180506,473.00,473,430,468.00,6040368
20180507,480.00,505,450,481.00,5223810
20180508,450.00,479,433,453.00,7346032
20180509,408.00,408,408,408.00,14296120
20180512,371.00,448,368,408.00,3398946
20180513,410.00,448,410,446.00,1031016
20180514,490.00,490,488,490.00,1712566
20180515,539.00,539,520,538.00,5705605
20180516,491.00,530,485,494.00,4108185
20180519,531.00,531,480,511.00,2743394
20180520,511.00,511,478,491.00,4177755
20180521,452.00,500,452,483.00,7698923
20180522,500.00,500,480,492.00,2548028
20180523,485.00,499,473,487.00,3628046
20180526,532.00,532,461,485.00,5084620
20181020,900.00,900,900,900.00,815000
20181021,990.00,990,810,823.00,997000
20181022,742.00,742,741,741.00,478100
20181027,700.00,700,700,700.00,28672059
