<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20140203,991.35,1031,991,1016.06,2587065,560,Iranian Lizing-a
20140204,1043.52,1044,975,995.19,2663513,640,Iranian Lizing-a
20140205,955.65,956,956,987.50,94135,26,Iranian Lizing-a
20140208,948.51,949,949,987.50,3118,5,Iranian Lizing-a
20140209,948.51,949,949,984.21,42523,9,Iranian Lizing-a
20140210,945.21,945,945,983.66,4380,1,Iranian Lizing-a
20140212,944.66,945,945,983.11,4098,6,Iranian Lizing-a
20140215,944.11,944,944,983.11,1000,1,Iranian Lizing-a
20140216,944.11,981,944,950.70,2353281,396,Iranian Lizing-a
20140217,935.33,972,914,950.70,2491484,355,Iranian Lizing-a
20140218,950.70,951,913,919.95,989566,111,Iranian Lizing-a
20140219,933.68,945,919,934.78,1126202,142,Iranian Lizing-a
20140222,934.78,972,935,966.08,1035829,156,Iranian Lizing-a
20140223,977.62,978,934,949.61,391048,83,Iranian Lizing-a
20140224,933.68,934,918,924.34,937047,157,Iranian Lizing-a
20140225,887.54,896,888,895.23,416652,63,Iranian Lizing-a
20140226,868.32,879,860,869.42,830520,115,Iranian Lizing-a
20140301,846.35,892,846,875.46,493575,86,Iranian Lizing-a
20140302,853.49,873,841,848.55,503239,70,Iranian Lizing-a
20140303,824.38,824,815,816.15,528778,66,Iranian Lizing-a
20140304,796.92,818,786,802.41,556171,74,Iranian Lizing-a
20140305,823.29,834,823,824.38,348938,45,Iranian Lizing-a
20140308,857.34,857,857,857.34,882833,55,Iranian Lizing-a
20140309,878.76,891,830,887.54,1853383,183,Iranian Lizing-a
20140310,854.04,906,854,878.76,864467,91,Iranian Lizing-a
20140311,892.49,892,844,861.18,265576,45,Iranian Lizing-a
20140312,877.11,877,827,843.61,826945,106,Iranian Lizing-a
20140315,876.56,877,847,875.46,869703,76,Iranian Lizing-a
20140316,910.06,910,879,907.32,644979,76,Iranian Lizing-a
20140317,943.02,944,917,934.23,808412,75,Iranian Lizing-a
20140318,970.48,971,899,937.52,482054,53,Iranian Lizing-a
20140319,906.77,934,900,910.06,656930,81,Iranian Lizing-a
20140325,880.95,943,874,891.94,291636,51,Iranian Lizing-a
20140326,859.53,919,857,883.70,163099,27,Iranian Lizing-a
20140329,878.76,879,849,877.66,101032,30,Iranian Lizing-a
20140330,889.74,912,890,890.29,266038,42,Iranian Lizing-a
20140331,891.39,925,891,921.60,774502,81,Iranian Lizing-a
20140405,890.29,945,890,911.71,522636,59,Iranian Lizing-a
20140406,900.73,917,877,903.47,156483,20,Iranian Lizing-a
20140407,906.22,912,868,872.72,617456,87,Iranian Lizing-a
20140408,906.22,907,874,892.49,356763,53,Iranian Lizing-a
20140409,865.03,889,857,876.56,230200,44,Iranian Lizing-a
20140412,895.23,895,842,852.94,358949,66,Iranian Lizing-a
20140413,824.38,845,819,820.54,772272,119,Iranian Lizing-a
20140414,840.31,840,788,795.27,570093,49,Iranian Lizing-a
20140415,766.17,821,766,796.37,122622,33,Iranian Lizing-a
20140416,796.37,827,785,807.91,348640,87,Iranian Lizing-a
20140419,796.37,796,776,800.77,122249,35,Iranian Lizing-a
20140420,798.57,833,792,810.10,366579,62,Iranian Lizing-a
20140421,834.82,843,834,841.96,1562935,150,Iranian Lizing-a
20140422,861.73,868,819,838.66,326378,42,Iranian Lizing-a
20140423,823.83,850,805,807.36,1517947,109,Iranian Lizing-a
20140426,823.83,839,824,835.37,708485,79,Iranian Lizing-a
20140427,868.32,868,839,861.18,1274494,134,Iranian Lizing-a
20140428,828.23,846,827,830.42,891882,95,Iranian Lizing-a
20140429,823.83,829,810,824.38,441084,38,Iranian Lizing-a
20140430,850.75,857,833,855.14,981711,87,Iranian Lizing-a
20140503,889.19,889,868,886.45,2108096,165,Iranian Lizing-a
20140504,888.64,889,862,880.40,1865741,165,Iranian Lizing-a
20140505,884.25,914,880,895.23,611256,103,Iranian Lizing-a
20140506,882.60,899,863,874.36,846289,107,Iranian Lizing-a
20140507,862.83,909,857,902.92,2196638,195,Iranian Lizing-a
20140510,938.62,939,920,938.07,2531769,226,Iranian Lizing-a
20140511,933.13,952,923,932.58,1384514,102,Iranian Lizing-a
20140512,939.17,969,931,960.04,2249456,184,Iranian Lizing-a
20140514,986.40,998,968,992.45,1175898,140,Iranian Lizing-a
20140517,952.90,953,953,952.90,1579775,79,Iranian Lizing-a
20140518,945.21,991,945,985.31,948887,68,Iranian Lizing-a
20140519,1024.30,1024,994,1019.91,6095330,307,Iranian Lizing-a
20140520,1027.05,1061,1024,1052.86,3339939,224,Iranian Lizing-a
20140521,1092.95,1095,1076,1094.05,7041350,257,Iranian Lizing-a
20140524,1137.44,1137,1107,1136.89,11102557,430,Iranian Lizing-a
20140525,1137.99,1138,1092,1101.19,5678304,455,Iranian Lizing-a
20140526,1070.98,1145,1071,1140.74,6461361,498,Iranian Lizing-a
20140608,1060.00,1093,1050,1070.98,1763757,134,Iranian Lizing-a
20140609,1087.46,1114,1071,1097.35,4746708,386,Iranian Lizing-a
20140610,1095.15,1095,1056,1073.18,866120,103,Iranian Lizing-a
20140611,1070.98,1071,1030,1030.89,1741638,144,Iranian Lizing-a
20140614,991.90,992,990,1027.05,45265,11,Iranian Lizing-a
20140615,986.40,986,986,986.40,655028,72,Iranian Lizing-a
20140616,958.94,1022,959,988.60,192400,38,Iranian Lizing-a
20140617,950.70,956,949,957.30,410902,37,Iranian Lizing-a
20140618,988.60,995,934,992.45,507399,58,Iranian Lizing-a
20140621,1021.55,1032,996,1030.89,3643079,276,Iranian Lizing-a
20140622,1043.52,1055,1003,1029.24,674879,74,Iranian Lizing-a
20140623,988.60,990,989,1012.22,209229,20,Iranian Lizing-a
20140624,973.22,989,972,973.77,1490923,94,Iranian Lizing-a
20140625,940.27,993,935,945.21,1370796,96,Iranian Lizing-a
20140628,917.20,917,908,922.69,316654,48,Iranian Lizing-a
20140629,885.90,886,886,921.60,14239,2,Iranian Lizing-a
20140630,895.78,955,885,894.68,678650,113,Iranian Lizing-a
20140701,928.19,930,928,911.71,238798,24,Iranian Lizing-a
20140702,947.96,948,948,947.96,500613,43,Iranian Lizing-a
20140705,985.85,986,986,985.85,507937,32,Iranian Lizing-a
20140706,1024.30,1025,951,1003.98,2753650,197,Iranian Lizing-a
20140707,969.38,1044,969,1037.48,2739009,176,Iranian Lizing-a
20140708,1067.14,1079,1067,1078.12,4260997,138,Iranian Lizing-a
20140709,1120.96,1121,1121,1082.52,49232,12,Iranian Lizing-a
20140712,1125.36,1125,1125,1125.36,538082,19,Iranian Lizing-a
20140713,1169.84,1170,1141,1168.75,30956955,1285,Iranian Lizing-a
20140714,1169.84,1213,1153,1189.62,5879906,517,Iranian Lizing-a
20140715,1158.86,1235,1148,1189.07,8530638,651,Iranian Lizing-a
20140716,1169.84,1236,1170,1228.06,15335296,1089,Iranian Lizing-a
20140720,1186.32,1210,1179,1186.32,3417295,291,Iranian Lizing-a
20140721,1161.06,1197,1140,1167.65,1943146,206,Iranian Lizing-a
20140722,1147.33,1198,1147,1183.58,2005708,194,Iranian Lizing-a
20140723,1180.83,1207,1155,1185.77,1749855,181,Iranian Lizing-a
20140726,1152.27,1152,1139,1145.68,454508,49,Iranian Lizing-a
20140727,1109.43,1170,1107,1123.16,1002922,118,Iranian Lizing-a
20140728,1142.38,1168,1137,1162.16,2247162,186,Iranian Lizing-a
20140802,1153.37,1153,1116,1129.75,364311,29,Iranian Lizing-a
20140803,1084.72,1115,1085,1087.46,2983802,227,Iranian Lizing-a
20140804,1098.45,1125,1087,1111.08,1211720,136,Iranian Lizing-a
20140805,1098.45,1115,1074,1090.76,528470,103,Iranian Lizing-a
20140806,1070.98,1098,1071,1085.26,325159,54,Iranian Lizing-a
20140809,1090.21,1090,1072,1075.93,469628,68,Iranian Lizing-a
20140810,1091.31,1092,1038,1053.41,1017419,104,Iranian Lizing-a
20140811,1086.36,1095,1076,1091.85,635141,64,Iranian Lizing-a
20140812,1114.92,1115,1077,1097.35,1346065,152,Iranian Lizing-a
20140813,1071.53,1141,1072,1123.16,1356620,168,Iranian Lizing-a
20140816,1142.38,1164,1123,1147.33,1407749,186,Iranian Lizing-a
20140817,1133.05,1164,1126,1145.13,632183,93,Iranian Lizing-a
20140818,1152.82,1174,1108,1144.58,866911,157,Iranian Lizing-a
20140819,1141.83,1142,1102,1106.13,513306,69,Iranian Lizing-a
20140820,1080.32,1110,1080,1098.45,430317,49,Iranian Lizing-a
20140823,1087.46,1142,1087,1122.61,418680,77,Iranian Lizing-a
20140824,1125.91,1126,1078,1090.76,1338273,129,Iranian Lizing-a
20140825,1074.28,1094,1065,1072.63,657021,90,Iranian Lizing-a
20140826,1114.92,1115,1098,1113.27,1433904,196,Iranian Lizing-a
20140827,1114.92,1131,1071,1079.22,684888,98,Iranian Lizing-a
20140830,1057.80,1058,1044,1059.45,306768,59,Iranian Lizing-a
20140831,1043.52,1075,1033,1044.07,580548,99,Iranian Lizing-a
20140901,1039.68,1049,1033,1038.03,657513,83,Iranian Lizing-a
20140902,1029.79,1030,1010,1017.71,675493,89,Iranian Lizing-a
20140903,1021.55,1058,1022,1056.70,1865993,214,Iranian Lizing-a
20140906,1076.48,1076,1024,1061.10,592540,83,Iranian Lizing-a
20140907,1043.52,1076,1019,1051.21,382027,55,Iranian Lizing-a
20140908,1022.10,1081,1022,1067.14,440816,80,Iranian Lizing-a
20140909,1070.44,1070,1033,1049.02,1073561,85,Iranian Lizing-a
20140910,1024.85,1044,1022,1035.83,507937,33,Iranian Lizing-a
20140913,1021.55,1043,995,1011.12,463928,93,Iranian Lizing-a
20140914,994.64,1016,995,1008.37,146375,30,Iranian Lizing-a
20140915,1021.55,1048,1017,1038.03,654884,60,Iranian Lizing-a
20140916,999.59,1049,1000,1036.93,223791,46,Iranian Lizing-a
20140917,1027.05,1054,1005,1022.65,850043,58,Iranian Lizing-a
20140920,1000.13,1055,1000,1030.89,234518,60,Iranian Lizing-a
20140921,1043.52,1072,1011,1066.04,1436642,118,Iranian Lizing-a
20140922,1078.67,1108,1077,1102.84,1499428,137,Iranian Lizing-a
20140923,1091.31,1125,1079,1105.59,697161,78,Iranian Lizing-a
20140924,1098.45,1128,1080,1098.99,732962,77,Iranian Lizing-a
