<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20050315,268.63,269,269,268.63,970000,964,ولصنم-ت
20050316,282.06,282,282,282.06,3527725,1002,ولصنم-ت
20050328,296.16,296,296,296.16,1000500,544,ولصنم-ت
20050329,310.94,311,311,310.94,1000000,578,ولصنم-ت
20050330,326.38,326,311,310.94,500,2,ولصنم-ت
20050403,326.38,326,326,326.38,1025150,423,ولصنم-ت
20050405,342.64,343,343,342.64,9041300,2378,ولصنم-ت
20050406,359.69,360,360,359.69,1002100,486,ولصنم-ت
20050410,377.56,378,378,377.56,2500000,1141,ولصنم-ت
20050411,396.36,396,378,377.83,4910,5,ولصنم-ت
20050412,396.63,397,397,396.63,6002526,2418,ولصنم-ت
20050413,416.38,416,416,416.38,10017264,2807,ولصنم-ت
20050416,437.19,437,437,437.19,6123598,1567,ولصنم-ت
20050417,458.95,459,459,458.95,2295627,639,ولصنم-ت
20050418,481.79,482,459,479.64,14703119,3822,ولصنم-ت
20050419,470.10,480,457,465.94,4247233,1606,ولصنم-ت
20050420,456.94,489,445,467.41,3516567,1220,ولصنم-ت
20050423,490.79,491,491,490.79,1212962,458,ولصنم-ت
20050424,496.96,497,479,488.91,3558972,1417,ولصنم-ت
20050501,486.22,486,465,472.92,1384854,448,ولصنم-ت
20050502,463.65,464,449,451.70,1060155,378,ولصنم-ت
20050503,442.97,469,443,460.97,1302032,444,ولصنم-ت
20050504,468.76,483,469,480.17,1232190,428,ولصنم-ت
20050507,470.37,479,463,468.09,749914,230,ولصنم-ت
20050508,468.09,471,458,463.79,568323,217,ولصنم-ت
20050509,462.58,468,457,462.18,616837,203,ولصنم-ت
20050510,469.70,477,470,472.25,756780,282,ولصنم-ت
20050511,476.82,490,477,482.32,1651592,518,ولصنم-ت
20050514,482.32,482,463,468.22,573155,228,ولصنم-ت
20050515,470.10,473,462,464.06,491622,177,ولصنم-ت
20050516,463.39,473,462,468.89,745484,257,ولصنم-ت
20050517,470.77,490,471,485.14,2181086,639,ولصنم-ت
20050518,509.32,509,494,503.01,2156504,664,ولصنم-ت
20050521,493.34,496,484,489.17,693154,254,ولصنم-ت
20050522,484.47,489,481,484.07,640264,239,ولصنم-ت
20050523,490.25,502,490,498.04,594376,233,ولصنم-ت
20050524,500.32,501,491,495.89,740382,300,ولصنم-ت
20050525,492.67,502,492,495.49,879538,299,ولصنم-ت
20050528,520.20,520,510,520.07,2893770,845,ولصنم-ت
20050529,545.99,546,539,538.74,230873,122,ولصنم-ت
20050530,565.60,566,562,561.84,276522,158,ولصنم-ت
20050531,577.55,590,544,570.30,3267657,1192,ولصنم-ت
20050601,590.98,599,572,596.22,3336267,1101,ولصنم-ت
20050606,599.31,626,596,623.49,917869,382,ولصنم-ت
20050607,654.65,655,655,654.65,350005,148,ولصنم-ت
20050608,687.29,687,655,685.68,12458276,2694,ولصنم-ت
20050611,691.72,716,651,671.98,4143517,1228,ولصنم-ت
20050612,671.57,705,653,684.60,2263974,922,ولصنم-ت
20050613,685.00,719,685,714.15,2105449,717,ولصنم-ت
20050614,719.93,750,719,745.58,1896265,702,ولصنم-ت
20050615,782.79,783,759,781.44,1390939,611,ولصنم-ت
20050618,820.39,820,807,819.99,1445081,584,ولصنم-ت
20050619,820.39,826,779,792.46,2967871,1254,ولصنم-ت
20050620,754.98,833,755,816.10,3691268,1383,ولصنم-ت
20050621,856.79,857,815,831.00,2104343,1059,ولصنم-ت
20050622,831.41,872,818,852.90,2506785,1039,ولصنم-ت
20050625,810.32,843,810,843.50,69800,30,ولصنم-ت
20050626,801.32,801,801,801.32,4654034,1354,ولصنم-ت
