<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20070826,217.80,219,218,218.13,437402390,10429,MAPNA-a
20070827,222.48,222,222,222.48,14030185,1887,MAPNA-a
20070828,226.84,227,221,226.35,102663438,7137,MAPNA-a
20070901,229.10,231,227,230.55,18758591,1468,MAPNA-a
20070902,235.07,235,235,235.07,3259796,241,MAPNA-a
20070903,239.74,240,240,239.74,8103085,752,MAPNA-a
20070904,244.42,244,244,244.42,5228536,565,MAPNA-a
20070905,249.26,249,245,244.91,310856,78,MAPNA-a
20070908,249.75,250,250,249.75,3206994,467,MAPNA-a
20070909,254.59,255,254,253.62,2561055,491,MAPNA-a
20070910,258.62,259,257,257.17,2259723,483,MAPNA-a
20070911,262.17,262,218,259.59,12579215,834,MAPNA-a
20070912,264.75,265,265,264.75,3404999,667,MAPNA-a
20070915,269.91,270,260,267.01,38678662,2764,MAPNA-a
20070916,261.69,267,262,266.85,98588,23,MAPNA-a
20070917,261.53,267,262,266.69,51524,18,MAPNA-a
20070918,261.36,267,261,266.53,137102,39,MAPNA-a
20070919,261.20,266,261,266.37,73280,18,MAPNA-a
20070922,261.04,266,218,266.20,4542840,245,MAPNA-a
20070923,260.88,266,261,265.88,236544,40,MAPNA-a
20070924,260.72,266,261,265.72,109924,16,MAPNA-a
20070925,260.56,266,261,265.72,32574,8,MAPNA-a
20070926,260.56,261,261,260.56,3330601,113,MAPNA-a
20070929,255.39,255,255,255.39,4120623,242,MAPNA-a
20070930,250.39,250,250,250.39,3226761,140,MAPNA-a
20071001,245.39,250,245,250.39,35684,19,MAPNA-a
20071002,245.39,250,245,250.39,30192,14,MAPNA-a
20071006,245.39,250,245,250.23,119490,11,MAPNA-a
20071007,245.23,250,245,250.23,14327,6,MAPNA-a
20071008,245.23,250,245,250.23,4778,5,MAPNA-a
20071009,245.23,250,245,250.23,6026,9,MAPNA-a
20071010,245.23,250,245,250.23,13436,7,MAPNA-a
20071014,245.23,245,245,245.23,3178341,97,MAPNA-a
20071015,240.39,245,240,245.07,85780,14,MAPNA-a
20071016,240.23,245,240,244.91,88461,11,MAPNA-a
