<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130504,100.00,100,100,100.00,25280
20130505,100.00,100,100,100.00,20
20130506,100.00,100,100,100.00,186990
20130507,100.00,100,100,100.00,130100
20130508,100.00,100,100,100.00,2040
20130511,100.00,100,100,100.00,42500
20130512,100.00,100,100,100.00,11130
20130513,100.00,100,100,100.00,320
20130514,100.00,100,100,100.00,3630
20130515,100.00,100,100,100.00,1670
20130518,100.00,100,100,100.00,1970
20130519,100.00,100,100,100.00,970
20130520,100.00,100,100,100.00,55500
20130521,100.00,100,100,100.00,95090
20130522,100.00,100,100,100.00,2443590
20130701,100.00,100,100,100.00,20480
20130702,100.00,100,100,100.00,73700
20130706,100.00,100,100,100.00,12880
20130707,100.00,100,100,100.00,630
20130708,100.00,100,100,100.00,700
20130709,100.00,100,100,100.00,7650
20130710,100.00,100,100,100.00,1520
20130713,100.00,100,100,100.00,530
20130714,100.00,100,100,100.00,390
20130716,100.00,100,100,100.00,3000
20130717,100.00,100,100,100.00,27340
20130720,100.00,100,100,100.00,100
20130721,100.00,100,100,100.00,30
20130722,100.00,100,100,100.00,30
20130724,100.00,100,100,100.00,4390
20130727,100.00,100,100,100.00,1560
20130729,100.00,100,100,100.00,170
20130731,100.00,100,100,100.00,1570
20130807,100.00,100,100,100.00,130
20130811,100.00,100,100,100.00,190
20130812,100.00,100,100,100.00,100
20130818,100.00,100,100,100.00,260
20130820,100.00,100,100,100.00,20
20130826,100.00,100,100,100.00,100
20130827,100.00,100,100,100.00,70
20130828,100.00,100,100,100.00,70050
20130831,100.05,100,100,100.01,530
20130901,100.00,100,100,100.00,530
20130903,100.00,100,100,100.00,10620
20130907,100.00,100,100,100.00,5310
20130908,100.00,100,100,100.00,5000
20130909,100.00,100,100,100.00,66100
20130910,100.00,100,100,100.00,5000
20130911,100.00,100,100,100.00,15000
20130914,100.00,100,100,100.00,5820
20130915,100.00,100,100,100.00,24930
20130916,100.00,100,100,100.00,7500
20130917,100.00,100,100,100.00,5170
20130918,100.00,100,100,100.00,60
20130921,100.00,100,100,100.00,10470
20130922,100.00,100,100,100.00,5690
20130923,100.00,100,100,100.00,12860
20130924,100.00,100,100,100.00,210000
20130925,100.00,100,100,100.00,650100
20130928,100.00,100,100,100.00,349000
20130929,100.00,100,100,100.00,101140
20130930,100.00,100,100,100.00,1990
20131001,100.00,100,100,100.00,5210
20131002,100.00,100,100,100.00,210
20131007,100.00,100,100,100.00,2400
20131008,100.00,100,100,100.00,3850
20131009,100.00,100,100,100.00,2580
20131012,100.00,100,100,100.00,3040
20131013,100.00,100,100,100.00,900
20131014,100.00,100,100,100.00,450
20131015,100.00,100,100,100.00,41290
20131019,100.00,100,100,100.00,1400
20131020,100.00,100,100,100.00,430
20131021,100.00,100,100,100.00,100
20131022,100.00,100,100,100.00,240
20131023,100.00,100,100,100.00,100
20131026,100.00,100,100,100.00,150
20131027,100.00,100,100,100.00,3000
20131028,100.00,100,100,100.00,10270
20131029,100.00,100,100,100.00,5510
20131030,100.00,100,100,100.00,390
20131102,100.00,100,100,100.00,2250
20131103,100.00,100,100,100.00,830
20131106,100.00,100,100,100.00,330
20131109,100.00,100,100,100.00,500
20131110,100.00,100,100,100.00,10000
20131111,100.00,100,100,100.00,720
20131112,100.00,100,100,100.00,2220
20131116,100.00,100,100,100.00,420
20131117,100.00,100,100,100.00,2820
20131118,100.00,100,100,100.00,660
20131119,100.00,100,100,100.00,4350
20131120,100.00,100,100,100.00,410
20131123,100.00,100,100,100.00,730
20131124,100.00,100,100,100.00,105580
20131125,100.00,100,100,100.00,3140
20131126,100.00,100,100,100.00,650
20131127,100.00,100,100,100.00,7210
20131130,100.00,100,100,100.00,2070
20131201,100.00,100,100,100.00,280
20131202,100.00,100,100,100.00,2660
20131203,100.00,100,100,100.00,700
20131207,100.00,100,100,100.00,2390
20131208,100.00,100,100,100.00,10
20131209,100.00,100,100,100.00,550
20131210,100.00,100,100,100.00,4340
20131211,100.00,100,100,100.00,1560
20131214,100.00,100,100,100.00,6520
20131215,100.00,100,100,100.00,11170
20131216,100.00,100,100,100.00,9340
20131217,100.00,100,100,100.00,610
20131218,100.00,100,100,100.00,9940
20131221,100.00,100,100,100.00,10010
20131222,100.00,100,100,100.00,5570
20131224,100.00,100,100,100.00,1820
20131225,100.00,100,100,100.00,50000
20131228,100.00,100,100,100.00,59620
20131229,100.00,100,100,100.00,5630
20131230,104.00,104,100,100.04,1080
20140105,100.00,100,100,100.00,650
20140106,100.00,100,100,100.02,190
20140107,100.00,100,100,100.00,310
20140108,100.00,100,100,100.00,820
20140111,100.00,100,100,100.00,1480
20140112,100.00,100,100,100.00,420
20140113,100.00,100,100,100.00,510
20140114,100.00,100,100,100.00,820
20140115,100.00,100,100,100.00,2180
20140118,100.10,100,100,100.06,90
20140120,100.00,101,100,100.17,120
20140121,100.25,100,100,100.25,20
20140125,100.00,100,100,100.00,10
20140126,100.00,100,100,100.00,1130
20140127,100.00,100,100,100.00,1400
20140128,100.00,100,100,100.00,20
20140129,100.01,100,100,100.00,1440
20140201,100.00,100,100,100.00,4800
20140204,100.00,100,100,100.00,520
20140205,100.06,100,100,100.05,50
20140208,100.00,100,100,100.00,140
20140209,100.00,100,100,100.00,134520
20140210,100.00,100,100,100.00,4320
20140212,100.50,100,100,100.07,140
20140215,100.00,100,100,100.00,10150
20140216,100.00,100,100,100.00,2610
20140217,100.00,100,100,100.00,210
20140218,100.00,100,100,100.00,250
20140219,100.00,100,100,100.00,940
20140222,100.00,100,100,100.00,310
20140223,100.00,100,100,100.00,410
20140224,100.00,100,100,100.00,2310
20140225,100.00,100,100,100.00,290
20140226,100.00,100,100,100.00,70
