<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20151021,1000000.00,1000000,1000000,1000000.00,1000
20151025,1000000.00,1000000,1000000,1000000.00,80000
20151104,1000000.00,1000000,1000000,1000000.00,100000
20151227,1000000.00,1000000,1000000,1000000.00,1000
20160222,1000000.00,1000000,1000000,1000000.00,60000
20160308,1000000.00,1000000,1000000,1000000.00,40000
20160508,1000000.00,1000000,1000000,1000000.00,10000
20160518,1050000.00,1050000,1050000,1050000.00,1000
20160528,1000000.00,1000000,1000000,1000000.00,2500
20160529,1000000.00,1000000,1000000,1000000.00,5000
20160530,1050000.00,1050000,1050000,1050000.00,1000
20160619,1060000.00,1060000,1060000,1060000.00,1000
20160622,1050000.00,1050000,1050000,1050000.00,1320
20160625,1055000.00,1055000,1055000,1055000.00,1060
20160720,1065000.00,1065000,1065000,1065000.00,1280
20160724,1055000.00,1055000,1055000,1055000.00,1110
20160727,1037000.00,1037000,1037000,1037000.00,1360
20160806,1017000.00,1017000,1017000,1017000.00,1100
20160807,1033000.00,1033000,1033000,1033000.00,1100
20160808,1050000.00,1050000,1050000,1050000.00,1100
20160823,1060000.00,1060000,1060000,1060000.00,1700
20160910,1020001.00,1020001,1020001,1020001.00,500
20160913,1036001.00,1036001,1036001,1036001.00,500
20160917,1045000.00,1045000,1045000,1045000.00,1100
20160918,1055000.00,1055000,1055000,1055000.00,500
20161002,1060000.00,1060000,1060000,1060000.00,1400
20161015,1040000.00,1040000,1040000,1040000.00,1000
20161018,1050000.00,1050000,1050000,1050000.00,500
20161204,1004009.00,1004009,1000000,1000160.00,1000
20161218,1019999.00,1019999,1019999,1019999.00,19
20161219,1019999.00,1050000,1019999,1049923.00,780
20161220,1060000.00,1060000,1060000,1060000.00,770
20170107,1000000.00,1000000,1000000,1000000.00,2500
20170108,1008000.00,1050000,1008000,1039714.00,1400
20170118,1091699.00,1091699,1091699,1091699.00,10000
20170409,1000000.00,1000000,1000000,1000000.00,1500
20170412,1050000.00,1050000,1050000,1050000.00,250
20170415,1070000.00,1070000,1070000,1070000.00,1500
20170418,1066666.00,1089998,1066666,1086273.00,1190
20170508,1000000.00,1000000,1000000,1000000.00,5
20170509,1049999.00,1049999,1049999,1049999.00,2200
20170510,1059999.00,1086000,1059999,1071344.00,595
20170515,1086995.00,1086995,1086995,1086995.00,1200
20170528,1000003.00,1079990,1000003,1079592.00,1005
20170529,1000006.00,1000006,1000006,1000006.00,5
20170531,1049999.00,1049999,1049999,1049999.00,1000
20170613,1000011.00,1090000,1000011,1083646.00,3284
20170731,1049800.00,1049800,1049800,1049800.00,137
20170904,1000004.00,1010031,1000003,1004301.00,1750
20170912,1020000.00,1020000,1020000,1020000.00,150
20170913,1054513.00,1054513,1054513,1054513.00,116
20170924,1012000.00,1088000,1010000,1055086.00,1750
20170925,1001009.00,1001009,1001009,1001009.00,1500
20171015,1030000.00,1030000,1030000,1030000.00,116
20171022,1060000.00,1060000,1060000,1060000.00,134
20171028,1040000.00,1040000,1040000,1040000.00,100
20171108,1025000.00,1025000,1025000,1025000.00,95
20171122,1015000.00,1015000,1015000,1015000.00,70
20171125,1000091.00,1000091,1000091,1000091.00,150
20180213,1020000.00,1020000,1020000,1020000.00,60000
20180214,1020000.00,1020000,1020000,1020000.00,20000
20180226,1000001.00,1000001,1000001,1000001.00,81000
20180227,1015000.00,1015000,1015000,1015000.00,50
20180304,1015000.00,1015000,1015000,1015000.00,50
20180305,1015000.00,1015000,1015000,1015000.00,100000
20180307,1025000.00,1025000,1025000,1025000.00,83000
20180310,1022284.00,1022284,1022284,1022284.00,83050
20180311,1025000.00,1025000,1025000,1025000.00,28000
20180313,1025000.00,1025000,1025000,1025000.00,8000
20180317,1025000.00,1025000,1025000,1025000.00,8780
20180318,1020000.00,1020000,1020000,1020000.00,80000
20180515,1000000.00,1000000,1000000,1000000.00,116
20180526,1005000.00,1020000,1005000,1019997.00,500100
20180626,1000001.00,1000001,1000001,1000001.00,13400
20180630,1000000.00,1000000,1000000,1000000.00,31415
20180723,1000001.00,1000001,1000001,1000001.00,95900
20180728,1000000.00,1000000,1000000,1000000.00,12000
20180729,1000000.00,1000000,1000000,1000000.00,11000
20180730,1000000.00,1000000,1000000,1000000.00,11000
20180731,1000000.00,1000000,1000000,1000000.00,11000
20180804,1000000.00,1000000,1000000,1000000.00,11000
20180805,1000000.00,1000000,1000000,1000000.00,11000
20180806,1000000.00,1000000,1000000,1000000.00,11000
20180807,1000000.00,1000000,1000000,1000000.00,11000
20180808,1000000.00,1000000,1000000,1000000.00,11000
20180811,1000000.00,1000000,1000000,1000000.00,11000
20180812,1000000.00,1000000,1000000,1000000.00,11000
20180814,1000000.00,1000000,1000000,1000000.00,11000
20180815,1000000.00,1000000,1000000,1000000.00,500
20180818,1000000.00,1000000,1000000,1000000.00,11000
20180819,1000000.00,1000000,1000000,1000000.00,11000
20180820,1000000.00,1000000,1000000,1000000.00,11000
20180821,1000000.00,1000000,1000000,1000000.00,11000
20180825,1000000.00,1000000,1000000,1000000.00,3000
20180901,1000000.00,1000000,1000000,1000000.00,4200
20180902,1000000.00,1000000,1000000,1000000.00,27815
20180903,1000000.00,1000000,1000000,1000000.00,11000
20180904,1000000.00,1000000,1000000,1000000.00,2000
20180929,1000000.00,1000000,1000000,1000000.00,26700
20181106,1000000.00,1000000,1000000,1000000.00,5705
20181112,1000000.00,1000000,1000000,1000000.00,15000
20181119,1000000.00,1000000,1000000,1000000.00,11000
20181128,1000000.00,1000000,1000000,1000000.00,2000
20181204,1000000.00,1000000,1000000,1000000.00,20000
20181226,1000000.00,1000000,1000000,1000000.00,13520
