<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010325,3041.52,3042,3041,3041.14,3138,2,Pars Minoo-a
20010326,3041.52,3053,3042,3052.97,3278,4,Pars Minoo-a
20010327,3052.97,3053,3053,3052.97,1418,1,Pars Minoo-a
20010328,3052.97,3053,3053,3052.97,2500,1,Pars Minoo-a
20010409,3053.73,3054,3054,3053.73,110,1,Pars Minoo-a
20010410,3053.73,3054,3054,3053.73,3832,11,Pars Minoo-a
20010411,3054.50,3055,3054,3054.88,1693,5,Pars Minoo-a
20010415,3062.51,3063,3056,3060.22,1956,8,Pars Minoo-a
20010416,3060.22,3060,3060,3060.22,2984,11,Pars Minoo-a
20010417,3060.60,3061,3060,3061.37,4557,6,Pars Minoo-a
20010418,3062.51,3065,3062,3064.42,17418,36,Pars Minoo-a
20010421,3065.18,3065,3064,3064.42,400,3,Pars Minoo-a
20010422,3064.42,3072,3064,3072.05,15670,20,Pars Minoo-a
20010423,3072.43,3072,3072,3072.43,4606,9,Pars Minoo-a
20010424,3073.20,3074,3072,3072.81,4123,14,Pars Minoo-a
20010425,3072.81,3076,3073,3075.87,2980,10,Pars Minoo-a
20010428,3075.87,3076,3076,3075.87,1578,6,Pars Minoo-a
20010429,3076.25,3077,3076,3076.25,23892,19,Pars Minoo-a
20010430,3076.25,3076,3076,3076.25,1373,3,Pars Minoo-a
20010501,3077.78,3078,3076,3076.25,10027,21,Pars Minoo-a
20010502,3091.13,3148,3076,3147.99,3478,9,Pars Minoo-a
20010505,3147.61,3167,3148,3167.46,6879,11,Pars Minoo-a
20010506,3243.78,3244,3167,3167.46,9297,16,Pars Minoo-a
20010507,3168.22,3187,3168,3186.92,1761,11,Pars Minoo-a
20010508,3186.92,3188,3187,3186.92,4649,9,Pars Minoo-a
20010509,3186.92,3187,3187,3187.30,2263,7,Pars Minoo-a
20010512,3187.30,3192,3187,3192.26,3266,9,Pars Minoo-a
20010513,3205.62,3244,3198,3243.78,7386,16,Pars Minoo-a
20010515,3244.93,3263,3245,3262.86,2680,11,Pars Minoo-a
20010516,3281.94,3283,3263,3262.86,8660,20,Pars Minoo-a
20010519,3263.24,3270,3263,3263.62,4153,10,Pars Minoo-a
20010520,3282.32,3282,3267,3282.32,707,4,Pars Minoo-a
20010521,3283.85,3301,3284,3301.02,2150,3,Pars Minoo-a
20010523,3305.22,3311,3305,3310.56,2989,10,Pars Minoo-a
20010526,3358.65,3359,3358,3359.03,2814,9,Pars Minoo-a
20010527,3360.17,3361,3360,3360.94,1771,3,Pars Minoo-a
20010528,3362.85,3438,3363,3437.64,5917,7,Pars Minoo-a
20010529,3460.16,3503,3460,3503.28,4185,7,Pars Minoo-a
20010530,3506.34,3507,3438,3437.64,17767,40,Pars Minoo-a
20010602,3433.83,3434,1908,3433.83,26870,120,Pars Minoo-a
20010603,3431.54,3432,3423,3423.14,459,4,Pars Minoo-a
20010609,3413.98,3415,3395,3394.52,1098,8,Pars Minoo-a
20010611,3339.19,3377,3320,3320.10,5367,14,Pars Minoo-a
20010612,3301.02,3321,3282,3321.25,11876,25,Pars Minoo-a
20010613,3324.68,3339,3324,3329.26,5737,15,Pars Minoo-a
20010616,3339.19,3339,3328,3329.26,3628,11,Pars Minoo-a
20010617,3328.88,3329,3244,3243.78,7739,24,Pars Minoo-a
20010618,3243.40,3243,3206,3224.70,9393,18,Pars Minoo-a
20010619,3203.71,3206,3167,3167.46,8299,23,Pars Minoo-a
20010620,3243.78,3326,3217,3325.83,22359,23,Pars Minoo-a
20010623,3326.21,3326,3326,3325.83,376,2,Pars Minoo-a
20010625,3315.53,3316,3312,3311.71,4502,5,Pars Minoo-a
20010626,3300.26,3300,3240,3243.78,2538,6,Pars Minoo-a
20010627,3167.84,3244,3167,3243.78,15609,28,Pars Minoo-a
20010630,3243.78,3244,3225,3228.52,23923,29,Pars Minoo-a
20010701,3243.40,3244,3225,3243.78,11767,23,Pars Minoo-a
20010702,3244.16,3244,3244,3243.78,3260,10,Pars Minoo-a
20010812,2824.00,2824,2824,2824.00,500,2,Pars Minoo-a
20010818,2965.20,2965,2965,2965.20,3055,8,Pars Minoo-a
20010819,3113.27,3113,3106,3113.27,8866,23,Pars Minoo-a
20010820,3113.27,3118,3113,3118.23,3430,10,Pars Minoo-a
20010821,3148.38,3150,3119,3118.99,5236,12,Pars Minoo-a
20010822,3110.21,3118,3053,3091.13,9435,17,Pars Minoo-a
20010825,3091.13,3091,3091,3091.13,1331,3,Pars Minoo-a
20010826,3083.50,3083,3053,3053.35,2036,4,Pars Minoo-a
20010828,3040.76,3041,3037,3037.32,325,2,Pars Minoo-a
20010829,3013.66,3014,3013,3013.66,1250,4,Pars Minoo-a
20010901,3006.79,3007,2965,2965.20,14318,32,Pars Minoo-a
20010902,2964.82,2965,2964,2965.20,32057,19,Pars Minoo-a
20010903,2949.17,2949,2949,2949.17,3713,1,Pars Minoo-a
20010904,2936.96,2948,2900,2900.32,2845,10,Pars Minoo-a
20010905,2895.36,2896,2895,2895.74,81,3,Pars Minoo-a
20010908,2884.67,2885,2881,2881.24,1044,4,Pars Minoo-a
20010909,2873.23,2873,2871,2870.94,4314,4,Pars Minoo-a
20010910,2862.16,2872,2861,2871.70,12795,23,Pars Minoo-a
20010911,2869.41,2870,2869,2869.79,2015,5,Pars Minoo-a
20010912,2869.41,2870,2862,2869.79,2930,5,Pars Minoo-a
20010917,2824.00,2843,2824,2824.00,2393,10,Pars Minoo-a
20010918,2823.23,2823,2823,2823.23,901,1,Pars Minoo-a
20010919,2823.23,2824,2822,2824.00,9425,13,Pars Minoo-a
20010922,2824.76,2958,2824,2957.56,12248,19,Pars Minoo-a
20010923,2900.32,2958,2900,2957.56,250,2,Pars Minoo-a
20010924,2957.18,2958,2957,2957.56,611,3,Pars Minoo-a
20010925,2957.18,2958,2950,2957.56,10697,12,Pars Minoo-a
20010926,2957.56,2958,2958,2957.56,1800,2,Pars Minoo-a
20010930,2936.19,2936,2862,2862.16,3220,6,Pars Minoo-a
20011002,2861.78,2938,2862,2938.48,20211,17,Pars Minoo-a
20011003,2938.48,2958,2938,2957.56,13916,14,Pars Minoo-a
20011006,2957.95,2958,2958,2957.56,833,3,Pars Minoo-a
20011007,2956.80,2957,2957,2956.80,1441,2,Pars Minoo-a
20011008,2955.66,2956,2862,2862.16,4447,10,Pars Minoo-a
20011009,2810.64,2811,2729,2729.74,3561,8,Pars Minoo-a
20011010,2730.50,2733,2730,2733.17,2543,7,Pars Minoo-a
20011013,2736.61,2737,2737,2736.61,753,1,Pars Minoo-a
20011014,2740.42,2748,2740,2748.05,3429,9,Pars Minoo-a
20011016,2804.92,2808,2805,2807.97,1613,3,Pars Minoo-a
20011017,2824.00,2855,2810,2809.88,14985,29,Pars Minoo-a
20011020,2809.88,2810,2809,2809.88,10590,20,Pars Minoo-a
20011021,2809.88,2862,2810,2862.16,10786,15,Pars Minoo-a
20011022,2861.40,2862,2810,2810.26,1501,8,Pars Minoo-a
20011023,2810.64,2811,2786,2809.88,10028,16,Pars Minoo-a
20011024,2811.40,2811,2811,2811.40,150,2,Pars Minoo-a
20011027,2812.55,2900,2813,2900.32,3898,12,Pars Minoo-a
20011028,2900.32,2901,2900,2900.70,4607,5,Pars Minoo-a
20011029,2900.70,2901,2900,2900.32,1925,10,Pars Minoo-a
20011030,2900.32,2900,2900,2900.32,3819,6,Pars Minoo-a
20011031,2900.32,2901,2900,2901.08,4848,6,Pars Minoo-a
20011103,2901.08,2901,2900,2900.32,4930,7,Pars Minoo-a
20011104,2900.32,2904,2900,2904.14,2309,9,Pars Minoo-a
20011105,2904.52,2905,2905,2905.28,2755,10,Pars Minoo-a
20011106,2904.52,2905,2905,2904.52,3375,9,Pars Minoo-a
20011110,2900.32,2900,2900,2900.32,286,2,Pars Minoo-a
20011111,2896.51,2901,2897,2900.32,12400,19,Pars Minoo-a
20011112,2900.32,2900,2900,2900.32,562,3,Pars Minoo-a
20011113,2900.32,2901,2900,2900.32,4000,6,Pars Minoo-a
20011114,2900.32,2901,2900,2900.32,3112,5,Pars Minoo-a
20011117,2900.70,2901,2901,2900.70,2512,9,Pars Minoo-a
20011118,2900.32,2900,2900,2900.32,95,1,Pars Minoo-a
20011119,2900.32,2900,2900,2900.32,2046,4,Pars Minoo-a
20011120,2900.32,2901,2900,2900.32,3076,6,Pars Minoo-a
20011121,2900.32,2904,2900,2900.32,1917,7,Pars Minoo-a
20011124,2900.32,2938,2900,2938.48,2091,3,Pars Minoo-a
20011125,2938.48,2938,2938,2938.48,13000,7,Pars Minoo-a
20011126,2937.72,2942,2938,2941.15,10237,15,Pars Minoo-a
20011127,2957.56,2958,2958,2957.56,4289,6,Pars Minoo-a
20011128,2976.65,2977,2977,2976.65,2418,5,Pars Minoo-a
20011201,2976.65,2977,2977,2976.65,2554,7,Pars Minoo-a
20011202,2977.03,3015,2977,3014.81,8084,16,Pars Minoo-a
20011205,3021.68,3023,3021,3022.82,2180,5,Pars Minoo-a
20011208,3027.02,3027,3019,3025.11,3612,11,Pars Minoo-a
20011209,3025.87,3038,3026,3038.47,2822,7,Pars Minoo-a
20011210,3091.13,3118,3053,3117.85,7828,14,Pars Minoo-a
20011211,3148.38,3148,3121,3148.38,5525,13,Pars Minoo-a
20011212,3168.22,3168,3148,3148.38,4800,8,Pars Minoo-a
20011215,3148.38,3148,3148,3148.38,1483,3,Pars Minoo-a
20011217,3148.76,3150,3149,3149.52,4750,9,Pars Minoo-a
20011218,3150.28,3150,3148,3148.76,7262,14,Pars Minoo-a
20011219,3148.76,3149,3148,3148.38,1274,5,Pars Minoo-a
20011222,3144.56,3145,3145,3144.56,450,1,Pars Minoo-a
20011223,3144.56,3145,3129,3129.29,2450,6,Pars Minoo-a
20011224,3128.91,3129,3127,3127.00,5408,10,Pars Minoo-a
20011225,3053.35,3053,3053,3053.35,745,6,Pars Minoo-a
20011226,3052.97,3054,3052,3052.97,18357,22,Pars Minoo-a
20011229,3053.35,3053,3053,3053.35,8704,3,Pars Minoo-a
20011230,3054.88,3055,3055,3054.88,1005,2,Pars Minoo-a
20011231,3061.37,3091,3061,3090.75,7968,27,Pars Minoo-a
20020101,3090.37,3091,3064,3064.42,7342,17,Pars Minoo-a
20020102,3052.97,3053,3048,3052.97,13500,18,Pars Minoo-a
20020105,3052.59,3053,3053,3052.97,3085,6,Pars Minoo-a
20020106,3124.33,3148,3053,3053.35,581626,22,Pars Minoo-a
20020107,3052.97,3057,3053,3056.79,5281,7,Pars Minoo-a
20020108,3052.97,3057,3053,3052.97,1195,3,Pars Minoo-a
20020113,3052.97,3053,3053,3052.97,1000,1,Pars Minoo-a
20020114,3048.77,3049,3045,3045.34,8052,21,Pars Minoo-a
20020122,2893.07,2893,2893,2893.07,3095,3,Pars Minoo-a
20020123,2892.69,2893,2881,2881.24,5390,7,Pars Minoo-a
20020127,2861.40,2861,2843,2842.70,6209,12,Pars Minoo-a
20020128,2839.26,2839,2839,2839.26,2300,5,Pars Minoo-a
20020129,2823.23,2830,2786,2786.22,2375,9,Pars Minoo-a
20020130,2766.37,2767,2671,2675.16,8400,13,Pars Minoo-a
20020202,2614.11,2652,2614,2614.49,3127,10,Pars Minoo-a
20020203,2595.41,2632,2595,2632.04,13618,25,Pars Minoo-a
