<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20030510,3000.00,3000,3000,3000.00,5662,6,غپينوح-ت
20030512,3200.00,3220,3000,3220.00,14159,5,غپينوح-ت
20030514,3245.00,3245,3245,3245.00,1127,1,غپينوح-ت
20030517,3246.00,3246,3246,3246.00,66,1,غپينوح-ت
20030518,3260.00,3260,3260,3260.00,672,1,غپينوح-ت
20090302,34.00,36,34,34.00,63504,9,غپينوح-ت
20090303,67.00,67,35,51.00,37008,4,غپينوح-ت
20090527,3.00,5,3,4.00,6200000,124,غپينوح-ت
20090531,4.00,4,4,4.00,6500000,130,غپينوح-ت
20090601,4.00,4,4,4.00,6000000,120,غپينوح-ت
20090602,4.00,4,4,4.00,2021842,81,غپينوح-ت
