<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20160621,845273.31,845273,829712,832176.44,17687,537,تسه9503-ت
20160622,828757.45,843326,801553,819986.04,57500,2351,تسه9503-ت
20160625,830699.64,860799,825943,837195.61,48136,1901,تسه9503-ت
20160626,854987.16,869563,831683,845281.09,54277,2060,تسه9503-ت
20160628,864704.89,869563,841416,858125.36,40284,1506,تسه9503-ت
20160629,864704.89,871506,854990,865480.20,29150,1197,تسه9503-ت
20160702,865676.46,874420,861790,870289.52,38072,1487,تسه9503-ت
20160703,873449.09,874421,851104,868017.00,34168,1524,تسه9503-ت
20160704,874419.70,874421,854989,872493.06,30314,1182,تسه9503-ت
20160705,881221.72,884136,864707,875962.57,23153,878,تسه9503-ت
20160709,874421.64,902582,874421,886467.27,14407,681,تسه9503-ت
20160710,888994.35,893852,850136,885006.99,27269,919,تسه9503-ت
20160711,888994.35,893855,864706,880560.08,25337,771,تسه9503-ت
20160712,884135.48,893843,870534,878716.99,17664,630,تسه9503-ت
20160713,887051.19,888994,876364,883849.84,19578,589,تسه9503-ت
20160716,884136.46,902596,884136,893512.19,14511,652,تسه9503-ت
20160717,888024.71,908426,885108,904081.02,21394,635,تسه9503-ت
20160718,911243.50,941456,903568,911767.18,13956,499,تسه9503-ت
20160719,913303.24,951953,913303,934054.22,9239,454,تسه9503-ت
20160720,927856.52,942431,913284,929982.33,8755,401,تسه9503-ت
20160723,913283.81,931744,903568,918789.75,5950,350,تسه9503-ت
20160724,893852.24,930772,884233,902938.44,4206,318,تسه9503-ت
20160725,930772.22,942334,893853,918614.86,3854,311,تسه9503-ت
20160726,922999.60,930772,905511,921728.77,4730,290,تسه9503-ت
20160727,906016.40,932696,898710,916808.70,5454,294,تسه9503-ت
20160731,921056.44,942428,913284,928500.67,5063,342,تسه9503-ت
20160801,933687.93,971574,933687,957589.74,5700,360,تسه9503-ت
20160802,957231.22,971579,957005,966115.34,5544,347,تسه9503-ت
20160803,970606.94,995868,961868,980502.47,3861,247,تسه9503-ت
20160806,995867.99,995868,931527,957351.70,4158,323,تسه9503-ت
20160807,922999.60,932715,909485,918916.05,4097,252,تسه9503-ت
20160808,893852.24,952147,893852,931951.72,4646,285,تسه9503-ت
20160809,948552.11,978549,948552,968855.19,3464,217,تسه9503-ت
20160810,961882.17,1017296,934659,967735.93,3531,275,تسه9503-ت
20160813,971577.55,971579,932715,957922.02,3444,235,تسه9503-ت
20160814,957199.16,991000,950204,972672.52,3390,223,تسه9503-ت
20160815,981295.28,991010,961863,977053.37,3503,238,تسه9503-ت
20160816,973716.00,1000240,971579,987360.84,2678,172,تسه9503-ت
20160817,971579.49,995382,971579,989438.08,4935,245,تسه9503-ت
20160820,971697.06,999657,957005,988376.14,4075,232,تسه9503-ت
20160821,981284.59,1037646,963806,990122.07,3394,214,تسه9503-ت
20160822,971580.47,998783,971579,985990.92,2282,157,تسه9503-ت
20160823,942431.17,971579,936692,948736.71,1779,133,تسه9503-ت
20160824,922999.60,923000,901300,905742.42,1269,115,تسه9503-ت
20160827,890548.87,893852,864706,880252.08,1916,168,تسه9503-ت
20160828,838397.45,882193,838397,873824.12,1688,136,تسه9503-ت
20160829,874420.67,886080,869563,875195.02,876,84,تسه9503-ت
20160830,874519.77,893843,864705,874650.93,824,108,تسه9503-ت
20160831,869562.78,901625,864738,875490.38,1377,143,تسه9503-ت
20160903,874420.67,893755,846353,873618.15,1485,121,تسه9503-ت
20160904,874420.67,874421,854989,870519.78,947,87,تسه9503-ت
20160905,869562.78,903568,854989,874788.90,994,85,تسه9503-ت
20160906,893852.24,893852,859944,874232.18,1184,73,تسه9503-ت
20160907,856715.60,893852,856716,872473.63,782,95,تسه9503-ت
20160910,870534.36,874423,856932,871362.14,911,77,تسه9503-ت
20160911,866766.57,893852,865824,881829.93,804,72,تسه9503-ت
20160913,866797.67,925921,855963,873785.26,1195,98,تسه9503-ت
20160914,869562.78,893852,867739,882467.28,1331,84,تسه9503-ت
20160917,885108.03,910369,874421,893934.83,1523,115,تسه9503-ت
20160918,891476.73,913284,891477,903803.15,1294,103,تسه9503-ت
20160919,895914.90,908426,884136,899140.54,1532,83,تسه9503-ت
20160921,888508.56,903568,854184,884102.45,1444,78,تسه9503-ت
20160924,874420.67,893852,841387,857894.12,1347,92,تسه9503-ت
20160925,850131.21,873438,846493,861393.75,990,106,تسه9503-ت
20160926,853920.36,874421,846245,860098.63,991,96,تسه9503-ت
20160927,847626.48,873450,847626,868984.69,208,12,تسه9503-ت
20160928,864704.89,864705,825536,844111.31,1369,108,تسه9503-ت
20161001,862297.31,862297,802524,825129.58,2750,141,تسه9503-ت
20161002,818577.25,859847,813211,841480.27,1042,70,تسه9503-ت
20161003,833473.49,854988,816127,838428.54,1077,85,تسه9503-ت
20161004,834585.95,854989,830704,843972.37,1181,78,تسه9503-ت
20161005,820519.44,868591,820519,854803.53,1100,99,تسه9503-ت
20161008,858875.41,859847,831671,852390.13,1051,80,تسه9503-ت
20161009,846881.28,854989,828098,847128.06,970,79,تسه9503-ت
20161010,808353.33,884136,808353,849815.44,1565,86,تسه9503-ت
20161015,839541.00,864705,830709,847730.44,979,89,تسه9503-ت
20161016,845273.31,889966,833614,844720.49,1000,83,تسه9503-ت
20161017,835654.69,845273,825842,836523.28,949,62,تسه9503-ت
20161018,833182.02,845273,816437,828791.46,1177,77,تسه9503-ت
20161019,835557.53,835558,801553,821148.05,1465,68,تسه9503-ت
20161022,809540.60,845273,798940,820759.42,927,66,تسه9503-ت
20161023,845273.31,845273,779722,793809.77,549,55,تسه9503-ت
20161024,767547.03,775320,754809,763794.80,599,71,تسه9503-ت
20161025,748115.46,786979,748115,769501.85,865,74,تسه9503-ت
20161026,749302.73,777263,749303,771909.42,434,58,تسه9503-ت
20161029,777262.82,799803,733336,772504.03,660,53,تسه9503-ت
20161030,767548.98,786979,734513,770821.25,900,73,تسه9503-ت
20161031,770821.25,786979,734621,776108.58,2001,102,تسه9503-ت
20161101,786978.60,786979,757831,771556.74,606,67,تسه9503-ت
20161102,777262.82,806410,768519,784304.82,738,45,تسه9503-ت
20161105,777262.82,786979,763661,776351.48,1349,108,تسه9503-ت
20161106,770461.77,786979,767547,774587.09,1392,91,تسه9503-ت
20161107,777261.85,782121,765607,775533.41,704,48,تسه9503-ت
20161108,771436.26,779206,768637,774666.76,832,60,تسه9503-ت
20161109,772404.93,782121,769490,775257.48,1058,44,تسه9503-ت
20161112,767556.75,786979,767547,773524.18,1419,94,تسه9503-ت
20161113,739910.48,777263,739910,773899.21,1030,69,تسه9503-ت
20161114,777262.82,777282,738400,773398.85,975,44,تسه9503-ت
20161115,768518.61,786979,767548,776854.76,1371,72,تسه9503-ت
20161116,767644.19,786979,748117,772921.81,373,31,تسه9503-ت
20161119,765851.63,777263,749087,768731.39,616,63,تسه9503-ت
20161121,768518.61,777263,734081,769470.76,1415,63,تسه9503-ت
20161122,732106.76,775320,732107,765431.91,1247,70,تسه9503-ت
20161123,730238.42,748115,727183,734909.77,509,43,تسه9503-ت
20161126,735484.94,738395,699539,716336.10,685,50,تسه9503-ت
20161127,723826.00,728684,704502,718344.35,234,43,تسه9503-ت
20161129,743257.57,748115,718989,733608.82,627,44,تسه9503-ت
20161203,728899.58,748115,709372,732085.39,466,38,تسه9503-ت
20161204,707503.48,728691,707503,725154.15,834,76,تسه9503-ت
20161205,723210.02,738400,718968,729745.83,484,48,تسه9503-ت
20161206,738399.68,738400,722394,730098.51,367,43,تسه9503-ت
20161207,737428.10,747919,728780,739595.69,348,34,تسه9503-ت
20161210,733541.78,762689,733542,743585.96,494,51,تسه9503-ت
20161211,731846.38,777263,731846,751570.40,752,52,تسه9503-ت
20161212,757831.25,762689,741317,751447.98,298,25,تسه9503-ت
20161213,741314.41,767547,728809,754006.14,714,47,تسه9503-ت
20161214,739479.10,767545,728809,750777.59,786,71,تسه9503-ت
20161218,743589.85,757831,728942,741218.23,810,62,تسه9503-ت
20161219,738410.36,751905,738400,745200.73,825,63,تسه9503-ت
20161220,739467.44,747033,733660,742323.88,1080,63,تسه9503-ت
20161221,741314.41,748115,705616,740475.94,208,18,تسه9503-ت
20161224,740475.94,777253,728889,744500.22,559,42,تسه9503-ت
20161225,738421.05,756860,738400,748097.97,514,42,تسه9503-ت
20161226,738399.68,762689,738400,754439.47,747,64,تسه9503-ت
20161227,719809.49,747143,716718,724999.67,615,45,تسه9503-ت
20161228,719074.98,727712,688750,718574.62,389,37,تسه9503-ت
20161231,700703.40,723825,700703,714338.54,769,59,تسه9503-ت
20170101,711197.42,718968,699537,714276.35,417,37,تسه9503-ت
20170102,714110.21,728684,714110,720920.98,347,28,تسه9503-ت
20170103,724914.17,756967,724914,735474.25,510,26,تسه9503-ت
20170104,738934.05,752974,738934,748602.22,1040,48,تسه9503-ت
20170107,743263.40,748115,718968,745726.35,458,41,تسه9503-ت
20170108,730939.90,746163,730940,743365.42,683,35,تسه9503-ت
20170109,767547.03,767547,739371,747727.80,527,28,تسه9503-ت
20170111,743258.54,757829,718968,743162.36,380,34,تسه9503-ت
20170114,724312.76,752973,724313,743037.02,963,81,تسه9503-ت
20170115,738410.36,757831,730919,744375.86,856,50,تسه9503-ت
20170116,739371.26,781594,739371,753625.28,391,35,تسه9503-ت
20170117,740362.27,751030,733056,744331.16,741,55,تسه9503-ت
20170118,733638.94,752973,733639,747966.81,418,28,تسه9503-ت
20170121,734524.05,752973,728684,741875.01,391,46,تسه9503-ت
20170122,738399.68,738400,709254,726431.77,360,30,تسه9503-ت
20170123,710331.75,737331,709252,723968.82,678,48,تسه9503-ت
20170124,720252.53,738385,720253,726818.46,304,36,تسه9503-ت
20170125,728683.89,748115,720823,736492.47,1002,58,تسه9503-ت
20170128,733552.47,773316,718968,745387.27,308,33,تسه9503-ت
20170129,738399.68,748114,734968,742183.98,560,36,تسه9503-ت
20170130,743257.57,773316,743258,748305.89,453,38,تسه9503-ت
20170131,743257.57,757734,733542,747680.20,912,39,تسه9503-ت
20170201,741530.10,757831,741530,752959.75,330,29,تسه9503-ت
20170204,746172.31,763564,738409,748511.87,585,39,تسه9503-ت
20170205,744736.31,752973,738400,743348.90,373,35,تسه9503-ت
20170206,748115.46,752973,748115,750399.64,595,34,تسه9503-ت
20170207,773316.27,773316,748115,751613.15,208,22,تسه9503-ت
20170208,772404.93,772405,733542,753344.50,498,35,تسه9503-ت
20170211,719086.64,756858,719087,747132.23,735,51,تسه9503-ت
20170212,744444.84,773316,728684,752596.38,935,73,تسه9503-ت
20170213,752973.36,772405,748115,757410.55,314,26,تسه9503-ت
20170214,748115.46,777263,748115,757299.79,561,40,تسه9503-ت
20170215,749734.11,777263,744229,760834.40,862,56,تسه9503-ت
20170218,748115.46,773377,738497,755737.50,511,45,تسه9503-ت
20170219,757831.25,777263,726957,750592.99,760,53,تسه9503-ت
20170220,728683.89,788122,719943,733282.37,676,58,تسه9503-ت
20170221,757831.25,762689,701695,746745.54,667,49,تسه9503-ت
20170222,748115.46,757831,735021,754199.49,318,24,تسه9503-ت
20170225,731600.57,748115,728997,743002.04,763,81,تسه9503-ت
20170226,734048.95,748115,719940,735310.06,442,37,تسه9503-ت
20170227,733551.50,743258,715568,738557.07,718,58,تسه9503-ت
20170228,735251.76,738400,728684,736699.41,325,22,تسه9503-ت
20170301,738557.07,748114,710224,732752.86,287,36,تسه9503-ت
20170304,718978.79,748115,714121,730077.14,271,29,تسه9503-ت
20170305,711199.37,743146,711199,732126.19,326,41,تسه9503-ت
20170306,728878.21,740342,710224,733501.95,309,28,تسه9503-ت
20170307,710224.87,743258,710225,730271.45,300,32,تسه9503-ت
20170308,726254.95,743141,710224,733852.69,671,42,تسه9503-ت
20170311,728683.89,738400,723836,732014.46,229,32,تسه9503-ت
20170312,729763.32,767546,716053,727826.96,335,27,تسه9503-ت
20170313,710223.90,728684,700508,722033.44,403,31,تسه9503-ت
20170314,718968.11,733542,718968,725492.26,66,14,تسه9503-ت
20170315,718968.11,738400,712186,725125.00,36,11,تسه9503-ت
20170318,725125.00,759999,725125,748918.00,263,22,تسه9503-ت
20170325,711773.00,760000,711773,753632.00,23,8,تسه9503-ت
20170326,715951.00,750000,715951,727294.00,50,9,تسه9503-ت
20170327,710000.00,710000,710000,710000.00,18,5,تسه9503-ت
20170328,692115.00,720000,692115,706079.00,74,9,تسه9503-ت
20170329,706079.00,730000,701020,716386.00,188,10,تسه9503-ت
20170403,702800.00,720000,702000,707610.00,258,24,تسه9503-ت
20170404,720000.00,720000,700005,715056.00,193,17,تسه9503-ت
20170405,680888.00,720000,680888,716377.00,410,27,تسه9503-ت
20170408,720000.00,720000,705121,715376.00,473,28,تسه9503-ت
20170409,714000.00,736000,714000,722381.00,210,15,تسه9503-ت
20170410,710003.00,720000,710003,715521.00,188,23,تسه9503-ت
20170412,710224.00,725000,710224,718131.00,106,15,تسه9503-ت
20170415,711000.00,725000,682225,714639.00,230,28,تسه9503-ت
20170416,705011.00,730000,705011,719665.00,373,24,تسه9503-ت
20170417,712500.00,750000,710026,722299.00,195,20,تسه9503-ت
20170418,720000.00,730000,720000,727384.00,249,16,تسه9503-ت
20170419,710000.00,725000,708602,719885.00,168,30,تسه9503-ت
20170422,710012.00,729998,710011,722377.00,213,19,تسه9503-ت
20170423,695000.00,729000,695000,707889.00,526,38,تسه9503-ت
20170424,700000.00,720000,700000,711878.00,467,43,تسه9503-ت
20170426,715000.00,720000,707111,715901.00,141,11,تسه9503-ت
20170429,710003.00,730000,695000,712630.00,575,45,تسه9503-ت
20170430,710020.00,730000,709004,713695.00,247,15,تسه9503-ت
20170501,710111.00,733000,701033,722074.00,388,35,تسه9503-ت
20170502,720001.00,750000,700000,734871.00,257,21,تسه9503-ت
20170503,730002.00,750000,730000,738312.00,177,16,تسه9503-ت
20170506,730000.00,769999,730000,748555.00,630,43,تسه9503-ت
20170507,740000.00,758000,735555,748809.00,142,15,تسه9503-ت
20170508,740001.00,759998,740001,748127.00,446,35,تسه9503-ت
20170509,742300.00,759989,730000,749527.00,318,30,تسه9503-ت
20170510,743333.00,770000,728222,753955.00,453,38,تسه9503-ت
20170513,760000.00,760000,750000,755629.00,484,28,تسه9503-ت
20170514,734222.00,750000,726744,742536.00,296,22,تسه9503-ت
20170515,706111.00,760000,706111,745805.00,256,17,تسه9503-ت
20170516,735409.00,760000,735409,751856.00,84,16,تسه9503-ت
20170517,752000.00,760000,740001,751715.00,171,13,تسه9503-ت
20170520,755000.00,760000,744077,751788.00,105,12,تسه9503-ت
20170521,755000.00,756000,730009,751728.00,346,25,تسه9503-ت
20170522,745000.00,753000,735000,748153.00,122,15,تسه9503-ت
20170523,750000.00,750000,715555,736603.00,244,37,تسه9503-ت
20170524,739800.00,750000,700001,739080.00,521,28,تسه9503-ت
20170527,740000.00,745000,707009,733195.00,492,46,تسه9503-ت
20170528,730015.00,755555,730015,747472.00,328,32,تسه9503-ت
20170529,750001.00,765000,750001,755477.00,289,30,تسه9503-ت
20170530,750111.00,765000,748011,758796.00,120,25,تسه9503-ت
20170531,750000.00,762000,725010,755983.00,152,24,تسه9503-ت
20170603,750311.00,764990,750000,757424.00,278,28,تسه9503-ت
20170606,765000.00,765000,750312,761807.00,260,32,تسه9503-ت
20170607,760000.00,799897,751013,762192.00,435,29,تسه9503-ت
20170610,760000.00,767000,750000,760199.00,606,55,تسه9503-ت
20170611,765000.00,770000,756222,765824.00,464,33,تسه9503-ت
20170612,750023.00,769999,740022,763492.00,357,37,تسه9503-ت
20170613,758744.00,770000,727533,764313.00,310,30,تسه9503-ت
20170614,760000.00,770000,758000,765028.00,543,38,تسه9503-ت
20170617,757369.00,770000,756369,764231.00,139,12,تسه9503-ت
20170618,756009.00,770000,755900,764819.00,637,35,تسه9503-ت
20170619,760522.00,773955,757000,764938.00,486,44,تسه9503-ت
20170620,760311.00,803058,760000,768198.00,387,32,تسه9503-ت
20170621,755200.00,780000,755200,770364.00,352,33,تسه9503-ت
20170624,751520.00,789000,731846,768473.00,660,37,تسه9503-ت
20170625,740000.00,758500,738007,744235.00,330,20,تسه9503-ت
20170628,750000.00,750000,733444,748531.00,71,17,تسه9503-ت
20170701,711111.00,759995,711111,748111.00,483,45,تسه9503-ت
20170702,750000.00,757000,748500,750064.00,233,23,تسه9503-ت
20170703,760000.00,770000,755000,763551.00,484,16,تسه9503-ت
20170704,751000.00,780000,751000,769524.00,753,64,تسه9503-ت
20170705,750122.00,799000,750122,775368.00,548,35,تسه9503-ت
20170708,762255.00,780000,762255,769398.00,335,26,تسه9503-ت
20170709,770000.00,775000,765022,769752.00,418,41,تسه9503-ت
20170710,763960.00,781001,763955,774163.00,289,18,تسه9503-ت
20170711,781000.00,781000,772000,780003.00,362,22,تسه9503-ت
20170712,770000.00,790000,770000,784149.00,463,33,تسه9503-ت
20170715,777000.00,800000,760000,779422.00,334,49,تسه9503-ت
20170716,770000.00,775000,753522,772880.00,92,15,تسه9503-ت
20170717,768111.00,785000,767000,777055.00,539,29,تسه9503-ت
20170718,773000.00,781111,765000,776000.00,166,19,تسه9503-ت
20170719,765000.00,780000,760558,774177.00,468,31,تسه9503-ت
20170722,779000.00,779000,736000,771184.00,429,28,تسه9503-ت
20170723,780000.00,780000,765666,779418.00,170,14,تسه9503-ت
20170724,751444.00,809739,745011,764709.00,196,25,تسه9503-ت
20170725,757200.00,800000,754444,772859.00,314,36,تسه9503-ت
20170726,765995.00,775000,765995,771793.00,180,14,تسه9503-ت
20170729,761111.00,772000,740007,765870.00,225,24,تسه9503-ت
20170730,757000.00,775000,757000,765316.00,218,20,تسه9503-ت
20170731,761000.00,780000,761000,773029.00,209,26,تسه9503-ت
20170801,770003.00,799000,770000,779188.00,291,30,تسه9503-ت
20170806,800000.00,802000,760000,786668.00,216,9,تسه9503-ت
20170807,795000.00,825000,780000,793420.00,219,12,تسه9503-ت
20170808,771500.00,800000,771500,781186.00,4,3,تسه9503-ت
20170809,786000.00,799999,786000,791865.00,125,9,تسه9503-ت
20170812,780000.00,800000,780000,793798.00,194,28,تسه9503-ت
20170813,793798.00,800000,781000,794092.00,391,24,تسه9503-ت
20170814,791411.00,818000,791411,799191.00,237,17,تسه9503-ت
20170815,810000.00,819000,787000,798900.00,152,17,تسه9503-ت
20170816,786555.00,805000,786555,797389.00,495,30,تسه9503-ت
20170819,810000.00,815000,787001,796818.00,236,34,تسه9503-ت
20170820,792000.00,805000,792000,800367.00,327,30,تسه9503-ت
20170821,790000.00,800000,771000,793593.00,762,52,تسه9503-ت
20170822,792445.00,800000,762226,792577.00,308,25,تسه9503-ت
20170823,786656.00,800000,779000,793574.00,303,20,تسه9503-ت
20170826,790000.00,800000,760000,787059.00,68,17,تسه9503-ت
20170827,766666.00,780000,765555,777250.00,249,21,تسه9503-ت
20170828,777250.00,800000,770000,784342.00,255,21,تسه9503-ت
20170829,780000.00,781011,769000,776697.00,389,28,تسه9503-ت
20170830,760011.00,779999,760000,765856.00,253,17,تسه9503-ت
20170902,770000.00,790000,730500,774447.00,645,32,تسه9503-ت
20170903,770000.00,805000,736111,772242.00,274,22,تسه9503-ت
20170904,760000.00,780000,757000,773540.00,278,20,تسه9503-ت
20170905,755666.00,800000,753444,774708.00,173,32,تسه9503-ت
20170906,770000.00,785000,760001,779296.00,467,35,تسه9503-ت
20170910,779000.00,798999,760000,785192.00,539,38,تسه9503-ت
20170911,781111.00,790000,752000,782839.00,331,28,تسه9503-ت
