<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190713,19990.00,19990,18991,19123.00,227109
20190714,18250.00,19997,18250,19127.00,526274
20190715,19555.00,19555,18171,18400.00,334354
20190716,17804.00,18516,17480,17732.00,320114
20190717,16847.00,18203,16847,17777.00,168583
20190720,17012.00,18590,16889,17226.00,326369
20190721,17058.00,17965,16402,16999.00,339600
20190722,16551.00,17784,16551,17655.00,62183
20190723,17847.00,17999,16900,17205.00,100038
20190724,17800.00,18063,16500,17334.00,297895
20190727,17103.00,17783,17103,17559.00,164393
20190728,17900.00,18200,17751,18090.00,93944
20190729,17873.00,18994,17303,18423.00,330616
20190730,18993.00,19300,18702,18995.00,198891
20190731,21451.00,22000,21451,21718.00,139908
20190803,22400.00,22400,20700,21459.00,163167
20190804,20501.00,21268,20387,20415.00,210025
20190805,20415.00,21235,19505,19963.00,276672
20190806,18983.00,19690,18965,18987.00,168608
20190807,19935.00,19935,18038,18145.00,342896
20190810,17245.00,18928,17245,18112.00,40692
20190811,18901.00,18901,17610,18383.00,127975
20190813,18830.00,19302.00,18400.00,19143.00,174304
