<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150713,1000000.00,1000000,1000000,1000000.00,25875,27,صخابر-ت
20150714,1000000.00,1000000,1000000,1000000.00,4474125,42,صخابر-ت
20150726,1000000.00,1000000,1000000,1000000.00,437,5,صخابر-ت
20150727,1000000.00,1000000,1000000,1000000.00,1540,10,صخابر-ت
20150728,1000000.00,1000000,1000000,1000000.00,237,3,صخابر-ت
20150729,1000000.00,1000000,1000000,1000000.00,45,2,صخابر-ت
20150801,1000000.00,1000000,1000000,1000000.00,7365,5,صخابر-ت
20150802,1000000.00,1000000,1000000,1000000.00,42,3,صخابر-ت
20150803,1000000.00,1000000,1000000,1000000.00,1160,5,صخابر-ت
20150804,1000000.00,1000000,1000000,1000000.00,2423,5,صخابر-ت
20150805,1000001.00,1000001,1000001,1000001.00,26300,1,صخابر-ت
20150808,1000000.00,1000000,1000000,1000000.00,10030,3,صخابر-ت
20150809,1000000.00,1000000,1000000,1000000.00,88,1,صخابر-ت
20150810,1000000.00,1000001,1000000,1000001.00,5000,2,صخابر-ت
20150812,1000000.00,1000001,1000000,1000001.00,20003,2,صخابر-ت
20150815,1000006.00,1000006,1000000,1000005.00,1440,4,صخابر-ت
20150816,1000001.00,1000001,1000000,1000000.00,1710,7,صخابر-ت
20150817,1000001.00,1000001,1000000,1000000.00,7700,9,صخابر-ت
20150818,1000000.00,1000000,1000000,1000000.00,1455,14,صخابر-ت
20150819,1000000.00,1000000,1000000,1000000.00,26300,11,صخابر-ت
20150822,1000000.00,1000005,1000000,1000002.00,2332,6,صخابر-ت
20150823,1000000.00,1000000,1000000,1000000.00,1380,5,صخابر-ت
20150824,1000000.00,1000000,1000000,1000000.00,1816,8,صخابر-ت
20150825,1000000.00,1000010,1000000,1000000.00,2812,9,صخابر-ت
20150826,1000000.00,1000000,1000000,1000000.00,210,2,صخابر-ت
20150829,1000000.00,1000000,1000000,1000000.00,13840,4,صخابر-ت
20150830,1000000.00,1000000,1000000,1000000.00,1270,6,صخابر-ت
20150831,1000000.00,1000000,1000000,1000000.00,30990,13,صخابر-ت
20150901,1000000.00,1000002,1000000,1000000.00,11850,10,صخابر-ت
20150905,1000000.00,1000000,1000000,1000000.00,4537,15,صخابر-ت
20150906,1000001.00,1000001,1000000,1000000.00,1945,6,صخابر-ت
20150907,1000000.00,1000000,1000000,1000000.00,14905,9,صخابر-ت
20150908,1000000.00,1000000,1000000,1000000.00,1759,14,صخابر-ت
20150909,1000000.00,1000000,1000000,1000000.00,56,3,صخابر-ت
20150912,1000000.00,1000000,1000000,1000000.00,24139,19,صخابر-ت
20150913,1000001.00,1000001,1000000,1000000.00,5540,14,صخابر-ت
20150914,1000000.00,1000000,1000000,1000000.00,2730,8,صخابر-ت
20150915,1000000.00,1000050,1000000,1000000.00,26540,17,صخابر-ت
20150916,1000000.00,1000001,1000000,1000001.00,18155,6,صخابر-ت
20150919,1000000.00,1000001,1000000,1000000.00,14188,19,صخابر-ت
20150920,1000000.00,1000000,1000000,1000000.00,5562,24,صخابر-ت
20150921,1000000.00,1000000,1000000,1000000.00,4114,13,صخابر-ت
20150922,1000000.00,1000000,1000000,1000000.00,6157,7,صخابر-ت
20150923,1000000.00,1000001,1000000,1000001.00,60206,6,صخابر-ت
20150926,1000000.00,1000000,1000000,1000000.00,10758,22,صخابر-ت
20150927,1000000.00,1000000,1000000,1000000.00,20779,11,صخابر-ت
20150928,1000000.00,1000000,1000000,1000000.00,12175,10,صخابر-ت
20150929,1000000.00,1000000,1000000,1000000.00,9032,7,صخابر-ت
20150930,1000000.00,1000000,1000000,1000000.00,20293,9,صخابر-ت
20151003,1000000.00,1005000,1000000,1000000.00,12120,20,صخابر-ت
20151004,1000000.00,1000000,1000000,1000000.00,7930,17,صخابر-ت
20151005,1000000.00,1000000,1000000,1000000.00,31884,17,صخابر-ت
20151006,1000000.00,1000000,1000000,1000000.00,26114,16,صخابر-ت
20151007,1000001.00,1000001,1000001,1000001.00,75,2,صخابر-ت
20151010,1000000.00,1000001,1000000,1000000.00,14123,12,صخابر-ت
20151011,1000000.00,1000000,1000000,1000000.00,24938,11,صخابر-ت
20151012,1000000.00,1000000,1000000,1000000.00,54928,31,صخابر-ت
20151017,1000001.00,1000003,1000000,1000000.00,17045,26,صخابر-ت
20151018,1000000.00,1000003,1000000,1000000.00,1306,14,صخابر-ت
20151019,1000002.00,1000002,1000002,1000002.00,40,2,صخابر-ت
20151020,1000006.00,1000006,1000001,1000003.00,1010,6,صخابر-ت
20151021,1000001.00,1000002,1000000,1000001.00,19805,40,صخابر-ت
20151025,1000002.00,1000002,1000000,1000000.00,20000,19,صخابر-ت
20151026,1000000.00,1000000,1000000,1000000.00,40,1,صخابر-ت
20151027,1000001.00,1000002,1000000,1000001.00,644,9,صخابر-ت
20151028,1000001.00,1000001,1000000,1000000.00,10,2,صخابر-ت
20151031,1000002.00,1000010,1000000,1000000.00,14510,22,صخابر-ت
20151101,1000000.00,1000004,1000000,1000000.00,10025,13,صخابر-ت
20151102,1000000.00,1000001,1000000,1000001.00,3525,10,صخابر-ت
20151103,1000000.00,1000001,1000000,1000001.00,490,7,صخابر-ت
20151107,1000001.00,1000001,1000000,1000000.00,5101,19,صخابر-ت
20151108,1000000.00,1000001,1000000,1000000.00,1036,6,صخابر-ت
20151109,1000001.00,1000001,1000000,1000001.00,172,3,صخابر-ت
20151110,1000000.00,1000003,1000000,1000001.00,2990,9,صخابر-ت
20151111,1000000.00,1000001,1000000,1000000.00,3840,27,صخابر-ت
20151114,1000000.00,1000001,1000000,1000001.00,1645,15,صخابر-ت
20151115,1000000.00,1000001,1000000,1000000.00,710,4,صخابر-ت
20151116,1000000.00,1000007,1000000,1000002.00,5182,15,صخابر-ت
20151117,1000007.00,1000007,1000005,1000005.00,66,3,صخابر-ت
20151118,1000004.00,1000900,1000004,1000349.00,65,5,صخابر-ت
20151121,1000000.00,1000001,1000000,1000000.00,79,4,صخابر-ت
20151122,1000000.00,1000000,1000000,1000000.00,2921,13,صخابر-ت
20151123,1000000.00,1000000,1000000,1000000.00,2623,18,صخابر-ت
20151124,1000001.00,1000100,1000001,1000039.00,786,9,صخابر-ت
20151125,1000500.00,1001500,1000000,1000084.00,1592,14,صخابر-ت
20151128,1000001.00,1000001,1000000,1000001.00,380,4,صخابر-ت
20151129,1000000.00,1000002,1000000,1000001.00,3055,13,صخابر-ت
20151130,1000001.00,1000005,1000001,1000002.00,1675,11,صخابر-ت
20151201,1000010.00,1000010,1000001,1000003.00,2654,9,صخابر-ت
20151205,1000003.00,1001000,1000002,1000013.00,1500,10,صخابر-ت
20151206,1000004.00,1000500,1000004,1000192.00,1082,9,صخابر-ت
20151208,1000400.00,1000400,1000020,1000122.00,217,8,صخابر-ت
20151209,1007999.00,1008000,1007999,1008000.00,150,2,صخابر-ت
20151213,1008000.00,1008000,1000040,1005103.00,136,6,صخابر-ت
20151214,1000053.00,1004000,1000053,1000081.00,557,3,صخابر-ت
20151215,1000094.00,1000100,1000004,1000049.00,86,7,صخابر-ت
20151216,1000022.00,1000022,1000022,1000022.00,185,2,صخابر-ت
20151219,1009998.00,1009998,1000053,1000320.00,503,10,صخابر-ت
20151220,1007990.00,1007990,1007990,1007990.00,20,3,صخابر-ت
20151221,1000070.00,1000070,1000000,1000024.00,14045,43,صخابر-ت
20151222,1000001.00,1000001,1000001,1000001.00,8000,1,صخابر-ت
20151223,1000010.00,1000011,1000010,1000010.00,67,3,صخابر-ت
20151226,1000000.00,1000000,1000000,1000000.00,9350,30,صخابر-ت
20151227,1000001.00,1000001,1000001,1000001.00,673,2,صخابر-ت
20151230,1000000.00,1001995,1000000,1000174.00,335,11,صخابر-ت
20160102,1000001.00,1000001,1000000,1000001.00,780,6,صخابر-ت
20160103,1000007.00,1000008,1000007,1000007.00,1094,9,صخابر-ت
20160104,1000010.00,1000018,1000010,1000012.00,2490,8,صخابر-ت
20160105,1000009.00,1000010,1000002,1000007.00,2263,20,صخابر-ت
20160106,1000020.00,1000027,1000020,1000025.00,420,2,صخابر-ت
20160109,1000030.00,1000030,1000010,1000018.00,1365,14,صخابر-ت
20160110,1000021.00,1000021,1000013,1000016.00,8547,19,صخابر-ت
20160113,1000016.00,1000100,1000016,1000018.00,1101,5,صخابر-ت
20160116,1000015.00,1000016,1000000,1000000.00,499064,53,صخابر-ت
20160117,1000000.00,1000011,1000000,1000000.00,54859,19,صخابر-ت
20160118,1000990.00,1001000,1000000,1000032.00,6517,18,صخابر-ت
20160119,1000001.00,1000002,1000000,1000000.00,56286,30,صخابر-ت
20160120,1000000.00,1000001,1000000,1000000.00,41065,20,صخابر-ت
20160123,1000001.00,1000001,1000000,1000000.00,686,11,صخابر-ت
20160124,1000000.00,1000001,1000000,1000000.00,141487,52,صخابر-ت
20160125,1000000.00,1000000,1000000,1000000.00,45560,24,صخابر-ت
20160126,1000000.00,1000000,1000000,1000000.00,50594,23,صخابر-ت
20160127,1000000.00,1000000,1000000,1000000.00,73702,22,صخابر-ت
20160130,1004000.00,1004000,1000000,1000000.00,77995,18,صخابر-ت
20160131,1000001.00,1000014,1000001,1000012.00,5101,6,صخابر-ت
20160201,1000000.00,1000000,1000000,1000000.00,4994,8,صخابر-ت
20160202,1000001.00,1000005,1000001,1000001.00,3300,2,صخابر-ت
20160203,1000100.00,1000100,1000004,1000094.00,6625,12,صخابر-ت
20160206,1000004.00,1000011,1000000,1000008.00,2485,18,صخابر-ت
20160207,1000000.00,1000003,1000000,1000001.00,800,5,صخابر-ت
20160208,1000000.00,1000001,1000000,1000000.00,5234,26,صخابر-ت
20160209,1000000.00,1002987,1000000,1000003.00,96250,33,صخابر-ت
20160210,1000000.00,1000001,1000000,1000001.00,14690,14,صخابر-ت
20160213,1000000.00,1000005,1000000,1000001.00,15613,18,صخابر-ت
20160214,1000012.00,1000012,1000000,1000001.00,16497,13,صخابر-ت
20160215,1000000.00,1000000,1000000,1000000.00,14257,26,صخابر-ت
20160216,1000000.00,1002000,1000000,1000088.00,18130,37,صخابر-ت
20160217,1000000.00,1000000,1000000,1000000.00,84910,30,صخابر-ت
20160220,1000000.00,1000001,1000000,1000001.00,55506,14,صخابر-ت
20160221,1000000.00,1000008,1000000,1000002.00,20918,31,صخابر-ت
20160222,1000000.00,1000009,1000000,1000001.00,14891,24,صخابر-ت
20160223,1000000.00,1003000,1000000,1000115.00,8026,33,صخابر-ت
20160224,1000002.00,1002000,1000001,1001600.00,500,3,صخابر-ت
20160227,1000990.00,1000990,1000007,1000054.00,6467,16,صخابر-ت
20160228,1005000.00,1005000,1000001,1000100.00,5297,19,صخابر-ت
20160229,1000020.00,1000022,1000020,1000021.00,375,4,صخابر-ت
20160301,1000007.00,1000050,1000000,1000001.00,28500,15,صخابر-ت
20160302,1000020.00,1000029,1000013,1000028.00,2450,6,صخابر-ت
20160305,1000100.00,1000116,1000100,1000103.00,459,4,صخابر-ت
20160306,1000100.00,1000133,1000100,1000100.00,4026,4,صخابر-ت
20160307,1000119.00,1001000,1000101,1000493.00,4673,23,صخابر-ت
20160308,1000100.00,1001500,1000100,1000375.00,4258,16,صخابر-ت
20160309,1000101.00,1000250,1000100,1000105.00,33110,23,صخابر-ت
20160312,1000101.00,1001494,1000101,1000143.00,14385,19,صخابر-ت
20160314,1000101.00,1000995,1000100,1000155.00,12955,33,صخابر-ت
20160315,1000100.00,1000116,1000100,1000103.00,27374,21,صخابر-ت
20160316,1000151.00,1010000,1000151,1000998.00,12321,15,صخابر-ت
20160326,1000300.00,1000500,1000200,1000458.00,7690,9,صخابر-ت
20160327,1001000.00,1001000,1000113,1000346.00,4926,28,صخابر-ت
20160328,1000347.00,1000347,1000347,1000347.00,30,1,صخابر-ت
20160329,1000500.00,1010000,1000356,1001380.00,2025,36,صخابر-ت
20160330,1009880.00,1009880,1009880,1009880.00,5,1,صخابر-ت
20160402,1009799.00,1009799,1009799,1009799.00,18,2,صخابر-ت
20160403,1001000.00,1002000,1000101,1000761.00,3397,19,صخابر-ت
20160404,1000402.00,1000500,1000402,1000409.00,6807,27,صخابر-ت
20160405,1000500.00,1001019,1000051,1000569.00,1068,9,صخابر-ت
20160406,1000721.00,1005000,1000721,1002577.00,9129,15,صخابر-ت
20160411,1010000.00,1010000,1001420,1007586.00,426,6,صخابر-ت
20160412,1005000.00,1012000,1001001,1004484.00,11916,53,صخابر-ت
20160413,1015000.00,1015100,1014000,1014964.00,791,6,صخابر-ت
20160416,1015000.00,1015000,1002103,1002277.00,20320,6,صخابر-ت
20160417,1007011.00,1008001,1007011,1007020.00,3034,3,صخابر-ت
20160418,1006704.00,1010001,1006704,1008755.00,6288,7,صخابر-ت
20160419,1010101.00,1010101,1010101,1010101.00,4188,1,صخابر-ت
20160420,1021000.00,1021000,1016000,1019566.00,1015,10,صخابر-ت
20160423,1020000.00,1020000,1018000,1019916.00,502,4,صخابر-ت
20160424,1020000.00,1020000,1009002,1010095.00,12149,17,صخابر-ت
20160425,1006010.00,1006010,1006009,1006009.00,12,3,صخابر-ت
20160426,1008003.00,1010010,1008001,1008044.00,1246,12,صخابر-ت
20160427,1005351.00,1006301,1005351,1006073.00,125,2,صخابر-ت
20160430,1019950.00,1019950,1008111,1018082.00,121,6,صخابر-ت
20160501,1010000.00,1010007,1009999,1010002.00,1052,13,صخابر-ت
20160502,1010001.00,1010001,1010000,1010000.00,100,3,صخابر-ت
20160503,1009500.00,1009500,1000000,1000537.00,19250,30,صخابر-ت
20160504,1001000.00,1001000,1000500,1000567.00,1115,9,صخابر-ت
20160507,1000500.00,1005000,1000000,1000034.00,15423,23,صخابر-ت
20160508,1000200.00,1000201,1000150,1000197.00,1057,8,صخابر-ت
20160509,1000231.00,1000340,1000230,1000231.00,1291,4,صخابر-ت
20160510,1001030.00,1006000,1001023,1003084.00,306,11,صخابر-ت
20160511,1006000.00,1010000,1006000,1009302.00,668,7,صخابر-ت
20160514,1010000.00,1015000,1010000,1013219.00,351,7,صخابر-ت
20160515,1007902.00,1007902,1007902,1007902.00,10,1,صخابر-ت
20160516,1009998.00,1009998,1007000,1007720.00,490,9,صخابر-ت
20160517,1009990.00,1019910,1009990,1017882.00,4582,10,صخابر-ت
20160521,1015000.00,1022620,1010001,1010947.00,892,16,صخابر-ت
20160523,1010001.00,1010002,1000002,1001242.00,15351,15,صخابر-ت
20160524,1001520.00,1012000,1001520,1004555.00,777,23,صخابر-ت
20160525,1013000.00,1020000,1013000,1019883.00,3609,17,صخابر-ت
20160528,1004001.00,1005000,1004001,1004090.00,1358,4,صخابر-ت
20160529,1005002.00,1005002,1005002,1005002.00,30000,3,صخابر-ت
20160530,1010000.00,1010000,1008000,1009974.00,3569,8,صخابر-ت
20160531,1005011.00,1010000,1005011,1009500.00,92839,8,صخابر-ت
20160601,1008910.00,1008910,1008910,1008910.00,28,2,صخابر-ت
20160605,1005000.00,1005000,1005000,1005000.00,20,1,صخابر-ت
20160606,1005504.00,1010000,1005504,1005659.00,2869,14,صخابر-ت
20160607,1006213.00,1018000,1005500,1007717.00,3539,14,صخابر-ت
20160608,1010000.00,1017200,1010000,1010193.00,298,4,صخابر-ت
20160611,1014000.00,1015000,1010000,1014012.00,5108,16,صخابر-ت
20160612,1017001.00,1017001,1015056,1015233.00,11,3,صخابر-ت
20160613,1029799.00,1034500,1029796,1030825.00,320,5,صخابر-ت
20160614,1033000.00,1035000,1033000,1033667.00,30,2,صخابر-ت
20160615,1034990.00,1049999,1034990,1044052.00,1694,15,صخابر-ت
20160619,1050000.00,1050000,1035102,1037527.00,5706,21,صخابر-ت
20160620,1040000.00,1040000,1040000,1040000.00,68,2,صخابر-ت
20160621,1039000.00,1050000,1039000,1042790.00,88,4,صخابر-ت
20160625,1033000.00,1040000,1025004,1025958.00,3090,6,صخابر-ت
20160626,1040000.00,1040000,1040000,1040000.00,1,1,صخابر-ت
20160628,1048000.00,1049999,1040000,1045978.00,815,8,صخابر-ت
20160629,1049901.00,1050000,1042001,1049570.00,327,16,صخابر-ت
20160702,1050000.00,1050000,1049800,1049972.00,2449,12,صخابر-ت
20160704,1060000.00,1060000,1060000,1060000.00,50,2,صخابر-ت
20160705,1050011.00,1050011,1050010,1050011.00,11,2,صخابر-ت
20160709,1075999.00,1075999,1029000,1036020.00,3091,14,صخابر-ت
20160710,1050004.00,1050004,1040221,1047281.00,972,6,صخابر-ت
20160713,1055000.00,1055000,1055000,1055000.00,200,3,صخابر-ت
20160717,1055000.00,1069999,1055000,1061270.00,1707,8,صخابر-ت
20160718,1069000.00,1069000,1069000,1069000.00,3,1,صخابر-ت
20160719,1045502.00,1045502,1045502,1045502.00,4000,2,صخابر-ت
20160720,1050000.00,1052900,1050000,1052839.00,1162,5,صخابر-ت
20160723,1044000.00,1051993,1044000,1046426.00,3690,8,صخابر-ت
20160724,1060000.00,1060000,1050000,1051247.00,1143,5,صخابر-ت
20160725,1060000.00,1060000,1050052,1050086.00,300,6,صخابر-ت
20160727,1064999.00,1064999,1060000,1060020.00,255,3,صخابر-ت
20160801,1055000.00,1055000,1055000,1055000.00,104,2,صخابر-ت
20160802,1055000.00,1069000,1055000,1066038.00,498,5,صخابر-ت
20160803,1025003.00,1025003,1025003,1025003.00,74,2,صخابر-ت
20160806,1050000.00,1050000,1050000,1050000.00,104,2,صخابر-ت
20160807,1050003.00,1050003,1050000,1050002.00,50,4,صخابر-ت
20160808,1055001.00,1055001,1055001,1055001.00,100,1,صخابر-ت
20160809,1060000.00,1060000,1060000,1060000.00,489,3,صخابر-ت
20160810,1065450.00,1065499,1065450,1065465.00,500,2,صخابر-ت
20160813,1050000.00,1055504,1050000,1053502.00,3,3,صخابر-ت
20160814,1055001.00,1055002,1055000,1055000.00,76,4,صخابر-ت
20160816,1055000.00,1055000,1055000,1055000.00,18,2,صخابر-ت
20160817,1055001.00,1055001,1055000,1055001.00,71,5,صخابر-ت
20160821,1055000.00,1055000,1055000,1055000.00,4,1,صخابر-ت
20160822,1055001.00,1069900,1055000,1055131.00,228,6,صخابر-ت
20160824,1065000.00,1065000,1065000,1065000.00,21,2,صخابر-ت
20160827,1060000.00,1065000,1060000,1062500.00,20,2,صخابر-ت
20160828,1058651.00,1063000,1058620,1060004.00,89,13,صخابر-ت
20160829,1060000.00,1061000,1060000,1060714.00,14,2,صخابر-ت
20160830,1075000.00,1075000,1075000,1075000.00,29,1,صخابر-ت
20160831,1062000.00,1065000,1062000,1063333.00,30,3,صخابر-ت
20160903,1065000.00,1074999,1065000,1073888.00,9,2,صخابر-ت
20160904,1070000.00,1070000,1060000,1066121.00,1228,11,صخابر-ت
20160905,1065025.00,1065025,1065025,1065025.00,2,1,صخابر-ت
20160907,1065000.00,1067000,1065000,1065050.00,8212,23,صخابر-ت
