<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010403,1187.93,1188,1188,1187.93,300
20010421,1134.33,1138,1134,1137.78,21155
20010422,1137.78,1188,1138,1187.61,4390
20010423,1187.61,1191,1188,1191.06,1000
20010425,1175.39,1175,1175,1175.39,3323
20010428,1175.08,1191,1175,1191.06,166276
20010429,1222.41,1222,1191,1191.69,188613
20010430,1210.81,1251,1211,1251.24,40000
20010501,1313.62,1314,1314,1313.62,1716
20010502,1379.12,1379,1379,1379.12,31000
20010505,1448.08,1448,1448,1448.08,1000
20010506,1520.49,1520,1520,1520.49,1500
20010507,1596.34,1596,1595,1596.34,382500
20010508,1675.95,1676,1676,1675.95,8190
20010616,2150.18,2821,2131,2142.03,150207
20010617,2142.35,2163,2142,2163.35,52025
20010618,2184.97,2185,2163,2178.39,265107
20010619,2178.39,2197,2178,2196.88,136738
20010620,2209.73,2219,2210,2218.82,107860
20010623,2225.41,2241,2219,2240.76,24400
20010624,2263.02,2263,2263,2263.02,19725
20010625,2285.59,2286,2286,2285.59,11500
20010626,2308.15,2308,2308,2308.15,28500
20010627,2331.03,2331,2331,2331.03,74882
20010630,2354.23,2354,2354,2354.23,36050
20010701,2377.74,2378,2378,2377.74,34000
20010702,2401.24,2401,2401,2401.24,64000
20010703,2425.07,2425,2425,2425.07,67266
20010704,2449.20,2449,2401,2400.93,225935
20010707,2377.11,2410,2377,2400.93,222159
20010708,2419.74,2425,2420,2424.75,66917
20010709,2448.89,2449,2449,2448.89,16098
20010710,2473.34,2473,2473,2473.34,57600
20010711,2497.78,2498,2498,2497.78,19334
20010819,3134.06,3166,2664,3071.69,84723
20010820,2977.34,3072,2919,2918.73,45764
20010821,2910.89,2911,2821,2820.94,553
20010822,2820.31,2868,2814,2853.22,52157
20010825,2852.91,2931,2853,2921.86,18133
20010826,2900.86,2922,2884,2883.62,14592
20010827,2824.39,2824,2774,2789.59,22223
20010828,2789.59,2790,2774,2773.61,21002
20010829,2758.56,2759,2727,2726.91,15493
20010901,2711.23,2723,2680,2679.89,1700
20010902,2654.82,2664,2570,2570.19,37670
20010903,2548.25,2548,2542,2541.98,25325
20010904,2508.44,2509,2492,2491.51,25470
20010905,2475.84,2476,2382,2416.92,50860
20010908,2420.05,2538,2417,2537.59,98906
20010909,2570.19,2571,2538,2545.43,87376
20010910,2545.43,2545,2429,2430.39,23339
20010911,2413.47,2432,2366,2366.45,18407
20010912,2319.75,2326,2257,2274.62,22153
20010915,2291.54,2319,2288,2319.44,15565
20010916,2295.62,2296,2257,2256.75,16020
20010917,2143.91,2144,2144,2143.91,4000
20010918,2140.78,2141,2100,2103.79,22797
20010919,2194.06,2209,2131,2208.79,22533
20010922,2287.47,2319,2287,2319.12,9981
20010923,2382.12,2435,2323,2350.78,47955
20010924,2319.12,2319,2233,2256.75,8416
20010925,2256.75,2257,2256,2256.75,12350
20010926,2258.63,2259,2195,2195.00,16100
20010929,2162.72,2191,2163,2163.03,9735
20010930,2162.72,2257,2162,2256.75,30602
20011002,2319.44,2340,2271,2281.82,20605
20011003,2252.68,2257,2253,2254.56,45563
20011006,2254.56,2257,2255,2254.56,6590
20011007,2248.60,2257,2249,2256.75,12478
20011008,2250.48,2257,2198,2198.76,3858
20011009,2162.72,2163,2163,2162.72,7500
20011010,2147.05,2147,2100,2100.03,26444
20011013,2100.03,2205,2100,2147.05,40843
20011014,2162.72,2194,2163,2194.06,15400
20011016,2254.87,2304,2194,2303.77,24063
20011017,2323.51,2336,2252,2256.75,33723
20011020,2257.06,2303,2257,2302.83,8847
20011021,2272.74,2304,2263,2272.42,17746
20011022,2331.97,2335,2272,2319.44,40356
20011023,2319.44,2319,2304,2303.77,17068
20011024,2287.78,2291,2276,2291.23,18737
20011027,2291.23,2291,2290,2289.66,428
20011029,2267.41,2267,2260,2259.88,2650
20011031,2225.72,2241,2225,2225.41,11118
20011103,2225.41,2304,2225,2288.09,17358
20011104,2303.77,2335,2304,2303.77,20215
20011105,2319.44,2351,2319,2350.78,10493
20011106,2382.12,2382,2326,2326.02,5900
20011107,2325.71,2326,2288,2288.09,5463
20011110,2287.47,2288,2250,2288.09,150343
20011111,2319.75,2320,2319,2319.44,10843
20011112,2350.78,2351,2319,2319.44,7654
20011113,2315.99,2316,2286,2288.09,12264
20011114,2288.41,2291,2288,2288.41,5125
20011117,2263.96,2264,2264,2263.65,1590
20011118,2263.65,2264,2257,2263.65,4000
20011119,2256.75,2257,2257,2256.75,13213
20011120,2256.75,2257,2257,2256.75,2000
20011121,2256.75,2272,2213,2256.75,67089
20011124,2290.29,2313,2272,2313.17,19594
20011125,2316.30,2335,2316,2335.11,46009
20011126,2400.93,2414,2335,2413.47,43169
20011127,2413.16,2429,2413,2413.47,25485
20011128,2406.26,2415,2397,2414.72,28451
20011202,2405.63,2413,2398,2413.47,30850
20011203,2413.16,2461,2413,2460.48,20546
20011204,2460.80,2583,2460,2583.35,22967
20011205,2579.59,2633,2580,2617.20,19814
20011208,2617.83,2748,2618,2714.68,32442
20011209,2714.37,2727,2714,2726.91,8610
20011210,2726.91,2727,2727,2726.91,5500
20011211,2758.25,2790,2727,2773.92,49208
20011212,2820.94,2884,2789,2883.62,22800
20011215,2899.30,3028,2899,3027.81,45550
20011217,3027.81,3040,2962,2961.98,30515
20011218,2914.97,2915,2821,2883.31,14684
20011219,2878.92,2879,2822,2852.28,23865
20011222,2946.31,2947,2868,2946.31,43553
20011223,2977.97,3072,2978,3071.69,37360
20011224,3071.69,3134,3072,3072.31,55436
20011225,3040.34,3102,3040,3102.09,37042
20011226,3101.46,3253,3101,3253.48,40062
20011229,3253.48,3354,3253,3353.78,18570
20011230,3369.45,3369,3260,3259.75,6817
20011231,3250.35,3291,3222,3291.09,13735
20020101,3369.45,3369,3291,3353.47,38303
20020102,3322.12,3322,3260,3259.75,9712
20020105,3322.44,3338,3289,3290.47,53334
20020106,3338.11,3455,3291,3454.71,102470
20020107,3627.41,3627,3540,3572.87,39400
20020108,3570.05,3636,3542,3635.87,97849
20020112,3776.92,3808,3675,3807.95,36153
20020113,3807.33,3808,3806,3806.07,10504
20020114,3711.10,3763,3711,3711.10,13183
20020115,3710.79,3711,3618,3644.34,77217
20020302,4241.44,4389,3918,4137.37,49000
20020304,4201.63,4344,4137,4344.24,1495633
20020305,4388.12,4435,4344,4346.12,95055
20020306,4344.87,4345,4310,4317.91,16997
20020309,4294.09,4325,4278,4325.44,67811
20020310,4356.78,4360,4356,4356.78,66380
20020311,4388.12,4455,4388,4408.81,75399
20020312,4451.13,4454,4416,4416.33,114045
20020313,4482.16,4482,4416,4419.47,63171
20020316,4419.47,4426,4387,4425.74,43822
20020317,4425.42,4426,4385,4416.33,13252
20020318,4388.12,4410,4357,4410.07,5400
20020319,4332.02,4451,4332,4450.81,17963
20020326,4450.81,4484,4451,4484.35,3360
20020327,4515.07,4523,4497,4522.28,50600
20020330,4520.40,4523,4495,4523.22,9884
20020331,4545.47,4567,4545,4566.78,44229
20020403,4566.78,4567,4549,4566.16,18292
20020406,4576.19,4608,4576,4592.17,48490
20020407,4592.17,4593,4545,4591.86,20800
20020408,4589.35,4589,4528,4576.19,19485
20020409,4544.84,4576,4520,4543.59,18925
20020410,4500.96,4561,4467,4560.52,54457
20020413,4560.52,4561,4561,4560.52,6696
20020414,4561.14,4655,4560,4649.53,110131
20020415,4670.22,4736,4670,4713.79,105400
20020416,4948.86,4949,4905,4939.46,107253
20020608,7522.19,7836,7084,7522.19,405969
20020609,7585.19,7597,7585,7597.10,9091
20020610,7672.95,7673,7673,7672.95,3000
20020611,7749.43,7749,7749,7749.43,4900
20020612,7826.85,7827,7827,7826.85,2810
20020615,7904.89,7905,7905,7904.89,6648
20020616,7983.88,7984,7984,7983.88,31562
20020617,8063.49,8063,8063,8063.49,3885
20020618,8144.05,8144,8144,8144.05,2738
20020619,8225.23,8225,8225,8225.23,2126
20020622,8307.35,8307,8307,8307.35,3035
20020623,8390.41,8390,8390,8390.41,1800
20020624,8474.10,8474,8474,8474.10,7820
20020625,8644.29,8686,8463,8685.67,217658
20020626,8685.67,8903,8677,8902.57,95126
20020629,9061.48,9090,8934,8945.51,56302
20020630,8937.67,8938,8819,8837.06,71925
20020701,8619.53,8770,8616,8616.40,27190
20020702,8401.07,8401,8401,8401.07,1100
20020703,8191.06,8191,8191,8191.06,1367
20020706,7986.39,7986,7986,7986.39,3716
20020707,8186.05,8186,7792,8118.03,79547
20020708,8120.23,8149,8024,8024.00,29044
20020901,7209.06,7272,6645,7209.06,217344
20020902,7189.32,7207,6849,7033.54,108621
20020903,6738.91,6893,6739,6892.49,114486
20020904,6790.31,6801,6708,6707.56,3974
20020907,6372.18,6372,6372,6372.18,5578
20020908,6267.81,6268,6054,6053.73,6208
20020909,5751.26,5751,5751,5751.26,50669
20020910,5757.85,6039,5464,6038.69,41316
20020911,6049.97,6341,6050,6340.53,18243
20020914,6657.10,6657,6341,6340.53,37072
20020915,6335.83,6336,6140,6140.24,7247
20020916,6105.45,6112,6077,6077.24,4811
20020917,5958.45,5958,5877,5876.95,19337
20020918,5876.95,5878,5877,5877.58,5706
20020922,5876.95,5878,5877,5876.95,6424
20020923,5833.07,5846,5642,5642.19,19951
20020924,5642.19,5642,5579,5579.19,4688
20020925,5579.19,5579,5485,5484.84,14958
20020928,5421.84,5422,5328,5359.78,22151
20020929,5359.78,5626,5360,5613.35,21007
20020930,5613.35,5830,5613,5830.25,3396
20021001,5955.31,5969,5834,5968.79,4990
20021002,5981.01,5981,5765,5765.68,29874
20021006,5764.12,5771,5763,5770.38,15484
20021007,5770.38,5770,5770,5770.38,732
20021009,5750.01,5750,5750,5750.01,162
20021013,5641.87,5642,5579,5579.19,1601
20021014,5516.81,5611,5483,5610.53,17721
20021015,5547.84,5548,5538,5547.84,20250
20021016,5593.92,5594,5485,5590.16,26007
20021019,5590.47,5642,5590,5641.87,24124
20021020,5923.97,5924,5748,5923.97,21702
20021021,6018.94,6019,5799,5798.59,10327
20021023,5798.59,5799,5799,5798.59,10305
20021026,5802.35,5803,5802,5801.73,5000
20021027,5952.18,6078,5952,6078.18,4550
20021028,6104.20,6382,6104,6381.90,23586
20021029,6381.90,6385,6063,6062.82,10308
20021030,5864.73,6018,5760,5776.65,21059
20021102,5776.65,5893,5777,5892.62,1358
20021103,6065.33,6087,5944,6087.27,18710
20021104,6268.75,6269,6175,6197.91,18447
20021105,6118.93,6190,6090,6189.14,12409
20021106,6188.82,6269,6175,6268.75,21924
20021109,6267.81,6582,6175,6582.19,70301
20021110,6581.87,6645,6575,6581.87,139386
20021111,6426.41,6864,6253,6817.27,98050
20021130,2382.44,2507,2257,2382.12,5050
20021201,2413.47,2413,2341,2341.38,28348
20021202,2303.77,2319,2224,2224.47,19441
20021203,2202.21,2215,2115,2115.39,39356
20021204,2099.72,2194,2021,2194.06,102203
20021207,2286.21,2304,2225,2303.77,14642
20021208,2379.93,2383,2338,2338.24,38993
20021209,2335.42,2335,2314,2315.05,39306
20021210,2315.68,2316,2278,2284.96,39648
20021211,2284.96,2382,2225,2382.12,56292
20021214,2382.12,2382,2319,2381.81,17105
20021215,2381.81,2382,2350,2349.84,7617
20021216,2347.96,2350,2326,2325.71,7209
20021217,2321.63,2351,2210,2350.78,38354
20021218,2350.47,2382,2350,2350.78,11266
20021221,2350.78,2351,2350,2350.15,1950
20021223,2331.66,2332,2288,2288.41,5683
20021224,2280.26,2280,2256,2256.44,1290
20021225,2254.87,2255,2194,2194.06,6381
20021228,2194.06,2199,2194,2199.39,13457
20021229,2199.70,2204,2200,2203.78,5885
20021231,2219.14,2241,2204,2241.08,3809
20030101,2240.76,2241,2232,2241.08,10297
20030104,2225.41,2225,2222,2222.27,5520
20030105,2197.20,2221,2192,2192.18,3595
20030106,2190.93,2191,2131,2131.37,22772
20030107,2112.88,2131,2111,2131.06,14411
20030108,2135.14,2163,2131,2162.72,17509
20030111,2162.72,2195,2163,2194.69,12116
20030112,2256.75,2297,2215,2297.50,31994
20030113,2319.44,2382,2319,2319.44,30509
20030114,2282.45,2319,2203,2225.41,22799
20030115,2225.09,2225,2163,2193.75,85248
20030118,2162.72,2163,2162,2162.41,12517
20030119,2162.41,2162,2100,2131.37,23612
20030120,2137.64,2138,2135,2134.51,1320
20030121,2134.51,2135,2100,2100.03,20507
20030122,2099.72,2100,2061,2068.69,22081
20030125,2068.69,2069,1990,1990.33,12107
20030126,1974.66,1975,1943,1943.31,6243
20030202,1846.15,1846,1846,1846.15,100
20030203,1754.00,1754,1754,1754.00,1383
20030204,1666.55,1667,1667,1666.55,11860
20030205,1658.40,1659,1583,1583.49,8049
20030208,1567.19,1567,1504,1504.50,19922
20030209,1504.50,1504,1502,1501.99,6834
20030210,1501.05,1577,1501,1576.90,16986
20030215,1600.10,1656,1600,1655.58,17198
20030216,1724.22,1738,1677,1738.32,13324
20030217,1738.32,1825,1738,1825.15,13083
20030218,1916.36,1916,1880,1880.31,23615
20030219,1858.68,1859,1787,1786.59,17593
20030222,1755.25,1758,1724,1723.91,13142
20030223,1723.91,1725,1724,1724.22,7940
20030224,1731.74,1732,1732,1731.74,3400
20030225,1747.41,1752,1747,1752.12,230
20030226,1765.28,1766,1740,1739.58,18429
20030301,1739.58,1740,1724,1723.91,9890
20030302,1723.91,1724,1693,1708.23,11380
20030303,1707.92,1708,1707,1707.29,2524
20030304,1692.56,1693,1677,1676.89,5975
20030305,1667.17,1667,1667,1667.17,746
20030308,1584.11,1584,1584,1584.11,1500
20030309,1551.52,1559,1552,1551.52,2010
20030310,1506.38,1506,1474,1478.48,30192
20030311,1487.26,1506,1479,1506.38,18393
20030312,1551.52,1582,1536,1581.61,8610
20030315,1629.87,1630,1599,1600.73,38747
20030316,1601.98,1602,1582,1590.70,23278
20030317,1590.38,1590,1589,1589.13,20680
20030318,1588.50,1589,1567,1567.19,4910
20030319,1551.52,1552,1550,1550.89,8380
20030326,1564.99,1565,1565,1564.99,2210
20030329,1564.99,1643,1565,1643.04,6852
20030330,1661.22,1725,1661,1725.16,7324
20030331,1725.47,1808,1725,1802.27,41692
20030405,1817.94,1823,1818,1817.94,21827
20030406,1727.04,1787,1727,1727.04,12221
20030407,1726.73,1727,1641,1640.85,12424
20030408,1640.53,1641,1641,1640.85,5357
20030409,1640.85,1664,1633,1633.01,48461
20030412,1628.31,1629,1583,1582.86,18138
20030413,1573.46,1573,1551,1551.52,53237
20030414,1554.96,1629,1555,1628.93,53168
20030415,1598.84,1616,1578,1578.16,9438
20030416,1596.02,1596,1555,1567.19,29083
20030419,1566.25,1566,1536,1535.84,48584
20030420,1535.84,1536,1511,1511.08,51479
20030421,1511.08,1533,1511,1513.90,31140
20030422,1515.16,1567,1515,1551.52,50693
20030426,1551.52,1567,1536,1535.53,43698
20030427,1535.53,1536,1505,1505.44,53164
20030428,1503.56,1504,1466,1466.26,18471
20030429,1460.31,1461,1393,1393.23,42396
20030430,1393.23,1442,1336,1440.56,77995
20030503,1440.25,1454,1438,1441.19,83075
20030504,1442.13,1499,1442,1473.16,56269
20030505,1472.84,1514,1473,1504.81,38417
20030506,1520.17,1580,1520,1580.04,42874
20030507,1659.02,1659,1599,1633.01,163584
20030510,1632.38,1632,1552,1565.31,55573
20030511,1560.61,1586,1561,1583.80,73440
20030512,1583.80,1584,1540,1539.60,47778
20030513,1582.86,1616,1567,1616.40,137410
20030514,1629.87,1630,1605,1629.87,106063
20030517,1660.91,1711,1661,1711.37,118848
20030518,1752.12,1797,1712,1786.59,142621
20030520,1786.59,1793,1761,1769.35,107576
20030521,1768.73,1769,1711,1711.37,57675
20030524,1661.22,1693,1630,1629.87,82177
20030525,1633.32,1708,1633,1708.23,51013
20030526,1754.62,1793,1755,1793.49,76814
20030527,1755.88,1785,1724,1723.91,62101
20030528,1723.59,1724,1704,1704.47,10826
20030531,1704.16,1705,1702,1703.85,27328
20030601,1648.37,1649,1620,1645.55,93109
20030602,1661.22,1689,1646,1661.22,30150
20030603,1661.22,1661,1615,1621.10,6526
20030607,1627.68,1646,1627,1628.62,22993
20030608,1628.93,1631,1614,1623.92,33960
20030609,1614.20,1614,1598,1598.53,34259
20030610,1595.08,1599,1567,1598.22,31220
20030611,1596.96,1597,1583,1582.86,2497
20030614,1545.56,1552,1536,1537.41,39632
20030615,1537.41,1545,1489,1489.14,31520
20030616,1489.77,1497,1489,1496.66,42291
20030617,1498.23,1571,1498,1571.26,67380
20030618,1596.02,1596,1578,1596.34,14375
20030621,1601.67,1611,1595,1595.08,38653
20030622,1585.99,1586,1520,1566.87,40777
20030623,1567.19,1567,1536,1536.47,31893
20030624,1565.31,1566,1537,1551.52,68174
20030625,1551.83,1552,1536,1546.50,193265
20030628,1547.13,1599,1546,1586.31,212018
20030629,1661.22,1666,1594,1665.61,9881
20030630,1669.37,1749,1669,1748.67,59244
20030701,1678.77,1679,1670,1676.89,96190
20030702,1676.58,1724,1677,1677.52,188858
20030705,1676.89,1682,1677,1679.08,36735
20030706,1707.29,1707,1678,1692.88,149000
20030707,1692.88,1693,1661,1661.22,106480
20030708,1661.22,1661,1617,1617.34,33624
20030709,1598.53,1599,1536,1567.19,102449
20030712,1567.19,1568,1540,1567.19,122579
20030713,1567.19,1583,1567,1567.19,46567
20030714,1567.19,1646,1551,1645.55,89996
20031021,1253.75,1254,1222,1250.93,210183
20031022,1253.75,1254,1192,1207.36,226804
20031025,1191.06,1207,1160,1204.85,92102
20031026,1144.67,1145,1145,1144.67,99375
20031027,1139.35,1144,1139,1144.05,1935
20031028,1127.12,1136,1127,1135.90,9987
20031029,1111.14,1112,1081,1092.02,32076
20031101,1080.42,1081,1037,1050.64,95806
