<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20190724,433349.00,433349,433349,433349.00,1015,74,Mortgage Right9804-a
20190727,433349.00,433349,411682,415540.00,34415,1472,Mortgage Right9804-a
20190728,435000.00,436317,426560,434984.00,27516,1729,Mortgage Right9804-a
20190729,450000.00,455000,440200,446854.00,24537,1643,Mortgage Right9804-a
20190730,455000.00,462000,451120,456437.00,17238,1316,Mortgage Right9804-a
20190731,460000.00,479258,455610,467203.00,10082,570,Mortgage Right9804-a
20190803,475001.00,487000,445000,467546.00,33399,1875,Mortgage Right9804-a
20190804,460000.00,478000,460000,467528.00,23339,1235,Mortgage Right9804-a
20190805,470000.00,475000,456002,466459.00,20321,1029,Mortgage Right9804-a
20190806,470000.00,482000,465000,475766.00,18366,1005,Mortgage Right9804-a
20190807,469999.00,475000,457220,463138.00,24762,1594,Mortgage Right9804-a
20190810,460001.00,470000,445009,456200.00,26747,1897,Mortgage Right9804-a
20190811,451009.00,468580,446000,458302.00,22393,1570,Mortgage Right9804-a
20190813,460000.00,464999,448222,456870.00,23139,1226,Mortgage Right9804-a
20190814,460000.00,469788,448010,456877.00,21770,1034,Mortgage Right9804-a
20190817,460005.00,465000,441000,452873.00,25373,1284,Mortgage Right9804-a
20190818,452123.00,460000,443000,453729.00,20815,1226,Mortgage Right9804-a
20190819,455000.00,460000,431043,454582.00,16700,966,Mortgage Right9804-a
20190821,450000.00,464499,440000,451008.00,24788,1103,Mortgage Right9804-a
20190824,469999.00,469999,445100,460603.00,15652,1033,Mortgage Right9804-a
20190825,450000.00,468000,450000,461841.00,15078,932,Mortgage Right9804-a
20190826,451000.00,460000,438749,443181.00,6150,688,Mortgage Right9804-a
20190827,460000.00,460000,421022,426009.00,4905,518,Mortgage Right9804-a
20190828,411122.00,433333,405000,418779.00,6272,649,Mortgage Right9804-a
20190831,414444.00,420000,397841,408842.00,6298,684,Mortgage Right9804-a
20190901,405444.00,418990,390800,401354.00,6162,698,Mortgage Right9804-a
20190902,403000.00,421421,403000,418950.00,5564,598,Mortgage Right9804-a
20190903,424000.00,439897,407116,423485.00,12535,746,Mortgage Right9804-a
20190904,416666.00,430000,406022,421798.00,5160,513,Mortgage Right9804-a
20190907,408122.00,440000,400800,429559.00,7101,657,Mortgage Right9804-a
20190908,420328.00,437000,408082,422513.00,6951,586,Mortgage Right9804-a
20190911,425000.00,439688,415122,427670.00,4131,459,Mortgage Right9804-a
20190914,430000.00,448000,411222,429720.00,7039,582,Mortgage Right9804-a
20190915,425555.00,444000,408234,425547.00,4973,472,Mortgage Right9804-a
20190916,430000.00,435000,416000,424219.00,5678,457,Mortgage Right9804-a
20190917,412000.00,430000,412000,423853.00,5899,354,Mortgage Right9804-a
20190918,416777.00,439000,415222,426877.00,4510,326,Mortgage Right9804-a
20190921,435000.00,435000,407109,423975.00,3971,352,Mortgage Right9804-a
20190922,422000.00,434998,402777,415041.00,10161,452,Mortgage Right9804-a
20190923,403333.00,430000,395334,419013.00,6764,392,Mortgage Right9804-a
20190924,401150.00,439000,401150,424980.00,3931,392,Mortgage Right9804-a
20190925,406911.00,440000.00,403731.00,406497.00,2606,211,Mortgage Right9804-a
