<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20130225,3054.07,3054,3054,3054.07,29853737,6152,NPSZ-a
20130226,3124.82,3207,3092,3177.65,12086464,14094,NPSZ-a
20130227,3331.17,3336,3302,3334.12,2085093,2097,NPSZ-a
20130302,3500.74,3501,3501,3500.74,398853,295,NPSZ-a
20130303,3675.73,3676,3538,3659.22,9508368,9980,NPSZ-a
20130304,3596.25,3655,3476,3495.43,3534011,3015,NPSZ-a
20130305,3320.68,3438,3321,3331.06,4672478,4138,NPSZ-a
20130306,3354.76,3455,3243,3345.44,1830066,2143,NPSZ-a
20130309,3225.17,3284,3178,3182.48,1628850,1385,NPSZ-a
20130310,3107.13,3342,3067,3210.66,1383066,1448,NPSZ-a
20130311,3183.78,3290,3078,3187.55,1085580,1025,NPSZ-a
20130312,3089.44,3347,3089,3273.63,1419671,1504,NPSZ-a
20130313,3361.12,3437,3361,3427.51,1724852,1011,NPSZ-a
20130316,3390.13,3390,3256,3289.67,801070,736,NPSZ-a
20130317,3131.89,3265,3132,3215.26,409869,585,NPSZ-a
20130318,3255.59,3376,3160,3305.70,910839,1128,NPSZ-a
20130325,3470.91,3471,3420,3470.79,463213,198,NPSZ-a
20130326,3644.13,3644,3490,3586.70,2031669,1725,NPSZ-a
20130327,3513.95,3514,3407,3435.77,899407,1212,NPSZ-a
20130330,3395.91,3396,3302,3336.95,685234,724,NPSZ-a
20130331,3419.61,3496,3396,3447.91,1013925,1227,NPSZ-a
20130403,3397.33,3472,3361,3428.69,562149,606,NPSZ-a
20130406,3453.69,3454,3292,3329.88,494685,723,NPSZ-a
20130407,3331.17,3403,3278,3298.63,261779,453,NPSZ-a
20130408,3313.13,3408,3307,3365.25,882850,891,NPSZ-a
20130409,3390.13,3407,3296,3323.27,936109,1090,NPSZ-a
20130410,3266.32,3312,3179,3225.52,1018708,1294,NPSZ-a
20130413,3225.52,3226,3147,3165.15,631562,1064,NPSZ-a
20130415,3170.81,3278,3168,3224.34,465212,621,NPSZ-a
20130416,3241.56,3289,3184,3214.32,1335815,1419,NPSZ-a
20130417,3124.82,3207,3125,3145.93,588636,896,NPSZ-a
20130420,3148.52,3219,3078,3130.95,468338,800,NPSZ-a
20130421,3112.91,3113,3065,3076.94,438455,622,NPSZ-a
20130422,3124.82,3160,3084,3120.22,785027,654,NPSZ-a
20130423,3183.89,3276,3125,3251.58,1335098,792,NPSZ-a
20130424,3396.03,3396,3290,3343.20,1302370,975,NPSZ-a
20130427,3402.75,3496,3361,3415.72,1399324,1424,NPSZ-a
20130428,3406.52,3407,3245,3264.90,1196888,920,NPSZ-a
20130429,3301.46,3361,3219,3309.48,1062897,1024,NPSZ-a
20130430,3407.82,3408,3244,3332.00,1008840,1053,NPSZ-a
20130501,3331.17,3404,3260,3325.75,964835,1145,NPSZ-a
20130504,3331.17,3420,3316,3370.32,1464260,1588,NPSZ-a
20130505,3383.77,3384,3302,3317.02,988187,771,NPSZ-a
20130506,3301.81,3337,3240,3285.07,570171,612,NPSZ-a
20130507,3287.54,3288,3155,3202.05,339687,585,NPSZ-a
20130508,3183.78,3243,3125,3169.27,329000,619,NPSZ-a
20130511,3194.04,3319,3194,3290.96,500168,596,NPSZ-a
20130512,3360.77,3419,3127,3260.07,472000,586,NPSZ-a
20130513,3197.10,3242,3125,3146.87,229140,427,NPSZ-a
20130514,3098.17,3266,3007,3078.00,371466,637,NPSZ-a
20130515,3183.78,3207,3048,3084.61,295419,457,NPSZ-a
20130518,3065.86,3066,2930,2941.81,307489,535,NPSZ-a
20130519,2865.40,3054,2857,2961.86,319404,406,NPSZ-a
20130520,2959.73,3110,2948,3088.03,572248,575,NPSZ-a
20130521,3042.28,3066,2979,3000.18,307969,327,NPSZ-a
20130522,2865.40,3150,2850,3056.54,1320851,944,NPSZ-a
20130525,3159.01,3209,3137,3204.77,391744,440,NPSZ-a
20130526,3289.90,3302,3189,3230.24,405525,561,NPSZ-a
20130527,3183.78,3244,3072,3188.61,838139,924,NPSZ-a
20130528,3230.83,3278,3160,3211.61,788182,520,NPSZ-a
20130529,3217.38,3266,3163,3224.34,734219,842,NPSZ-a
20130601,3219.51,3220,3066,3114.91,690325,866,NPSZ-a
20130807,3653.72,3876,3654,3744.33,2224686,1668,NPSZ-a
20130811,3693.16,3693,3557,3579.72,476345,617,NPSZ-a
20130812,3550.84,3551,3416,3442.68,565263,826,NPSZ-a
20130813,3442.68,3514,3416,3473.81,465905,514,NPSZ-a
20130814,3482.12,3495,3431,3458.24,312288,296,NPSZ-a
20130817,3560.99,3561,3429,3499.66,404923,422,NPSZ-a
20130818,3488.71,3489,3325,3349.16,513084,562,NPSZ-a
20130819,3349.16,3390,3311,3351.80,201366,263,NPSZ-a
20130820,3363.28,3363,3245,3290.34,239021,353,NPSZ-a
20130821,3259.34,3324,3259,3309.20,191061,241,NPSZ-a
20130824,3310.65,3429,3311,3382.01,108225,193,NPSZ-a
20130825,3322.52,3363,3297,3317.90,196958,255,NPSZ-a
20130826,3297.46,3337,3232,3276.62,253106,319,NPSZ-a
20130827,3297.46,3298,3113,3185.61,514956,635,NPSZ-a
20130828,3026.41,3026,3026,3026.41,283975,281,NPSZ-a
20130831,2901.90,3130,2902,3012.56,95746,192,NPSZ-a
20130901,3066.51,3163,2994,3142.48,247891,237,NPSZ-a
20130903,3297.33,3297,3156,3201.04,128155,211,NPSZ-a
20130904,3041.05,3060,3041,3041.31,157294,160,NPSZ-a
20130907,2889.37,2968,2889,2894.64,173767,222,NPSZ-a
20130908,2928.14,3039,2928,3022.45,96934,179,NPSZ-a
20130909,3156.33,3156,3047,3112.80,52527,134,NPSZ-a
20130910,3192.07,3268,3189,3255.38,159788,206,NPSZ-a
20130911,3375.28,3375,3166,3283.22,193536,260,NPSZ-a
20130914,3290.87,3291,3146,3195.37,151539,135,NPSZ-a
20130915,3152.77,3231,3100,3143.14,114053,176,NPSZ-a
20130916,3073.23,3204,3073,3135.49,111461,145,NPSZ-a
20130917,3212.78,3213,3135,3147.23,115052,204,NPSZ-a
20130918,3164.24,3191,3139,3164.37,188399,220,NPSZ-a
20130921,3194.58,3284,3166,3211.20,220480,199,NPSZ-a
20130922,3165.83,3166,3060,3088.27,108961,208,NPSZ-a
20130923,3062.94,3172,3063,3156.20,111229,167,NPSZ-a
20130924,3077.59,3165,3073,3089.85,135319,173,NPSZ-a
20130925,3145.78,3166,3090,3150.26,141732,164,NPSZ-a
20130928,3203.94,3225,3163,3175.98,193446,243,NPSZ-a
20130929,3180.07,3334,3165,3267.78,345899,388,NPSZ-a
20130930,3297.20,3298,3232,3275.30,155873,207,NPSZ-a
20131001,3267.26,3286,3192,3243.25,120853,166,NPSZ-a
20131002,3257.89,3258,3126,3151.84,496848,462,NPSZ-a
20131005,3153.16,3297,3153,3236.66,246920,295,NPSZ-a
20131006,3296.14,3296,3232,3249.84,135793,226,NPSZ-a
20131007,3264.49,3278,3187,3225.71,167681,181,NPSZ-a
20131008,3238.90,3271,3232,3253.01,311675,249,NPSZ-a
20131009,3270.16,3416,3218,3392.69,825623,565,NPSZ-a
20131012,3521.69,3562,3456,3535.93,547453,379,NPSZ-a
20131013,3712.68,3713,3515,3623.91,1280967,837,NPSZ-a
20131014,3548.20,3697,3508,3621.27,1078763,775,NPSZ-a
20131015,3627.34,3739,3627,3698.30,635244,743,NPSZ-a
20131019,3802.63,3883,3746,3869.24,1730738,1305,NPSZ-a
20131020,3693.55,3759,3676,3687.75,597588,520,NPSZ-a
20131021,3691.84,3693,3503,3544.64,921374,626,NPSZ-a
20131022,3538.83,3539,3390,3434.24,276736,293,NPSZ-a
20131023,3432.13,3588,3432,3519.97,166610,292,NPSZ-a
20131026,3625.89,3696,3548,3680.10,920557,626,NPSZ-a
20131027,3653.45,3653,3498,3539.10,311385,251,NPSZ-a
20131028,3534.88,3627,3469,3478.82,138332,224,NPSZ-a
20131029,3614.02,3614,3458,3517.07,151328,174,NPSZ-a
20131030,3567.85,3685,3516,3606.10,559381,476,NPSZ-a
20131102,3627.21,3627,3495,3536.33,232026,213,NPSZ-a
20131103,3508.50,3574,3508,3549.91,518240,318,NPSZ-a
20131104,3548.20,3680,3511,3596.47,466037,322,NPSZ-a
20131105,3669.41,3775,3601,3726.92,697802,537,NPSZ-a
20131106,3786.80,3913,3787,3909.73,2642253,1334,NPSZ-a
20131109,4009.71,4010,3714,3772.29,792941,656,NPSZ-a
20131110,3759.10,3799,3693,3743.01,144808,230,NPSZ-a
20131111,3801.31,3801,3576,3747.23,266251,273,NPSZ-a
20131112,3744.46,3744,3627,3655.04,96015,168,NPSZ-a
20131116,3692.89,3838,3641,3816.74,1117263,659,NPSZ-a
20131117,3851.43,3851,3737,3801.05,234393,193,NPSZ-a
20131118,3785.22,3851,3693,3803.95,318216,277,NPSZ-a
20131119,3761.74,3891,3762,3854.86,250298,271,NPSZ-a
20131120,3891.00,3891,3759,3778.23,236525,193,NPSZ-a
20131123,3826.50,3878,3695,3744.99,326554,277,NPSZ-a
20131124,3823.73,3932,3726,3874.38,672928,398,NPSZ-a
20131125,4051.92,4068,3957,4064.05,1684621,748,NPSZ-a
20131126,4088.85,4219,3983,4079.22,780727,637,NPSZ-a
20131127,4088.19,4088,3947,3984.26,598965,531,NPSZ-a
20131130,3956.95,4041,3931,3974.49,399057,416,NPSZ-a
20131201,3989.93,4168,3974,4106.79,646064,623,NPSZ-a
20131202,4088.72,4109,3998,4062.87,371895,357,NPSZ-a
20131203,4108.50,4115,4062,4096.76,870790,572,NPSZ-a
20131204,4154.27,4154,3977,4028.57,249475,293,NPSZ-a
20131207,3983.33,4028,3883,3945.21,615484,679,NPSZ-a
20131208,3943.76,4022,3944,3951.94,256778,244,NPSZ-a
20131209,3956.95,4115,3825,4012.88,770047,626,NPSZ-a
20131210,3956.95,4213,3957,4124.46,1029084,696,NPSZ-a
