<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20131020,433.90,434,434,433.90,25000,4,Eng. Council-a
20131222,303.73,304,304,303.73,20000,2,Eng. Council-a
20131224,303.73,304,304,303.73,30000,1,Eng. Council-a
20131229,375.32,375,369,371.85,20000,2,Eng. Council-a
20140104,395.28,395,395,395.28,1000,1,Eng. Council-a
20140113,395.28,395,395,395.28,35400,1,Eng. Council-a
20140114,390.51,521,391,401.36,59950,7,Eng. Council-a
20140201,394.85,521,393,449.52,135150,9,Eng. Council-a
20140203,399.19,399,393,395.72,20000,4,Eng. Council-a
20140209,395.72,396,393,393.11,125000,4,Eng. Council-a
20140222,390.94,391,391,390.94,60000,3,Eng. Council-a
20140223,390.94,395,391,390.94,133000,4,Eng. Council-a
20140811,386.17,386,312,371.42,25000,2,Eng. Council-a
20140819,303.73,321,304,307.63,35240,7,Eng. Council-a
20140820,304.60,305,304,304.60,50501,9,Eng. Council-a
20140823,303.73,304,304,303.73,38360,4,Eng. Council-a
20140824,325.42,325,325,325.42,796,1,Eng. Council-a
20140927,260.34,260,260,260.34,5000,1,Eng. Council-a
20141006,303.73,385,260,310.24,491630,15,Eng. Council-a
20141007,351.46,430,343,357.53,300600,9,Eng. Council-a
20141008,351.46,351,351,351.46,23000,1,Eng. Council-a
20141011,347.55,354,348,350.16,18000,4,Eng. Council-a
20141012,303.73,304,304,303.73,4500,1,Eng. Council-a
20141014,325.42,326,325,325.86,38000,2,Eng. Council-a
20141018,346.25,346,346,346.25,9500,3,Eng. Council-a
20141019,346.25,346,346,346.25,1000,1,Eng. Council-a
20141020,338.44,382,326,352.33,159800,7,Eng. Council-a
20141022,306.33,306,306,306.33,18443,1,Eng. Council-a
20141025,305.03,305,305,305.03,18443,1,Eng. Council-a
20141027,308.07,312,308,308.50,60000,4,Eng. Council-a
20141028,308.07,308,308,308.07,37000,3,Eng. Council-a
20141029,303.73,313,304,305.90,69557,4,Eng. Council-a
20141101,282.90,283,283,282.90,50000,2,Eng. Council-a
20141102,291.15,291,291,291.15,12543,2,Eng. Council-a
20141105,321.09,321,304,305.90,43100,4,Eng. Council-a
20141108,291.15,291,287,289.41,80000,3,Eng. Council-a
20141109,288.54,289,288,288.54,50000,2,Eng. Council-a
20141110,303.73,323,288,298.96,224687,8,Eng. Council-a
20141203,303.30,303,303,303.30,3572,1,Eng. Council-a
20141206,303.30,303,302,302.86,25000,4,Eng. Council-a
20141207,298.96,299,299,298.96,2000,1,Eng. Council-a
20141208,290.71,291,291,290.71,2000,1,Eng. Council-a
20141209,289.41,289,281,285.94,17200,2,Eng. Council-a
20141216,282.03,282,282,282.03,5000,1,Eng. Council-a
20141220,277.26,278,277,277.26,89928,2,Eng. Council-a
20141227,265.11,265,265,265.11,10000,1,Eng. Council-a
20141229,264.68,265,265,264.68,49500,2,Eng. Council-a
20141230,264.68,265,265,264.68,500,1,Eng. Council-a
20150103,264.68,278,252,259.04,50000,5,Eng. Council-a
20150107,320.65,347,304,326.73,361658,11,Eng. Council-a
20150110,301.56,302,260,273.79,30000,3,Eng. Council-a
20150111,299.39,347,299,338.88,127864,4,Eng. Council-a
20150112,346.69,368,347,348.86,38444,10,Eng. Council-a
20150113,367.51,390,368,377.93,219850,3,Eng. Council-a
20150121,260.34,260,260,260.34,10000,1,Eng. Council-a
20150126,325.42,347,325,342.35,50000,4,Eng. Council-a
20150127,349.29,430,330,413.07,143429,5,Eng. Council-a
20150131,390.94,391,391,390.51,42700,7,Eng. Council-a
20150201,390.51,436,369,422.62,261000,14,Eng. Council-a
20150202,436.07,436,436,436.07,7000,1,Eng. Council-a
20150203,520.25,542,520,539.34,23000,3,Eng. Council-a
20150204,494.65,495,413,464.27,63920,2,Eng. Council-a
20150207,433.90,434,417,426.96,10000,3,Eng. Council-a
20150208,416.98,447,369,389.64,147750,5,Eng. Council-a
20150209,433.47,433,399,415.68,130060,7,Eng. Council-a
20150210,403.53,404,399,401.36,20000,2,Eng. Council-a
20150214,433.03,433,412,413.07,10400,2,Eng. Council-a
20150216,396.15,396,391,394.41,40000,4,Eng. Council-a
20150218,373.59,374,374,373.59,20000,1,Eng. Council-a
20150222,374.46,374,369,370.12,55400,2,Eng. Council-a
20150223,368.81,369,352,354.06,24000,2,Eng. Council-a
20150304,309.37,309,305,308.07,28099,4,Eng. Council-a
20150307,307.63,346,308,328.46,52600,3,Eng. Council-a
20150308,347.12,347,331,334.10,60451,3,Eng. Council-a
20150309,347.12,347,347,347.12,977,1,Eng. Council-a
20150310,387.91,388,388,387.91,5000,1,Eng. Council-a
20150318,367.08,396,367,378.79,181200,9,Eng. Council-a
20150404,433.90,434,430,433.47,218500,6,Eng. Council-a
20150405,455.59,486,413,454.73,681310,18,Eng. Council-a
20150406,542.37,542,395,521.11,35000,2,Eng. Council-a
20150407,390.51,391,391,390.51,25000,1,Eng. Council-a
20150408,381.83,391,382,390.08,177,2,Eng. Council-a
20150411,390.51,391,391,390.51,15000,1,Eng. Council-a
20150412,433.47,477,391,438.24,85000,5,Eng. Council-a
20150413,476.86,503,477,486.40,291400,10,Eng. Council-a
20150415,498.98,521,499,518.51,414480,7,Eng. Council-a
20150418,452.12,538,452,499.42,47150,6,Eng. Council-a
20150504,433.90,434,434,433.90,5,1,Eng. Council-a
20150505,429.56,430,430,429.56,500,1,Eng. Council-a
20150517,303.73,304,247,251.23,20000,5,Eng. Council-a
20150518,262.51,269,263,263.38,50480,2,Eng. Council-a
20150531,279.00,279,279,279.00,10000,1,Eng. Council-a
20150602,279.00,279,279,278.56,40000,3,Eng. Council-a
20150609,282.03,282,282,282.03,5000,1,Eng. Council-a
20150624,303.73,304,304,303.73,4000,2,Eng. Council-a
20150628,286.37,286,281,283.77,9995,2,Eng. Council-a
20150629,280.73,281,281,280.73,20000,1,Eng. Council-a
20150715,312.84,343,313,322.39,31500,3,Eng. Council-a
20150725,325.42,325,313,318.05,26000,4,Eng. Council-a
20150728,318.92,319,319,318.92,10000,1,Eng. Council-a
20150729,318.92,319,319,318.92,8850,1,Eng. Council-a
20150812,319.35,319,319,319.35,10000,1,Eng. Council-a
20150818,318.92,319,319,318.92,46150,1,Eng. Council-a
20150831,280.73,281,269,271.19,10000,2,Eng. Council-a
20150913,282.03,282,282,282.03,8000,1,Eng. Council-a
20150922,261.21,261,261,261.21,5000,1,Eng. Council-a
20151014,262.51,263,262,262.08,34200,4,Eng. Council-a
20151020,262.08,262,262,262.08,17700,1,Eng. Council-a
20151021,262.08,262,262,262.08,10000,1,Eng. Council-a
20151201,279.00,279,269,270.32,20000,4,Eng. Council-a
20151209,282.47,282,273,280.30,5000,4,Eng. Council-a
20151213,299.39,303,299,301.99,16000,2,Eng. Council-a
20151222,303.30,303,303,303.30,1399,1,Eng. Council-a
20151226,267.28,267,267,267.28,21399,1,Eng. Council-a
20160106,303.30,304,303,303.30,50000,2,Eng. Council-a
20160127,320.65,321,321,320.65,600,3,Eng. Council-a
20160220,290.71,291,282,283.77,24202,4,Eng. Council-a
20160221,282.03,282,282,282.03,198,1,Eng. Council-a
20160228,290.71,291,291,290.71,10901,1,Eng. Council-a
20160306,324.99,325,325,325.42,107250,4,Eng. Council-a
20160307,433.03,433,265,283.77,22000,3,Eng. Council-a
20160410,282.03,282,282,282.03,12000,1,Eng. Council-a
20160417,282.03,282,265,266.85,22000,4,Eng. Council-a
20160427,264.68,270,217,246.02,118000,6,Eng. Council-a
20160502,225.63,226,226,225.63,5000,1,Eng. Council-a
20160504,226.06,226,226,226.06,2450,1,Eng. Council-a
20160515,228.67,229,229,228.67,10000,1,Eng. Council-a
20160517,229.97,230,230,229.97,10000,1,Eng. Council-a
20160518,229.97,230,230,229.53,20000,2,Eng. Council-a
20160524,236.04,236,230,230.40,41300,2,Eng. Council-a
20160620,236.04,236,230,233.00,20000,2,Eng. Council-a
