<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20180425,10000.00,10000,10000,10000.00,25711,106,OfoghMellat.ETF-a
20180428,10000.00,10000,10000,10000.00,3407,154,OfoghMellat.ETF-a
20180429,10000.00,10000,10000,10000.00,56701,7,OfoghMellat.ETF-a
20180430,10000.00,10000,10000,10000.00,10007650,388,OfoghMellat.ETF-a
20180501,10000.00,10000,10000,10000.00,89112,246,OfoghMellat.ETF-a
20180613,10200.00,10700,10200,10318.00,24475,10,OfoghMellat.ETF-a
20180617,10396.00,10900,10396,10857.00,28900,15,OfoghMellat.ETF-a
20180618,11100.00,11260,10905,11243.00,22374,22,OfoghMellat.ETF-a
20180619,10800.00,11500,10800,11325.00,40175,14,OfoghMellat.ETF-a
20180620,11500.00,12000,11500,11939.00,46280,19,OfoghMellat.ETF-a
20180623,11731.00,11751,11400,11672.00,41010,8,OfoghMellat.ETF-a
20180624,12000.00,12500,12000,12244.00,145259,20,OfoghMellat.ETF-a
20180625,12850.00,12850,12600,12797.00,51474,7,OfoghMellat.ETF-a
20180626,12700.00,12700,12050,12363.00,16830,9,OfoghMellat.ETF-a
20180627,12100.00,12100,11400,11720.00,46700,11,OfoghMellat.ETF-a
20180630,12070.00,12070,11730,11808.00,20697,10,OfoghMellat.ETF-a
20180701,11660.00,11660,11450,11508.00,90,2,OfoghMellat.ETF-a
20180702,11600.00,11799,11600,11795.00,6120,4,OfoghMellat.ETF-a
20180703,12071.00,12071,12000,12066.00,1080,2,OfoghMellat.ETF-a
20180704,12150.00,12203,11900,12007.00,25208,9,OfoghMellat.ETF-a
20180707,11700.00,11700,11700,11700.00,590,46,OfoghMellat.ETF-a
20180710,11700.00,11700,11700,11700.00,10,1,OfoghMellat.ETF-a
20180711,11700.00,11700,11450,11454.00,1955,3,OfoghMellat.ETF-a
20180714,11450.00,11450,11300,11402.00,1520,9,OfoghMellat.ETF-a
20180715,11200.00,11200,11200,11200.00,642,3,OfoghMellat.ETF-a
20180716,11180.00,11180,11100,11179.00,4055,7,OfoghMellat.ETF-a
20180717,11100.00,11100,11100,11100.00,635,3,OfoghMellat.ETF-a
20180718,11100.00,11100,11100,11100.00,3785,7,OfoghMellat.ETF-a
20180721,11100.00,11101,11100,11100.00,400,5,OfoghMellat.ETF-a
20180722,11200.00,11200,11200,11200.00,20,2,OfoghMellat.ETF-a
20180724,11200.00,11200,11200,11200.00,200,1,OfoghMellat.ETF-a
20180725,11200.00,11270,11200,11236.00,2486,11,OfoghMellat.ETF-a
20180728,11240.00,11840,11240,11797.00,32180,6,OfoghMellat.ETF-a
20180729,12200.00,12200,12000,12005.00,4100,8,OfoghMellat.ETF-a
20180730,12300.00,20000,12250,13680.00,124490,61,OfoghMellat.ETF-a
20180731,12950.00,13300,12950,13192.00,125989,46,OfoghMellat.ETF-a
20180801,13350.00,13550,13200,13335.00,123752,51,OfoghMellat.ETF-a
20180804,13210.00,13550,13210,13442.00,70671,24,OfoghMellat.ETF-a
20180805,13800.00,13940,13800,13905.00,40855,28,OfoghMellat.ETF-a
20180806,14700.00,14780,14405,14714.00,169602,49,OfoghMellat.ETF-a
20180807,14600.00,14600,14150,14463.00,17846,11,OfoghMellat.ETF-a
20180808,14300.00,14400,14050,14177.00,9437,9,OfoghMellat.ETF-a
20180811,14150.00,14150,13940,13962.00,200909,20,OfoghMellat.ETF-a
20180812,13951.00,14080,13950,14023.00,17835,3,OfoghMellat.ETF-a
20180813,13899.00,13899,13898,13899.00,24232,6,OfoghMellat.ETF-a
20180814,13900.00,14200,13830,14197.00,20750,8,OfoghMellat.ETF-a
20180815,14030.00,14050,13900,14009.00,50061,15,OfoghMellat.ETF-a
20180818,14130.00,14130,14050,14127.00,27784,6,OfoghMellat.ETF-a
20180819,14500.00,14510,14301,14507.00,5383,5,OfoghMellat.ETF-a
20180820,14450.00,14890,14450,14747.00,35839,17,OfoghMellat.ETF-a
20180821,14800.00,14890,14800,14812.00,20620,12,OfoghMellat.ETF-a
20180825,14750.00,14750,14520,14610.00,17308,3,OfoghMellat.ETF-a
20180826,14800.00,15050,14790,14946.00,12618,11,OfoghMellat.ETF-a
20180827,15150.00,15150,15049,15059.00,27600,8,OfoghMellat.ETF-a
20180828,14991.00,14991,14650,14678.00,45341,15,OfoghMellat.ETF-a
20180829,14600.00,14600,14600,14600.00,879,4,OfoghMellat.ETF-a
20180901,14450.00,14450,14200,14232.00,139017,26,OfoghMellat.ETF-a
20180902,14200.00,14200,13900,13921.00,9394,8,OfoghMellat.ETF-a
20180903,14000.00,14250,14000,14155.00,2654,4,OfoghMellat.ETF-a
20180904,14250.00,14540,14250,14468.00,10332,8,OfoghMellat.ETF-a
20180905,14569.00,14569,14420,14538.00,34747,22,OfoghMellat.ETF-a
20180908,14530.00,14701,14530,14699.00,8930,6,OfoghMellat.ETF-a
20180909,14600.00,15000,14600,14787.00,16421,14,OfoghMellat.ETF-a
20180910,15150.00,15570,15150,15441.00,22326,16,OfoghMellat.ETF-a
20180911,15570.00,15990,15570,15756.00,38136,17,OfoghMellat.ETF-a
20180912,16100.00,16750,16100,16598.00,83592,35,OfoghMellat.ETF-a
20180915,16800.00,16900,16610,16856.00,111623,32,OfoghMellat.ETF-a
20180916,16830.00,16830,16250,16608.00,12198,15,OfoghMellat.ETF-a
20180917,16600.00,16700,16551,16627.00,29251,21,OfoghMellat.ETF-a
20180918,16500.00,16500,16300,16397.00,17123,8,OfoghMellat.ETF-a
20180922,16700.00,16700,16630,16650.00,30074,5,OfoghMellat.ETF-a
20180923,16700.00,17000,16700,16895.00,4460,9,OfoghMellat.ETF-a
20180924,17360.00,17800,17300,17747.00,208779,12,OfoghMellat.ETF-a
20180925,18200.00,18500,18200,18386.00,54510,20,OfoghMellat.ETF-a
20180926,19000.00,19180,18949,19096.00,58766,25,OfoghMellat.ETF-a
20180929,19600.00,20100,19100,19514.00,347366,47,OfoghMellat.ETF-a
20180930,20800.00,20850,20401,20650.00,586328,84,OfoghMellat.ETF-a
20181001,21024.00,21300,20400,21005.00,176324,83,OfoghMellat.ETF-a
20181002,20779.00,20779,19900,20139.00,94781,37,OfoghMellat.ETF-a
20181003,19403.00,20250,19403,19908.00,17138,18,OfoghMellat.ETF-a
20181006,20250.00,20650,19000,19706.00,75761,50,OfoghMellat.ETF-a
20181007,19390.00,19550,18700,19016.00,82466,48,OfoghMellat.ETF-a
20181008,19020.00,19050,18370,18852.00,64666,29,OfoghMellat.ETF-a
20181009,19800.00,19850,19570,19778.00,56110,31,OfoghMellat.ETF-a
20181010,19570.00,19900,19550,19616.00,12098,8,OfoghMellat.ETF-a
20181013,19800.00,19800,18700,18767.00,46887,22,OfoghMellat.ETF-a
20181014,18700.00,18700,18700,18700.00,747,2,OfoghMellat.ETF-a
20181015,19500.00,19840,19500,19747.00,60775,31,OfoghMellat.ETF-a
20181016,20000.00,20170,19890,20007.00,60639,30,OfoghMellat.ETF-a
20181017,19750.00,19910,19400,19526.00,20511,14,OfoghMellat.ETF-a
20181020,20196.00,20500,20196,20445.00,16871,28,OfoghMellat.ETF-a
20181021,20730.00,20730,20241,20499.00,69435,42,OfoghMellat.ETF-a
20181022,20420.00,20420,20080,20327.00,45004,22,OfoghMellat.ETF-a
20181023,20081.00,20081,19612,19775.00,61934,33,OfoghMellat.ETF-a
20181024,19780.00,19890,19300,19567.00,31029,21,OfoghMellat.ETF-a
20181027,19380.00,19380,19050,19124.00,65155,30,OfoghMellat.ETF-a
20181028,19301.00,19420,19301,19381.00,2975,11,OfoghMellat.ETF-a
20181029,19870.00,19870,19400,19498.00,32501,15,OfoghMellat.ETF-a
20181031,19451.00,19600,19300,19404.00,19300,12,OfoghMellat.ETF-a
20181103,19300.00,19400,19200,19260.00,13081,11,OfoghMellat.ETF-a
20181104,19200.00,19465,19100,19211.00,44157,19,OfoghMellat.ETF-a
20181105,19417.00,19539,19403,19521.00,26910,6,OfoghMellat.ETF-a
20181106,19519.00,19550,19450,19476.00,9151,11,OfoghMellat.ETF-a
20181110,19410.00,19410,19050,19251.00,25693,14,OfoghMellat.ETF-a
