<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20150905,1000000.00,1000000,1000000,1000000.00,26340,5,Mashhad Arg Hooman-a
20150908,1000000.00,1000000,1000000,1000000.00,5200,2,Mashhad Arg Hooman-a
20150909,1000000.00,1000000,1000000,1000000.00,1100,1,Mashhad Arg Hooman-a
20150913,1000000.00,1000000,1000000,1000000.00,670,1,Mashhad Arg Hooman-a
20150914,1000000.00,1000000,1000000,1000000.00,620,1,Mashhad Arg Hooman-a
20150915,1000000.00,1000000,1000000,1000000.00,3600,1,Mashhad Arg Hooman-a
20150916,1000000.00,1000000,1000000,1000000.00,3000,2,Mashhad Arg Hooman-a
20150919,1000000.00,1000000,1000000,1000000.00,100,1,Mashhad Arg Hooman-a
20150921,1000000.00,1000000,1000000,1000000.00,80,1,Mashhad Arg Hooman-a
20150923,1000000.00,1000000,1000000,1000000.00,1600,1,Mashhad Arg Hooman-a
20150926,1000000.00,1000000,1000000,1000000.00,670,2,Mashhad Arg Hooman-a
20150927,1000000.00,1000000,1000000,1000000.00,670,1,Mashhad Arg Hooman-a
20150928,1000000.00,1000000,1000000,1000000.00,10000,2,Mashhad Arg Hooman-a
20151005,1000000.00,1000000,1000000,1000000.00,10000,1,Mashhad Arg Hooman-a
20151007,1000000.00,1000000,1000000,1000000.00,900,2,Mashhad Arg Hooman-a
20151031,1000000.00,1000000,1000000,1000000.00,3520,1,Mashhad Arg Hooman-a
20151101,1000000.00,1000000,1000000,1000000.00,3000,3,Mashhad Arg Hooman-a
20151107,1000000.00,1000000,1000000,1000000.00,80,1,Mashhad Arg Hooman-a
20151108,1000000.00,1000000,1000000,1000000.00,50,1,Mashhad Arg Hooman-a
20151109,1000000.00,1000000,1000000,1000000.00,2000,11,Mashhad Arg Hooman-a
20151116,1000000.00,1000000,1000000,1000000.00,6520,1,Mashhad Arg Hooman-a
20151117,1000000.00,1000000,1000000,1000000.00,6520,1,Mashhad Arg Hooman-a
20151118,1000000.00,1000000,1000000,1000000.00,310,5,Mashhad Arg Hooman-a
20151121,1000000.00,1000000,1000000,1000000.00,5000,1,Mashhad Arg Hooman-a
20151124,1000000.00,1000000,1000000,1000000.00,12,1,Mashhad Arg Hooman-a
20151125,1000000.00,1000000,1000000,1000000.00,425,2,Mashhad Arg Hooman-a
20151129,1000000.00,1000000,1000000,1000000.00,5,1,Mashhad Arg Hooman-a
20151130,1000000.00,1000000,1000000,1000000.00,701,3,Mashhad Arg Hooman-a
20151201,1000000.00,1000000,1000000,1000000.00,5056,5,Mashhad Arg Hooman-a
20151208,1000000.00,1000000,1000000,1000000.00,5631,2,Mashhad Arg Hooman-a
20151209,1000000.00,1000000,1000000,1000000.00,721,7,Mashhad Arg Hooman-a
20151213,1000000.00,1000000,1000000,1000000.00,340,3,Mashhad Arg Hooman-a
20151214,1000000.00,1000000,1000000,1000000.00,10000,2,Mashhad Arg Hooman-a
20151215,1000000.00,1000000,1000000,1000000.00,186,3,Mashhad Arg Hooman-a
20151216,1000000.00,1000000,1000000,1000000.00,5214,7,Mashhad Arg Hooman-a
20151219,1000000.00,1000000,1000000,1000000.00,220,1,Mashhad Arg Hooman-a
20151220,1000000.00,1000000,1000000,1000000.00,7500,1,Mashhad Arg Hooman-a
20151221,1000000.00,1000000,1000000,1000000.00,12995,4,Mashhad Arg Hooman-a
20151222,1000000.00,1000000,1000000,1000000.00,20965,8,Mashhad Arg Hooman-a
20151226,1000000.00,1000000,1000000,1000000.00,17,1,Mashhad Arg Hooman-a
