<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20101026,1335.90,1336,1336,1335.90,59375000
20101027,1289.84,1358,1269,1339.59,10523710
20101030,1355.71,1377,1336,1361.70,1503668
20101031,1356.17,1356,1300,1334.06,2187716
20101101,1338.21,1350,1336,1337.29,1559268
20101102,1337.29,1342,1336,1337.29,2791916
20101103,1338.21,1341,1338,1337.75,1053748
20101106,1340.05,1345,1338,1337.75,1952620
20101107,1335.90,1336,1290,1296.75,168628
20101108,1296.75,1331,1290,1296.75,220040
20101109,1312.41,1312,1290,1297.21,32501
20101110,1274.64,1294,1273,1285.23,318378
20101113,1273.25,1290,1222,1271.41,285358
20101114,1220.74,1283,1208,1237.32,305000
20101115,1266.81,1281,1207,1266.81,254525
20101116,1271.41,1280,1219,1268.19,447645
20101120,1273.72,1290,1235,1279.24,358000
20101121,1289.84,1290,1244,1281.55,128700
20101122,1288.46,1288,1267,1274.18,50100
20101123,1285.23,1285,1223,1267.27,221370
20101124,1266.81,1281,1267,1267.73,46411
20101127,1232.72,1290,1233,1269.11,140184
20101128,1284.31,1285,1249,1276.48,14330
20101129,1248.84,1283,1248,1271.87,76309
20101130,1272.79,1285,1238,1273.72,521601
20101201,1262.20,1280,1244,1274.64,86029
20101204,1266.81,1280,1239,1277.40,703741
20101205,1274.18,1275,1240,1270.03,386505
20101206,1236.40,1268,1236,1256.21,192691
20101207,1266.34,1267,1241,1253.91,21000
20101208,1261.74,1262,1237,1244.69,158158
20101211,1255.29,1255,1231,1243.77,260831
20101212,1243.31,1266,1221,1246.54,250453
20101213,1229.49,1258,1229,1250.22,77890
20101214,1243.77,1253,1239,1243.77,91715
20101218,1247.46,1253,1210,1245.15,195750
20101219,1243.31,1244,1183,1219.82,164500
20101220,1159.01,1243,1159,1191.72,510874
20101221,1211.53,1243,1163,1205.54,126500
20101222,1229.95,1239,1188,1219.36,128637
20101225,1238.71,1239,1237,1238.24,101450
20101226,1225.35,1243,1198,1237.32,51026
20101227,1227.65,1229,1186,1225.81,108146
20101228,1197.25,1228,1197,1217.05,250000
20101229,1197.25,1225,1197,1214.75,265300
20110101,1211.53,1220,1183,1213.37,110000
20110102,1211.07,1212,1167,1208.76,273884
20110103,1197.71,1207,1193,1198.17,557182
20110104,1196.32,1198,1188,1194.48,760000
20110105,1220.28,1243,1220,1235.02,53700
20110108,1237.32,1239,1180,1237.78,100500
20110109,1235.94,1300,1232,1258.05,397355
20110110,1319.78,1321,1267,1295.83,158613
20110111,1325.77,1350,1294,1347.42,2544664
20110112,1338.21,1349,1313,1334.52,94214
20110115,1349.72,1355,1336,1349.26,207000
20110116,1335.90,1356,1336,1339.59,150000
20110118,1335.90,1342,1292,1338.21,71680
20110119,1290.76,1340,1290,1331.76,151680
20110122,1335.44,1350,1313,1337.29,154000
20110123,1355.71,1358,1356,1357.09,20000
20110124,1345.12,1349,1305,1335.44,29000
20110126,1335.90,1336,1316,1334.98,72400
20110129,1335.90,1348,1313,1338.21,47850
20110130,1344.66,1345,1317,1334.98,82000
20110131,1348.80,1349,1320,1334.52,112000
20110201,1335.90,1358,1321,1338.67,53600
20110205,1349.72,1353,1316,1328.53,128000
20110206,1289.84,1350,1290,1327.15,62060
20110207,1335.90,1336,1329,1333.14,65000
20110208,1340.51,1345,1339,1341.89,29000
20110212,1289.84,1333,1290,1308.73,35000
20110213,1312.87,1331,1313,1313.33,77000
20110214,1317.48,1331,1317,1318.86,111111
20110215,1330.84,1334,1290,1321.62,83760
20110216,1325.77,1326,1326,1325.77,20000
20110219,1330.38,1331,1260,1323.93,144445
20110220,1289.84,1331,1290,1322.54,300000
20110222,1266.81,1330,1267,1320.70,11800
20110223,1320.70,1321,1321,1320.70,10600
20110226,1317.48,1321,1255,1276.48,225026
20110227,1320.70,1331,1278,1320.24,132013
20110228,1328.99,1329,1254,1317.02,40000
20110301,1326.23,1327,1326,1326.23,25000
20110302,1325.77,1327,1261,1304.12,15166
20110305,1325.77,1326,1306,1311.95,36500
20110306,1325.77,1326,1304,1318.40,9519
20110307,1326.23,1326,1290,1318.40,217900
20110309,1289.84,1331,1290,1320.70,50000
20110314,1330.84,1331,1329,1329.92,2000
20110315,1263.58,1264,1264,1263.58,1000
20110316,1324.39,1327,1317,1324.85,16200
20110319,1325.77,1331,1326,1330.84,65560
20110327,1330.84,1331,1265,1289.38,80000
20110328,1330.84,1331,1254,1290.76,48170
20110329,1324.85,1325,1304,1323.47,19000
20110330,1280.63,1324,1271,1301.35,27499
20110403,1323.01,1324,1267,1311.95,6500
20110621,1276.02,1289,986,1261.28,67304
20110622,1198.63,1207,1199,1200.47,32497
20110625,1151.64,1152,1152,1151.64,10000
20110626,1152.10,1175,1152,1155.33,17751
20110627,1160.85,1161,1124,1159.93,72000
20110628,1217.52,1218,1218,1217.52,10000
20110629,1217.52,1218,1218,1217.52,3796
20110702,1264.50,1265,1175,1204.16,3000
20110703,1163.62,1244,1163,1197.71,21109
20110711,1128.61,1129,1129,1128.61,5000
20110713,1128.61,1129,1129,1128.61,7606
20110716,1128.61,1184,1090,1142.89,25000
20110718,1128.61,1188,1129,1135.52,17000
20110719,1135.52,1136,1128,1135.52,10100
20110720,1135.52,1136,1136,1135.52,5000
20110724,1124.00,1124,1124,1124.00,3557377
20110801,1067.80,1124,1068,1079.32,19000
20110803,1123.54,1124,1079,1090.83,47000
20110806,1059.51,1136,1060,1094.98,35149
20110807,1094.98,1133,1095,1100.51,35000
20110809,1045.69,1101,1046,1075.17,6500
20110810,1100.97,1101,1075,1091.76,24647
20110813,1095.90,1146,1092,1102.35,76693
20110814,1157.17,1157,1157,1157.17,12960
20110815,1157.17,1215,1157,1162.70,5000
20110816,1220.74,1221,1163,1182.04,3000
20110817,1240.09,1241,1240,1241.01,31312
20110820,1241.01,1241,1241,1241.01,1000
20110821,1241.01,1303,1179,1261.74,30777
20110823,1285.23,1290,1285,1286.15,13000
20110824,1286.15,1286,1285,1285.23,25000
20110827,1285.23,1336,1285,1289.38,66509
20110828,1353.41,1353,1336,1353.41,10100
20110829,1340.51,1421,1286,1324.39,171619
20110830,1335.90,1336,1336,1335.90,9000
20110903,1349.26,1349,1270,1341.89,23000
20110904,1335.44,1335,1275,1309.65,50027
20110905,1267.27,1331,1244,1263.58,50700
20110906,1322.08,1327,1202,1255.29,259650
20110907,1213.37,1213,1193,1196.79,49558
20110910,1139.20,1220,1139,1163.62,8280
