<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20030510,2002.00,2002,2002,2002.00,1387,6,Paxan-R-a
20030511,2007.00,3100,2007,3100.00,6800,4,Paxan-R-a
20030614,2270.00,2270,2270,2270.00,473,1,Paxan-R-a
20140326,4539.00,4750,4325,4514.00,568231,261,Paxan-R-a
20140329,4450.00,4500,4220,4340.00,410537,138,Paxan-R-a
20140330,4495.00,4687,4400,4623.00,885762,263,Paxan-R-a
20140331,4900.00,4992,4762,4975.00,789837,300,Paxan-R-a
20140405,5000.00,5100,4611,4873.00,475015,201,Paxan-R-a
20140406,4775.00,4775,4484,4514.00,447380,168,Paxan-R-a
20140407,4392.00,4684,4351,4520.00,227024,129,Paxan-R-a
20140408,4690.00,4690,4357,4537.00,250541,126,Paxan-R-a
20140409,4590.00,4590,4300,4347.00,220058,139,Paxan-R-a
20140412,4498.00,4498,4051,4140.00,294471,139,Paxan-R-a
20140413,4240.00,4240,3809,3826.00,474714,173,Paxan-R-a
20140414,3820.00,3820,3533,3570.00,472948,123,Paxan-R-a
20140415,3730.00,3855,3650,3813.00,597826,219,Paxan-R-a
20140416,3900.00,4118,3900,4062.00,600095,205,Paxan-R-a
20140419,4002.00,4002,3738,3798.00,495726,153,Paxan-R-a
20140420,4000.00,4101,4000,4094.00,1373594,327,Paxan-R-a
20140421,4260.00,4360,4166,4263.00,686175,250,Paxan-R-a
20140422,4333.00,4333,4000,4144.00,681799,255,Paxan-R-a
20140423,3930.00,4260,3930,4152.00,358374,163,Paxan-R-a
20140426,4232.00,4450,4232,4411.00,756115,275,Paxan-R-a
20140427,4475.00,4511,4165,4292.00,849425,284,Paxan-R-a
20140428,4165.00,4165,4001,4075.00,289330,109,Paxan-R-a
20140429,4108.00,4108,3910,4018.00,218108,95,Paxan-R-a
20140430,4088.00,4090,3801,3947.00,256356,130,Paxan-R-a
20140503,3908.00,3999,3740,3786.00,281694,140,Paxan-R-a
20140504,3700.00,3700,3640,3663.00,375480,124,Paxan-R-a
20140505,3890.00,3890,3700,3738.00,500584,160,Paxan-R-a
20140506,3739.00,3750,3604,3650.00,520619,190,Paxan-R-a
20140507,3661.00,3661,3550,3597.00,712922,290,Paxan-R-a
20140510,3504.00,3884,3474,3725.00,2089109,422,Paxan-R-a
20141020,3650.00,3650,3612,3614.00,983167,72,Paxan-R-a
