<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120205,1323.92,1324,1250,1315.09,2435992
20120206,1249.38,1249,1249,1249.38,200
20120207,1187.60,1188,1188,1187.60,100
20120208,1128.76,1129,1129,1128.76,100
20120212,1072.86,1167,1073,1079.73,293200
20120229,1025.79,1134,1026,1025.79,50002
20120303,980.68,1020,975,975.77,546545
20120304,927.72,1009,928,963.03,46744
20120305,914.97,915,915,914.97,1000
20120306,869.86,870,870,869.86,25000
20120307,826.71,912,827,826.71,24100
20120310,786.50,868,787,866.92,19022153
20120311,865.94,866,866,865.94,3457970
20120312,822.79,823,823,822.79,2255
20120314,782.58,783,783,782.58,25000
20120318,744.33,744,744,744.33,30000
20120324,780.62,781,781,780.62,97300
20120325,784.54,819,785,800.23,150000
20120326,833.58,839,834,836.52,190000
20120327,877.71,878,878,877.71,90000
20120328,918.90,919,919,918.90,10
20120402,961.06,961,961,961.06,10
20120403,1008.14,1008,1008,1008.14,1
20120404,1058.15,1058,1058,1058.15,1
20120502,1006.18,1006,1006,1006.18,100
20120505,980.68,981,981,980.68,800000
20120506,980.68,981,981,980.68,347834
20120507,980.68,981,981,980.68,50
20120508,980.68,981,981,980.68,20950
20120512,980.68,981,981,980.68,27800
20120514,980.68,981,981,980.68,35000
20120516,980.68,981,981,980.68,7200
20120612,980.68,981,981,980.68,23000
20120619,980.68,981,981,980.68,88700
20120701,980.68,981,981,980.68,150000
20120709,931.64,932,932,931.64,44999
20120710,977.74,978,978,977.74,50000
20120714,980.68,981,981,980.68,4999
20120730,988.52,989,989,988.52,2457
20120924,980.68,981,981,983.62,100000
20120925,980.68,981,981,983.62,10000
20120929,980.68,981,981,983.62,30000
20121006,980.68,981,981,983.62,300
20121015,982.64,983,983,983.62,6000
20121016,980.68,981,981,983.62,10000
20121022,980.68,981,981,983.62,7300
20121024,980.68,981,981,983.62,15000
20121029,980.68,981,981,983.62,15000
20121030,983.62,984,984,983.62,3000
20121104,983.62,984,981,983.62,15000
20121106,980.68,981,981,983.62,15000
20121127,980.68,981,981,983.62,10910
20130212,980.68,981,981,983.62,50000
20130225,991.47,991,990,983.62,3000
20130311,983.62,984,984,983.62,1000
20130313,983.62,984,984,983.62,30000
20130317,983.62,984,984,983.62,11000
20130428,1042.46,1042,1041,984.60,5000
20130429,1176.81,1177,983,984.60,5000
20130501,981.66,982,982,984.60,12
20130526,981.66,982,981,984.60,12000
20130527,984.60,985,985,984.60,3000
20130602,980.68,981,981,983.62,52000
20130616,983.62,984,984,983.62,4988
20130625,1049.33,1049,1030,985.58,8000
20130724,1464.15,1464,1464,985.58,50
20130812,981.66,982,982,985.58,2000
20130916,995.39,995,995,995.39,322000
20130917,1044.42,1044,1044,1044.42,1000
20130921,1000.29,1000,992,998.33,29000
20130923,980.68,981,981,980.68,5000
20130929,982.64,983,983,982.64,500
20131007,982.64,983,983,982.64,7300
20131019,1031.67,1032,1032,1031.67,5000
20131027,1082.67,1083,1083,1082.67,232065
20131028,1136.61,1137,1064,1133.66,217500
20131029,1079.73,1080,1080,1079.73,40000
20131030,1133.66,1134,1026,1073.84,229032
20131104,1020.89,1021,1021,1020.89,16000
20131105,981.66,982,971,980.68,320000
20131106,980.68,981,981,980.68,87000
20131109,980.68,981,981,980.68,6575
20131110,979.70,980,980,979.70,13000
20131111,931.64,932,932,931.64,106200
20131123,980.68,1079,980,969.89,185800
20131124,992.45,1177,992,1043.44,130601
20131125,1095.42,1095,1095,1095.42,800000
20131126,1149.35,1149,1149,1149.35,20000
20131127,1206.23,1206,1206,1206.23,80000
20131130,1266.06,1266,1266,1266.06,5000
20131201,1328.82,1329,1329,1328.82,50000
20131204,1394.52,1395,1395,1394.52,1954530
20131207,1464.15,1464,1464,1464.15,80000
20131209,1536.72,1537,1537,1536.72,20800
20131210,1613.22,1613,1613,1613.22,14001
20131211,1693.63,1694,1694,1693.63,190000
20131214,1777.97,1778,1778,1777.97,255000
20131225,1836.81,1866,1785,1839.75,814800
20131228,1930.96,1931,1863,1927.03,6555939
20131229,1993.72,1994,1831,1894.67,1010377
20131230,1911.34,1911,1801,1836.81,1708682
20140101,1926.05,1928,1921,1927.03,1637373
20140104,2023.14,2023,2022,2023.14,613989
20140105,2124.15,2124,2124,2124.15,148000
20140106,2230.06,2230,2224,2230.06,3929810
20140107,2147.69,2341,2128,2301.65,2948196
20140108,2416.39,2416,2403,2416.39,1920995
20140111,2295.77,2296,2296,2295.77,758941
20140112,2181.03,2181,2181,2181.03,16764
20140113,2072.17,2072,2072,2072.17,2505161
20140114,1971.16,2001,1969,1969.20,2360756
20140115,1961.36,1961,1871,1873.10,1057088
20140120,1779.93,1780,1780,1779.93,15895
20140121,1691.67,1868,1692,1718.15,20000
20140122,1632.83,1633,1633,1632.83,8963
20140125,1551.43,1551,1551,1551.43,151500
20140126,1473.96,1474,1474,1473.96,57980
20140128,1400.41,1520,1400,1406.29,523920
20140129,1475.92,1476,1470,1475.92,291000
20140201,1549.47,1549,1549,1549.47,982200
20140202,1626.95,1627,1549,1603.41,369495
20140203,1524.95,1664,1525,1583.80,53185
20140204,1594.58,1662,1595,1649.50,494024
20140205,1567.12,1567,1567,1567.12,112373
20140209,1489.65,1490,1490,1489.65,93079
20140210,1416.10,1416,1416,1416.10,72500
20140215,1345.49,1347,1345,1345.49,128332
20140216,1278.80,1412,1279,1314.11,279264
20140217,1274.88,1380,1275,1344.51,170655
20140218,1343.53,1344,1281,1303.32,61788
20140219,1353.34,1353,1239,1242.52,63800
20140224,1225.85,1226,1226,1225.85,10000
20140226,1176.81,1177,1177,1176.81,17960
20140302,990.48,990,981,985.58,215000
20140303,882.61,1177,883,1055.21,175091
20140304,1176.81,1177,1030,1078.75,44000
20140305,1156.22,1156,1002,1114.05,14715
20140308,1011.08,1157,1000,1065.02,87985
20140309,1157.20,1176,1069,1103.26,76900
20140310,1100.32,1100,1100,1100.32,50000
20140311,1100.32,1100,1040,1044.42,30281
20140312,1039.52,1040,1040,1039.52,15000
20140315,1088.55,1324,1089,1177.79,252800
20140317,1176.81,1188,1177,1181.72,40000
20140318,1308.22,1308,1308,1308.22,2991
20140319,1215.06,1309,1215,1254.29,30009
20140326,1117.97,1118,1118,1117.97,10000
20140330,1117.97,1147,1118,1120.92,51990
20140405,1524.95,1525,1224,1382.76,95000
20140406,1235.65,1236,1236,1235.65,131598
20140408,1196.43,1196,1196,1196.43,51500
20140409,1157.20,1157,1157,1157.20,2000
20140412,1196.43,1196,1157,1184.66,44771
20140413,1157.20,1157,1128,1132.68,36719
20140414,1113.07,1113,1113,1113.07,5000
20140416,1049.33,1064,1049,1058.15,70108
20140419,1142.49,1142,1142,1142.49,2562
20140421,1078.75,1079,1079,1078.75,47000
20140423,1057.17,1057,1049,1054.23,189000
20140426,1176.81,1255,1080,1158.18,270864
20140427,1117.97,1118,1118,1117.97,5000
20140428,1127.78,1128,1128,1127.78,5000
20140429,1186.62,1187,1118,1124.84,17830
20140430,1127.78,1128,1065,1079.73,4200
20140503,1127.78,1128,1066,1098.36,42000
20140504,1098.36,1128,1098,1125.82,106205
20140505,1078.75,1098,1079,1086.59,5061
20140506,1117.97,1118,1118,1117.97,33632
20140507,1117.97,1118,1118,1117.97,32002
20140510,1137.59,1138,1098,1116.01,38966
20140514,1098.36,1118,1071,1077.77,37500
20140517,1062.07,1118,1062,1063.06,41590
20140518,1066.98,1067,1058,1058.15,23410
20140519,1066.98,1067,1059,1063.06,4900
20140520,1066.98,1067,1067,1066.98,5000
20140524,1077.77,1078,1049,1071.88,18267
