<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150408,10.00,10,10,10.00,159880557
20180103,224.00,599,224,398.00,76840
20180106,227.00,227,227,227.00,3710
20180107,227.00,227,227,227.00,3816
20180108,227.00,227,227,227.00,16763
20180109,300.00,300,300,300.00,25095
20180117,250.00,250,250,250.00,24982
20180122,250.00,250,250,250.00,24982
20180131,225.00,225,225,225.00,4500
20180205,203.00,203,203,203.00,159500
20180206,220.00,220,200,213.00,16480
20180207,215.00,215,210,215.00,176514
20180213,194.00,194,194,194.00,21293
20180217,175.00,175,175,175.00,103041
20180226,158.00,158,158,158.00,75900
20180227,143.00,143,143,143.00,39000
20180228,129.00,129,129,129.00,32329
20180303,117.00,117,117,117.00,60000
20180304,106.00,106,106,106.00,1081518
20180310,96.00,96,96,96.00,11400
