<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180115,1025.55,1026,1026,1025.55,75000000
20180317,965.81,966,966,965.81,493000
20180319,925.98,926,847,892.13,930000
20180326,856.29,895,856,888.15,742000
20180328,924.99,925,857,864.25,110696
20180404,872.22,872,872,872.22,604997
20180407,866.24,866,792,822.43,423655
20180409,746.76,747,747,746.76,920000
20180411,746.76,747,699,717.89,521000
20180416,696.98,705,697,697.97,1437400
20180418,697.97,727,698,721.87,3253000
20180421,706.93,718,707,706.93,3059148
20180423,706.93,707,707,706.93,5700000
20180908,1045.46,1045,1045,1045.46,2981345
20180910,1184.86,1334,1185,1221.70,5419048
20180912,1554.26,1693,1554,1565.21,9629394
20180915,1991.36,1991,1742,1988.37,5616073
20180917,1762.35,1772,1762,1769.32,1048205
20180922,1769.32,1769,1662,1715.56,1028726
20180924,1543.30,1548,1543,1548.28,14787483
20180926,1890.80,2016,1891,1965.47,1349516
20180929,2090.93,2260,2091,2127.77,1357353
20181001,2483.23,2483,2041,2323.92,1542416
20181003,1743.44,1892,1743,1785.25,1490493
20181006,1891.79,1892,1693,1843.00,848430
20181008,1594.08,1594,1594,1594.08,726498
20181010,1393.95,1444,1394,1419.84,1101973
20181013,1419.84,1420,1294,1365.08,229233
20181015,1365.08,1494,1365,1368.06,27611002
20181017,1572.18,1642,1572,1579.15,5319919
20181020,1792.22,1792,1595,1769.32,3512203
20181022,1692.66,1693,1582,1675.73,36088
20181024,1639.89,1640,1494,1550.27,326164
20181027,1443.74,1444,1344,1432.78,923659
20181029,1456.68,1484,1457,1459.67,515100
20181031,1541.31,1541,1444,1513.43,561998
20181103,1513.43,1513,1404,1499.49,178618
20181105,1393.95,1414,1394,1397.94,613142
20181110,1344.17,1344,1344,1344.17,201090
20181112,1297.37,1297,1297,1297.37,404420
20181114,1294.38,1296,1294,1294.38,396316
20181117,1294.38,1294,1293,1294.38,465465
20181119,1334.21,1334,1190,1204.77,137896
20181121,1264.51,1265,1175,1238.63,114678
20181124,1131.09,1131,1131,1131.09,1139839
20181126,1131.09,1131,1105,1126.11,61811
20181128,1020.57,1094,1021,1029.53,47983
20181201,1105.21,1105,1095,1102.22,356823
20181203,1139.06,1145,1139,1144.04,847442
20181205,1224.69,1225,1182,1213.73,72847
20181208,1244.60,1327,1245,1308.32,428133
20181210,1339.19,1339,1268,1328.24,789481
20181212,1390.97,1391,1334,1368.06,171401
20181215,1196.81,1255,1197,1199.79,193822
20181217,1214.73,1228,1215,1214.73,727672
20181219,1214.73,1215,1215,1214.73,217491
20181224,1269.49,1269,1269,1269.49,34623
20181226,1269.49,1269,1253,1253.56,21980
20181231,1224.69,1225,1211,1219.71,186042
20190102,1244.60,1245,1245,1244.60,41416
20190105,1200.79,1201,1201,1200.79,26560
20190107,1194.82,1195,1195,1194.82,1234306
20190109,1293.39,1395,1293,1319.28,2667197
20190112,1492.52,1543,1493,1510.45,475437
20190114,1642.87,1643,1483,1550.27,726210
20190116,1493.52,1523,1494,1495.51,2484400
20190119,1682.70,1742,1683,1690.67,3025714
20190121,1841.01,1841,1693,1815.13,2356840
20190123,1792.22,1792,1782,1789.24,776167
20190126,1762.35,1791,1762,1766.34,2441394
20190129,1941.58,1942,1724,1757.38,329411
20190130,1695.64,1732,1582,1589.11,1884740
20190202,1592.09,1592,1456,1494.52,765698
20190203,1403.91,1449,1345,1371.05,2224330
20190204,1429.80,1478,1397,1428.80,923283
20190205,1485.56,1486,1349,1390.97,1029726
20190206,1401.92,1402,1299,1357.11,1411069
20190210,1413.87,1414,1265,1312.31,915717
20190212,1260.53,1344,1244,1309.32,341721
20190213,1362.09,1362,1245,1252.57,1308990
20190216,1244.60,1359,1220,1242.61,1384205
20190217,1155.98,1204,1156,1166.94,1444649
20190218,1232.65,1233,1151,1178.89,209699
20190219,1213.73,1214,1151,1164.95,433325
20190220,1231.66,1232,1145,1155.98,576276
20190223,1214.73,1215,1093,1133.08,1036156
20190224,1185.86,1186,1120,1135.08,464651
20190225,1161.96,1225,1114,1173.91,3097892
20190226,1174.90,1270,1116,1212.74,3238467
20190227,1194.82,1268,1180,1223.69,2125744
20190302,1244.60,1345,1245,1308.32,2591966
20190303,1423.82,1439,1350,1431.79,2467790
20190304,1472.61,1503,1295,1362.09,2623601
20190305,1334.21,1334,1255,1276.46,919696
20190306,1245.60,1393,1246,1352.13,1956010
20190309,1364.08,1364,1297,1310.32,1222196
20190310,1309.32,1377,1274,1347.16,1268121
20190311,1383.00,1383,1297,1328.24,1475420
20190312,1362.09,1362,1276,1296.38,964627
20190313,1314.30,1314,1259,1272.48,652152
20190316,1293.39,1306,1253,1259.54,572670
20190317,1252.57,1326,1251,1279.45,707690
20190318,1276.46,1353,1276,1329.23,1464459
20190319,1338.19,1394,1319,1349.15,692705
20190325,1327.24,1358,1314,1321.27,226583
20190326,1311.31,1389,1309,1362.09,1667162
20190327,1402.91,1483,1362,1429.80,1945742
20190330,1483.56,1570,1439,1524.39,3358821
20190331,1592.09,1633,1449,1529.37,2572034
20190406,1522.40,1592,1484,1527.37,727017
20190407,1513.43,1540,1464,1499.49,1819061
20190408,1525.38,1525,1444,1474.60,400132
20190409,1472.61,1518,1436,1470.62,326416
20190410,1509.45,1578,1427,1536.33,2374760
20190413,1580.14,1676,1547,1609.02,3233644
20190414,1627.94,1681,1586,1616.98,1399939
20190415,1597.07,1759,1596,1698.63,3091474
20190416,1717.55,1777,1692,1744.43,1557936
20190417,1742.44,1765,1581,1698.63,1233651
20190420,1742.44,1772,1693,1729.50,1307053
20190422,1752.40,1752,1581,1618.98,2819871
20190423,1613.00,1762,1510,1677.72,3625538
20190424,1731.49,1812,1673,1762.35,3196844
20190427,1841.01,1841,1683,1781.27,4439700
20190428,1810.15,1810,1688,1716.55,1314993
20190429,1693.65,1694,1614,1652.83,1049745
20190430,1671.75,1688,1594,1641.88,979734
20190501,1651.83,1669,1604,1655.82,1264908
20190504,1655.82,1746,1656,1720.54,1712457
20190505,1752.40,1773,1615,1719.54,1770715
20190506,1708.59,1710,1556,1645.86,1455071
20190507,1593.09,1593,1482,1495.51,2025835
20190508,1495.51,1623,1455,1541.31,1344301
20190511,1552.27,1642,1477,1539.32,1688383
20190512,1463.65,1482,1436,1454.69,428700
20190513,1443.74,1538,1438,1485.56,738935
20190514,1543.30,1589,1495,1555.25,1153558
20190515,1494.52,1579,1495,1515.43,676441
20190518,1538.33,1538,1456,1489.54,1278049
20190519,1453.69,1638,1454,1576.16,4223034
20190520,1722.53,1733,1667,1727.51,2370630
20190521,1832.05,1900,1796,1879.84,5146330
20190522,1991.36,2067,1947,2031.19,10111965
20190525,2060.06,2190,1895,2057.08,6683692
20190526,2180.54,2234,2073,2141.71,2919457
20190528,2010.28,2161,1971,2043.14,3419401
20190529,1991.36,2043,1932,1970.45,2380486
20190601,1991.36,1991,1875,1926.64,845231
20190602,2040.15,2040,1822,1866.90,2828633
20190603,1842.01,1842,1681,1729.50,4741666
20190608,1710.58,1711,1557,1593.09,3028372
20190609,1691.66,1752,1681,1748.41,1769366
20190610,1916.68,1923,1873,1917.68,2861086
20190611,2061.06,2061,1857,1977.42,4514690
20190612,1991.36,2012,1877,1896.77,3116223
20190615,1879.84,1880,1763,1824.09,896302
20190616,1842.01,1924,1792,1849.97,1298083
20190617,1847.98,1891,1754,1796.21,938200
20190618,1849.97,1851,1745,1815.13,1444137
20190619,1773.31,1996,1764,1929.63,4151709
20190622,2121.79,2122,2011,2110.84,6229484
20190623,2170.58,2240,2002,2139.72,4666429
20190624,1998.33,2353,1998,2281.10,7243869
20190625,2389.63,2509,2240,2432.45,7521196
20190626,2588.77,2675,2559,2650.50,5148035
20190703,2915.35,2937,2625,2706.26,3093119
20190706,2470.28,2937,2469,2718.21,4184279
20190707,2738.12,2887,2591,2777.95,2461730
20190708,2648.51,2833,2510,2722.19,3963457
20190709,2847.65,2848,2471,2551.93,4021925
20190710,2454.35,2509,2342,2411.54,2761615
20190713,2404.57,2462,2265,2322.92,3615972
20190714,2388.64,2429,2290,2365.74,1613121
20190715,2409.55,2410,2290,2305.00,3412882
20190805,2600.00,2857,2500,2624.00,5525045
20190806,2700.00,2700,2502,2572.00,2674119
20190807,2600.00,2810,2467,2702.00,4757198
20190810,2820.00,2972,2811,2950.00,1311709
20190811,3245.00,3245,3245,3245.00,498233
20190813,3569.00,3569.00,3220.00,3385.00,7274496
