<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160928,3845.22,3845,3845,3845.22,14609107
20161001,4037.48,4037,4037,4037.48,15771
20161002,4238.63,4239,4239,4238.63,16702
20161003,4450.28,4450,4450,4450.28,53047
20161004,4672.43,4672,4672,4672.43,264258
20161005,4905.89,4906,4831,4900.23,11187385
20161008,4942.24,5072,4904,4972.94,4148574
20161009,5031.91,5221,4996,5202.36,5195417
20161010,5252.44,5380,5122,5244.37,1811031
20161015,5170.05,5219,4995,5067.45,1657518
20161016,5073.92,5320,5028,5282.33,2314891
20161017,5330.80,5462,5252,5338.88,1004364
20161018,5251.64,5332,5122,5208.82,735178
20161019,5113.50,5469,5008,5420.47,4369306
20161022,5691.09,5691,5691,5691.09,761942
20161023,5969.79,5975,5752,5944.75,5901836
20161024,6058.65,6241,6059,6229.10,2920385
20161025,6414.09,6540,6301,6520.72,5981345
20161026,6463.37,6846,6463,6722.68,2566878
20161029,7019.95,7059,6773,7015.91,1934630
20161030,6866.47,7109,6745,6951.29,1192316
20161031,7103.97,7181,6951,7076.50,1324315
20161101,7092.66,7106,6723,6931.09,1235365
20161102,6866.47,7028,6585,6859.20,2175066
20161105,6745.29,7028,6584,6825.27,738263
20161106,6624.12,6732,6576,6640.28,326662
20161107,6687.13,6786,6544,6697.63,366593
20161108,6546.57,6704,6433,6502.14,780236
20161109,6177.40,6420,6177,6264.64,1397711
20161112,6265.45,6358,5961,6042.49,642658
20161113,5955.25,6345,5955,6308.26,1248542
20161114,6462.56,6623,6438,6594.23,1907989
20161115,6805.88,6824,6608,6712.17,1725184
20161116,6914.13,6914,6733,6829.31,759557
20161119,6906.05,6906,6527,6643.51,493981
20161121,6677.44,6677,6383,6586.15,240856
20161122,6664.51,6665,6301,6490.02,375408
20161123,6343.00,6383,6174,6242.02,329884
20161126,6292.92,6554,6139,6540.11,526089
20161127,6583.73,6584,6301,6387.43,123149
20161129,6461.75,6479,6317,6393.89,30403
20161203,6264.64,6265,6075,6077.23,452361
20161204,6252.52,6253,6075,6105.50,115376
20161205,6215.37,6219,5958,6021.49,197139
20161206,5977.87,6180,5828,5954.44,270057
20161207,5961.71,6059,5816,5938.28,142784
20161210,5779.95,5815,5664,5738.75,306123
20161211,5736.33,5869,5618,5672.51,283447
20161212,5678.97,5955,5679,5864.77,326257
20161213,5808.22,6098,5808,6073.19,455982
20161214,6050.57,6091,5770,5873.66,182005
20161218,5872.04,5970,5719,5825.19,29518
20161219,5936.67,6018,5736,5882.54,166461
20161220,5590.92,5978,5591,5816.30,160522
20161221,5776.72,5881,5737,5791.26,14923
20161224,5872.04,5944,5737,5876.08,77729
20161225,5897.08,6059,5816,6000.49,113733
20161226,6056.22,6300,5978,6180.63,331317
20161227,6379.35,6453,6140,6355.93,194299
20161228,6141.05,6341,6084,6215.37,99815
20161231,6090.15,6284,6062,6173.36,62988
20170101,6017.45,6139,5937,6016.64,65478
20170102,5862.35,6300,5828,6124.08,118053
20170103,6300.19,6380,6140,6312.30,86024
20170104,6365.62,6391,6226,6364.81,74836
20170107,6381.78,6443,6047,6091.77,194096
20170108,5814.69,5977,5787,5815.49,128476
20170109,5828.42,5849,5574,5615.96,133155
20170111,5654.74,5896,5655,5837.31,59205
20170114,5599.00,6128,5599,6050.57,148058
20170115,6307.46,6307,5748,5796.91,318188
20170116,5751.68,5975,5727,5798.53,220890
20170117,5777.53,6023,5778,5859.12,171228
20170118,5759.75,6051,5760,5854.27,208115
20170121,6050.57,6059,5794,5907.59,184165
20170227,6221.02,6301,6139,6279.18,1092474
20170228,6309.88,6438,6139,6380.97,1503197
20170301,6112.77,6219,6063,6076.42,264695
20170304,6022.30,6022,5792,5838.92,125577
20170305,5780.76,5845,5726,5791.26,102075
20170306,5800.15,5937,5731,5871.23,53839
20170307,5721.79,6058,5722,5914.86,114423
20170308,5761.37,5994,5761,5848.61,131521
20170311,5769.45,5897,5769,5830.84,85565
20170312,5940.71,6122,5802,6081.27,201933
20170313,6138.62,6139,5937,6012.60,211940
20170314,5872.85,6301,5873,6272.72,103710
20170315,6300.99,6543,6220,6404.39,284365
20170318,6543.34,6724,6463,6707.33,812377
20170325,6785.69,6866,6624,6671.78,98870
20170326,6575.65,6679,6507,6512.64,102256
20170327,6464.98,6638,6464,6555.46,144943
20170328,6676.63,6883,6543,6817.19,980680
20170329,6567.57,6842,6568,6591.81,11319
20170403,6548.19,6608,6548,6584.54,21437
20170404,6555.46,6608,6480,6576.46,188372
20170405,6495.68,6786,6496,6727.52,437666
20170408,6553.03,7064,6553,7039.34,1680630
20170409,7390.74,7391,7391,7390.74,87081
20170410,7759.92,7760,7553,7757.49,3270390
20170412,7819.70,8134,7442,7880.28,1043935
20170415,7876.24,8069,7488,7845.55,775987
20170416,7803.54,8237,7563,8022.46,987430
20170417,8423.14,8423,8423,8423.14,79011
20170418,8844.01,8844,8531,8843.20,1882577
20170419,9128.36,9285,8652,9208.34,1155922
20170422,9481.38,9481,8749,9050.81,318979
20170423,8975.69,9031,8598,8656.60,293407
20170424,8499.07,9089,8281,8852.09,381039
20170426,9293.97,9294,9294,9293.97,123334
20170429,9758.46,9758,9371,9654.25,866915
20170430,10135.71,10137,9936,10117.94,188414
20170501,10097.75,10254,9630,9908.72,100650
20170502,9455.53,10017,9456,9727.77,175193
20170503,9926.49,10214,9734,10075.94,205837
20170506,10065.43,10542,9904,10125.21,107706
20170507,10178.53,10259,9620,9902.25,56627
20170508,9548.43,10179,9548,9970.11,98822
20170509,9836.82,10057,9694,9743.11,105709
20170510,10048.47,10049,9758,9764.12,76982
20170513,9735.04,9963,9451,9727.77,233127
20170514,9677.68,9952,9241,9281.85,284027
20170520,10158.81,11279,10159,10221.32,54000
20170521,10332.46,10680,10081,10289.91,79156
20170522,9898.32,10393,9877,9891.38,30768
20170523,10154.46,10293,9647,9933.05,63638
20170524,9933.05,10254,9560,9841.02,40764
20170527,9921.77,9922,9350,9397.33,46981
20170528,9230.62,9811,9121,9713.38,56366
20170529,9551.01,9551,9228,9267.96,79649
20170530,8845.98,9531,8846,8958.85,5506
20170531,9333.95,9406,9064,9257.54,110930
20170603,9399.07,9720,9399,9476.34,425098
20170606,9949.55,9950,9950,9949.55,49638
20170607,10446.20,10446,9546,10396.71,443615
20170610,10414.08,10593,10250,10434.05,173591
20170611,10124.07,10412,9913,10050.27,45360
20170612,9898.32,9898,9768,9821.92,30900
20170613,9811.50,10106,9647,9809.76,69014
20170614,10132.76,10298,10072,10230.00,14650
20170617,9985.15,10376,9719,9773.29,64891
20170619,9555.36,9776,9465,9517.15,15112
20170620,9742.03,9742,9383,9438.14,18943
20170621,9438.14,9725,9438,9574.46,17522
20170624,9733.35,10051,9639,9833.20,32281
20170625,9837.54,9985,9557,9630.03,19852
20170628,9551.01,9810,9396,9464.19,50781
20170701,9611.79,9642,9343,9388.65,356600
20170702,9378.23,9378,9361,9368.68,11070
20170703,9836.68,9837,9412,9490.23,55798
20170704,9453.77,9725,9381,9434.67,8590
20170705,9459.85,9811,9460,9748.11,21549
20170708,9464.19,9475,9346,9406.88,39144
20170709,9337.42,9754,9337,9401.67,5826
20170710,9757.66,9758,9340,9408.62,3146
20170711,9373.89,9725,9334,9431.19,44145
20170712,9290.53,9590,8960,9109.93,39649
20170715,9463.32,9565,9127,9283.59,284064
20170716,9590.09,9747,8823,9405.14,6609319
20170717,9099.51,9100,8935,8952.77,1055206
20170718,8682.74,9203,8683,9061.31,407755
20170719,9289.66,9421,9186,9327.87,510262
20170722,9420.77,9723,9291,9528.44,635564
20170723,9759.40,9759,9053,9293.14,392629
20170724,9263.62,9410,9085,9253.20,263667
20170725,9351.31,9377,9030,9203.70,258888
20170726,8863.34,9250,8856,9050.89,678276
20170729,9203.70,9212,8639,8822.53,400089
20170730,8644.54,9027,8645,8898.07,118868
20170731,8727.89,9098,8728,8889.39,175663
20170801,9069.12,9107,8683,8877.23,406920
20170802,8814.72,9068,8596,8780.85,1351866
20170806,9082.15,9086,8874,8968.40,337572
20170807,8863.34,9053,8792,8918.04,110667
20170808,8692.29,9017,8692,8857.26,72126
20170809,8692.29,8969,8692,8770.44,141263
20170812,8692.29,8787,8332,8470.88,383938
20170813,8161.78,8717,8162,8586.36,182345
20170814,8308.51,8700,8206,8318.93,187743
20170815,8222.55,8231,7945,8081.89,346566
20170816,7944.71,8136,7812,7920.40,226009
20170819,7979.44,8044,7754,7888.27,237184
20170820,7970.76,8275,7971,8147.01,259168
20170821,8162.64,8466,8163,8288.54,127262
20170822,8387.53,8474,8023,8198.24,112656
20170823,8352.80,8353,7901,8149.62,133695
20170826,8180.88,8181,7945,7979.44,91664
20170827,7825.75,7988,7814,7870.04,104179
20170828,7987.25,7988,7834,7876.11,106600
20170829,7986.38,8074,7844,7966.41,87332
20170830,7931.68,8249,7932,8150.49,145828
20170902,8246.00,8249,8039,8198.24,200611
20170903,8209.53,8210,8032,8047.16,120537
20170904,8160.04,8245,7958,7985.52,53715
20170905,8160.04,8160,7919,7953.39,50126
20170906,8021.98,8022,7901,7920.40,42461
20170910,7901.29,7971,7814,7875.25,42110
20170911,7815.33,7901,7482,7579.16,212220
20170912,7636.47,7636,7216,7281.35,111698
20170913,7202.33,7536,7202,7371.65,97566
20170916,7445.45,7719,7402,7494.07,34843
20170917,7467.16,7868,7467,7822.28,192042
20170918,7883.93,7997,7566,7804.91,102440
20170919,7874.38,7874,7606,7618.24,65536
20170920,7558.32,7854,7415,7571.35,209664
20170923,7577.43,7949,7573,7857.01,97749
20170924,8185.22,8187,7858,7999.41,144745
20170925,8140.94,8178,7724,7863.09,212438
20170926,8018.51,8032,7684,7831.83,79385
20170927,7900.42,7900,7667,7688.57,52538
20171002,8066.27,8066,7676,7920.40,94567
20171003,7718.96,7722,7524,7556.59,103859
20171004,7934.29,7934,7554,7836.17,158389
20171007,7814.47,7814,7485,7642.55,85662
20171008,7470.63,7471,7261,7301.32,48718
20171009,6937.51,7196,6937,6944.46,356460
20171010,6802.93,7067,6599,6907.99,89617
20171011,7033.02,7055,6981,7037.36,21555
20171014,7059.07,7076,6877,6971.37,74071
20171015,7072.96,7074,6925,6997.42,63144
20171016,6947.93,7059,6946,6961.82,40251
20171017,6962.69,7023,6946,6953.14,66250
20171018,6946.19,6947,6732,6766.46,277390
20171021,6772.54,6938,6707,6774.27,35295
20171022,6842.87,6843,6674,6731.73,48771
20171023,6858.50,6859,6629,6668.34,63775
20171024,6638.82,6772,6469,6569.36,67417
20171025,6682.24,6868,6469,6542.44,78089
20171028,6488.61,6674,6408,6504.24,84995
20171029,6504.24,6504,6382,6398.31,57039
20171030,6407.86,6424,6086,6252.44,221577
20171031,6327.98,6336,6252,6285.44,93629
20171101,6199.48,6424,6199,6337.53,99383
20171104,6354.90,6654,6226,6436.52,283171
20171105,6757.78,6758,6758,6757.78,44235
20171106,7095.53,7096,6872,7038.23,355719
20171107,7072.09,7072,6687,6727.39,99379
20171108,6686.58,7063,6516,6901.91,401011
20171111,6946.19,7115,6946,7046.04,66041
20171112,6972.24,7205,6972,7098.14,59980
20171113,7037.36,7153,6899,7021.73,514894
20171114,7033.89,7084,6773,6984.40,143945
20171115,7024.34,7081,6938,6965.29,100265
20171118,7099.88,7100,6923,6958.35,46842
20171120,7050.38,7052,6921,6957.48,78095
20171121,6946.19,6946,6859,6906.25,133677
20171122,6934.90,6946,6781,6888.89,44834
20171125,6842.87,7032,6842,6916.67,64025
20171126,6946.19,7033,6753,6808.14,74920
20171128,6859.36,6995,6696,6761.25,105390
20171129,6902.78,6903,6707,6781.22,3921
20171202,6901.04,6901,6443,6509.45,305717
20171203,6685.71,6721,6252,6329.72,180335
20171204,6579.78,6634,6425,6558.94,112988
20171205,6645.77,6802,6469,6558.94,67520
20171209,6752.57,6753,6437,6499.03,31937
20171210,6438.25,6676,6174,6294.99,233585
20171211,6269.81,6386,6165,6218.58,204399
20171212,6186.45,6319,6186,6225.52,98570
20171213,6294.12,6294,6153,6176.03,137906
20171216,6338.40,6338,6082,6173.43,101866
20171217,6100.49,6292,6100,6149.12,53073
20171218,6121.33,6251,6079,6130.88,156439
20171219,6097.02,6217,6097,6160.40,150978
20171220,6231.60,6232,6123,6156.06,113505
20171223,6164.75,6291,6165,6196.00,95624
20171224,6229.87,6382,6230,6325.38,143697
20171225,6338.40,6338,6217,6242.02,55538
20171226,6285.44,6285,6178,6233.34,113010
20171227,6334.93,6544,6234,6504.24,457123
20171230,6578.91,6777,6183,6523.34,245841
20171231,6511.19,6668,6198,6207.29,301453
20180101,6416.54,6417,6184,6255.91,81925
20180102,6337.53,6509,6234,6374.00,265862
20180103,6459.09,6463,6166,6370.53,71486
20180106,6453.01,6453,6256,6353.16,71650
20180107,6405.26,6434,6130,6374.00,64431
20180108,6419.15,6419,6211,6301.93,9020
20180109,6372.26,6616,6372,6571.10,634690
20180110,6668.34,6858,6425,6690.05,175849
20180113,6946.19,6981,6773,6898.44,196902
20180114,6987.87,7024,6782,6901.91,69789
20180115,6773.41,6946,6557,6586.73,326482
20180116,6553.73,6755,6470,6649.24,128536
20180117,6815.95,6816,6470,6612.77,69528
20180120,6761.25,6761,6488,6597.15,98369
20180121,6486.01,6634,6338,6461.69,72585
20180122,6507.71,6582,6338,6377.47,84579
20180123,6623.19,6623,6340,6492.95,155487
20180124,6341.00,6597,6258,6374.00,53182
20180127,6502.50,6503,6271,6368.79,22066
20180128,6261.99,6467,6224,6255.05,108943
20180129,6221.18,6512,6221,6463.43,225454
20180130,6485.14,6662,6443,6590.20,107697
20180131,6464.30,6512,6340,6440.86,63823
20180203,6511.19,6660,6426,6505.11,52073
20180204,6294.99,6502,6295,6411.34,97651
20180205,6570.23,6570,6295,6341.87,137253
20180206,6294.99,6425,6245,6353.16,97909
20180207,6268.94,6467,6269,6377.47,32443
20180227,6503.37,6503,6087,6196.00,89395
20180228,6196.87,6285,5991,6193.40,194740
20180303,6265.47,6338,6078,6179.51,101153
20180304,6251.57,6252,6148,6202.95,61942
20180305,6111.78,6243,6069,6081.39,53637
20180306,6043.19,6295,6043,6228.13,156807
20180307,6234.21,6234,6108,6131.75,35982
20180310,6052.74,6081,5996,6050.13,65368
20180311,6043.19,6252,5765,6033.64,61027
20180312,6077.92,6078,5949,6051.87,29500
20180313,6077.92,6078,5956,5965.91,27594
20180314,6077.92,6078,5862,5897.32,6754
20180317,5740.16,6078,5618,5871.27,57037
20180318,5664.62,6034,5578,5862.59,127635
20180319,6025.82,6155,5863,6075.31,67492
20180325,6077.05,6252,6077,6186.45,22783
20180326,6248.10,6252,6208,6247.23,84105
20180327,6286.30,6337,6097,6239.42,31700
20180328,6233.34,6291,6206,6234.21,35505
20180403,6297.59,6338,6163,6325.38,30389
20180404,6206.42,6295,6153,6232.47,28093
20180407,6334.06,6354,6150,6234.21,29064
20180408,6077.92,6197,6019,6137.83,28500
20180409,6190.79,6191,5831,5840.01,106370
20180410,6034.50,6132,5949,6095.28,35853
20180411,6242.89,6249,5905,6182.98,12373
20180415,6077.92,6078,5905,5960.70,5250
20180416,6077.92,6234,5991,6116.99,26017
20180417,5913.81,6203,5914,6064.03,22190
20180418,5948.55,6165,5949,6120.46,19201
