<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110703,2000.00,2000,2000,2000.00,17639
20110704,2160.00,2160,2160,2160.00,7000
20110705,2332.00,2332,2332,2332.00,5639
20110706,2518.00,2518,2518,2518.00,2000
20110710,2719.00,2719,2719,2719.00,100
20110713,2936.00,2936,2936,2936.00,10
20110716,2936.00,3170,2702,2707.00,5510
20110719,2550.00,2550,2501,2545.00,5519
20110720,2500.00,2500,2500,2500.00,100
20110724,2700.00,2700,2700,2700.00,100
20110725,2916.00,2916,2916,2916.00,5310
20110726,3149.00,3149,3130,3147.00,5545
20110727,3390.00,3390,2900,3128.00,1584
20110730,2900.00,3000,2900,2990.00,2043
20110731,2850.00,2861,2850,2850.00,2709
20110905,2851.00,2890,2851,2858.00,120000
20110906,2901.00,2901,2900,2900.00,122502
20110907,3047.00,3047,2970,2995.00,100000
20130115,2204.00,2280,2028,2111.00,1339943
20130116,1960.00,2040,1943,1949.00,613840
20130119,1803.00,1920,1794,1819.00,289272
20130120,1674.00,1703,1674,1677.00,364464
20130121,1580.00,1650,1543,1600.00,430045
20130122,1550.00,1550,1472,1472.00,50678
20130123,1378.00,1589,1378,1531.00,573667
20130126,1620.00,1653,1511,1634.00,510070
20130127,1710.00,1760,1650,1721.00,368694
20130128,1814.00,1814,1631,1656.00,485364
20130130,1615.00,1672,1558,1576.00,140457
20130202,1561.00,1600,1561,1582.00,61709
20130203,1599.00,1599,1470,1533.00,207324
20130204,1457.00,1490,1431,1461.00,544718
20130205,1430.00,1577,1430,1545.00,85792
20130206,1650.00,1668,1560,1636.00,282060
20130209,1719.00,1727,1597,1638.00,146764
20130224,1642.00,1642,1511,1518.00,152367
20130225,1402.00,1458,1397,1405.00,203000
20130226,1397.00,1400,1300,1319.00,294942
20130227,1375.00,1399,1350,1364.00,67432
20130302,1399.00,1473,1373,1430.00,259909
20130303,1398.00,1445,1330,1356.00,139872
20130304,1428.00,1428,1303,1372.00,54119
20130305,1428.00,1470,1316,1408.00,213603
20130306,1479.00,1520,1479,1510.00,886303
20130309,1625.00,1630,1450,1569.00,838402
20130310,1590.00,1590,1444,1476.00,678219
20130311,1400.00,1400,1358,1358.00,428427
20130312,1330.00,1350,1250,1300.00,660697
20130313,1197.00,1202,1196,1198.00,910182
20130505,2200.00,2200,2200,2200.00,1450000
20130508,2000.00,2000,2000,2000.00,1450000
20130511,2000.00,2000,1840,1841.00,1450000
20130512,1840.00,1840,1750,1750.00,1490000
20130513,1611.00,1611,1610,1610.00,1490000
20130514,1500.00,1500,1500,1500.00,1490000
20130521,1450.00,1450,1450,1450.00,1498000
20130522,1450.00,1450,1450,1450.00,1499886
20130525,1566.00,1566,1566,1566.00,10000
20130526,1691.00,1691,1691,1691.00,1478000
20130527,1826.00,1826,1826,1826.00,100000
20130528,1972.00,1972,1972,1972.00,975000
20150518,1590.00,1699,1490,1537.00,1810967
20150519,1477.00,1659,1475,1653.00,1668705
20150520,1785.00,1785,1777,1784.00,4261168
20150523,1812.00,1845,1700,1801.00,1915449
20150524,1760.00,1825,1655,1796.00,2190737
20150525,1822.00,1890,1703,1801.00,2256067
20150526,1799.00,1799,1625,1665.00,1860500
20150527,1686.00,1686,1499,1521.00,1679393
20150530,1400.00,1548,1390,1474.00,764950
20150531,1435.00,1557,1404,1477.00,1857290
20150601,1530.00,1624,1520,1616.00,843514
20150602,1765.00,1774,1670,1715.00,1848650
20150606,1700.00,1738,1570,1640.00,988007
20150607,1640.00,1640,1476,1512.00,1803985
20150608,1404.00,1537,1361,1418.00,1567097
20150621,1610.00,1650,1580,1626.00,2125524
20150622,1535.00,1668,1509,1568.00,1419737
20150623,1579.00,1600,1459,1516.00,1034610
20150624,1466.00,1499,1446,1468.00,1071731
20150627,1420.00,1510,1420,1471.00,572332
20150628,1420.00,1420,1324,1342.00,1159503
20150629,1360.00,1460,1321,1380.00,824839
20150630,1400.00,1450,1350,1386.00,1364401
20150701,1400.00,1439,1327,1365.00,529155
20150704,1379.00,1397,1280,1331.00,1248769
20150705,1260.00,1280,1200,1240.00,1909747
20150706,1210.00,1270,1200,1236.00,691832
20150707,1320.00,1320,1230,1262.00,729642
20150711,1306.00,1306,1181,1215.00,288763
20150712,1249.00,1250,1155,1208.00,659807
20150713,1167.00,1260,1167,1230.00,1593826
20150714,1200.00,1200,1130,1166.00,1207226
20150715,1180.00,1239,1132,1195.00,992334
20150720,1228.00,1299,1190,1250.00,1102521
20150721,1250.00,1250,1125,1142.00,1892785
20150722,1169.00,1169,1028,1043.00,2336064
20151115,1350.00,1350,1350,1350.00,50000
20151116,1400.00,1401,1400,1401.00,50000
20151117,1402.00,1402,1400,1402.00,100000
20151118,1405.00,1405,1370,1376.00,70000
20151121,1250.00,1251,1239,1244.00,215000
20151122,1130.00,1130,1120,1120.00,286147
20151123,1101.00,1101,1008,1017.00,1532500
20151124,1022.00,1022,916,938.00,3749100
20151125,1000.00,1010,1000,1000.00,3749000
20151128,1043.00,1043,1040,1042.00,3745000
20151129,1106.00,1106,1100,1101.00,3749000
20151130,1151.00,1151,1120,1138.00,3745000
20151201,1202.00,1202,1201,1202.00,916555
