<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>
20010326,211.36,211,211,211.36,1077,1,Pumpiran-a
20010328,214.94,215,215,214.94,500,2,Pumpiran-a
20010408,215.36,219,215,219.03,550,3,Pumpiran-a
20010410,219.07,219,219,219.07,2104,6,Pumpiran-a
20010414,219.11,219,219,219.28,1030,3,Pumpiran-a
20010421,230.23,230,230,230.23,632,2,Pumpiran-a
20010422,233.81,234,234,233.81,2724,3,Pumpiran-a
20010428,245.48,245,245,245.48,2708,3,Pumpiran-a
20010429,247.25,247,247,247.25,2019,7,Pumpiran-a
20010430,247.29,247,247,247.29,171,1,Pumpiran-a
20010501,247.71,248,248,247.71,1270,1,Pumpiran-a
20010502,247.71,248,248,247.71,632,1,Pumpiran-a
20010505,247.80,248,248,247.80,2572,3,Pumpiran-a
20010512,255.21,255,255,255.26,1796,4,Pumpiran-a
20010513,255.80,256,256,255.80,1140,1,Pumpiran-a
20010521,261.41,261,261,261.41,5000,1,Pumpiran-a
20010523,262.08,262,262,262.08,210,1,Pumpiran-a
20010526,275.18,275,275,275.18,5000,1,Pumpiran-a
20010527,277.12,277,277,277.12,940,2,Pumpiran-a
20010528,277.79,278,278,277.75,2500,2,Pumpiran-a
20010529,278.01,278,278,277.75,2278,6,Pumpiran-a
20010530,277.75,278,278,277.75,180,3,Pumpiran-a
20010603,277.75,291,278,290.69,814558,22,Pumpiran-a
20010606,290.69,291,291,290.69,85,1,Pumpiran-a
20010611,286.47,286,282,282.26,7050,6,Pumpiran-a
20010612,278.05,278,278,278.05,1000,1,Pumpiran-a
20010613,273.83,274,274,273.75,1224,2,Pumpiran-a
20010617,273.71,274,270,269.62,2854,6,Pumpiran-a
20010618,265.41,265,265,265.41,1300,2,Pumpiran-a
20010619,265.45,265,263,263.30,9734,10,Pumpiran-a
20010620,263.30,263,263,263.30,508,1,Pumpiran-a
20010623,263.30,263,263,263.30,200,1,Pumpiran-a
20010624,263.30,263,263,263.26,7047,8,Pumpiran-a
20010625,263.30,263,263,263.30,2000,3,Pumpiran-a
20010626,263.26,263,263,263.30,5800,4,Pumpiran-a
20010627,263.30,263,263,263.30,7981,5,Pumpiran-a
20010630,263.30,263,263,263.30,1822,4,Pumpiran-a
20010701,263.30,263,263,263.30,300,1,Pumpiran-a
20010702,263.30,263,263,263.34,5016,9,Pumpiran-a
20010703,263.39,263,263,263.39,392,2,Pumpiran-a
20010704,263.56,264,263,263.34,6918,9,Pumpiran-a
20010707,263.30,263,263,263.30,1368,3,Pumpiran-a
20010729,219.07,220,219,219.78,1048,3,Pumpiran-a
20010801,230.74,231,231,230.74,2900,4,Pumpiran-a
20010814,242.24,242,242,242.24,1186,2,Pumpiran-a
20010818,254.33,254,254,254.33,1694,2,Pumpiran-a
20010819,267.01,267,267,267.01,1710,3,Pumpiran-a
20010820,280.32,280,280,280.28,15437,16,Pumpiran-a
20010821,280.28,281,280,280.28,4800,7,Pumpiran-a
20010822,280.24,280,280,280.28,1969,2,Pumpiran-a
20010825,280.28,280,280,280.28,10000,4,Pumpiran-a
20010826,280.24,280,280,280.28,2267,7,Pumpiran-a
20010828,280.24,280,278,278.05,3599,6,Pumpiran-a
20010903,273.79,274,274,273.79,1200,5,Pumpiran-a
20010904,269.58,270,265,265.41,3620,5,Pumpiran-a
20010908,265.41,265,265,265.41,208,1,Pumpiran-a
20010909,265.41,265,265,265.41,3096,6,Pumpiran-a
20010910,265.41,265,265,265.41,2485,3,Pumpiran-a
20010911,265.41,265,265,265.41,1016,2,Pumpiran-a
20010915,265.41,265,265,265.41,2032,3,Pumpiran-a
20010916,265.41,265,261,261.20,1688,3,Pumpiran-a
20010917,261.28,261,261,261.20,2296,2,Pumpiran-a
20010922,261.28,261,261,261.28,1000,1,Pumpiran-a
20010923,261.32,274,261,273.83,201896,26,Pumpiran-a
20010924,273.83,274,274,273.83,1046,4,Pumpiran-a
20010926,273.83,274,274,273.79,4410,5,Pumpiran-a
20011002,273.67,274,274,273.75,1200,3,Pumpiran-a
20011007,269.62,274,268,273.83,22252,14,Pumpiran-a
20011008,273.75,274,274,273.75,30,1,Pumpiran-a
20011009,269.62,270,270,269.62,2756,4,Pumpiran-a
20011010,269.62,273,270,273.41,2400,3,Pumpiran-a
20011016,273.16,273,273,273.16,4306,7,Pumpiran-a
20011021,272.91,273,273,272.95,690,2,Pumpiran-a
20011023,272.87,274,273,273.83,6874,5,Pumpiran-a
20011024,273.96,274,274,273.96,1016,1,Pumpiran-a
20011027,273.96,274,274,273.96,59,1,Pumpiran-a
20011028,274.34,275,274,275.22,3380,8,Pumpiran-a
20011029,274.26,274,274,274.05,6482,8,Pumpiran-a
20011031,274.05,274,274,274.05,52,1,Pumpiran-a
20011104,274.89,275,275,274.85,1240,2,Pumpiran-a
20011110,288.58,289,289,288.58,1000,2,Pumpiran-a
20011111,288.58,289,289,288.66,16050,11,Pumpiran-a
20011112,288.96,289,289,289.42,28951,6,Pumpiran-a
20011114,290.39,290,290,290.39,1673,2,Pumpiran-a
20011117,291.53,292,292,292.08,1425,3,Pumpiran-a
20011119,295.57,296,295,295.78,5414,15,Pumpiran-a
20011120,296.46,296,296,296.46,300,1,Pumpiran-a
20011124,297.72,298,298,297.72,850,1,Pumpiran-a
20011125,299.62,300,300,299.62,4450,4,Pumpiran-a
20011127,301.26,301,301,300.88,6072,15,Pumpiran-a
20011201,301.22,301,301,301.22,434,1,Pumpiran-a
20011203,301.26,301,301,301.39,2609,3,Pumpiran-a
20011204,303.32,303,301,303.32,8411,8,Pumpiran-a
20011205,307.54,308,308,307.54,1000,2,Pumpiran-a
20011208,307.54,308,308,307.54,2600,5,Pumpiran-a
20011210,307.54,308,308,307.54,1000,2,Pumpiran-a
20011211,315.92,320,316,320.18,3738,3,Pumpiran-a
20011212,320.18,320,320,320.18,22000,11,Pumpiran-a
20011215,320.18,320,320,320.18,3769,5,Pumpiran-a
20011219,320.13,320,320,320.13,160,2,Pumpiran-a
20011223,320.26,320,320,320.26,40,1,Pumpiran-a
20011224,324.39,324,324,324.39,1000,1,Pumpiran-a
20011226,324.39,324,324,324.39,2790,6,Pumpiran-a
20020101,325.44,325,325,325.40,5312,3,Pumpiran-a
20020102,326.49,326,326,326.49,38080,5,Pumpiran-a
20020106,326.49,326,325,324.89,2618,5,Pumpiran-a
20020107,325.02,325,325,325.02,80,1,Pumpiran-a
20020108,325.06,325,325,325.06,80,1,Pumpiran-a
20020112,325.10,325,325,325.10,750,2,Pumpiran-a
20020113,325.40,325,325,325.36,1800,2,Pumpiran-a
20020114,325.53,326,326,325.53,340,3,Pumpiran-a
20020115,328.60,329,329,328.60,6660,4,Pumpiran-a
20020116,328.69,329,329,328.60,3094,3,Pumpiran-a
20020119,328.56,329,329,328.56,508,1,Pumpiran-a
20020120,328.60,329,329,328.60,500,2,Pumpiran-a
